C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
19,25,3,6,0,0,-0.210526316,390.1670582,,2743094,2742057,2667733,Yes,2717628,,0,0,0,No,0,,1.315789474,0.315789474,,390.16706,9,0.473684211,0.36,1.5,CRAM,,,0.346153846,,----,----,HUnSatLig,----,----,----,,390.25728,390.00000,0.25728
19,27,3,6,0,0,-0.315789474,392.1827082,,2824527,3013813,2394989,Yes,2744443,,0,0,0,No,0,,1.421052632,0.315789474,,392.18271,8,0.421052632,0.296296296,1.333333333,CRAM,,,0.269230769,,----,----,HUnSatLig,----,----,----,,392.27339,392.00000,0.27339
19,27,3,7,0,0,-0.210526316,408.1776228,,2046128,2017040,2392686,Yes,2151951.333,,0,0,0,No,0,,1.421052632,0.368421053,,408.17762,8,0.421052632,0.296296296,1.142857143,CRAM,,,0.24,,----,----,HUnSatLig,----,----,----,,408.27201,408.00000,0.27201
20,20,0,6,0,0,-0.4,355.1187112,,4115645,4310930,4491963,Yes,4306179.333,,0,0,0,No,0,,1,0.3,,355.11871,11,0.55,0.55,1.833333333,O,,,0.470588235,,----,----,HUnSatLig,----,----,----,,355.20083,355.00000,0.20083
20,26,0,4,0,0,-0.9,329.175832,,3807828,4429634,3833959,Yes,4023807,,0,0,0,No,0,,1.3,0.2,,329.17583,8,0.4,0.307692308,2,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,329.25195,329.00000,0.25195
20,27,3,5,0,0,-0.4,388.1877936,,2603781,2298765,2101034,Yes,2334526.667,,0,0,0,No,0,,1.35,0.25,,388.18779,9,0.45,0.333333333,1.8,O,,,0.344827586,,----,----,HUnSatLig,----,----,----,,388.27756,388.00000,0.27756
20,27,3,6,0,0,-0.3,404.1827082,,2891331,3110836,2549577,Yes,2850581.333,,0,0,0,No,0,,1.35,0.3,,404.18271,9,0.45,0.333333333,1.5,CRAM,,,0.321428571,,----,----,HUnSatLig,----,----,----,,404.27617,404.00000,0.27617
20,28,0,3,0,0,-1.1,315.1965674,,2132247,2736968,2243526,Yes,2370913.667,,0,0,0,No,0,,1.4,0.15,,315.19657,7,0.35,0.25,2.333333333,O,,,0.297297297,,----,----,HUnSatLig,----,----,----,,315.26945,315.00000,0.26945
20,28,0,4,0,0,-1,331.191482,,6577141,6912221,7362081,Yes,6950481,,0,0,0,No,0,,1.4,0.2,,331.19148,7,0.35,0.25,1.75,CRAM,,,0.277777778,,----,----,HUnSatLig,----,----,----,,331.26807,331.00000,0.26807
20,29,3,6,0,0,-0.4,406.1983582,,1725204,2202227,1661679,Yes,1863036.667,,0,0,0,No,0,,1.45,0.3,,406.19836,8,0.4,0.275862069,1.333333333,CRAM,,,0.25,,----,----,HUnSatLig,----,----,----,,406.29229,406.00000,0.29229
21,16,0,14,0,0,0.571428571,491.046728,,3642755,3339000,3546655,Yes,3509470,,0,0,0,No,0,,0.761904762,0.666666667,,491.04673,14,0.666666667,0.875,1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,491.16028,491.00000,0.16028
21,16,0,15,0,0,0.666666667,507.0416426,,2578138,2505880,2175273,Yes,2419763.667,,0,0,0,No,0,,0.761904762,0.714285714,,507.04164,14,0.666666667,0.875,0.933333333,CRAM,,,0.481481481,,----,----,HUnSatLig,----,----,----,,507.15889,507.00000,0.15889
21,18,0,10,0,0,0.095238095,429.0827196,,6432028,5938650,6182141,Yes,6184273,,0,0,0,No,0,,0.857142857,0.476190476,,429.08272,13,0.619047619,0.722222222,1.3,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,429.18194,429.00000,0.18194
21,18,0,14,0,0,0.476190476,493.062378,,4463071,4063015,3679791,Yes,4068625.667,,0,0,0,No,0,,0.857142857,0.666666667,,493.06238,13,0.619047619,0.722222222,0.928571429,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,493.17639,493.00000,0.17639
21,18,0,15,0,0,0.571428571,509.0572926,,2744141,2673869,2117980,Yes,2511996.667,,0,0,0,No,0,,0.857142857,0.714285714,,509.05729,13,0.619047619,0.722222222,0.866666667,CRAM,,,0.407407407,,----,----,HUnSatLig,----,----,----,,509.17500,509.00000,0.17500
21,20,0,6,0,0,-0.380952381,367.1187112,,1695039,1762987,1929451,Yes,1795825.667,,0,0,0,No,0,,0.952380952,0.285714286,,367.11871,12,0.571428571,0.6,2,O,,,0.5,,----,----,HUnSatLig,----,----,----,,367.20360,367.00000,0.20360
21,20,0,7,0,0,-0.285714286,383.1136258,,3137756,3692819,2975352,Yes,3268642.333,,0,0,0,No,0,,0.952380952,0.333333333,,383.11363,12,0.571428571,0.6,1.714285714,CRAM,,,0.485714286,,----,----,HUnSatLig,----,----,----,,383.20222,383.00000,0.20222
21,20,0,8,0,0,-0.19047619,399.1085404,,6187849,5628224,5982971,Yes,5933014.667,,0,0,0,No,0,,0.952380952,0.380952381,,399.10854,12,0.571428571,0.6,1.5,CRAM,,,0.470588235,,----,----,HUnSatLig,----,----,----,,399.20083,399.00000,0.20083
21,22,0,6,0,0,-0.476190476,369.1343612,,2081596,2440411,2769735,Yes,2430580.667,,0,0,0,No,0,,1.047619048,0.285714286,,369.13436,11,0.523809524,0.5,1.833333333,O,,,0.444444444,,----,----,HUnSatLig,----,----,----,,369.21972,369.00000,0.21972
21,26,0,5,0,0,-0.761904762,357.1707466,,2197923,2249162,2343203,Yes,2263429.333,,0,0,0,No,0,,1.238095238,0.238095238,,357.17075,9,0.428571429,0.346153846,1.8,O,,,0.351351351,,----,----,HUnSatLig,----,----,----,,357.25334,357.00000,0.25334
21,28,0,5,0,0,-0.857142857,359.1863966,,3269771,3420668,3037061,Yes,3242500,,0,0,0,No,0,,1.333333333,0.238095238,,359.18640,8,0.380952381,0.285714286,1.6,CRAM,,,0.297297297,,----,----,HUnSatLig,----,----,----,,359.26945,359.00000,0.26945
21,30,0,5,0,0,-0.952380952,361.2020466,,4311420,4086321,3856873,Yes,4084871.333,,0,0,0,No,0,,1.428571429,0.238095238,,361.20205,7,0.333333333,0.233333333,1.4,CRAM,,,0.243243243,,----,----,HUnSatLig,----,----,----,,361.28557,361.00000,0.28557
22,18,0,12,0,0,0.272727273,473.0725488,,5070898,5194294,4717305,Yes,4994165.667,,0,0,0,No,0,,0.818181818,0.545454545,,473.07255,14,0.636363636,0.777777778,1.166666667,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,473.18194,473.00000,0.18194
22,18,0,13,0,0,0.363636364,489.0674634,,4717873,4680398,4266518,Yes,4554929.667,,0,0,0,No,0,,0.818181818,0.590909091,,489.06746,14,0.636363636,0.777777778,1.076923077,CRAM,,,0.483870968,,----,----,HUnSatLig,----,----,----,,489.18055,489.00000,0.18055
22,18,0,14,0,0,0.454545455,505.062378,,4004967,2920547,3291898,Yes,3405804,,0,0,0,No,0,,0.818181818,0.636363636,,505.06238,14,0.636363636,0.777777778,1,CRAM,,,0.466666667,,----,----,HUnSatLig,----,----,----,,505.17917,505.00000,0.17917
22,18,0,15,0,0,0.545454545,521.0572926,,2870707,2548173,2274978,Yes,2564619.333,,0,0,0,No,0,,0.818181818,0.681818182,,521.05729,14,0.636363636,0.777777778,0.933333333,CRAM,,,0.448275862,,----,----,HUnSatLig,----,----,----,,521.17778,521.00000,0.17778
22,20,0,8,0,0,-0.181818182,411.1085404,,3802179,3306436,2936044,Yes,3348219.667,,0,0,0,No,0,,0.909090909,0.363636364,,411.10854,13,0.590909091,0.65,1.625,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,411.20360,411.00000,0.20360
22,20,0,9,0,0,-0.090909091,427.103455,,4321762,4222494,4667783,Yes,4404013,,0,0,0,No,0,,0.909090909,0.409090909,,427.10345,13,0.590909091,0.65,1.444444444,CRAM,,,0.485714286,,----,----,HUnSatLig,----,----,----,,427.20222,427.00000,0.20222
22,20,0,11,0,0,0.090909091,459.0932842,,6162131,6073194,6146556,Yes,6127293.667,,0,0,0,No,0,,0.909090909,0.5,,459.09328,13,0.590909091,0.65,1.181818182,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,459.19944,459.00000,0.19944
22,22,0,7,0,0,-0.363636364,397.1292758,,3261898,3137558,3431382,Yes,3276946,,0,0,0,No,0,,1,0.318181818,,397.12928,12,0.545454545,0.545454545,1.714285714,CRAM,,,0.459459459,,----,----,HUnSatLig,----,----,----,,397.22111,397.00000,0.22111
22,22,0,8,0,0,-0.272727273,413.1241904,,4857969,4604446,4497179,Yes,4653198,,0,0,0,No,0,,1,0.363636364,,413.12419,12,0.545454545,0.545454545,1.5,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,413.21972,413.00000,0.21972
22,22,0,9,0,0,-0.181818182,429.119105,,6055192,6347224,5943546,Yes,6115320.667,,0,0,0,No,0,,1,0.409090909,,429.11910,12,0.545454545,0.545454545,1.333333333,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,429.21833,429.00000,0.21833
22,24,0,6,0,0,-0.545454545,383.1500112,,2131432,2671899,2325633,Yes,2376321.333,,0,0,0,No,0,,1.090909091,0.272727273,,383.15001,11,0.5,0.458333333,1.833333333,O,,,0.421052632,,----,----,HUnSatLig,----,----,----,,383.23861,383.00000,0.23861
22,26,0,5,0,0,-0.727272727,369.1707466,,1928522,1618661,2244946,Yes,1930709.667,,0,0,0,No,0,,1.181818182,0.227272727,,369.17075,10,0.454545455,0.384615385,2,O,,,0.384615385,,----,----,HUnSatLig,----,----,----,,369.25611,369.00000,0.25611
22,28,0,5,0,0,-0.818181818,371.1863966,,3219011,2338063,2893735,Yes,2816936.333,,0,0,0,No,0,,1.272727273,0.227272727,,371.18640,9,0.409090909,0.321428571,1.8,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,371.27223,371.00000,0.27223
22,29,1,11,0,0,-0.181818182,482.1667832,,7228509,6879836,6266417,Yes,6791587.333,,0,0,0,No,0,,1.318181818,0.5,,482.16678,9,0.409090909,0.310344828,0.818181818,CRAM,,,0.193548387,,----,----,HUnSatLig,----,----,----,,482.27828,482.00000,0.27828
22,30,0,5,0,0,-0.909090909,373.2020466,,2958644,2998578,3593714,Yes,3183645.333,,0,0,0,No,0,,1.363636364,0.227272727,,373.20205,8,0.363636364,0.266666667,1.6,CRAM,,,0.282051282,,----,----,HUnSatLig,----,----,----,,373.28834,373.00000,0.28834
22,32,0,5,0,0,-1,375.2176966,,2734107,3693900,3312179,Yes,3246728.667,,0,0,0,No,0,,1.454545455,0.227272727,,375.21770,7,0.318181818,0.21875,1.4,CRAM,,,0.230769231,,----,----,HUnSatLig,----,----,----,,375.30446,375.00000,0.30446
23,18,0,14,0,0,0.434782609,517.062378,,3370748,3453318,3077172,Yes,3300412.667,,0,0,0,No,0,,0.782608696,0.608695652,,517.06238,15,0.652173913,0.833333333,1.071428571,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,517.18194,517.00000,0.18194
23,18,0,15,0,0,0.52173913,533.0572926,,2553156,2838073,2146259,Yes,2512496,,0,0,0,No,0,,0.782608696,0.652173913,,533.05729,15,0.652173913,0.833333333,1,CRAM,,,0.483870968,,----,----,HUnSatLig,----,----,----,,533.18055,533.00000,0.18055
23,20,0,10,0,0,0,455.0983696,,3865689,3413029,3318607,Yes,3532441.667,,0,0,0,No,0,,0.869565217,0.434782609,,455.09837,14,0.608695652,0.7,1.4,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,455.20360,455.00000,0.20360
23,20,0,11,0,0,0.086956522,471.0932842,,4548693,4021828,3911489,Yes,4160670,,0,0,0,No,0,,0.869565217,0.47826087,,471.09328,14,0.608695652,0.7,1.272727273,CRAM,,,0.485714286,,----,----,HUnSatLig,----,----,----,,471.20222,471.00000,0.20222
23,20,0,12,0,0,0.173913043,487.0881988,,4518119,3551912,4169236,Yes,4079755.667,,0,0,0,No,0,,0.869565217,0.52173913,,487.08820,14,0.608695652,0.7,1.166666667,CRAM,,,0.470588235,,----,----,HUnSatLig,----,----,----,,487.20083,487.00000,0.20083
23,20,0,13,0,0,0.260869565,503.0831134,,4774901,4464685,3535566,Yes,4258384,,0,0,0,No,0,,0.869565217,0.565217391,,503.08311,14,0.608695652,0.7,1.076923077,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,503.19944,503.00000,0.19944
23,20,0,14,0,0,0.347826087,519.078028,,3816283,3418540,2946156,Yes,3393659.667,,0,0,0,No,0,,0.869565217,0.608695652,,519.07803,14,0.608695652,0.7,1,CRAM,,,0.4375,,----,----,HUnSatLig,----,----,----,,519.19806,519.00000,0.19806
23,20,0,15,0,0,0.434782609,535.0729426,,3007856,2988603,2171390,Yes,2722616.333,,0,0,0,No,0,,0.869565217,0.652173913,,535.07294,14,0.608695652,0.7,0.933333333,CRAM,,,0.419354839,,----,----,HUnSatLig,----,----,----,,535.19667,535.00000,0.19667
23,20,0,16,0,0,0.52173913,551.0678572,,2336717,1965982,1694913,Yes,1999204,,0,0,0,No,0,,0.869565217,0.695652174,,551.06786,14,0.608695652,0.7,0.875,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,551.19528,551.00000,0.19528
23,22,0,8,0,0,-0.260869565,425.1241904,,3051667,2576469,2840065,Yes,2822733.667,,0,0,0,No,0,,0.956521739,0.347826087,,425.12419,13,0.565217391,0.590909091,1.625,CRAM,,,0.473684211,,----,----,HUnSatLig,----,----,----,,425.22249,425.00000,0.22249
23,22,0,9,0,0,-0.173913043,441.119105,,3524422,3865447,3559614,Yes,3649827.667,,0,0,0,No,0,,0.956521739,0.391304348,,441.11910,13,0.565217391,0.590909091,1.444444444,CRAM,,,0.459459459,,----,----,HUnSatLig,----,----,----,,441.22111,441.00000,0.22111
23,22,0,10,0,0,-0.086956522,457.1140196,,4776842,4306882,4277918,Yes,4453880.667,,0,0,0,No,0,,0.956521739,0.434782609,,457.11402,13,0.565217391,0.590909091,1.3,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,457.21972,457.00000,0.21972
23,22,0,11,0,0,0,473.1089342,,5409842,5036598,5105399,Yes,5183946.333,,0,0,0,No,0,,0.956521739,0.47826087,,473.10893,13,0.565217391,0.590909091,1.181818182,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,473.21833,473.00000,0.21833
23,22,0,12,0,0,0.086956522,489.1038488,,5206322,4826831,4189718,Yes,4740957,,0,0,0,No,0,,0.956521739,0.52173913,,489.10385,13,0.565217391,0.590909091,1.083333333,CRAM,,,0.411764706,,----,----,HUnSatLig,----,----,----,,489.21695,489.00000,0.21695
23,22,0,13,0,0,0.173913043,505.0987634,,4608105,4159588,4002555,Yes,4256749.333,,0,0,0,No,0,,0.956521739,0.565217391,,505.09876,13,0.565217391,0.590909091,1,CRAM,,,0.393939394,,----,----,HUnSatLig,----,----,----,,505.21556,505.00000,0.21556
23,22,0,14,0,0,0.260869565,521.093678,,3428277,3447245,3014307,Yes,3296609.667,,0,0,0,No,0,,0.956521739,0.608695652,,521.09368,13,0.565217391,0.590909091,0.928571429,CRAM,,,0.375,,----,----,HUnSatLig,----,----,----,,521.21417,521.00000,0.21417
23,22,0,15,0,0,0.347826087,537.0885926,,3051925,2454584,2275878,Yes,2594129,,0,0,0,No,0,,0.956521739,0.652173913,,537.08859,13,0.565217391,0.590909091,0.866666667,CRAM,,,0.35483871,,----,----,HUnSatLig,----,----,----,,537.21279,537.00000,0.21279
23,24,0,7,0,0,-0.434782609,411.1449258,,2875460,2321350,2765037,Yes,2653949,,0,0,0,No,0,,1.043478261,0.304347826,,411.14493,12,0.52173913,0.5,1.714285714,CRAM,,,0.435897436,,----,----,HUnSatLig,----,----,----,,411.24000,411.00000,0.24000
23,24,0,8,0,0,-0.347826087,427.1398404,,3583454,3074077,3438980,Yes,3365503.667,,0,0,0,No,0,,1.043478261,0.347826087,,427.13984,12,0.52173913,0.5,1.5,CRAM,,,0.421052632,,----,----,HUnSatLig,----,----,----,,427.23861,427.00000,0.23861
23,24,0,10,0,0,-0.173913043,459.1296696,,5426895,5648232,5340666,Yes,5471931,,0,0,0,No,0,,1.043478261,0.434782609,,459.12967,12,0.52173913,0.5,1.2,CRAM,,,0.388888889,,----,----,HUnSatLig,----,----,----,,459.23584,459.00000,0.23584
23,24,0,15,0,0,0.260869565,539.1042426,,2288050,1961521,1801290,Yes,2016953.667,,0,0,0,No,0,,1.043478261,0.652173913,,539.10424,12,0.52173913,0.5,0.8,CRAM,,,0.290322581,,----,----,HUnSatLig,----,----,----,,539.22890,539.00000,0.22890
23,26,0,6,0,0,-0.608695652,397.1656612,,2592721,2041884,2342363,Yes,2325656,,0,0,0,No,0,,1.130434783,0.260869565,,397.16566,11,0.47826087,0.423076923,1.833333333,O,,,0.4,,----,----,HUnSatLig,----,----,----,,397.25750,397.00000,0.25750
23,26,0,7,0,0,-0.52173913,413.1605758,,4100209,4194847,3778332,Yes,4024462.667,,0,0,0,No,0,,1.130434783,0.304347826,,413.16058,11,0.47826087,0.423076923,1.571428571,CRAM,,,0.384615385,,----,----,HUnSatLig,----,----,----,,413.25611,413.00000,0.25611
23,28,0,6,0,0,-0.695652174,399.1813112,,3950423,3444043,3833605,Yes,3742690.333,,0,0,0,No,0,,1.217391304,0.260869565,,399.18131,10,0.434782609,0.357142857,1.666666667,CRAM,,,0.35,,----,----,HUnSatLig,----,----,----,,399.27362,399.00000,0.27362
23,30,0,5,0,0,-0.869565217,385.2020466,,2236795,1743097,2074744,Yes,2018212,,0,0,0,No,0,,1.304347826,0.217391304,,385.20205,9,0.391304348,0.3,1.8,O,,,0.317073171,,----,----,HUnSatLig,----,----,----,,385.29112,385.00000,0.29112
23,31,1,11,0,0,-0.260869565,496.1824332,,5355129,5565300,5283411,Yes,5401280,,0,0,0,No,0,,1.347826087,0.47826087,,496.18243,9,0.391304348,0.290322581,0.818181818,CRAM,,,0.181818182,,----,----,HUnSatLig,----,----,----,,496.29717,496.00000,0.29717
23,32,0,5,0,0,-0.956521739,387.2176966,,1816550,2385083,2334288,Yes,2178640.333,,0,0,0,No,0,,1.391304348,0.217391304,,387.21770,8,0.347826087,0.25,1.6,CRAM,,,0.268292683,,----,----,HUnSatLig,----,----,----,,387.30723,387.00000,0.30723
23,32,0,6,0,0,-0.869565217,403.2126112,,4857292,5121868,4908267,Yes,4962475.667,,0,0,0,No,0,,1.391304348,0.260869565,,403.21261,8,0.347826087,0.25,1.333333333,CRAM,,,0.25,,----,----,HUnSatLig,----,----,----,,403.30585,403.00000,0.30585
23,34,0,5,0,0,-1.043478261,389.2333466,,1684786,1965161,2003471,Yes,1884472.667,,0,0,0,No,0,,1.47826087,0.217391304,,389.23335,7,0.304347826,0.205882353,1.4,CRAM,,,0.219512195,,----,----,HUnSatLig,----,----,----,,389.32335,389.00000,0.32335
23,34,0,6,0,0,-0.956521739,405.2282612,,4959926,5009435,4432291,Yes,4800550.667,,0,0,0,No,0,,1.47826087,0.260869565,,405.22826,7,0.304347826,0.205882353,1.166666667,CRAM,,,0.2,,----,----,HUnSatLig,----,----,----,,405.32196,405.00000,0.32196
24,20,0,12,0,0,0.166666667,499.0881988,,3660564,2923457,3050112,Yes,3211377.667,,0,0,0,No,0,,0.833333333,0.5,,499.08820,15,0.625,0.75,1.25,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,499.20361,499.00000,0.20361
24,20,0,13,0,0,0.25,515.0831134,,3396248,2849117,3140605,Yes,3128656.667,,0,0,0,No,0,,0.833333333,0.541666667,,515.08311,15,0.625,0.75,1.153846154,CRAM,,,0.485714286,,----,----,HUnSatLig,----,----,----,,515.20222,515.00000,0.20222
24,20,0,14,0,0,0.333333333,531.078028,,3302674,2777650,2763174,Yes,2947832.667,,0,0,0,No,0,,0.833333333,0.583333333,,531.07803,15,0.625,0.75,1.071428571,CRAM,,,0.470588235,,----,----,HUnSatLig,----,----,----,,531.20083,531.00000,0.20083
24,20,0,15,0,0,0.416666667,547.0729426,,2835937,2382819,2107566,Yes,2442107.333,,0,0,0,No,0,,0.833333333,0.625,,547.07294,15,0.625,0.75,1,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,547.19945,547.00000,0.19945
24,22,0,8,0,0,-0.25,437.1241904,,1793883,1610836,1860169,Yes,1754962.667,,0,0,0,No,0,,0.916666667,0.333333333,,437.12419,14,0.583333333,0.636363636,1.75,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,437.22527,437.00000,0.22527
24,22,0,9,0,0,-0.166666667,453.119105,,2171701,2209423,2075142,Yes,2152088.667,,0,0,0,No,0,,0.916666667,0.375,,453.11910,14,0.583333333,0.636363636,1.555555556,CRAM,,,0.487179487,,----,----,HUnSatLig,----,----,----,,453.22388,453.00000,0.22388
24,22,0,10,0,0,-0.083333333,469.1140196,,3140746,3248730,2565013,Yes,2984829.667,,0,0,0,No,0,,0.916666667,0.416666667,,469.11402,14,0.583333333,0.636363636,1.4,CRAM,,,0.473684211,,----,----,HUnSatLig,----,----,----,,469.22250,469.00000,0.22250
24,22,0,11,0,0,0,485.1089342,,3182760,3594885,3533338,Yes,3436994.333,,0,0,0,No,0,,0.916666667,0.458333333,,485.10893,14,0.583333333,0.636363636,1.272727273,CRAM,,,0.459459459,,----,----,HUnSatLig,----,----,----,,485.22111,485.00000,0.22111
24,22,0,12,0,0,0.083333333,501.1038488,,3724165,3554295,3816101,Yes,3698187,,0,0,0,No,0,,0.916666667,0.5,,501.10385,14,0.583333333,0.636363636,1.166666667,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,501.21972,501.00000,0.21972
24,22,0,13,0,0,0.166666667,517.0987634,,4016893,3571079,3589173,Yes,3725715,,0,0,0,No,0,,0.916666667,0.541666667,,517.09876,14,0.583333333,0.636363636,1.076923077,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,517.21833,517.00000,0.21833
24,22,0,14,0,0,0.25,533.093678,,3693893,3477049,3015124,Yes,3395355.333,,0,0,0,No,0,,0.916666667,0.583333333,,533.09368,14,0.583333333,0.636363636,1,CRAM,,,0.411764706,,----,----,HUnSatLig,----,----,----,,533.21695,533.00000,0.21695
24,22,0,15,0,0,0.333333333,549.0885926,,2883035,2027459,2130619,Yes,2347037.667,,0,0,0,No,0,,0.916666667,0.625,,549.08859,14,0.583333333,0.636363636,0.933333333,CRAM,,,0.393939394,,----,----,HUnSatLig,----,----,----,,549.21556,549.00000,0.21556
24,22,0,16,0,0,0.416666667,565.0835072,,2425487,1638917,1766958,Yes,1943787.333,,0,0,0,No,0,,0.916666667,0.666666667,,565.08351,14,0.583333333,0.636363636,0.875,CRAM,,,0.375,,----,----,HUnSatLig,----,----,----,,565.21417,565.00000,0.21417
24,24,0,8,0,0,-0.333333333,439.1398404,,2101840,2146783,1954181,Yes,2067601.333,,0,0,0,No,0,,1,0.333333333,,439.13984,13,0.541666667,0.541666667,1.625,CRAM,,,0.45,,----,----,HUnSatLig,----,----,----,,439.24139,439.00000,0.24139
24,24,0,9,0,0,-0.25,455.134755,,3186773,2854435,2583372,Yes,2874860,,0,0,0,No,0,,1,0.375,,455.13475,13,0.541666667,0.541666667,1.444444444,CRAM,,,0.435897436,,----,----,HUnSatLig,----,----,----,,455.24000,455.00000,0.24000
24,24,0,10,0,0,-0.166666667,471.1296696,,3965012,3449411,3923775,Yes,3779399.333,,0,0,0,No,0,,1,0.416666667,,471.12967,13,0.541666667,0.541666667,1.3,CRAM,,,0.421052632,,----,----,HUnSatLig,----,----,----,,471.23861,471.00000,0.23861
24,24,0,11,0,0,-0.083333333,487.1245842,,4381929,3784360,3498516,Yes,3888268.333,,0,0,0,No,0,,1,0.458333333,,487.12458,13,0.541666667,0.541666667,1.181818182,CRAM,,,0.405405405,,----,----,HUnSatLig,----,----,----,,487.23722,487.00000,0.23722
24,24,0,12,0,0,0,503.1194988,,4368375,4321326,4258511,Yes,4316070.667,,0,0,0,No,0,,1,0.5,,503.11950,13,0.541666667,0.541666667,1.083333333,CRAM,,,0.388888889,,----,----,HUnSatLig,----,----,----,,503.23584,503.00000,0.23584
24,24,0,13,0,0,0.083333333,519.1144134,,3968861,4028844,3631213,Yes,3876306,,0,0,0,No,0,,1,0.541666667,,519.11441,13,0.541666667,0.541666667,1,CRAM,,,0.371428571,,----,----,HUnSatLig,----,----,----,,519.23445,519.00000,0.23445
24,24,0,14,0,0,0.166666667,535.109328,,3479920,2868795,3026431,Yes,3125048.667,,0,0,0,No,0,,1,0.583333333,,535.10933,13,0.541666667,0.541666667,0.928571429,CRAM,,,0.352941176,,----,----,HUnSatLig,----,----,----,,535.23306,535.00000,0.23306
24,24,0,15,0,0,0.25,551.1042426,,3065292,2132126,1757377,Yes,2318265,,0,0,0,No,0,,1,0.625,,551.10424,13,0.541666667,0.541666667,0.866666667,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,551.23168,551.00000,0.23168
24,26,0,7,0,0,-0.5,425.1605758,,1967248,3626580,2292223,Yes,2628683.667,,0,0,0,No,0,,1.083333333,0.291666667,,425.16058,12,0.5,0.461538462,1.714285714,CRAM,,,0.414634146,,----,----,HUnSatLig,----,----,----,,425.25889,425.00000,0.25889
24,26,0,8,0,0,-0.416666667,441.1554904,,2721089,2794853,2748091,Yes,2754677.667,,0,0,0,No,0,,1.083333333,0.333333333,,441.15549,12,0.5,0.461538462,1.5,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,441.25750,441.00000,0.25750
24,26,0,9,0,0,-0.333333333,457.150405,,3704710,3900352,3950235,Yes,3851765.667,,0,0,0,No,0,,1.083333333,0.375,,457.15040,12,0.5,0.461538462,1.333333333,CRAM,,,0.384615385,,----,----,HUnSatLig,----,----,----,,457.25611,457.00000,0.25611
24,26,0,11,0,0,-0.166666667,489.1402342,,4872500,4326096,4555286,Yes,4584627.333,,0,0,0,No,0,,1.083333333,0.458333333,,489.14023,12,0.5,0.461538462,1.090909091,CRAM,,,0.351351351,,----,----,HUnSatLig,----,----,----,,489.25334,489.00000,0.25334
24,26,0,14,0,0,0.083333333,537.124978,,3026837,2714168,2404903,Yes,2715302.667,,0,0,0,No,0,,1.083333333,0.583333333,,537.12498,12,0.5,0.461538462,0.857142857,CRAM,,,0.294117647,,----,----,HUnSatLig,----,----,----,,537.24918,537.00000,0.24918
24,26,0,15,0,0,0.166666667,553.1198926,,2058678,1809267,1865922,Yes,1911289,,0,0,0,No,0,,1.083333333,0.625,,553.11989,12,0.5,0.461538462,0.8,CRAM,,,0.272727273,,----,----,HUnSatLig,----,----,----,,553.24779,553.00000,0.24779
24,28,0,7,0,0,-0.583333333,427.1762258,,3593691,2958876,2703746,Yes,3085437.667,,0,0,0,No,0,,1.166666667,0.291666667,,427.17623,11,0.458333333,0.392857143,1.571428571,CRAM,,,0.365853659,,----,----,HUnSatLig,----,----,----,,427.27500,427.00000,0.27500
24,28,0,14,0,0,0,539.140628,,1975219,1859121,2000459,Yes,1944933,,0,0,0,No,0,,1.166666667,0.583333333,,539.14063,11,0.458333333,0.392857143,0.785714286,CRAM,,,0.235294118,,----,----,HUnSatLig,----,----,----,,539.26530,539.00000,0.26530
24,30,0,6,0,0,-0.75,413.1969612,,3172978,3423776,3128092,Yes,3241615.333,,0,0,0,No,0,,1.25,0.25,,413.19696,10,0.416666667,0.333333333,1.666666667,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,413.29251,413.00000,0.29251
