C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
18,10,0,9,0,0,0.444444444,369.025205,,3288851,3367101,3960615,Yes,3538855.667,,0,0,0,No,0,,0.555555556,0.5,,369.02520,14,0.777777778,1.4,1.555555556,O,,,0.703703704,,CondAr,----,----,----,----,----,,369.11054,369.00000,0.11054
18,10,0,10,0,0,0.555555556,385.0201196,,3943746,3892944,3734605,Yes,3857098.333,,0,0,0,No,0,,0.555555556,0.555555556,,385.02012,14,0.777777778,1.4,1.4,O,,,0.692307692,,CondAr,----,----,----,----,----,,385.10915,385.00000,0.10915
18,10,0,11,0,0,0.666666667,401.0150342,,4697231,4060740,3594229,Yes,4117400,,0,0,0,No,0,,0.555555556,0.611111111,,401.01503,14,0.777777778,1.4,1.272727273,O,,,0.68,,CondAr,----,----,----,----,----,,401.10776,401.00000,0.10776
18,10,0,12,0,0,0.777777778,417.0099488,,3706969,3302019,2879778,Yes,3296255.333,,0,0,0,No,0,,0.555555556,0.666666667,,417.00995,14,0.777777778,1.4,1.166666667,O,,,0.666666667,,CondAr,----,----,----,----,----,,417.10638,417.00000,0.10638
19,10,0,8,0,0,0.315789474,365.0302904,,1592101,1621091,2058868,Yes,1757353.333,,0,0,0,No,0,,0.526315789,0.421052632,,365.03029,15,0.789473684,1.5,1.875,O,,,0.733333333,,CondAr,----,----,----,----,----,,365.11470,365.00000,0.11470
19,10,0,9,0,0,0.421052632,381.025205,,2652194,2139930,2229346,Yes,2340490,,0,0,0,No,0,,0.526315789,0.473684211,,381.02520,15,0.789473684,1.5,1.666666667,O,,,0.724137931,,CondAr,----,----,----,----,----,,381.11331,381.00000,0.11331
19,10,0,10,0,0,0.526315789,397.0201196,,3210675,2742789,2285508,Yes,2746324,,0,0,0,No,0,,0.526315789,0.526315789,,397.02012,15,0.789473684,1.5,1.5,O,,,0.714285714,,CondAr,----,----,----,----,----,,397.11192,397.00000,0.11192
19,10,0,11,0,0,0.631578947,413.0150342,,3047023,2638873,2682138,Yes,2789344.667,,0,0,0,No,0,,0.526315789,0.578947368,,413.01503,15,0.789473684,1.5,1.363636364,O,,,0.703703704,,CondAr,----,----,----,----,----,,413.11054,413.00000,0.11054
19,10,0,12,0,0,0.736842105,429.0099488,,2453283,2537948,2118914,Yes,2370048.333,,0,0,0,No,0,,0.526315789,0.631578947,,429.00995,15,0.789473684,1.5,1.25,O,,,0.692307692,,CondAr,----,----,----,----,----,,429.10915,429.00000,0.10915
19,12,0,7,0,0,0.105263158,351.0510258,,1854770,1562178,1760780,Yes,1725909.333,,0,0,0,No,0,,0.631578947,0.368421053,,351.05103,14,0.736842105,1.166666667,2,O,,,0.677419355,,CondAr,----,----,----,----,----,,351.13220,351.00000,0.13220
