C,H,N,O,S,P,,mass,,PreHW1.csv,PreHW2.csv,PreHW3.csv,Initial,AvgInitial,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
12,16,0,12,0,0,,351.0568988,,2276360,3141605,2174164,Yes,,5811514,7085753,6282627,,1.333333333,1,,351.05690,5,0.416666667,0.3125,0.416666667,O,,,-0.166666667,,----,----,HUnSatLig,----,----,----,,351.13808,351.00000,0.13808
12,20,0,10,0,0,,323.0983696,,3027414,2006647,1876155,Yes,,3474783,3227717,3224252,,1.666666667,0.833333333,,323.09837,3,0.25,0.15,0.3,O,,,-0.285714286,,----,----,----,----,SatFACarb,----,,323.17308,323.00000,0.17308
12,20,0,12,0,0,,355.0881988,,1800646,1716642,1631134,Yes,,NA,NA,NA,,1.666666667,1,,355.08820,3,0.25,0.15,0.25,O,,,-0.5,,----,----,----,----,SatFACarb,----,,355.17031,355.00000,0.17031
12,22,0,11,0,0,,341.1089342,,1766991,2130169,1471639,Yes,,1439884,1781833,1447579,,1.833333333,0.916666667,,341.10893,2,0.166666667,0.090909091,0.181818182,O,,,-0.538461538,,----,----,----,----,SatFACarb,----,,341.18781,341.00000,0.18781
13,12,0,10,0,0,,327.0357696,,1812765,2011909,1504775,Yes,,NA,NA,NA,,0.923076923,0.769230769,,327.03577,8,0.615384615,0.666666667,0.8,CRAM,,,0.375,,----,----,HUnSatLig,----,----,----,,327.11139,327.00000,0.11139
13,14,0,10,0,0,,329.0514196,,2195174,1844977,1424717,Yes,,NA,NA,NA,,1.076923077,0.769230769,,329.05142,7,0.538461538,0.5,0.7,O,,,0.25,,----,----,HUnSatLig,----,----,----,,329.12751,329.00000,0.12751
13,16,0,9,0,0,,315.072155,,11831284,7821305,6023097,Yes,,1694140,2070495,2264758,,1.230769231,0.692307692,,315.07215,6,0.461538462,0.375,0.666666667,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,315.14501,315.00000,0.14501
13,18,0,12,0,0,,365.0725488,,2102981,3010173,2054240,Yes,,7331371,9881201,8470121,,1.384615385,0.923076923,,365.07255,5,0.384615385,0.277777778,0.416666667,O,,,-0.142857143,,----,----,HUnSatLig,----,----,----,,365.15697,365.00000,0.15697
13,20,2,7,0,0,,315.1197738,,2171900,1994754,1488063,Yes,,NA,NA,NA,,1.538461538,0.538461538,,315.11977,5,0.384615385,0.25,0.714285714,O,,,0.066666667,,----,----,----,----,----,Alipat+N,,315.19264,315.00000,0.19264
13,22,0,11,0,0,,353.1089342,,1777132,1996490,1720379,Yes,,NA,NA,NA,,1.692307692,0.846153846,,353.10893,3,0.230769231,0.136363636,0.272727273,O,,,-0.333333333,,----,----,----,----,SatFACarb,----,,353.19059,353.00000,0.19059
13,24,0,10,1,0,,371.1017403,,4679151,3952518,3095622,Yes,,6475670,6401817,8077217,,1.846153846,0.769230769,,371.10174,2,0.153846154,0.083333333,0.2,O,,,-0.571428571,,----,----,----,----,SatFACarb,----,,371.18755,371.00000,0.18755
13,24,0,12,1,0,,403.0915695,,2293049,2033445,1606361,Yes,,2762046,3616693,4202845,,1.846153846,0.923076923,,403.09157,2,0.153846154,0.083333333,0.166666667,O,,,-0.833333333,,----,----,----,----,SatFACarb,----,,403.18478,403.00000,0.18478
14,10,0,9,0,0,,321.025205,,3135544,2682546,2434718,Yes,,NA,NA,NA,,0.714285714,0.642857143,,321.02520,10,0.714285714,1,1.111111111,O,,,0.578947368,,----,Aromatic,----,----,----,----,,321.09944,321.00000,0.09944
