C,H,N,O,S,P,,mass,,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,Initial,AvgInitial,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv,AvgFinal,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
12,22,0,12,0,0,,357.1038488,,23958064,33526913,37368050,Yes,31617675.67,0,0,0,0,1.833333333,1,,357.10385,2,0.166666667,0.090909091,0.166666667,O,,,-0.666666667,,----,----,----,----,SatFACarb,----,,357.18642,357,0.18642
12,22,0,12,1,0,,389.0759195,,5626825,5894508,4195256,Yes,5238863,2954342,2704141,3012062,2890181.667,1.833333333,1,,389.07592,2,0.166666667,0.090909091,0.166666667,O,,,-1,,----,----,----,----,SatFACarb,----,,389.16589,389,0.16589
12,22,0,13,1,0,,405.0708341,,6215646,6954064,5624333,Yes,6264681,1668280,1729874,1886661,1761605,1.833333333,1.083333333,,405.07083,2,0.166666667,0.090909091,0.153846154,O,,,-1.222222222,,----,----,----,----,SatFACarb,----,,405.1645,405,0.1645
13,14,0,10,0,0,,329.0514196,,3862702,3551708,3533638,Yes,3649349.333,0,0,0,0,1.076923077,0.769230769,,329.05142,7,0.538461538,0.5,0.7,O,,,0.25,,----,----,HUnSatLig,----,----,----,,329.12751,329,0.12751
13,14,0,11,0,0,,345.0463342,,4071937,3968171,3993334,Yes,4011147.333,0,0,0,0,1.076923077,0.846153846,,345.04633,7,0.538461538,0.5,0.636363636,O,,,0.2,,----,----,HUnSatLig,----,----,----,,345.12612,345,0.12612
13,14,0,12,0,0,,361.0412488,,2847854,2974548,2760697,Yes,2861033,0,0,0,0,1.076923077,0.923076923,,361.04125,7,0.538461538,0.5,0.583333333,O,,,0.142857143,,----,----,HUnSatLig,----,----,----,,361.12473,361,0.12473
13,16,0,10,0,0,,331.0670696,,4195888,3972993,3688632,Yes,3952504.333,0,0,0,0,1.230769231,0.769230769,,331.06707,6,0.461538462,0.375,0.6,O,,,0.125,,----,----,HUnSatLig,----,----,----,,331.14362,331,0.14362
13,16,0,11,0,0,,347.0619842,,4284396,3977430,2865943,Yes,3709256.333,0,0,0,0,1.230769231,0.846153846,,347.06198,6,0.461538462,0.375,0.545454545,O,,,0.066666667,,----,----,HUnSatLig,----,----,----,,347.14224,347,0.14224
13,16,0,12,0,0,,363.0568988,,4836513,4173778,3515542,Yes,4175277.667,0,0,0,0,1.230769231,0.923076923,,363.0569,6,0.461538462,0.375,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,363.14085,363,0.14085
13,16,0,13,0,0,,379.0518134,,3054063,2964752,2360044,Yes,2792953,0,0,0,0,1.230769231,1,,379.05181,6,0.461538462,0.375,0.461538462,O,,,-0.076923077,,----,----,HUnSatLig,----,----,----,,379.13946,379,0.13946
13,18,0,10,0,0,,333.0827196,,3677629,3662134,3351612,Yes,3563791.667,0,0,0,0,1.384615385,0.769230769,,333.08272,5,0.384615385,0.277777778,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,333.15974,333,0.15974
13,18,0,11,0,0,,349.0776342,,6827493,6714131,4306769,Yes,5949464.333,1894137,2473154,1942169,2103153.333,1.384615385,0.846153846,,349.07763,5,0.384615385,0.277777778,0.454545455,O,,,-0.066666667,,----,----,HUnSatLig,----,----,----,,349.15835,349,0.15835
