"","Goethite","Class","HW_PreFenton","HW_PostFenton","SW_PreFenton","SW_PostFenton"
"1","PreGoethite","AminoSugar","2.11 ± 0.1","3.26 ± 0.05","2.24 ± 0.03","4.53 ± 0.75"
"2","PreGoethite","Carb","5.26 ± 0.08","15.62 ± 0.35","4.27 ± 0.06","13.88 ± 3.38"
"3","PreGoethite","ConHC","2.08 ± 0.05","1.32 ± 0.11","1.93 ± 0.05","1.26 ± 0.26"
"4","PreGoethite","Lignin","60.11 ± 0.77","55.42 ± 0.17","57.82 ± 0.61","51.59 ± 2.13"
"5","PreGoethite","Lipid","1.99 ± 0.06","0.24 ± 0","2.25 ± 0.08","0.76 ± 0.48"
"6","PreGoethite","Protein","19.74 ± 0.68","10.87 ± 0.2","24.34 ± 0.57","17.96 ± 2.31"
"7","PreGoethite","Tannin","8.72 ± 0.12","13.27 ± 0.15","7.14 ± 0.07","10.02 ± 1.03"
"8","PreGoethite","total","100 ± 0","100 ± 0","100 ± 0","100 ± 0"
