mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PreHW1.csv,PreHW2.csv,PreHW3.csv,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv
351.0568988,351.0569,12,16,0,12,0,0,1.333333333,1,5,0.416666667,0.3125,0.416666667,O,-0.166666667,----,----,HUnSatLig,----,----,----,351.13808,351,0.13808,2276360,3141605,2174164,5811514,7085753,6282627
323.0983696,323.09837,12,20,0,10,0,0,1.666666667,0.833333333,3,0.25,0.15,0.3,O,-0.285714286,----,----,----,----,SatFACarb,----,323.17308,323,0.17308,3027414,2006647,1876155,3474783,3227717,3224252
355.0881988,355.0882,12,20,0,12,0,0,1.666666667,1,3,0.25,0.15,0.25,O,-0.5,----,----,----,----,SatFACarb,----,355.17031,355,0.17031,1800646,1716642,1631134,NA,NA,NA
341.1089342,341.10893,12,22,0,11,0,0,1.833333333,0.916666667,2,0.166666667,0.090909091,0.181818182,O,-0.538461538,----,----,----,----,SatFACarb,----,341.18781,341,0.18781,1766991,2130169,1471639,1439884,1781833,1447579
327.0357696,327.03577,13,12,0,10,0,0,0.923076923,0.769230769,8,0.615384615,0.666666667,0.8,CRAM,0.375,----,----,HUnSatLig,----,----,----,327.11139,327,0.11139,1812765,2011909,1504775,NA,NA,NA
329.0514196,329.05142,13,14,0,10,0,0,1.076923077,0.769230769,7,0.538461538,0.5,0.7,O,0.25,----,----,HUnSatLig,----,----,----,329.12751,329,0.12751,2195174,1844977,1424717,NA,NA,NA
315.072155,315.07215,13,16,0,9,0,0,1.230769231,0.692307692,6,0.461538462,0.375,0.666666667,O,0.176470588,----,----,HUnSatLig,----,----,----,315.14501,315,0.14501,11831284,7821305,6023097,1694140,2070495,2264758
365.0725488,365.07255,13,18,0,12,0,0,1.384615385,0.923076923,5,0.384615385,0.277777778,0.416666667,O,-0.142857143,----,----,HUnSatLig,----,----,----,365.15697,365,0.15697,2102981,3010173,2054240,7331371,9881201,8470121
315.1197738,315.11977,13,20,2,7,0,0,1.538461538,0.538461538,5,0.384615385,0.25,0.714285714,O,0.066666667,----,----,----,----,----,Alipat+N,315.19264,315,0.19264,2171900,1994754,1488063,NA,NA,NA
353.1089342,353.10893,13,22,0,11,0,0,1.692307692,0.846153846,3,0.230769231,0.136363636,0.272727273,O,-0.333333333,----,----,----,----,SatFACarb,----,353.19059,353,0.19059,1777132,1996490,1720379,NA,NA,NA
371.1017403,371.10174,13,24,0,10,1,0,1.846153846,0.769230769,2,0.153846154,0.083333333,0.2,O,-0.571428571,----,----,----,----,SatFACarb,----,371.18755,371,0.18755,4679151,3952518,3095622,6475670,6401817,8077217
403.0915695,403.09157,13,24,0,12,1,0,1.846153846,0.923076923,2,0.153846154,0.083333333,0.166666667,O,-0.833333333,----,----,----,----,SatFACarb,----,403.18478,403,0.18478,2293049,2033445,1606361,2762046,3616693,4202845
321.025205,321.0252,14,10,0,9,0,0,0.714285714,0.642857143,10,0.714285714,1,1.111111111,O,0.578947368,----,Aromatic,----,----,----,----,321.09944,321,0.09944,3135544,2682546,2434718,NA,NA,NA
337.0201196,337.02012,14,10,0,10,0,0,0.714285714,0.714285714,10,0.714285714,1,1,O,0.555555556,----,Aromatic,----,----,----,----,337.09805,337,0.09805,3994816,3932222,2708248,NA,NA,NA
353.0150342,353.01503,14,10,0,11,0,0,0.714285714,0.785714286,10,0.714285714,1,0.909090909,O,0.529411765,----,Aromatic,----,----,----,----,353.09666,353,0.09666,2805449,3027624,2410782,NA,NA,NA
323.040855,323.04085,14,12,0,9,0,0,0.857142857,0.642857143,9,0.642857143,0.75,1,CRAM,0.473684211,----,----,HUnSatLig,----,----,----,323.11555,323,0.11555,3495882,3425386,2882995,NA,NA,NA
339.0357696,339.03577,14,12,0,10,0,0,0.857142857,0.714285714,9,0.642857143,0.75,0.9,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,339.11417,339,0.11417,5098739,3759753,3605701,NA,NA,NA
