mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PosSW10.csv,PosSW11.csv,PosSW12.csv,PosSWGt22.csv,PosSWGt23.csv,PosSWGt24.csv
421.0658882,421.06589,33,10,0,1,0,0,0.303030303,0.03030303,29,0.878787879,2.9,29,O,0.876923077,CondAr,----,----,----,----,----,421.16325,421,0.16325,4905739,3652173,4898377,0,0,0
435.0815382,435.08154,34,12,0,1,0,0,0.352941176,0.029411765,29,0.852941176,2.416666667,29,O,0.850746269,CondAr,----,----,----,----,----,435.18214,435,0.18214,3605001,2804666,3091071,0,0,0
363.0357696,363.03577,16,12,0,10,0,0,0.75,0.625,11,0.6875,0.916666667,1.1,O,0.545454545,----,Aromatic,----,----,----,----,363.11972,363,0.11972,2529211,4661464,4789156,0,0,0
379.0306842,379.03068,16,12,0,11,0,0,0.75,0.6875,11,0.6875,0.916666667,1,O,0.523809524,----,Aromatic,----,----,----,----,379.11833,379,0.11833,3443081,5746839,5562877,0,0,0
375.0357696,375.03577,17,12,0,10,0,0,0.705882353,0.588235294,12,0.705882353,1,1.2,O,0.583333333,----,Aromatic,----,----,----,----,375.12249,375,0.12249,2137938,3776482,3768736,0,0,0
391.0306842,391.03068,17,12,0,11,0,0,0.705882353,0.647058824,12,0.705882353,1,1.090909091,O,0.565217391,----,Aromatic,----,----,----,----,391.1211,391,0.1211,2260564,3393749,4360527,0,0,0
407.0255988,407.0256,17,12,0,12,0,0,0.705882353,0.705882353,12,0.705882353,1,1,O,0.545454545,----,Aromatic,----,----,----,----,407.11972,407,0.11972,2583012,4043286,3912168,0,0,0
361.056505,361.0565,17,14,0,9,0,0,0.823529412,0.529411765,11,0.647058824,0.785714286,1.222222222,CRAM,0.52,----,Aromatic,----,----,----,----,361.13999,361,0.13999,2615666,4135508,4134218,0,0,0
373.056505,373.0565,18,14,0,9,0,0,0.777777778,0.5,12,0.666666667,0.857142857,1.333333333,CRAM,0.555555556,----,Aromatic,----,----,----,----,373.14277,373,0.14277,2245927,4553081,3425124,0,0,0
389.0514196,389.05142,18,14,0,10,0,0,0.777777778,0.555555556,12,0.666666667,0.857142857,1.2,CRAM,0.538461538,----,Aromatic,----,----,----,----,389.14138,389,0.14138,2224842,4171535,4548524,0,0,0
405.0463342,405.04633,18,14,0,11,0,0,0.777777778,0.611111111,12,0.666666667,0.857142857,1.090909091,CRAM,0.52,----,Aromatic,----,----,----,----,405.14,405,0.14,2754429,6037888,5331290,0,0,0
387.072155,387.07215,19,16,0,9,0,0,0.842105263,0.473684211,12,0.631578947,0.75,1.333333333,CRAM,0.517241379,----,Aromatic,----,----,----,----,387.16166,387,0.16166,2082085,3707182,3938799,0,0,0
323.0619842,323.06198,11,16,0,11,0,0,1.454545455,1,4,0.363636364,0.25,0.363636364,O,-0.272727273,----,----,HUnSatLig,----,----,----,323.13669,323,0.13669,7820810,2991032,4535356,0,0,0
339.0568988,339.0569,11,16,0,12,0,0,1.454545455,1.090909091,4,0.363636364,0.25,0.333333333,O,-0.4,----,----,HUnSatLig,----,----,----,339.1353,339,0.1353,4588119,1977104,2837336,0,0,0
319.0670696,319.06707,12,16,0,10,0,0,1.333333333,0.833333333,5,0.416666667,0.3125,0.5,O,0,----,----,HUnSatLig,----,----,----,319.14085,319,0.14085,4581248,2710266,3576700,0,0,0
335.0619842,335.06198,12,16,0,11,0,0,1.333333333,0.916666667,5,0.416666667,0.3125,0.454545455,O,-0.076923077,----,----,HUnSatLig,----,----,----,335.13946,335,0.13946,8062699,3637080,5393852,0,0,0
367.0518134,367.05181,12,16,0,13,0,0,1.333333333,1.083333333,5,0.416666667,0.3125,0.384615385,O,-0.272727273,----,----,HUnSatLig,----,----,----,367.13669,367,0.13669,5693534,2400757,3939432,0,0,0
329.0514196,329.05142,13,14,0,10,0,0,1.076923077,0.769230769,7,0.538461538,0.5,0.7,O,0.25,----,----,HUnSatLig,----,----,----,329.12751,329,0.12751,3450425,3220032,3623100,0,0,0
345.0463342,345.04633,13,14,0,11,0,0,1.076923077,0.846153846,7,0.538461538,0.5,0.636363636,O,0.2,----,----,HUnSatLig,----,----,----,345.12612,345,0.12612,3101171,2509101,3931448,0,0,0
315.072155,315.07215,13,16,0,9,0,0,1.230769231,0.692307692,6,0.461538462,0.375,0.666666667,O,0.176470588,----,----,HUnSatLig,----,----,----,315.14501,315,0.14501,2958119,3911280,3472107,0,0,0
331.0670696,331.06707,13,16,0,10,0,0,1.230769231,0.769230769,6,0.461538462,0.375,0.6,O,0.125,----,----,HUnSatLig,----,----,----,331.14362,331,0.14362,3904445,2935269,4123227,0,0,0
347.0619842,347.06198,13,16,0,11,0,0,1.230769231,0.846153846,6,0.461538462,0.375,0.545454545,O,0.066666667,----,----,HUnSatLig,----,----,----,347.14224,347,0.14224,4241913,2547554,3524436,0,0,0
363.0568988,363.0569,13,16,0,12,0,0,1.230769231,0.923076923,6,0.461538462,0.375,0.5,O,0,----,----,HUnSatLig,----,----,----,363.14085,363,0.14085,4840386,2240223,3887019,0,0,0
333.0827196,333.08272,13,18,0,10,0,0,1.384615385,0.769230769,5,0.384615385,0.277777778,0.5,O,0,----,----,HUnSatLig,----,----,----,333.15974,333,0.15974,4131664,2363290,3474440,0,0,0
349.0776342,349.07763,13,18,0,11,0,0,1.384615385,0.846153846,5,0.384615385,0.277777778,0.454545455,O,-0.066666667,----,----,HUnSatLig,----,----,----,349.15835,349,0.15835,7343121,4220843,5742464,0,0,0
381.0674634,381.06746,13,18,0,13,0,0,1.384615385,1,5,0.384615385,0.277777778,0.384615385,O,-0.230769231,----,----,HUnSatLig,----,----,----,381.15558,381,0.15558,11703190,4175588,6918174,0,0,0
339.0357696,339.03577,14,12,0,10,0,0,0.857142857,0.714285714,9,0.642857143,0.75,0.9,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,339.11417,339,0.11417,2621522,3514123,3969875,0,0,0
355.0306842,355.03068,14,12,0,11,0,0,0.857142857,0.785714286,9,0.642857143,0.75,0.818181818,CRAM,0.411764706,----,----,HUnSatLig,----,----,----,355.11278,355,0.11278,3557008,3997895,4655670,0,0,0
371.0255988,371.0256,14,12,0,12,0,0,0.857142857,0.857142857,9,0.642857143,0.75,0.75,O,0.375,----,----,HUnSatLig,----,----,----,371.11139,371,0.11139,3447012,3349238,3880207,0,0,0
325.056505,325.0565,14,14,0,9,0,0,1,0.642857143,8,0.571428571,0.571428571,0.888888889,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,325.13167,325,0.13167,3155297,3867948,3858351,0,0,0
341.0514196,341.05142,14,14,0,10,0,0,1,0.714285714,8,0.571428571,0.571428571,0.8,CRAM,0.333333333,----,----,HUnSatLig,----,----,----,341.13028,341,0.13028,5022756,5107463,5425981,0,0,0
357.0463342,357.04633,14,14,0,11,0,0,1,0.785714286,8,0.571428571,0.571428571,0.727272727,O,0.294117647,----,----,HUnSatLig,----,----,----,357.1289,357,0.1289,6633688,5962054,7269518,0,0,0
373.0412488,373.04125,14,14,0,12,0,0,1,0.857142857,8,0.571428571,0.571428571,0.666666667,O,0.25,----,----,HUnSatLig,----,----,----,373.12751,373,0.12751,5995299,4542836,6041440,0,0,0
359.0619842,359.06198,14,16,0,11,0,0,1.142857143,0.785714286,7,0.5,0.4375,0.636363636,O,0.176470588,----,----,HUnSatLig,----,----,----,359.14501,359,0.14501,8114981,6052813,8103661,0,0,0
375.0568988,375.0569,14,16,0,12,0,0,1.142857143,0.857142857,7,0.5,0.4375,0.583333333,O,0.125,----,----,HUnSatLig,----,----,----,375.14363,375,0.14363,6680920,5089256,5831078,0,0,0
361.0776342,361.07763,14,18,0,11,0,0,1.285714286,0.785714286,6,0.428571429,0.333333333,0.545454545,O,0.058823529,----,----,HUnSatLig,----,----,----,361.16113,361,0.16113,6501752,4942427,6773072,0,0,0
377.0725488,377.07255,14,18,0,12,0,0,1.285714286,0.857142857,6,0.428571429,0.333333333,0.5,O,0,----,----,HUnSatLig,----,----,----,377.15974,377,0.15974,7362431,3948112,5500897,0,0,0
393.0674634,393.06746,14,18,0,13,0,0,1.285714286,0.928571429,6,0.428571429,0.333333333,0.461538462,O,-0.066666667,----,----,HUnSatLig,----,----,----,393.15835,393,0.15835,5542347,3186312,4264674,0,0,0
411.078028,411.07803,14,20,0,14,0,0,1.428571429,1,5,0.357142857,0.25,0.357142857,O,-0.285714286,----,----,HUnSatLig,----,----,----,411.17308,411,0.17308,10277955,3848913,5737117,0,0,0
351.0357696,351.03577,15,12,0,10,0,0,0.8,0.666666667,10,0.666666667,0.833333333,1,CRAM,0.5,----,----,HUnSatLig,----,----,----,351.11694,351,0.11694,3369512,4704756,4789673,0,0,0
367.0306842,367.03068,15,12,0,11,0,0,0.8,0.733333333,10,0.666666667,0.833333333,0.909090909,CRAM,0.473684211,----,----,HUnSatLig,----,----,----,367.11555,367,0.11555,4690008,5636590,6664290,0,0,0
383.0255988,383.0256,15,12,0,12,0,0,0.8,0.8,10,0.666666667,0.833333333,0.833333333,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,383.11417,383,0.11417,4265340,4623623,5250584,0,0,0
337.056505,337.0565,15,14,0,9,0,0,0.933333333,0.6,9,0.6,0.642857143,1,CRAM,0.428571429,----,----,HUnSatLig,----,----,----,337.13444,337,0.13444,3220632,4380971,4496258,0,0,0
353.0514196,353.05142,15,14,0,10,0,0,0.933333333,0.666666667,9,0.6,0.642857143,0.9,CRAM,0.4,----,----,HUnSatLig,----,----,----,353.13306,353,0.13306,5424220,6754397,7396336,0,0,0
369.0463342,369.04633,15,14,0,11,0,0,0.933333333,0.733333333,9,0.6,0.642857143,0.818181818,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,369.13167,369,0.13167,7818918,9211003,10441409,0,0,0
385.0412488,385.04125,15,14,0,12,0,0,0.933333333,0.8,9,0.6,0.642857143,0.75,O,0.333333333,----,----,HUnSatLig,----,----,----,385.13028,385,0.13028,6486875,6086437,7377933,0,0,0
401.0361634,401.03616,15,14,0,13,0,0,0.933333333,0.866666667,9,0.6,0.642857143,0.692307692,O,0.294117647,----,----,HUnSatLig,----,----,----,401.1289,401,0.1289,4134449,3481549,4978628,0,0,0
387.0568988,387.0569,15,16,0,12,0,0,1.066666667,0.8,8,0.533333333,0.5,0.666666667,O,0.222222222,----,----,HUnSatLig,----,----,----,387.1464,387,0.1464,8016162,7508266,9436651,0,0,0
403.0518134,403.05181,15,16,0,13,0,0,1.066666667,0.866666667,8,0.533333333,0.5,0.615384615,O,0.176470588,----,----,HUnSatLig,----,----,----,403.14501,403,0.14501,5176045,3517630,5423268,0,0,0
389.0725488,389.07255,15,18,0,12,0,0,1.2,0.8,7,0.466666667,0.388888889,0.583333333,O,0.111111111,----,----,HUnSatLig,----,----,----,389.16252,389,0.16252,8213199,6518548,7573425,0,0,0
405.0674634,405.06746,15,18,0,13,0,0,1.2,0.866666667,7,0.466666667,0.388888889,0.538461538,O,0.058823529,----,----,HUnSatLig,----,----,----,405.16113,405,0.16113,5222270,3288961,4462940,0,0,0
423.078028,423.07803,15,20,0,14,0,0,1.333333333,0.933333333,6,0.4,0.3,0.428571429,O,-0.125,----,----,HUnSatLig,----,----,----,423.17586,423,0.17586,7258753,2996702,4321774,0,0,0
386.120502,386.1205,15,21,3,9,0,0,1.4,0.6,7,0.466666667,0.333333333,0.777777778,CRAM,0.133333333,----,----,HUnSatLig,----,----,----,386.20979,386,0.20979,3394129,3144253,3976464,0,0,0
441.0885926,441.08859,15,22,0,15,0,0,1.466666667,1,5,0.333333333,0.227272727,0.333333333,O,-0.333333333,----,----,HUnSatLig,----,----,----,441.19059,441,0.19059,8256361,2976523,5674065,0,0,0
395.0255988,395.0256,16,12,0,12,0,0,0.75,0.75,11,0.6875,0.916666667,0.916666667,O,0.5,----,----,HUnSatLig,----,----,----,395.11694,395,0.11694,3084052,4766730,5813319,0,0,0
349.056505,349.0565,16,14,0,9,0,0,0.875,0.5625,10,0.625,0.714285714,1.111111111,CRAM,0.47826087,----,----,HUnSatLig,----,----,----,349.13722,349,0.13722,2307595,4757413,4800378,0,0,0
365.0514196,365.05142,16,14,0,10,0,0,0.875,0.625,10,0.625,0.714285714,1,CRAM,0.454545455,----,----,HUnSatLig,----,----,----,365.13583,365,0.13583,5371408,7231338,7456265,0,0,0
381.0463342,381.04633,16,14,0,11,0,0,0.875,0.6875,10,0.625,0.714285714,0.909090909,CRAM,0.428571429,----,----,HUnSatLig,----,----,----,381.13445,381,0.13445,6207376,8860382,9846808,0,0,0
397.0412488,397.04125,16,14,0,12,0,0,0.875,0.75,10,0.625,0.714285714,0.833333333,CRAM,0.4,----,----,HUnSatLig,----,----,----,397.13306,397,0.13306,5791813,7575924,8430998,0,0,0
413.0361634,413.03616,16,14,0,13,0,0,0.875,0.8125,10,0.625,0.714285714,0.769230769,O,0.368421053,----,----,HUnSatLig,----,----,----,413.13167,413,0.13167,4424766,4372213,5585604,0,0,0
335.0772404,335.07724,16,16,0,8,0,0,1,0.5,9,0.5625,0.5625,1.125,CRAM,0.416666667,----,----,HUnSatLig,----,----,----,335.15472,335,0.15472,2745326,3845468,3668415,0,0,0
399.0568988,399.0569,16,16,0,12,0,0,1,0.75,9,0.5625,0.5625,0.75,O,0.3,----,----,HUnSatLig,----,----,----,399.14917,399,0.14917,9611600,9865911,10991298,0,0,0
