mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PreSW4.csv,PreSW5.csv,PreSW6.csv,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv
351.0568988,351.0569,12,16,0,12,0,0,1.333333333,1,5,0.416666667,0.3125,0.416666667,O,-0.166666667,----,----,HUnSatLig,----,----,----,351.13808,351,0.13808,2094388,2063171,2137102,5946271,5492242,5158689
321.0827196,321.08272,12,18,0,10,0,0,1.5,0.833333333,4,0.333333333,0.222222222,0.4,O,-0.142857143,----,----,----,----,SatFACarb,----,321.15697,321,0.15697,NA,NA,NA,1948631,2093288,1931867
369.0674634,369.06746,12,18,0,13,0,0,1.5,1.083333333,4,0.333333333,0.222222222,0.307692308,O,-0.454545455,----,----,----,----,SatFACarb,----,369.1528,369,0.1528,2643235,3711689,2520371,7255319,6162112,6103996
323.0983696,323.09837,12,20,0,10,0,0,1.666666667,0.833333333,3,0.25,0.15,0.3,O,-0.285714286,----,----,----,----,SatFACarb,----,323.17308,323,0.17308,2114022,2421934,2394751,2672001,1977955,1848312
339.0932842,339.09328,12,20,0,11,0,0,1.666666667,0.916666667,3,0.25,0.15,0.272727273,O,-0.384615385,----,----,----,----,SatFACarb,----,339.17169,339,0.17169,1657910,2013595,2270569,1480559,2130387,1835624
341.1089342,341.10893,12,22,0,11,0,0,1.833333333,0.916666667,2,0.166666667,0.090909091,0.181818182,O,-0.538461538,----,----,----,----,SatFACarb,----,341.18781,341,0.18781,1683534,1761906,1619815,NA,NA,NA
325.0201196,325.02012,13,10,0,10,0,0,0.769230769,0.769230769,9,0.692307692,0.9,0.9,O,0.5,----,----,HUnSatLig,----,----,----,325.09528,325,0.09528,1783353,1671958,1596416,NA,NA,NA
327.0357696,327.03577,13,12,0,10,0,0,0.923076923,0.769230769,8,0.615384615,0.666666667,0.8,CRAM,0.375,----,----,HUnSatLig,----,----,----,327.11139,327,0.11139,1932976,1799834,1869983,NA,NA,NA
343.0306842,343.03068,13,12,0,11,0,0,0.923076923,0.846153846,8,0.615384615,0.666666667,0.727272727,O,0.333333333,----,----,HUnSatLig,----,----,----,343.11,343,0.11,1442661,1897791,1829210,NA,NA,NA
313.056505,313.0565,13,14,0,9,0,0,1.076923077,0.692307692,7,0.538461538,0.5,0.777777778,CRAM,0.294117647,----,----,HUnSatLig,----,----,----,313.12889,313,0.12889,1607667,2094316,1556569,NA,NA,NA
329.0514196,329.05142,13,14,0,10,0,0,1.076923077,0.769230769,7,0.538461538,0.5,0.7,O,0.25,----,----,HUnSatLig,----,----,----,329.12751,329,0.12751,2126907,2135593,2135628,NA,NA,NA
315.072155,315.07215,13,16,0,9,0,0,1.230769231,0.692307692,6,0.461538462,0.375,0.666666667,O,0.176470588,----,----,HUnSatLig,----,----,----,315.14501,315,0.14501,8896774,9570611,9098673,1668141,1867198,2322128
331.0670696,331.06707,13,16,0,10,0,0,1.230769231,0.769230769,6,0.461538462,0.375,0.6,O,0.125,----,----,HUnSatLig,----,----,----,331.14362,331,0.14362,2823130,3245252,3575301,NA,NA,NA
365.0725488,365.07255,13,18,0,12,0,0,1.384615385,0.923076923,5,0.384615385,0.277777778,0.416666667,O,-0.142857143,----,----,HUnSatLig,----,----,----,365.15697,365,0.15697,1697077,2014831,1621889,6186076,5545505,5594937
383.0831134,383.08311,13,20,0,13,0,0,1.538461538,1,4,0.307692308,0.2,0.307692308,O,-0.384615385,----,----,----,----,SatFACarb,----,383.1717,383,0.1717,NA,NA,NA,2436696,2120170,2177551
315.1197738,315.11977,13,20,2,7,0,0,1.538461538,0.538461538,5,0.384615385,0.25,0.714285714,O,0.066666667,----,----,----,----,----,Alipat+N,315.19264,315,0.19264,1555469,1654075,1801657,NA,NA,NA
314.1357582,314.13576,13,21,3,6,0,0,1.615384615,0.461538462,5,0.384615385,0.238095238,0.833333333,CRAM,0.071428571,----,----,----,----,----,Alipat+N,314.2084,314,0.2084,NA,NA,NA,2192510,2257697,1688612
390.12665,390.12665,13,21,5,9,0,0,1.615384615,0.692307692,6,0.461538462,0.285714286,0.666666667,O,-0.285714286,----,----,----,----,SatFACarb,----,390.21686,390,0.21686,NA,NA,NA,3001008,2494563,2507217
353.1089342,353.10893,13,22,0,11,0,0,1.692307692,0.846153846,3,0.230769231,0.136363636,0.272727273,O,-0.333333333,----,----,----,----,SatFACarb,----,353.19059,353,0.19059,2170870,2153068,2039910,NA,NA,NA
369.1038488,369.10385,13,22,0,12,0,0,1.692307692,0.923076923,3,0.230769231,0.136363636,0.25,O,-0.428571429,----,----,----,----,SatFACarb,----,369.1892,369,0.1892,2144049,1776339,1951294,NA,NA,NA
316.1514082,316.15141,13,23,3,6,0,0,1.769230769,0.461538462,4,0.307692308,0.173913043,0.666666667,O,-0.071428571,----,----,----,----,----,Alipat+N,316.22451,316,0.22451,1382815,1497575,1372270,NA,NA,NA
307.1398404,307.13984,13,24,0,8,0,0,1.846153846,0.615384615,2,0.153846154,0.083333333,0.25,O,-0.222222222,----,----,----,----,SatFACarb,----,307.21086,307,0.21086,2348052,3020894,2834087,3833777,5052873,4194926
323.134755,323.13475,13,24,0,9,0,0,1.846153846,0.692307692,2,0.153846154,0.083333333,0.222222222,O,-0.294117647,----,----,----,----,SatFACarb,----,323.20948,323,0.20948,NA,NA,NA,2872712,2785386,2546176
371.1017403,371.10174,13,24,0,10,1,0,1.846153846,0.769230769,2,0.153846154,0.083333333,0.2,O,-0.571428571,----,----,----,----,SatFACarb,----,371.18755,371,0.18755,2666019,2698488,2717070,6062964,5287186,6590971
403.0915695,403.09157,13,24,0,12,1,0,1.846153846,0.923076923,2,0.153846154,0.083333333,0.166666667,O,-0.833333333,----,----,----,----,SatFACarb,----,403.18478,403,0.18478,NA,NA,NA,2270919,3085059,2463887
349.1646291,349.16463,13,27,4,5,0,1,2.076923077,0.384615385,3,0.230769231,0.111111111,0.6,O,-0.363636364,----,----,----,----,----,Alipat+N,349.24537,349,0.24537,3322558,3334478,3287021,NA,NA,NA
351.1802791,351.18028,13,29,4,5,0,1,2.230769231,0.384615385,2,0.153846154,0.068965517,0.4,O,-0.545454545,----,----,----,----,----,Alipat+N,351.26148,351,0.26148,NA,NA,NA,5202883,5295157,4897861
321.025205,321.0252,14,10,0,9,0,0,0.714285714,0.642857143,10,0.714285714,1,1.111111111,O,0.578947368,----,Aromatic,----,----,----,----,321.09944,321,0.09944,2843786,2863924,2268653,NA,NA,NA
337.0201196,337.02012,14,10,0,10,0,0,0.714285714,0.714285714,10,0.714285714,1,1,O,0.555555556,----,Aromatic,----,----,----,----,337.09805,337,0.09805,3404075,3405764,3133803,NA,NA,NA
353.0150342,353.01503,14,10,0,11,0,0,0.714285714,0.785714286,10,0.714285714,1,0.909090909,O,0.529411765,----,Aromatic,----,----,----,----,353.09666,353,0.09666,2558421,2775891,2911819,NA,NA,NA
307.0459404,307.04594,14,12,0,8,0,0,0.857142857,0.571428571,9,0.642857143,0.75,1.125,CRAM,0.5,----,----,HUnSatLig,----,----,----,307.11694,307,0.11694,1733641,1736272,1545368,NA,NA,NA
323.040855,323.04085,14,12,0,9,0,0,0.857142857,0.642857143,9,0.642857143,0.75,1,CRAM,0.473684211,----,----,HUnSatLig,----,----,----,323.11555,323,0.11555,3351004,3510435,3502452,NA,NA,NA
339.0357696,339.03577,14,12,0,10,0,0,0.857142857,0.714285714,9,0.642857143,0.75,0.9,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,339.11417,339,0.11417,4127015,4361102,5111131,NA,NA,NA
355.0306842,355.03068,14,12,0,11,0,0,0.857142857,0.785714286,9,0.642857143,0.75,0.818181818,CRAM,0.411764706,----,----,HUnSatLig,----,----,----,355.11278,355,0.11278,3782813,3921786,3432097,NA,NA,NA
371.0255988,371.0256,14,12,0,12,0,0,0.857142857,0.857142857,9,0.642857143,0.75,0.75,O,0.375,----,----,HUnSatLig,----,----,----,371.11139,371,0.11139,1919494,1733347,2004343,NA,NA,NA
309.0615904,309.06159,14,14,0,8,0,0,1,0.571428571,8,0.571428571,0.571428571,1,CRAM,0.4,----,----,HUnSatLig,----,----,----,309.13306,309,0.13306,2608888,2772861,2614736,NA,NA,NA
325.056505,325.0565,14,14,0,9,0,0,1,0.642857143,8,0.571428571,0.571428571,0.888888889,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,325.13167,325,0.13167,4354880,3850269,4354311,NA,NA,NA
341.0514196,341.05142,14,14,0,10,0,0,1,0.714285714,8,0.571428571,0.571428571,0.8,CRAM,0.333333333,----,----,HUnSatLig,----,----,----,341.13028,341,0.13028,4495678,4510053,4323160,NA,NA,NA
357.0463342,357.04633,14,14,0,11,0,0,1,0.785714286,8,0.571428571,0.571428571,0.727272727,O,0.294117647,----,----,HUnSatLig,----,----,----,357.1289,357,0.1289,3565942,3762599,4216062,NA,NA,NA
