Mass,Soil_1,Soil_2,Soil_3,Soil_13,Soil_14,Soil_15,Soil_7,Soil_8,Soil_9,Soil_19,Soil_20,Soil_21,Soil_4,Soil_5,Soil_6,Soil_16,Soil_17,Soil_18,Soil_10,Soil_11,Soil_12,Soil_22,Soil_23,Soil_24
283.2642528,3375622,1616913,1613036,3046059,2971362,2284073,4230211,5302562,3803694,6326198,4867626,4247663,4850208,4134056,3731742,3233218,3535825,3295305,2994558,3203745,4121537,7311424,6491348,6210535
309.1707466,1948730,1693386,1657914,4519486,4273079,4184300,2713108,1453185,2039092,7020018,5906807,5555914,3214341,3499917,2861537,5949702,8800000,5937598,2087934,2886407,2317938,11051843,7682548,9080339
311.0772404,2497377,2367511,1743104,0,0,0,1833761,2175636,2042897,0,0,0,2318321,2656435,2683666,1468498,1527596,1539588,2439417,2127895,2276231,1674025,1479204,1730411
311.1136258,3010407,2412830,1822468,2872918,2531081,3086877,2282022,2541465,2637589,3906906,3967118,4265966,3217654,3056312,3628312,4520024,4176434,4182794,3989758,3645468,4036236,7249965,5317418,7434098
311.1500112,2153837,1415972,1558279,2954075,2789647,2781731,2058028,1364895,1508122,3737952,3266195,3715060,2904827,2798270,2674973,4431455,4394040,4162321,2226435,2512929,2154386,5729330,5957936,6729592
311.1686381,7529840,9927976,5528073,19527518,17826579,11620902,9396526,20356001,14340892,35760996,37292694,22367223,7463677,6942401,8354593,21191266,31312955,27056916,16507654,15619108,15563925,67202100,30236467,50318204
313.0928904,2605223,2110085,1643738,0,0,0,2922566,3126466,2225156,2270421,2424758,2107171,2678264,2126833,2232415,2205629,2194548,2335592,3591693,2978112,2664631,2887971,2645104,3054818
313.1292758,2484397,2171531,1669598,2836615,2482804,2786664,2905163,2808520,2573321,5305564,5721019,5046568,3006460,3646455,3319397,4128195,4241786,4210798,4480530,4471110,4730812,11263272,9131126,11594985
313.1656612,2996915,2059154,1652450,3438221,4276347,4049774,0,0,0,4842723,3877313,4955438,3931649,4426237,3743851,6610890,7626112,6310005,1674264,2774347,2400194,7319852,8497276,8478960
314.208529,2208353,2161493,1677142,4500273,4228412,4493344,0,0,0,2010544,2224994,3156949,2196622,1988518,1811740,3838091,4565549,3639090,0,0,0,1766065,3428652,3060151
315.072155,11831284,7821305,6023097,1694140,2070495,2264758,2530414,2835446,2750717,0,0,0,8896774,9570611,9098673,1668141,1867198,2322128,2958119,3911280,3472107,0,0,0
315.1449258,2898433,1824775,1479874,2955720,2921452,2756291,2282105,2091010,1800710,5484138,5320949,5210734,3390224,3347263,2685117,4419899,4302027,3882462,3402545,3224700,3986679,8198699,8306125,9711212
315.1813112,2801671,2637326,1879750,4702670,3920371,4837065,0,0,0,4749426,3142651,4365428,4038933,4900165,4326340,7683394,8685265,8045029,1523767,3195521,1858557,8122927,12093907,10596979
