mass,PosSW10.csv,PosSW11.csv,PosSW12.csv,PosSW22.csv,PosSW23.csv,PosSW24.csv
421.0658882,4905739,3652173,4898377,0,0,0
435.0815382,3605001,2804666,3091071,0,0,0
363.0357696,2529211,4661464,4789156,0,0,0
379.0306842,3443081,5746839,5562877,0,0,0
375.0357696,2137938,3776482,3768736,0,0,0
391.0306842,2260564,3393749,4360527,0,0,0
407.0255988,2583012,4043286,3912168,0,0,0
361.056505,2615666,4135508,4134218,0,0,0
373.056505,2245927,4553081,3425124,0,0,0
389.0514196,2224842,4171535,4548524,0,0,0
405.0463342,2754429,6037888,5331290,0,0,0
387.072155,2082085,3707182,3938799,0,0,0
323.0619842,7820810,2991032,4535356,0,0,0
339.0568988,4588119,1977104,2837336,0,0,0
319.0670696,4581248,2710266,3576700,0,0,0
335.0619842,8062699,3637080,5393852,0,0,0
367.0518134,5693534,2400757,3939432,0,0,0
329.0514196,3450425,3220032,3623100,0,0,0
345.0463342,3101171,2509101,3931448,0,0,0
315.072155,2958119,3911280,3472107,0,0,0
331.0670696,3904445,2935269,4123227,0,0,0
347.0619842,4241913,2547554,3524436,0,0,0
363.0568988,4840386,2240223,3887019,0,0,0
333.0827196,4131664,2363290,3474440,0,0,0
349.0776342,7343121,4220843,5742464,0,0,0
381.0674634,11703190,4175588,6918174,0,0,0
339.0357696,2621522,3514123,3969875,0,0,0
355.0306842,3557008,3997895,4655670,0,0,0
371.0255988,3447012,3349238,3880207,0,0,0
325.056505,3155297,3867948,3858351,0,0,0
341.0514196,5022756,5107463,5425981,0,0,0
357.0463342,6633688,5962054,7269518,0,0,0
373.0412488,5995299,4542836,6041440,0,0,0
359.0619842,8114981,6052813,8103661,0,0,0
375.0568988,6680920,5089256,5831078,0,0,0
361.0776342,6501752,4942427,6773072,0,0,0
377.0725488,7362431,3948112,5500897,0,0,0
393.0674634,5542347,3186312,4264674,0,0,0
411.078028,10277955,3848913,5737117,0,0,0
351.0357696,3369512,4704756,4789673,0,0,0
367.0306842,4690008,5636590,6664290,0,0,0
383.0255988,4265340,4623623,5250584,0,0,0
337.056505,3220632,4380971,4496258,0,0,0
353.0514196,5424220,6754397,7396336,0,0,0
369.0463342,7818918,9211003,10441409,0,0,0
385.0412488,6486875,6086437,7377933,0,0,0
401.0361634,4134449,3481549,4978628,0,0,0
