"","Mass","HW","SW"
"143",337.0929,6672751.33333333,6767493
"144",337.114,1929497.5,
"145",337.1293,5932067.66666667,7623224.33333333
"146",337.1327,4739791,
"147",337.1656,5383212.66666667,7139563.66666667
"148",337.202,3113522.5,5570462.66666667
"149",338.1357,,1651358
"150",338.1721,3030065.33333333,3023154.66666667
"151",339.0358,4154731,4533082.66666667
"152",339.051,1920452.33333333,1751236.5
"153",339.0722,6205642,6839652
"154",339.0874,1676749,1584231.33333333
"155",339.0933,2168015,1980691.33333333
"156",339.1085,6107518.33333333,7190551.33333333
"157",339.1449,6518664,8370549.66666667
"158",339.1813,5663292.66666667,7531220
"159",339.2177,1935370,2212743.66666667
"160",340.115,1865850.5,1758053.5
"161",340.1514,1816472,1787010
"162",340.1878,6037324.33333333,5233614.66666667
"163",340.2242,3375617,2533250
"164",341.0303,2659636.33333333,2127267.66666667
"165",341.0514,3871973,4442963.66666667
"166",341.0667,2674409.33333333,2612567.33333333
"167",341.0878,6358084,6498140.66666667
"168",341.1031,2227016.66666667,2635275.33333333
"169",341.1089,1789599.66666667,1688418.33333333
"170",341.1242,6762233.33333333,8791227.66666667
"171",341.1395,1928621,1976819.5
"172",341.1606,6280622,8634906
"173",341.197,6834275,8726392.66666667
"174",341.2082,1787649.5,
"175",342.1307,2817727,2455657.33333333
"176",342.1671,6244382.33333333,5910301.33333333
"177",342.2398,5086942,3857371
"178",343.0096,2532112.33333333,1892431.33333333
"179",343.0307,,1723220.66666667
"180",343.046,3645552,3870894
"181",343.0671,4117451.66666667,4348595.66666667
"182",343.0823,3749499,4010338.66666667
"183",343.1035,4448726.33333333,5456914.66666667
"184",343.1187,3394352,3708097
"185",343.1399,6041227.33333333,8563740.33333333
"186",343.1511,2130063,2071071
"187",343.1551,2367717.33333333,2874571
"188",343.1762,5523435.66666667,6349862
"189",343.2126,12166134,13885828.6666667
"190",344.1463,2411218.5,2141139
"191",344.1827,9331645.33333333,9843335.66666667
"192",344.2191,3874760,3783655
"193",345.0252,4263609.33333333,3803841.66666667
"194",345.0464,1594227.5,1570195
"195",345.0616,5500441.33333333,5472459
"196",345.0827,3082101.33333333,2882598.33333333
"197",345.098,5348217.66666667,5610709
"198",345.1191,2736597.66666667,4265861.66666667
"199",345.1304,2603054.33333333,2761779.33333333
"200",345.1344,4837253,6320009.66666667
"201",345.1555,12911499.3333333,28900922.3333333
"202",345.1708,3944506.33333333,7562814.33333333
"203",345.1919,3782891.66666667,4279705.66666667
"204",345.2283,15989665.3333333,18106617
"205",346.0568,1742398.5,
"206",346.162,4598292.33333333,5062139
"207",347.0045,2053754.5,1729171.5
"208",347.0409,6201126,6299718.33333333
"209",347.0773,7265414.33333333,7559249
"210",347.0984,6340407.66666667,9042348
"211",347.1136,5841383,6276870
"212",347.1348,1889262,2540214.33333333
"213",347.15,5777565.33333333,7446288
"214",347.1711,6157134.66666667,14747755.6666667
"215",347.1864,4205736.66666667,11496901
"216",347.2075,2117210,2861344.33333333
"217",347.2439,13572966,13352405
"218",348.0725,1806444.66666667,
"219",348.1088,1610160.5,
"220",349.0201,4552436,4565971.33333333
"221",349.0565,8474709.33333333,8759262.33333333
"222",349.0929,7871243.66666667,8990014
"223",349.1041,1943879,
"224",349.114,,1510127
"225",349.1293,8104045,8909128.66666667
"226",349.1405,1601136.66666667,
"227",349.1504,,2595150.66666667
"228",349.1657,6960931.33333333,10348542
"229",349.1868,1979178.33333333,5955929.66666667
"230",349.2021,5119791.33333333,21937502
"231",350.0882,2178727.66666667,1713304
"232",350.1722,2299844,1845456.33333333
"233",350.9994,1571938,
"234",351.0358,6986809.33333333,7487355.66666667
"235",351.051,2235124,1725909.33333333
"236",351.0569,2530709.66666667,2098220.33333333
"237",351.0722,9765616,10558000.6666667
"238",351.0933,,1583852
"239",351.1086,8705788.33333333,10256273
"240",351.1297,2398864,2504429
"241",351.1449,9521587.33333333,11221574.6666667
"242",351.1661,,3029068.66666667
"243",351.1813,6759189,12244220
"244",351.2177,3838241,14094257.3333333
"245",352.0674,1824865,
"246",352.1038,1902071.66666667,1607290.5
"247",352.1514,2092893,1732827
"248",353.015,2747951.66666667,2748710.33333333
"249",353.0303,2424543.66666667,1850069.33333333
"250",353.0514,8765159,9035569.33333333
"251",353.0667,2245527,2414731.33333333
"252",353.0878,9980659.33333333,10859665.6666667
"253",353.1031,1620814,1803073.33333333
