Forest,fenton_loss,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
HW,gained,148,504,52,182,6,24,46,454,18
HW,lost,14,18,348,772,130,NA,220,22,16
HW,conserved,94,254,130,1252,12,2,308,342,20
SW,gained,134,450,24,120,16,22,44,288,14
SW,lost,20,12,264,684,110,2,238,12,2
SW,conserved,116,250,110,1112,30,2,378,296,8
