Mass,C,H,O,N,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,nomass,CalcMass,KM_CH2,KMD_CH2,HC,OC,N.C,DBE,psi,psi_molc,DBE.C,DBE.H,DBE.O,AI,AI_0,NOSC
255.233,16,32,2,0,0,0,0,CHO,Lipid,256.24023146688,-0.00466546575244564,256.24006,256.24006,255.95411133528,0.0458886647197971,2,0.125,0,1,92,5.75,0.0625,0.03125,0.5,-0.0714285714285714,0,-1.75
281.1395,15,22,5,0,0,0,0,CHO,Lignin,282.14676396688,-0.142302464929136,282.14659,282.14659,281.831716369652,0.16828363034756,1.46666666666667,0.333333333333333,0,5,72,4.8,0.333333333333333,0.227272727272727,1,0,0,-0.7999999999999998
281.2486,18,34,2,0,0,0,0,CHO,Lipid,282.25588546688,-0.0181795322653217,282.2557,282.2557,281.940716023611,0.0592839763892812,1.88888888888889,0.111111111111111,0,2,102,5.66666666666667,0.111111111111111,0.0588235294117647,1,0,0,-1.666666666666667
283.1551,15,24,5,0,0,0,0,CHO,Protein,284.16241146688,-0.132269358777146,284.16223,284.16223,283.845113179647,0.154886820352999,1.6,0.333333333333333,0,4,74,4.93333333333333,0.266666666666667,0.166666666666667,0.8,-0.1,0,-0.9333333333333336
285.1344,14,22,6,0,0,0,0,CHO,Protein,286.14170646688,-0.237742623619813,286.1415,286.1415,285.822198081168,0.177801918832188,1.57142857142857,0.428571428571429,0,4,66,4.71428571428571,0.285714285714286,0.181818181818182,0.666666666666667,-0.25,0,-0.7142857142857144
287.2228,16,32,4,0,0,0,0,CHO,Lipid,288.23006771688,-0.0284539364329384,288.22988,288.22988,287.90822744834003,0.0917725516604833,2,0.25,0,1,88,5.5,0.0625,0.03125,0.25,-0.25,0,-1.5
293.1758,17,26,4,0,0,0,0,CHO,Lipid,294.183110752594,-0.00485953902108382,294.18296,294.18296,293.854623263018,0.145376736982143,1.52941176470588,0.235294117647059,0,5,86,5.05882352941176,0.294117647058824,0.192307692307692,1.25,0.0769230769230769,0.0769230769230769,-1.0588235294117645
293.1792,14,30,4,0,1,0,0,CHOS,Lipid,294.18648396688,-0.0130035884008281,294.18631,294.18631,293.857992710743,0.142007289257378,2.14285714285714,0.285714285714286,0,0,80,5.71428571428571,0,0,0,-0.555555555555556,0,-1.4285714285714288
295.1187,15,20,6,0,0,0,0,CHO,Lignin,296.125999800213,-0.0385836208793233,296.12586,296.12586,295.795342863369,0.204657136630715,1.33333333333333,0.4,0,6,68,4.53333333333333,0.4,0.3,1,0,0,-0.5333333333333332
295.1551,16,24,5,0,0,0,0,CHO,Protein,296.162359800213,0.0475438090988825,296.16223,296.16223,295.831662263468,0.168337736531555,1.5,0.3125,0,5,78,4.875,0.3125,0.208333333333333,1,0,0,-0.875
297.0827,10,18,10,0,0,0,0,CHO,Carb,298.089983133547,0.0458427124837663,298.08986,298.08986,297.757133195368,0.242866804632115,1.8,1,0,2,38,3.8,0.2,0.111111111111111,0.2,0,0,0.20000000000000018
297.098,14,18,7,0,0,0,0,CHO,Lignin,298.10522896688,0.0803931552717462,298.10513,298.10513,297.772362005067,0.22763799493282,1.28571428571429,0.5,0,6,60,4.28571428571429,0.428571428571429,0.333333333333333,0.857142857142857,-0.142857142857143,0,-0.2857142857142856
297.1344,15,22,6,0,0,0,0,CHO,Lignin,298.14164396688,-0.0185417906715647,298.1415,298.1415,297.808736343753,0.191263656247145,1.46666666666667,0.4,0,5,70,4.66666666666667,0.333333333333333,0.227272727272727,0.833333333333333,-0.111111111111111,0,-0.666666666666667
297.1708,16,26,5,0,0,0,0,CHO,Protein,298.17803896688,-0.0503785593389205,298.17787,298.17787,297.845090704771,0.154909295229231,1.625,0.3125,0,4,80,5,0.25,0.153846153846154,0.8,-0.0909090909090909,0,-1
297.2435,18,34,3,0,0,0,0,CHO,Lipid,298.25078146688,0.0452331421054183,298.25061,298.25061,297.917751979845,0.0822480201546227,1.88888888888889,0.166666666666667,0,2,100,5.55555555555556,0.111111111111111,0.0588235294117647,0.666666666666667,-0.0666666666666667,0,-1.5555555555555554
298.1408,13,21,5,3,0,0,0,CHON,Protein,299.14811646688,0.014485533171221,299.14798,299.14798,298.814085007568,0.185914992432004,1.61538461538462,0.384615384615385,0.230769230769231,5,54,4.15384615384615,0.384615384615385,0.238095238095238,1,-0.3,0,-0.1538461538461542
299.0772,13,16,8,0,0,0,0,CHO,Lignin,300.08449146688,0.0867206427487344,300.0844,300.0844,299.749414442878,0.250585557122236,1.23076923076923,0.615384615384615,0,6,52,4,0.461538461538462,0.375,0.75,-0.4,0,0
299.1137,14,20,7,0,0,0,0,CHO,Lignin,300.12093521688,-0.107357322217538,300.12077,300.12077,299.785817499461,0.214182500539039,1.42857142857143,0.5,0,5,62,4.42857142857143,0.357142857142857,0.25,0.714285714285714,-0.285714285714286,0,-0.4285714285714288
299.15,15,24,6,0,0,0,0,CHO,Protein,300.157304159188,-0.0521599422689003,300.15714,300.15714,299.822145831883,0.177854168116937,1.6,0.4,0,4,72,4.8,0.266666666666667,0.166666666666667,0.666666666666667,-0.222222222222222,0,-0.7999999999999998
299.1864,16,28,5,0,0,0,0,CHO,Protein,300.19367746688,-0.0115178307342677,300.19351,300.19351,299.858478524815,0.141521475185243,1.75,0.3125,0,3,82,5.125,0.1875,0.107142857142857,0.6,-0.181818181818182,0,-1.125
299.2016,20,28,2,0,0,0,0,CHO,UnsatHC,300.208913133547,0.056658721835771,300.20878,300.20878,299.8736971792,0.126302820799765,1.4,0.1,0,7,104,5.2,0.35,0.25,3.5,0.277777777777778,0.277777777777778,-1.2000000000000002
301.1293,14,22,7,0,0,0,0,CHO,Protein,302.13657646688,-0.0774682108670265,302.13641,302.13641,301.799208066434,0.200791933565711,1.57142857142857,0.5,0,4,64,4.57142857142857,0.285714285714286,0.181818181818182,0.571428571428571,-0.428571428571429,0,-0.5714285714285712
301.1656,15,26,6,0,0,0,0,CHO,Protein,302.172915633547,0.0758957940865669,302.17278,302.17278,301.835506656463,0.164493343536833,1.73333333333333,0.4,0,3,74,4.93333333333333,0.2,0.115384615384615,0.5,-0.333333333333333,0,-0.9333333333333336
301.202,16,30,5,0,0,0,0,CHO,Protein,302.209300911324,0.0766428283654277,302.20915,302.20915,301.871851306114,0.128148693886033,1.875,0.3125,0,2,84,5.25,0.125,0.0666666666666667,0.4,-0.272727272727273,0,-1.25
303.1086,13,20,8,0,0,0,0,CHO,AminoSugar,304.115829800213,-0.0400551766895287,304.11568,304.11568,303.776251347814,0.223748652186487,1.53846153846154,0.615384615384615,0,4,56,4.30769230769231,0.307692307692308,0.2,0.5,-0.8,0,-0.3076923076923075
303.1449,14,24,7,0,0,0,0,CHO,Protein,304.15220646688,-0.0109871964053972,304.15205,304.15205,303.81258739597,0.187412604030499,1.71428571428571,0.5,0,3,66,4.71428571428571,0.214285714285714,0.125,0.428571428571429,-0.571428571428571,0,-0.7142857142857144
303.1813,15,28,6,0,0,0,0,CHO,Protein,304.18858646688,0.00711571724180635,304.18842,304.18842,303.848926773736,0.15107322626352,1.86666666666667,0.4,0,2,76,5.06666666666667,0.133333333333333,0.0714285714285714,0.333333333333333,-0.444444444444444,0,-1.0666666666666664
303.2177,16,32,5,0,0,0,0,CHO,Protein,304.224965355769,0.0288665695285207,304.22479,304.22479,303.885265041633,0.114734958366853,2,0.3125,0,1,86,5.375,0.0625,0.03125,0.2,-0.363636363636364,0,-1.375
305.1395,17,22,5,0,0,0,0,CHO,Lignin,306.14673396688,-0.033154624488869,306.14659,306.14659,305.804887788745,0.195112211255321,1.29411764705882,0.294117647058824,0,7,80,4.70588235294118,0.411764705882353,0.318181818181818,1.4,0.166666666666667,0.166666666666667,-0.7058823529411766
305.1606,14,26,7,0,0,0,0,CHO,Protein,306.16785146688,0.00562573760381363,306.16769,306.16769,305.825981708756,0.174018291244465,1.85714285714286,0.5,0,2,68,4.85714285714286,0.142857142857143,0.0769230769230769,0.285714285714286,-0.714285714285714,0,-0.8571428571428568
305.1758,18,26,4,0,0,0,0,CHO,Lignin,306.18308146688,0.0909786389701269,306.18296,306.18296,305.841194702802,0.158805297198455,1.44444444444444,0.222222222222222,0,6,90,5,0.333333333333333,0.230769230769231,1.5,0.142857142857143,0.142857142857143,-1
307.1187,16,20,6,0,0,0,0,CHO,Lignin,308.125957181166,0.101235983339327,308.12586,308.12586,307.781900984708,0.218099015291955,1.25,0.375,0,7,72,4.5,0.4375,0.35,1.16666666666667,0.1,0.1,-0.5
307.1398,13,24,8,0,0,0,0,CHO,AminoSugar,308.14711771688,9.83945448781324e-5,308.14696,308.14696,307.803037892379,0.196962107621118,1.84615384615385,0.615384615384615,0,2,60,4.61538461538461,0.153846153846154,0.0833333333333333,0.25,-1.2,0,-0.615384615384615
307.1551,17,24,5,0,0,0,0,CHO,Lignin,308.162384928418,-0.0358496656175744,308.16223,308.16223,307.818288056412,0.181711943587914,1.41176470588235,0.294117647058824,0,6,82,4.82352941176471,0.352941176470588,0.25,1.2,0.0833333333333333,0.0833333333333333,-0.8235294117647056
307.1949,15,32,4,0,1,0,0,CHOS,Lipid,308.20215646688,-0.0852079697562112,308.20195,308.20195,307.858015185619,0.14198481438109,2.13333333333333,0.266666666666667,0,0,86,5.73333333333333,0,0,0,-0.5,0,-1.4666666666666668
311.1864,17,28,5,0,0,0,0,CHO,Lipid,312.193695038309,-0.0673588507458051,312.19351,312.19351,311.84509676942,0.154903230579691,1.64705882352941,0.294117647058824,0,4,86,5.05882352941176,0.235294117647059,0.142857142857143,0.8,-0.0833333333333333,0,-1.0588235294117645
