Forest,goethite_new,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
HW,new molecules,151,112,46,332,148,NA,393,28,53
SW,new molecules,134,70,25,244,173,1,492,16,39
