"","Mass","HW","SW"
"265",387.0722,8902414,8554369.66666667
"266",387.0933,6935316.33333333,6306012.33333333
"267",387.1085,8796952.66666667,8746890.66666667
"268",387.1297,6344820.66666667,6582160
"269",387.1661,8731775.33333333,9648707.66666667
"270",387.1813,6760238.66666667,5766045
"271",387.2177,3194681.33333333,2178640.33333333
"272",387.2388,5216405,5869824.33333333
"273",389.0514,10905251.3333333,10412387
"274",389.0878,13300056.3333333,14117910.3333333
"275",389.1089,4506291.33333333,4235973.66666667
"276",389.1242,11942925.3333333,12441972
"277",389.1453,3281085.66666667,3384185.33333333
"278",389.1606,11686253,10302503.3333333
"279",389.1817,7075187,8743980.33333333
"280",389.197,7396726.66666667,7060869.33333333
"281",389.2181,7184424,8609503.66666667
"282",389.2545,2910770.33333333,3937000.33333333
"283",391.0307,9438747,8564180.66666667
"284",391.0671,14011940.6666667,14289031.6666667
"285",391.1035,18036270.6666667,19426788.6666667
"286",391.161,3132307.33333333,3904327
"287",391.1762,13437847.3333333,12717557
"288",391.1974,4334151.66666667,11994617.3333333
"289",391.2126,6331638.66666667,6888274
"290",391.2337,3187111,3982849.66666667
"291",393.0463,12967292.3333333,12684508
"292",393.0827,16255024,16774371.3333333
"293",393.1038,2873738.66666667,2634642.33333333
"294",393.1191,17578041,17970411
"295",393.1402,2830057,2052420.33333333
"296",393.1555,16862615.3333333,19554205
"297",393.1766,3447197,2889462.66666667
"298",393.1919,12315382,13640954
"299",393.213,1891238.33333333,2297512.66666667
"300",393.2283,4425130,5322668
"301",395.0256,5998428,6210492.33333333
"302",395.062,15856143,14919278
"303",395.0984,16531309,17614453
"304",395.1195,28609052.6666667,16658723.6666667
"305",395.1348,15553738.6666667,16915409.3333333
"306",395.1711,17653630,22570626.6666667
"307",395.2075,9297457.33333333,12779145.6666667
"308",395.2439,3192718.66666667,4638352.66666667
"309",397.0776,13682982.3333333,14481374
"310",397.114,13662510,14131855
"311",397.1351,3211229.33333333,2409789.33333333
"312",397.1504,13390134,15306048
"313",397.1657,2493753.33333333,2325656
"314",397.1868,13772435,21407729.3333333
"315",397.2232,7312368,10861900.6666667
"316",398.1093,2231976,2673463
"317",398.1569,3593905.33333333,3360404.33333333
"318",398.1933,2925752.33333333,2707951.66666667
"319",399.0569,8037390,8298788.33333333
"320",399.0933,11643583.6666667,11753087.3333333
"321",399.1297,10778651.6666667,10729092.6666667
"322",399.1449,5092041.33333333,4882738
"323",399.1813,4403579,3742690.33333333
"324",399.2024,10415487.3333333,15844325.6666667
"325",399.2177,2701186.33333333,2044562.33333333
"326",399.2388,7215152.66666667,8554133.66666667
"327",400.1725,4127454.33333333,3478646.66666667
"328",400.2089,3142031.33333333,3027068
"329",401.0725,6768337.33333333,6154144
"330",401.0878,8236073,9450060.66666667
"331",401.1089,9635543.33333333,8990628.33333333
"332",401.1242,7783812.66666667,8558502.66666667
"333",401.1453,8558984.33333333,11384063
"334",401.1606,8185568.33333333,7675137.33333333
"335",401.1817,8835470.33333333,9576366.66666667
"336",401.197,5959398.66666667,4800091.33333333
"337",401.2181,8393791,9430281
"338",401.2333,3032983.33333333,2739466.66666667
"339",401.2545,2832112,3035917.66666667
"340",402.1518,2493314.66666667,2665346.33333333
"341",402.1882,2253790,2158470.66666667
"342",403.0671,10979342.3333333,11347440.3333333
"343",403.0882,4005905.66666667,4237128
"344",403.1246,4368065.33333333,4863820
"345",403.161,4882801.33333333,5653328.33333333
"346",403.1762,11338441,10199890
"347",403.2126,6197625,4962475.66666667
"348",403.2337,5142225.66666667,5652312.33333333
"349",405.0463,10999408,11274603
"350",405.0827,14312393.3333333,16037571.6666667
"351",405.1038,2993271,2855792.33333333
"352",405.1191,14104867.3333333,17761991
"353",405.1515,16037500.6666667,11700597
"354",405.1555,14031826.6666667,13675552.3333333
"355",405.1766,4426368,4340428.66666667
"356",405.1919,12125143.3333333,11490339.3333333
"357",405.213,3553071,4196389.33333333
"358",405.2494,2205832.66666667,4709758
"359",407.0256,6761295,6943934.33333333
"360",407.062,13436754.6666667,13787670.3333333
"361",407.0984,16476673,18585454.6666667
"362",407.1711,15363250.6666667,15300468.3333333
"363",407.1923,3321354.66666667,4169589.33333333
"364",407.2075,9655478.66666667,10412577.6666667
"365",407.2439,2710885,3135353.33333333
"366",409.0412,8816646.33333333,9448771.66666667
"367",409.0776,15065780,15173616.3333333
"368",409.0988,4060170.66666667,2358940.33333333
"369",409.114,15695884.3333333,15808498.6666667
"370",409.1351,4328120.66666667,2579785
"371",409.1504,17478330,20331850
"372",409.1868,15142247.3333333,14968822.6666667
"373",409.2232,6373055.66666667,8127822
"374",411.0569,10459284.3333333,9827065.66666667
"375",411.0933,13934059.6666667,13017851
"376",411.1144,5673111.33333333,4692390.66666667
"377",411.1297,12396014,12436220.3333333
"378",411.2024,10185543.6666667,13118207.3333333
"379",411.2388,4220404,6149888.33333333
"380",413.0362,3766692,3568268
"381",413.0725,9644965.33333333,8663181
"382",413.1089,10542673.6666667,9981411
"383",413.1301,7735890.33333333,5617806
"384",413.1453,8562600.33333333,9359502.33333333
"385",413.1606,4523774.33333333,4024462.66666667
"386",413.1817,9296127,12766692.6666667
"387",413.2181,8276225,11414330.6666667
"388",413.2545,2537218,3286843
"389",414.1882,3158819.33333333,3587915.66666667
"390",415.0518,4002449.33333333,3726164.66666667
"391",415.0671,7669052,6951082.33333333
"392",415.0882,6978535.66666667,6441812.66666667
"393",415.1246,7771453.66666667,6724437
"394",415.1398,6766227,6731946.33333333
"395",415.161,12416659.6666667,8316416
"396",415.1762,7440020,5654698.66666667
"397",415.1974,7237610,9382741.66666667
"398",415.2126,4859541,4011861.66666667
"399",415.2337,6838250.66666667,9706325.66666667
"400",416.1675,2748412.33333333,3117570.66666667
"401",417.0463,8747356.33333333,8135508.66666667
"402",417.0827,9660081.66666667,10159614.6666667
"403",417.1072,3168604.33333333,2380115.66666667
"404",417.1191,9536519.33333333,10900308
"405",417.1402,3406172.66666667,4025171.33333333
"406",417.1555,10662236.6666667,9445544.66666667
"407",417.1766,4118365,5582334
"408",417.1919,8816306.66666667,7437139.33333333
"409",417.213,5708808,7181139
"410",417.2283,4896093.33333333,4909565.33333333
"411",417.2494,4129800,4576082.66666667
"412",419.062,10628786.3333333,10808120
"413",419.0984,11811164.6666667,12403511.3333333
"414",419.1348,11708082,14239201
"415",419.2075,9197574.66666667,8125236.66666667
"416",419.2439,3432283.66666667,3276766.66666667
"417",421.0776,11723073,11938561.3333333
"418",421.114,14978026.6666667,14537472.3333333
"419",421.1504,13563540.6666667,12175444.3333333
"420",421.1868,12877459.6666667,11759016.3333333
"421",421.2232,6123838,6570748.66666667
"422",423.0205,3472481.66666667,3204448.66666667
"423",423.0569,10291467.3333333,9897993.66666667
"424",423.0933,12778420.6666667,12195848.3333333
"425",423.1144,3865524,3315719.33333333
"426",423.1297,13394867.6666667,12864860
"427",423.1508,2396253.33333333,2418011
"428",423.2024,9708465,10378584.3333333
"429",423.2388,4444421.33333333,4873559
"430",425.0362,4991849,4671741
"431",425.1089,11622587,11005859.3333333
"432",425.1301,4270607.66666667,4199330.66666667
"433",425.1453,10281145.6666667,10574412
"434",425.1817,16847031.6666667,11065930.3333333
"435",425.2181,7042912.66666667,8323656.33333333
"436",427.0518,5741658,5115696.33333333
"437",427.0882,9349891,8023854
"438",427.1093,3343617.66666667,3580887
"439",427.1246,8035755.66666667,8043990.33333333
"440",427.1457,2727509,1893333
"441",427.161,8426239,8779561
"442",427.1974,8153170.33333333,9618556.33333333
"443",427.2126,3319036,2340304.66666667
"444",427.2337,4993104.66666667,5807225.66666667
"445",429.1038,7158411.33333333,5845327.33333333
"446",429.125,6049418.33333333,4313080.33333333
"447",429.1402,5665417.33333333,5623457.66666667
"448",429.1555,5914589.66666667,5188939.33333333
"449",429.1766,6100956,6631071.33333333
"450",429.1919,5778395.33333333,4422643.33333333
"451",429.213,6313946,8502940.66666667
"452",429.2283,3903278.33333333,2992112.66666667
"453",429.2494,3131863.33333333,3617775
"454",430.1831,2165658,2056788.33333333
"455",431.0831,4422491.33333333,3088398.33333333
"456",431.0984,8351578.33333333,8951309.33333333
"457",431.1195,5840387.33333333,4509878
"458",431.1348,8293207.66666667,7473333
"459",431.1559,4277078,6614536.33333333
"460",431.1711,8735914.33333333,7121415.33333333
"461",431.1923,5324627,4946096.33333333
"462",431.2075,7766525,6220633.66666667
"463",431.2439,3593722.33333333,3078145.66666667
"464",433.0776,9217052,9293844.66666667
"465",433.1021,1959279.33333333,1886738.66666667
"466",433.114,10850670.6666667,10802535
"467",433.1504,10378945,9338894.33333333
"468",433.1868,10258110.6666667,8553142.33333333
"469",433.2079,3188071.33333333,8373599
"470",433.2232,6961851.66666667,6553608.66666667
"471",433.2443,3404473.66666667,6866609.33333333
"472",435.0569,9539794.66666667,8621244.33333333
"473",435.0933,11216421,11269305
"474",435.1297,12058146,12524725.6666667
"475",435.1661,11608265.6666667,10184541
"476",435.2024,9976007,9176239.33333333
"477",435.2388,5335918.33333333,5406891.66666667
"478",437.0725,10504231.6666667,9840983.33333333
"479",437.1089,11048314,10811732.3333333
"480",437.1453,13383713.3333333,13155323.3333333
"481",437.1664,2229109,1846094.66666667
"482",437.1817,10767731.6666667,9649826.66666667
"483",437.2181,7426416.66666667,7838708.33333333
"484",437.2545,2591597.33333333,3263473.33333333
"485",439.0518,6822436,5842415
"486",439.0882,9569483.33333333,8530753
"487",439.1246,9715571,8695272
"488",439.1457,5306225.33333333,5126971.33333333
"489",439.161,9839130.66666667,8986767
"490",439.2337,4802751,5526664
"491",441.0675,6935235.33333333,5567785.33333333
"492",441.1038,8031936.33333333,6881914.66666667
"493",441.125,3154793.33333333,3892344.66666667
"494",441.1402,6551570.33333333,6114935
"495",441.1766,9872399.33333333,29311603.6666667
"496",441.1919,3498851,2662684.66666667
"497",441.213,6218763.66666667,6778821.33333333
"498",441.2283,2933258.66666667,1882051.66666667
"499",441.2494,3310771,3607660
"500",443.0831,5426700,4561333.33333333
"501",443.0984,5514762.66666667,5109854.66666667
"502",443.1195,7755955.33333333,5517746.33333333
"503",443.1348,5255687.33333333,4745307
"504",443.1559,4325893.66666667,4682158.66666667
"505",443.1711,5358084,3955117
"506",443.1923,9560919.66666667,6957482.66666667
"507",443.2075,5612374.33333333,4242857.33333333
"508",443.2439,3496616.33333333,2372347
"509",444.1181,6643459.33333333,6293155.66666667
"510",445.0776,6864556.66666667,6521753.33333333
"511",445.0988,3728384,2905494.66666667
"512",445.114,7346174.66666667,6792085.33333333
"513",445.1504,7198374.33333333,6279057.66666667
"514",445.1715,3431247,3287439.66666667
"515",445.1868,7487821.33333333,5677283.33333333
"516",445.2079,12882592.6666667,20607201
"517",445.2232,6265844.66666667,4848522.33333333
"518",445.2443,2973853.66666667,4292488
"519",445.2596,3079324,2339718.66666667
"520",447.0569,7304700.33333333,6720554
"521",447.0933,8162809,8211153
"522",447.1144,29278711,3212836.33333333
"523",447.1661,9279986.33333333,7376927
"524",447.2024,9249263.33333333,7319579.33333333
"525",447.2236,22568088.3333333,33737412.3333333
"526",447.2388,5390486.66666667,4600514.66666667
"527",449.0725,8629923.66666667,7913317.33333333
"528",449.1089,11082059,10467852
"529",449.1301,3161417,2498229
"530",449.1453,9490759.66666667,8320179.66666667
"531",449.1817,9982959.33333333,7951536
"532",449.2181,8300183,7238146
"533",451.0518,6924800.33333333,6166868.33333333
"534",451.0882,8884733.66666667,8201212
"535",451.1246,11536549.3333333,11449336.3333333
"536",451.2337,5559794,6515694
"537",453.0675,7740431.66666667,6226418.66666667
"538",453.1038,8555191.66666667,7718383.33333333
"539",453.125,5758646,4865517.66666667
"540",453.1402,8529930.33333333,9131500.33333333
"541",453.1766,7909042.33333333,7299902.33333333
"542",453.213,6673412.66666667,6928528.66666667
"543",453.2494,3591682,4366477.66666667
"544",455.0467,3949614.33333333,2915656.66666667
"545",455.0831,6946689.33333333,5315568
"546",455.1195,6842921.66666667,5966488
"547",455.1406,15063592,11130176.6666667
"548",455.1559,5645521.66666667,5371882.33333333
"549",455.1923,5795023.33333333,5948391
"550",455.2075,3383161,2417979
"551",455.2287,4609911.33333333,4868409.33333333
"552",457.1715,4146942.33333333,4826612
"553",457.1868,5032360.33333333,3764040.33333333
"554",457.2079,4637436.66666667,4971676
"555",457.2232,4667131.33333333,3299824
"556",457.2443,3145466.33333333,3529198.33333333
"557",459.1144,3647809,3087548.33333333
"558",459.1297,5924843,5471931
"559",459.1508,3054569.66666667,2508985.66666667
"560",459.1661,6052158.33333333,5048334
"561",459.1872,4606440,8673633.66666667
"562",459.2236,6390417,4596063
"563",459.2388,5937808,4192947.66666667
"564",461.0725,6897558,6566119.66666667
"565",461.1089,7318761.66666667,7157989.33333333
"566",461.1301,4688446.33333333,3127695
"567",461.1453,7540968.66666667,6962744.33333333
"568",461.1817,8181308.33333333,6560651.66666667
"569",461.2028,8075494.33333333,9989685
"570",461.2181,8038971,6401588
"571",461.2392,6604346.33333333,5062877.33333333
"572",463.0518,6343849,5871394.33333333
"573",463.0882,7385255.66666667,7249354.33333333
"574",463.1246,7867900.33333333,7876723.33333333
"575",463.161,8655696.66666667,7255495
"576",463.2185,35118585.6666667,13283438.6666667
"577",463.2337,6737401.33333333,6021912.33333333
"578",463.2701,2852770.66666667,2468972
"579",465.125,3617570.66666667,2966034.66666667
"580",465.1402,8285986.66666667,8433682
"581",465.1766,8017698,7015099
"582",465.213,7713569.33333333,7063566.66666667
"583",465.2494,4315083,4592653
"584",467.0467,4505692.33333333,3504579.66666667
"585",467.0831,7248647,6518722.33333333
"586",467.1195,6995718.33333333,6542614
"587",467.1406,4434694.33333333,3828672
"588",467.1559,7916635.66666667,7513365
"589",467.1923,6761221.66666667,6604051.33333333
"590",467.265,3147183.66666667,3277243.33333333
"591",469.0624,4699216.33333333,3978794
"592",469.0988,5868624,5012691.33333333
"593",469.1199,2516731,2791634.66666667
"594",469.1351,5373691,4922578.66666667
"595",469.1563,3389520.33333333,2902567.33333333
"596",469.1715,5710928.33333333,5352316
"597",469.2079,5099770.66666667,5226704
"598",469.2232,2929744,2188325.33333333
"599",469.2443,3635792,4198607
"600",471.078,3976276.33333333,3352051.66666667
"601",471.1144,4708436.66666667,3879411
"602",471.1355,7393023.66666667,7726236.66666667
"603",471.1508,3595178.33333333,3426802
"604",471.1661,3760895.66666667,3368775
"605",471.1719,2779733,2599068.33333333
"606",471.1872,3483391.66666667,4122779.66666667
"607",471.2024,4552447.66666667,3366726.33333333
"608",471.2236,3679146.66666667,4046320.33333333
"609",471.2388,4335531,3078981
"610",471.26,2358187,2842948.66666667
"611",473.1817,5896638,4793801.33333333
"612",473.2028,3773203.33333333,3651358.33333333
"613",473.2181,6264254,4302622
"614",473.2545,4846015,3607325.66666667
"615",474.1729,2942412.33333333,5231716.66666667
"616",475.0882,6077916.66666667,5986051.66666667
"617",475.1246,6273501.66666667,5930072.66666667
"618",475.161,6204211.33333333,5540952.33333333
"619",475.1974,7746356,6235906.66666667
"620",475.2185,4675039.33333333,4111789.33333333
"621",475.2337,7165407.33333333,5573719.66666667
"622",475.2701,4030773.66666667,2966615.33333333
"623",477.0675,6487560.33333333,5665523.33333333
"624",477.125,4950879.33333333,3149896.33333333
"625",477.1726,2692789.66666667,2055752.33333333
"626",477.1766,7248395.33333333,5801715
"627",477.213,8620897.33333333,6589853.33333333
"628",477.2341,7485623.33333333,5514994.66666667
"629",477.2494,5660855.66666667,5217693
"630",477.2858,2975075,2023495.66666667
"631",479.0467,4526313.33333333,3929155.33333333
"632",479.0831,6264725,5844376.66666667
"633",479.1195,6625857,6227693.66666667
"634",479.1559,7104066,6819565.66666667
"635",479.1923,7182573.66666667,6313027.33333333
"636",479.2287,6217625.66666667,5733443
"637",479.265,3557786.66666667,3650968.66666667
"638",481.0624,5140437,4024050.33333333
"639",481.0988,6202667.66666667,5026546.33333333
"640",481.1715,6375726,6319858.66666667
"641",481.2079,5539460.66666667,5718088.33333333
"642",481.2443,4458459,4899912.33333333
"643",481.2807,2312498,2484638
"644",483.078,4634483.66666667,3674198
"645",483.1144,4800543.66666667,4247297
"646",483.1508,4712993,4292353
"647",483.1872,4471160,4295766.66666667
"648",483.2236,4192974.33333333,4320343.33333333
"649",485.0937,3864687,3016471.33333333
"650",485.1301,3552709.66666667,3004184
"651",485.1512,12945180,11775768.3333333
"652",485.1817,3870066.66666667,3031150.33333333
"653",485.2028,3234590,3344153.33333333
"654",485.2181,4549748.33333333,3085081
"655",485.2392,2912544,3414468.33333333
"656",485.2545,4277707.33333333,2528196.33333333
"657",487.161,4180338.66666667,3408866.33333333
"658",487.1821,2538526.33333333,2444258.66666667
"659",487.2185,2295327.66666667,2668686
"660",487.2337,6286880.66666667,4012515.66666667
"661",487.2701,4633805,3027599
