"","Mass","HW","SW"
"1",283.2643,2201857,4238668.66666667
"2",309.1707,1766676.66666667,3191931.66666667
"3",311.1136,2415235,3300759.33333333
"4",311.15,1709362.66666667,2792690
"5",313.0929,2119682,2345837.33333333
"6",313.1293,2108508.66666667,3324104
"7",313.1657,2236173,4033912.33333333
"8",314.2085,2015662.66666667,1998960
"9",315.0722,8558562,9188686
"10",315.1449,2067694,3140868
"11",315.1813,2439582.33333333,4421812.66666667
"12",316.1878,1853590.66666667,2388396.33333333
"13",319.1187,2278874.33333333,2564588.33333333
"14",321.0616,3680222.66666667,3748842.33333333
"15",321.098,2939535.33333333,3537904.66666667
"16",321.1344,3099115.33333333,3651063.33333333
"17",323.0409,3268087.66666667,3454630.33333333
"18",323.0772,4104873.33333333,4773549
"19",323.0984,2303405.33333333,2310235.66666667
"20",323.1136,3923632.33333333,4347913.33333333
"21",323.15,3137037,4372837
"22",323.1864,1965758.33333333,2585793.33333333
"23",325.0565,3914110,4186486.66666667
"24",325.0929,4148954.33333333,4544893.66666667
"25",325.1293,3901495,4892890
"26",325.1657,3262526.33333333,4895968.66666667
"27",325.202,2581659,3423122.33333333
"28",326.1721,2066610.66666667,1793273
"29",326.2085,2825913.66666667,2216362.66666667
"30",327.1085,3971698.33333333,4986972.33333333
"31",327.1449,3939108,6190520.66666667
"32",327.1813,2855553,4029205.33333333
"33",327.2177,4683742.33333333,5567772.33333333
"34",328.1514,3800567,3671512
"35",328.1878,2548393,2151221
"36",328.2242,2836998,2329745.33333333
"37",329.0878,3443817.66666667,4984642
"38",329.1242,3097969.33333333,4209822.66666667
"39",329.1394,2081140.66666667,2727244.66666667
"40",329.1606,6369145.33333333,22230182
"41",329.197,2871425,3845464.33333333
"42",329.2333,7553929,8045408
"43",330.1671,2724693,2609527.66666667
"44",330.2034,6440711.66666667,6470356.66666667
"45",331.1035,2159056.66666667,2428136.66666667
"46",331.1187,3093289,3285228
"47",331.1398,2446125.66666667,3301446
"48",331.1551,2774492,3477406.66666667
"49",331.1762,8695094.33333333,28785570.6666667
"50",331.2126,2259774.33333333,2705237.66666667
"51",333.0616,5654930.66666667,5920402.33333333
"52",333.098,4128667.66666667,4535280
"53",333.1191,3401462,3559924.33333333
"54",333.1344,3628281.33333333,4625741.66666667
"55",333.1707,3029761.66666667,4400810.66666667
"56",335.0772,5964321,6384728.66666667
"57",335.1136,5195647.66666667,5747809.33333333
"58",335.15,4686558,5920873.33333333
"59",335.1864,2873148.33333333,5379868.66666667
"60",337.0201,3545095.33333333,3314547.33333333
"61",337.0565,6718480.66666667,7030652.33333333
"62",337.0929,6672751.33333333,6767493
"63",337.1293,5932067.66666667,7623224.33333333
"64",338.1721,3030065.33333333,3023154.66666667
"65",339.0358,4154731,4533082.66666667
"66",339.0722,6205642,6839652
"67",339.1085,6107518.33333333,7190551.33333333
"68",339.1449,6518664,8370549.66666667
"69",339.1813,5663292.66666667,7531220
"70",340.1878,6037324.33333333,5233614.66666667
"71",340.2242,3375617,2533250
"72",341.0514,3871973,4442963.66666667
"73",341.0878,6358084,6498140.66666667
"74",341.1242,6762233.33333333,8791227.66666667
"75",341.1606,6280622,8634906
"76",341.197,6834275,8726392.66666667
"77",342.1307,2817727,2455657.33333333
"78",342.1671,6244382.33333333,5910301.33333333
"79",342.2398,5086942,3857371
"80",343.0671,4117451.66666667,4348595.66666667
"81",343.1035,4448726.33333333,5456914.66666667
"82",343.1511,2130063,2071071
"83",343.1551,2367717.33333333,2874571
"84",343.1762,5523435.66666667,6349862
"85",343.2126,12166134,13885828.6666667
"86",344.1827,9331645.33333333,9843335.66666667
"87",344.2191,3874760,3783655
"88",345.0616,5500441.33333333,5472459
"89",345.0827,3082101.33333333,2882598.33333333
"90",345.098,5348217.66666667,5610709
"91",345.1191,2736597.66666667,4265861.66666667
"92",345.1344,4837253,6320009.66666667
"93",345.1555,12911499.3333333,28900922.3333333
"94",345.1919,3782891.66666667,4279705.66666667
"95",345.2283,15989665.3333333,18106617
"96",346.162,4598292.33333333,5062139
"97",347.0984,6340407.66666667,9042348
"98",347.1136,5841383,6276870
"99",347.1348,1889262,2540214.33333333
"100",347.15,5777565.33333333,7446288
"101",347.1711,6157134.66666667,14747755.6666667
"102",347.1864,4205736.66666667,11496901
"103",347.2075,2117210,2861344.33333333
"104",347.2439,13572966,13352405
"105",349.0565,8474709.33333333,8759262.33333333
"106",349.0929,7871243.66666667,8990014
"107",349.1293,8104045,8909128.66666667
"108",349.1657,6960931.33333333,10348542
"109",349.1868,1979178.33333333,5955929.66666667
"110",351.0358,6986809.33333333,7487355.66666667
"111",351.0569,2530709.66666667,2098220.33333333
"112",351.0722,9765616,10558000.6666667
"113",351.1449,9521587.33333333,11221574.6666667
"114",351.1813,6759189,12244220
"115",351.2177,3838241,14094257.3333333
"116",353.0514,8765159,9035569.33333333
"117",353.0878,9980659.33333333,10859665.6666667
"118",353.1242,9462527.66666667,10695154
"119",353.1606,10380044.3333333,12455079.6666667
"120",353.197,5390787.66666667,10189320.3333333
"121",354.1671,2657385.66666667,2330247.33333333
"122",355.0307,3339502,3712232
"123",355.0671,8849488,8816371.33333333
"124",355.1035,8579164.66666667,9653331.66666667
"125",355.1762,10403275.6666667,13249642.3333333
"126",355.2126,4671107.33333333,5882997.66666667
"127",356.1463,6578296.66666667,6384025
"128",356.1827,6844891,6028026
"129",357.0463,3783439.33333333,3848201
"130",357.0616,5185301,4983821.66666667
"131",357.0827,6725063,7217854.66666667
"132",357.098,4630988.33333333,5129241
"133",357.1191,6946601.33333333,8499573
"134",357.1344,3818457.66666667,3891748.33333333
"135",357.1555,7738507.66666667,9478528.33333333
"136",357.1919,11421848.6666667,13507638.3333333
"137",357.2283,5076475.33333333,5376066
"138",358.1256,1751358.33333333,1892701.33333333
"139",358.162,3213473,2961086
"140",358.1984,16345603,15263092.6666667
"141",359.062,4022759,4689884
"142",359.0984,6171465.66666667,4456765
"143",359.1136,6906362,7227372.33333333
"144",359.1348,5254999,7388147
"145",359.15,6090588.66666667,7401464
"146",359.1864,3830975.33333333,3242500
"147",359.2075,15683100.3333333,18371594.3333333
"148",359.2439,5531859.66666667,4860950
"149",360.1776,3925715,4334911.66666667
"150",361.0565,9911146.33333333,9771950
"151",361.0929,11330423.6666667,12420025.6666667
"152",361.114,4494549,4270699
"153",361.1293,10111194.3333333,11433584
"154",361.1504,6192695.66666667,11036961.3333333
"155",361.1657,8965352,12796198
"156",361.1868,3370565,5088215.66666667
"157",361.202,3837685.33333333,4084871.33333333
"158",361.2232,12173565,14284430.3333333
"159",363.0358,8914841.33333333,9084457
"160",363.0722,12412497.3333333,13704074
"161",363.1449,11647937.3333333,14875553
"162",363.1661,5342153,6500263.66666667
"163",363.1813,9718052,20763564.6666667
"164",363.2177,2783025.66666667,4097635.33333333
"165",363.2388,7457422.66666667,9406058.33333333
"166",365.015,4871797.33333333,4821498
"167",365.0514,11811118,12293637.6666667
"168",365.0878,13518481,15298748.3333333
"169",365.1089,2784238,2454210.66666667
"170",365.1242,12805107.6666667,13646024
"171",365.1453,1931259.33333333,2171257.33333333
"172",365.1606,13428395.6666667,17402750
"173",365.1817,2107912.66666667,4564186
"174",365.197,10013027.6666667,33497311
"175",366.1671,2781729,2012950.33333333
"176",367.0307,6963553,7488299.33333333
"177",367.0671,13217475.6666667,13731297.3333333
"178",367.1035,14628561,15326701
"179",367.1246,2495534.33333333,2271049
"180",367.1398,13412745,15240696.6666667
"181",367.1762,12150508,18017796.3333333
"182",367.2126,7775993.66666667,29337787
"183",368.1463,2323197.66666667,1976634.33333333
"184",368.1827,2381494,2443760.33333333
"185",369.0463,9415072,8813315.66666667
"186",369.0827,11980546.6666667,12702479.3333333
"187",369.1191,11554576,12889541.3333333
"188",369.1344,2805696.33333333,2430580.66666667
"189",369.1555,12573811,15178534
"190",369.1919,10211114.6666667,15603164.3333333
"191",369.2283,4319544.33333333,7665128
"192",370.162,5568656,5050469.33333333
"193",370.1984,5370696,4997915.66666667
"194",371.062,8951258.66666667,8482859.66666667
"195",371.0984,10886290.6666667,11483191.3333333
"196",371.1136,5661848.33333333,6497681.33333333
"197",371.1348,8417098.66666667,11412888
"198",371.15,4710224.33333333,4567111.33333333
"199",371.1864,3064498.66666667,2816936.33333333
"200",371.2075,9276602.33333333,12367279
"201",371.2439,3330247.66666667,4188773
"202",372.1412,3418298,3415592.66666667
"203",372.1776,4063431.33333333,3832884.33333333
"204",372.214,8898090,7178644.66666667
"205",373.0565,8859142.66666667,9021424.33333333
"206",373.0929,8239294.66666667,9495889.33333333
"207",373.114,6292678.33333333,7413080
"208",373.1293,9611809.33333333,13600775
"209",373.1504,5985491.66666667,7421282.66666667
"210",373.1657,6898222.33333333,6461800
"211",373.2232,8548931,10900174.6666667
"212",374.1569,3090153.33333333,3413657.66666667
"213",375.0358,9261604.33333333,9174268
"214",375.0722,11686449.3333333,12763740.6666667
"215",375.0933,3633379.33333333,3370595
"216",375.1297,3670768.33333333,5348632.66666667
"217",375.1661,4236882.66666667,5924131.66666667
"218",375.1813,8811779,8368766
"219",375.2024,8901898,14553049.6666667
"220",375.2177,3122618.33333333,3246728.66666667
"221",375.2388,6418370,7114724.66666667
"222",377.0514,12607384,12502876.6666667
"223",377.0878,14335908.6666667,15008956.6666667
"224",377.1242,13937244.3333333,15856839.6666667
"225",377.1453,3175011.66666667,3425315
"226",377.1606,14224659.3333333,18909735.6666667
"227",377.1817,2600731,3889368.66666667
"228",377.197,7789515,9524445
"229",377.2181,6180476.66666667,6531299.33333333
"230",379.0307,9187910,9010254
"231",379.0671,14793981,15629400.6666667
"232",379.1035,16779188,17701987.3333333
"233",379.1246,2306150,2204095
"234",379.161,4159261,3711433.33333333
"235",379.1762,14408312,24180515
"236",379.2126,5824132.33333333,8981635
"237",381.0827,15435003.6666667,16550213
"238",381.1191,14148871.6666667,14969167
"239",381.1402,2499684,1985962.33333333
"240",381.1555,15617300,18424836.3333333
"241",381.1766,3334597.33333333,3360095.33333333
"242",381.1919,13630069,26934969
"243",381.2283,4248876,6113987.33333333
"244",382.162,2679477.66666667,2003399.66666667
"245",383.0256,4184611.66666667,4220767.66666667
"246",383.062,12208687.6666667,11245758.6666667
"247",383.0984,14291515.6666667,15207283.3333333
"248",383.1195,3650455.66666667,3514745.33333333
"249",383.1348,12152732.3333333,13090344
"250",383.2075,10266548,21151974.6666667
"251",383.2439,3095829,3624859.33333333
"252",384.214,2853279.66666667,2571594.33333333
"253",385.0776,10338820.3333333,9543044
"254",385.0929,6188553,5914333
"255",385.114,11078159,11540535.6666667
"256",385.1174,5831526,4108003.66666667
"257",385.1293,5241363.66666667,5090022.66666667
"258",385.1504,9557871.66666667,10993046.6666667
"259",385.1657,4615711,3896731
"260",385.1868,11268645.6666667,13395360.3333333
"261",385.2232,7901062.33333333,9655721.66666667
"262",386.1569,4026874.33333333,3213125.33333333
"263",386.1933,4551515,3826851.66666667
"264",387.0569,6619231,4739283
