Mass,PreFenton,PreFentonGoethite,PostFenton,PostFentonGoethite,Forest
255.232955,0,0,0,0,HW
281.1394875,0,0,0,0,HW
281.248609,0,0,0,2326703,HW
283.155135,0,0,0,0,HW
285.13443,0,0,0,0,HW
287.22279125,0,0,0,0,HW
293.175834285714,0,0,0,0,HW
293.1792075,0,0,0,2333073.33333333,HW
295.118723333333,0,0,0,1483725,HW
295.155083333333,0,0,0,0,HW
297.082706666667,0,0,0,0,HW
297.0979525,0,0,0,0,HW
297.1343675,0,1426656.66666667,0,1689712.66666667,HW
297.1707625,0,0,0,0,HW
297.243505,0,0,0,1478521.5,HW
298.14084,0,0,0,0,HW
299.077215,0,0,0,0,HW
299.11365875,0,0,0,1561881,HW
299.150027692308,0,1608492.33333333,0,1962696.33333333,HW
299.186401,0,1422744.5,0,0,HW
299.201636666667,0,0,0,2080377,HW
301.1293,0,0,0,1887098.33333333,HW
301.165639166667,0,1583416,0,1886676.66666667,HW
301.202024444444,0,1435716,0,0,HW
303.108553333333,0,0,0,0,HW
303.14493,0,0,0,0,HW
303.18131,0,0,0,0,HW
303.217688888889,0,0,0,0,HW
305.1394575,0,0,0,0,HW
305.160575,0,0,0,0,HW
305.175805,0,0,0,0,HW
307.118680714286,0,1639662,0,1759956.66666667,HW
307.13984125,0,0,0,0,HW
307.155108461538,0,1621785.33333333,0,0,HW
307.19488,0,0,0,0,HW
311.186418571429,0,1761504,0,1894397.66666667,HW
311.22276,0,0,0,0,HW
311.295543333333,0,0,0,0,HW
313.176884285714,0,1971241.33333333,0,0,HW
313.180932,0,0,0,0,HW
313.202064444444,0,1755131,0,0,HW
313.238417142857,0,1689907.66666667,0,0,HW
314.135762857143,0,1762295.33333333,0,2397931.33333333,HW
315.1237925,0,0,0,0,HW
315.196585,0,0,0,0,HW
315.217709230769,0,2238175.33333333,0,0,HW
315.2541175,0,0,0,0,HW
316.151437,0,0,0,0,HW
317.17586,0,0,0,0,HW
319.08571,0,2170194.33333333,0,0,HW
319.176228888889,0,0,0,1644646,HW
319.191491111111,0,0,0,0,HW
319.212618333333,0,1734080,0,0,HW
321.119147777778,0,0,0,1770780,HW
321.155497777778,0,0,0,0,HW
321.2071075,0,0,0,0,HW
321.210516666667,0,0,0,2330158.5,HW
322.140835,0,1971204.66666667,0,0,HW
323.116983333333,0,2093841.5,0,0,HW
323.153402222222,0,2406877.5,0,1876744.5,HW
324.156496923077,0,1741226,0,1763822.66666667,HW
325.096286666667,0,0,0,1489487.5,HW
325.147886666667,0,0,0,0,HW
325.169075,0,0,0,0,HW
326.135731,0,1962509,0,2851977.66666667,HW
327.123813333333,0,0,0,0,HW
327.156156666667,0,0,0,1618148,HW
327.16015,0,0,0,0,HW
327.19251,0,1742576.33333333,0,0,HW
329.171791428571,0,1707451,0,0,HW
332.125198,0,1576542.66666667,0,0,HW
333.207121875,0,2542406.33333333,0,1521851,HW
333.2283,0,0,0,0,HW
335.117016666667,0,1615101.5,0,0,HW
335.189774285714,0,1720609.33333333,0,0,HW
335.207507,0,0,0,0,HW
335.222778181818,0,1502746,0,0,HW
336.156514,0,1746938,0,0,HW
337.09627,0,0,0,1513389.5,HW
337.150416666667,0,0,0,0,HW
337.169046363636,0,2286863.33333333,0,3062321,HW
337.23845,0,0,0,0,HW
338.10925,0,0,0,0,HW
338.13575,0,0,0,1848189,HW
339.1119225,0,0,0,1992142.66666667,HW
339.148313333333,0,0,0,0,HW
339.163562222222,0,0,0,0,HW
339.16607,0,0,0,0,HW
339.18468,0,1669563.5,0,0,HW
339.25408333333303,0,3726963.5,0,5558880.5,HW
341.127593333333,0,0,0,0,HW
341.13545,0,0,0,1774810.5,HW
341.17598,0,0,0,0,HW
341.233354615385,0,2114890,0,3138702,HW
341.269726666667,0,0,0,0,HW
342.20346125,0,0,0,4044979.66666667,HW
343.1584975,0,0,0,0,HW
343.191494,0,1562382.5,0,0,HW
343.2490025,0,1843716.66666667,0,0,HW
345.1092675,0,0,0,0,HW
346.198386666667,0,0,0,2763376,HW
347.117,0,3722890,0,6855890.33333333,HW
347.14603,0,0,0,1660783,HW
347.22282,0,0,0,0,HW
348.120096666667,0,1692074,0,0,HW
348.130011428571,0,0,0,1913769.66666667,HW
348.156511666667,0,2060092,0,0,HW
348.19288,0,2483358,0,0,HW
349.0412875,0,0,0,0,HW
349.096305,0,0,0,1653454.5,HW
349.2054425,0,0,0,2295279.5,HW
351.11196125,0,1604466.5,0,2558176,HW
351.148319090909,0,2382322.33333333,0,1939267,HW
351.166055714286,0,2143109.5,0,0,HW
351.184711428571,0,2999636.33333333,0,7967137,HW
351.202454285714,0,0,0,0,HW
352.12495,0,0,0,0,HW
352.187853333333,0,0,0,2247129.33333333,HW
353.0912225,0,0,0,2045684.66666667,HW
353.127571428571,0,5331125.66666667,0,7013888.33333333,HW
353.163979,0,1929307.5,0,2141196,HW
353.233363529412,0,2374193.33333333,0,2744012.33333333,HW
355.106844,0,0,0,2035829,HW
355.14325,0,0,0,2427777,HW
355.151053333333,0,0,0,1855424,HW
355.158521666667,0,0,0,2132016.33333333,HW
355.194892,0,0,0,0,HW
355.249012307692,0,2431933,0,5231583,HW
356.219109,0,1670778,0,5112623.66666667,HW
357.086092,0,1941523,0,1755037,HW
357.1377175,0,0,0,2223275,HW
357.174132,0,0,0,3495222.5,HW
357.20713125,0,1577024.66666667,0,0,HW
357.264662857143,0,1662175,0,0,HW
358.10618,0,0,0,0,HW
358.234773333333,0,0,0,2431420.66666667,HW
359.153423333333,0,0,0,0,HW
359.1823825,0,0,0,1829440.5,HW
359.222798571429,0,0,0,0,HW
360.192886666667,0,1583189.66666667,0,0,HW
360.214035,0,0,0,3079746.66666667,HW
361.096256666667,0,0,0,0,HW
361.16166,0,0,0,1771478,HW
361.238405,0,0,0,0,HW
361.259571666667,0,0,0,0,HW
362.145688571429,0,1775123.5,0,1759932.33333333,HW
362.172157142857,0,1889100.66666667,0,0,HW
362.208553333333,0,1886725,0,0,HW
363.1119225,0,0,0,2504140.5,HW
364.154785714286,0,1802228,0,0,HW
365.091238,0,0,0,1926277,HW
365.127592727273,0,2509152,0,4009787.33333333,HW
365.163984166667,0,1813882.66666667,0,2878791,HW
365.2333575,0,2775360,0,2072669.66666667,HW
366.098555,0,0,0,0,HW
367.10688625,0,0,0,3519769,HW
367.143209230769,0,2670798.33333333,0,3404069,HW
367.17961125,0,4316209.66666667,0,3661787.33333333,HW
367.249006363636,0,1922466,0,0,HW
367.285407777778,0,0,0,5198608,HW
368.09606,0,0,0,0,HW
369.086091428571,0,0,0,1983987,HW
369.122501538462,0,1971062.33333333,0,4340308.33333333,HW
369.130356666667,0,0,0,1649338,HW
369.158885,0,0,0,1935712,HW
369.174154285714,0,0,0,2093669,HW
369.207166666667,0,1723056.5,0,0,HW
369.264672857143,0,0,0,0,HW
370.234748571429,0,0,0,2471697.33333333,HW
371.065388333333,0,0,0,2042396.33333333,HW
371.153423333333,0,0,0,3596344.66666667,HW
371.182414,0,1653477,0,1722434.33333333,HW
371.1897825,0,0,0,0,HW
372.171187777778,0,0,0,0,HW
372.196935,0,0,0,1753990.33333333,HW
372.233354285714,0,2231756,0,0,HW
373.08815,0,0,0,0,HW
373.096292142857,0,2694506.33333333,0,3804324,HW
373.0988125,0,0,0,0,HW
373.13250125,0,0,0,0,HW
373.1617125,0,0,0,2149134,HW
373.169123333333,0,0,0,2093025,HW
374.145653333333,0,1750434.66666667,0,0,HW
374.175455,0,1723237.5,0,0,HW
