"Mass","Class"
351.0569,"Lignin-like"
323.0984,"Carbohydrate-like"
355.0882,"Carbohydrate-like"
341.1089,"Carbohydrate-like"
327.0358,"Lignin-like"
329.0514,"Lignin-like"
315.0722,"Lignin-like"
365.0725,"Lignin-like"
315.1198,"Aliphatic+N"
353.1089,"Carbohydrate-like"
371.1017,"Carbohydrate-like"
403.0916,"Carbohydrate-like"
321.0252,"Aromatic"
337.0201,"Aromatic"
353.015,"Aromatic"
323.0409,"Lignin-like"
339.0358,"Lignin-like"
355.0307,"Lignin-like"
325.0565,"Lignin-like"
341.0514,"Lignin-like"
357.0463,"Lignin-like"
373.0412,"Lignin-like"
311.0772,"Lignin-like"
327.0722,"Lignin-like"
343.0671,"Lignin-like"
359.062,"Lignin-like"
382.1004,"Lignin-like"
313.0929,"Lignin-like"
329.0878,"Lignin-like"
345.0827,"Lignin-like"
409.0446,"Lignin-like"
331.1035,"Lignin-like"
347.0984,"Lignin-like"
363.0933,"Lignin-like"
342.1307,"Aliphatic+N"
358.1256,"Aliphatic+N"
333.1191,"Carbohydrate-like"
365.1089,"Carbohydrate-like"
381.1038,"Carbohydrate-like"
413.0759,"Carbohydrate-like"
345.1303,"Aliphatic+N"
364.1249,"Carbohydrate-like"
312.1565,"Aliphatic+N"
328.1514,"Aliphatic+N"
367.1246,"Carbohydrate-like"
383.1195,"Carbohydrate-like"
359.1572,"Aliphatic+N"
330.1671,"Aliphatic+N"
346.162,"Aliphatic+N"
337.1326,"Aliphatic-noN"
385.1174,"Carbohydrate-like"
417.1072,"Carbohydrate-like"
433.1021,"Carbohydrate-like"
345.178,"Aliphatic+N"
316.1878,"Aliphatic+N"
331.0096,"Condensed Ar"
333.0252,"Aromatic"
349.0201,"Aromatic"
365.015,"Aromatic"
381.0099,"Aromatic"
319.0459,"Aromatic"
335.0409,"Aromatic"
351.0358,"Lignin-like"
367.0307,"Lignin-like"
383.0256,"Lignin-like"
399.0205,"Lignin-like"
321.0616,"Lignin-like"
337.0565,"Lignin-like"
353.0514,"Lignin-like"
369.0463,"Lignin-like"
385.0412,"Lignin-like"
323.0772,"Lignin-like"
339.0722,"Lignin-like"
355.0671,"Lignin-like"
371.062,"Lignin-like"
387.0569,"Lignin-like"
403.0518,"Lignin-like"
354.0831,"Lignin-like"
325.0929,"Lignin-like"
341.0878,"Lignin-like"
357.0827,"Lignin-like"
373.0776,"Lignin-like"
389.0725,"Lignin-like"
311.1136,"Lignin-like"
327.1085,"Lignin-like"
343.1035,"Lignin-like"
