"Forest","Treatment","Mass","presence","HC","OC"
"HW","PostFenton",283.2643,1,2,0.11
"HW","PostFenton",297.153,1,1.62,0.19
"HW","PostFenton",303.0722,1,1.33,0.75
"HW","PostFenton",307.0671,1,1.45,0.91
"HW","PostFenton",309.0616,1,1,0.57
"HW","PostFenton",309.0827,1,1.64,0.91
"HW","PostFenton",309.098,1,1.2,0.47
"HW","PostFenton",309.1707,1,1.53,0.29
"HW","PostFenton",309.1741,1,2.14,0.36
"HW","PostFenton",311.0772,1,1.14,0.57
"HW","PostFenton",311.1136,1,1.33,0.47
"HW","PostFenton",311.15,1,1.5,0.38
"HW","PostFenton",311.1686,1,1.65,0.18
"HW","PostFenton",313.0565,1,1.08,0.69
"HW","PostFenton",313.0929,1,1.29,0.57
"HW","PostFenton",313.1293,1,1.47,0.47
"HW","PostFenton",315.0722,1,1.23,0.69
"HW","PostFenton",315.1085,1,1.43,0.57
"HW","PostFenton",315.1449,1,1.6,0.47
"HW","PostFenton",317.0878,1,1.38,0.69
"HW","PostFenton",317.1242,1,1.57,0.57
"HW","PostFenton",319.0671,1,1.33,0.83
"HW","PostFenton",319.1035,1,1.54,0.69
"HW","PostFenton",319.1187,1,1.18,0.35
"HW","PostFenton",321.0463,1,1.27,1
"HW","PostFenton",321.0616,1,0.93,0.53
"HW","PostFenton",321.0827,1,1.5,0.83
"HW","PostFenton",321.098,1,1.12,0.44
"HW","PostFenton",321.1344,1,1.29,0.35
"HW","PostFenton",323.0409,1,0.86,0.64
"HW","PostFenton",323.062,1,1.45,1
"HW","PostFenton",323.0772,1,1.07,0.53
"HW","PostFenton",323.0984,1,1.67,0.83
"HW","PostFenton",323.1136,1,1.25,0.44
"HW","PostFenton",323.15,1,1.41,0.35
"HW","PostFenton",325.0201,1,0.77,0.77
"HW","PostFenton",325.0565,1,1,0.64
"HW","PostFenton",325.0776,1,1.64,1
"HW","PostFenton",325.0929,1,1.2,0.53
"HW","PostFenton",325.114,1,1.83,0.83
"HW","PostFenton",325.1293,1,1.38,0.44
"HW","PostFenton",325.1657,1,1.53,0.35
"HW","PostFenton",325.1843,1,1.67,0.17
"HW","PostFenton",327.0358,1,0.92,0.77
"HW","PostFenton",327.0722,1,1.14,0.64
"HW","PostFenton",327.0933,1,1.82,1
"HW","PostFenton",327.1085,1,1.33,0.53
"HW","PostFenton",327.1449,1,1.5,0.44
"HW","PostFenton",328.1514,1,1.64,0.43
"HW","PostFenton",329.0514,1,1.08,0.77
"HW","PostFenton",329.0878,1,1.29,0.64
"HW","PostFenton",329.1242,1,1.47,0.53
"HW","PostFenton",329.1606,1,1.62,0.44
"HW","PostFenton",330.1307,1,1.62,0.54
"HW","PostFenton",330.1671,1,1.79,0.43
"HW","PostFenton",331.0307,1,1,0.92
"HW","PostFenton",331.0459,1,0.75,0.5
"HW","PostFenton",331.0671,1,1.23,0.77
"HW","PostFenton",331.0823,1,0.94,0.41
"HW","PostFenton",331.1035,1,1.43,0.64
"HW","PostFenton",331.1187,1,1.11,0.33
"HW","PostFenton",331.1398,1,1.6,0.53
"HW","PostFenton",331.1551,1,1.26,0.26
"HW","PostFenton",331.1762,1,1.75,0.44
"HW","PostFenton",333.0252,1,0.67,0.6
"HW","PostFenton",333.0463,1,1.17,0.92
"HW","PostFenton",333.0616,1,0.88,0.5
"HW","PostFenton",333.0827,1,1.38,0.77
"HW","PostFenton",333.098,1,1.06,0.41
"HW","PostFenton",333.1191,1,1.57,0.64
"HW","PostFenton",333.1344,1,1.22,0.33
"HW","PostFenton",333.1555,1,1.73,0.53
"HW","PostFenton",335.0409,1,0.8,0.6
"HW","PostFenton",335.062,1,1.33,0.92
"HW","PostFenton",335.0772,1,1,0.5
"HW","PostFenton",335.0984,1,1.54,0.77
"HW","PostFenton",335.1136,1,1.18,0.41
"HW","PostFenton",335.1348,1,1.71,0.64
"HW","PostFenton",335.15,1,1.33,0.33
"HW","PostFenton",336.0936,1,1.58,0.83
"HW","PostFenton",336.3272,1,1.95,0.05
"HW","PostFenton",337.0201,1,0.71,0.71
"HW","PostFenton",337.0565,1,0.93,0.6
"HW","PostFenton",337.0776,1,1.5,0.92
"HW","PostFenton",337.0929,1,1.12,0.5
"HW","PostFenton",337.114,1,1.69,0.77
"HW","PostFenton",337.1293,1,1.29,0.41
"HW","PostFenton",337.1657,1,1.44,0.33
"HW","PostFenton",337.2054,1,2.12,0.31
"HW","PostFenton",339.0358,1,0.86,0.71
"HW","PostFenton",339.0569,1,1.45,1.09
"HW","PostFenton",339.0722,1,1.07,0.6
"HW","PostFenton",339.0933,1,1.67,0.92
"HW","PostFenton",339.1085,1,1.25,0.5
"HW","PostFenton",339.1297,1,1.85,0.77
"HW","PostFenton",339.1449,1,1.41,0.41
"HW","PostFenton",339.1602,1,1.14,0.19
"HW","PostFenton",339.1813,1,1.56,0.33
"HW","PostFenton",339.1999,1,1.68,0.16
"HW","PostFenton",339.3269,1,2,0.09
"HW","PostFenton",340.1514,1,1.53,0.4
"HW","PostFenton",341.0514,1,1,0.71
"HW","PostFenton",341.0725,1,1.64,1.09
"HW","PostFenton",341.0878,1,1.2,0.6
"HW","PostFenton",341.1089,1,1.83,0.92
"HW","PostFenton",341.1242,1,1.38,0.5
"HW","PostFenton",341.1606,1,1.53,0.41
"HW","PostFenton",341.197,1,1.67,0.33
"HW","PostFenton",342.1307,1,1.5,0.5
"HW","PostFenton",342.1671,1,1.67,0.4
"HW","PostFenton",343.0307,1,0.92,0.85
"HW","PostFenton",343.0671,1,1.14,0.71
"HW","PostFenton",343.0823,1,0.89,0.39
"HW","PostFenton",343.1035,1,1.33,0.6
"HW","PostFenton",343.1147,1,1.43,0.57
"HW","PostFenton",343.1398,1,1.5,0.5
"HW","PostFenton",343.1762,1,1.65,0.41
"HW","PostFenton",343.2126,1,1.78,0.33
"HW","PostFenton",344.1099,1,1.46,0.62
"HW","PostFenton",344.1463,1,1.64,0.5
"HW","PostFenton",344.1827,1,1.8,0.4
"HW","PostFenton",345.0252,1,0.62,0.56
"HW","PostFenton",345.0463,1,1.08,0.85
"HW","PostFenton",345.0616,1,0.82,0.47
"HW","PostFenton",345.0827,1,1.29,0.71
"HW","PostFenton",345.098,1,1,0.39
"HW","PostFenton",345.1191,1,1.47,0.6
"HW","PostFenton",345.1303,1,1.57,0.57
"HW","PostFenton",345.1344,1,1.16,0.32
"HW","PostFenton",345.1555,1,1.62,0.5
"HW","PostFenton",345.1707,1,1.3,0.25
"HW","PostFenton",345.1919,1,1.76,0.41
"HW","PostFenton",346.162,1,1.79,0.5
"HW","PostFenton",347.0409,1,0.75,0.56
"HW","PostFenton",347.062,1,1.23,0.85
"HW","PostFenton",347.0772,1,0.94,0.47
"HW","PostFenton",347.0984,1,1.43,0.71
"HW","PostFenton",347.1096,1,1.54,0.69
"HW","PostFenton",347.1136,1,1.11,0.39
"HW","PostFenton",347.1348,1,1.6,0.6
"HW","PostFenton",347.15,1,1.26,0.32
"HW","PostFenton",347.1711,1,1.75,0.5
"HW","PostFenton",349.0201,1,0.67,0.67
"HW","PostFenton",349.0565,1,0.88,0.56
"HW","PostFenton",349.0776,1,1.38,0.85
"HW","PostFenton",349.0929,1,1.06,0.47
"HW","PostFenton",349.114,1,1.57,0.71
"HW","PostFenton",349.1293,1,1.22,0.39
"HW","PostFenton",349.1504,1,1.73,0.6
"HW","PostFenton",349.1657,1,1.37,0.32
"HW","PostFenton",350.1093,1,1.62,0.77
"HW","PostFenton",351.0358,1,0.8,0.67
"HW","PostFenton",351.0569,1,1.33,1
"HW","PostFenton",351.0722,1,1,0.56
"HW","PostFenton",351.0933,1,1.54,0.85
"HW","PostFenton",351.1085,1,1.18,0.47
"HW","PostFenton",351.1297,1,1.71,0.71
"HW","PostFenton",351.1449,1,1.33,0.39
"HW","PostFenton",351.1813,1,1.47,0.32
"HW","PostFenton",351.2211,1,2.12,0.29
"HW","PostFenton",352.0885,1,1.58,0.92
"HW","PostFenton",353.015,1,0.71,0.79
"HW","PostFenton",353.0514,1,0.93,0.67
"HW","PostFenton",353.0725,1,1.5,1
"HW","PostFenton",353.0878,1,1.12,0.56
"HW","PostFenton",353.1089,1,1.69,0.85
"HW","PostFenton",353.1242,1,1.29,0.47
"HW","PostFenton",353.1453,1,1.86,0.71
"HW","PostFenton",353.1606,1,1.44,0.39
"HW","PostFenton",353.197,1,1.58,0.32
"HW","PostFenton",353.2003,1,2.12,0.38
"HW","PostFenton",353.3425,1,2,0.09
"HW","PostFenton",354.0831,1,1.13,0.6
"HW","PostFenton",354.1307,1,1.4,0.47
"HW","PostFenton",354.1671,1,1.56,0.38
"HW","PostFenton",355.0307,1,0.86,0.79
"HW","PostFenton",355.0671,1,1.07,0.67
"HW","PostFenton",355.0882,1,1.67,1
"HW","PostFenton",355.1035,1,1.25,0.56
"HW","PostFenton",355.1246,1,1.85,0.85
"HW","PostFenton",355.1398,1,1.41,0.47
"HW","PostFenton",355.1551,1,1.14,0.24
"HW","PostFenton",355.1623,1,1.6,0.4
"HW","PostFenton",355.1762,1,1.56,0.39
"HW","PostFenton",356.0987,1,1.27,0.6
"HW","PostFenton",356.1099,1,1.36,0.57
"HW","PostFenton",356.1463,1,1.53,0.47
"HW","PostFenton",356.1827,1,1.69,0.38
"HW","PostFenton",357.0463,1,1,0.79
"HW","PostFenton",357.0616,1,0.78,0.44
"HW","PostFenton",357.0827,1,1.2,0.67
"HW","PostFenton",357.098,1,0.95,0.37
