"Mass","Forest","fenton","adsorbed","HC","OC","Class"
319.1551,"HW","PostFenton","new",1.33,0.28,"Lignin-like"
319.1551,"HW","PreFenton","new",1.33,0.28,"Lignin-like"
319.2126,"HW","PreFenton","new",2,0.38,"Aliphatic-noN"
321.0252,"HW","PreFenton","sorbed",0.71,0.64,"Aromatic"
321.0463,"HW","PostFenton","sorbed",1.27,1,"Lignin-like"
321.0616,"HW","PostFenton","sorbed",0.93,0.53,"Lignin-like"
321.0616,"HW","PreFenton","unbound",0.93,0.53,"Lignin-like"
321.0827,"HW","PostFenton","unbound",1.5,0.83,"Carbohydrate-like"
321.0827,"HW","PreFenton","new",1.5,0.83,"Carbohydrate-like"
321.098,"HW","PostFenton","unbound",1.12,0.44,"Lignin-like"
321.098,"HW","PreFenton","unbound",1.12,0.44,"Lignin-like"
321.1344,"HW","PostFenton","unbound",1.29,0.35,"Lignin-like"
321.1344,"HW","PreFenton","unbound",1.29,0.35,"Lignin-like"
321.1707,"HW","PostFenton","new",1.44,0.28,"Lignin-like"
321.1707,"HW","PreFenton","unbound",1.44,0.28,"Lignin-like"
322.1408,"HW","PreFenton","new",1.4,0.33,"Lignin-like"
323.0409,"HW","PostFenton","sorbed",0.86,0.64,"Lignin-like"
323.0409,"HW","PreFenton","sorbed",0.86,0.64,"Lignin-like"
323.062,"HW","PostFenton","sorbed",1.45,1,"Lignin-like"
323.0772,"HW","PostFenton","unbound",1.07,0.53,"Lignin-like"
323.0772,"HW","PreFenton","unbound",1.07,0.53,"Lignin-like"
323.0984,"HW","PostFenton","unbound",1.67,0.83,"Carbohydrate-like"
323.0984,"HW","PreFenton","unbound",1.67,0.83,"Carbohydrate-like"
323.1136,"HW","PostFenton","unbound",1.25,0.44,"Lignin-like"
323.1136,"HW","PreFenton","unbound",1.25,0.44,"Lignin-like"
323.1348,"HW","PostFenton","new",1.85,0.69,"Carbohydrate-like"
323.1348,"HW","PreFenton","new",1.85,0.69,"Carbohydrate-like"
323.15,"HW","PostFenton","unbound",1.41,0.35,"Lignin-like"
323.15,"HW","PreFenton","unbound",1.41,0.35,"Lignin-like"
323.1864,"HW","PostFenton","new",1.56,0.28,"Aliphatic-noN"
323.1864,"HW","PreFenton","unbound",1.56,0.28,"Aliphatic-noN"
324.1565,"HW","PostFenton","new",1.53,0.33,"Aliphatic+N"
324.1565,"HW","PreFenton","new",1.53,0.33,"Aliphatic+N"
325.0201,"HW","PostFenton","sorbed",0.77,0.77,"Lignin-like"
325.0565,"HW","PostFenton","sorbed",1,0.64,"Lignin-like"
325.0565,"HW","PreFenton","sorbed",1,0.64,"Lignin-like"
325.0776,"HW","PostFenton","sorbed",1.64,1,"Carbohydrate-like"
325.0929,"HW","PostFenton","unbound",1.2,0.53,"Lignin-like"
325.0929,"HW","PreFenton","unbound",1.2,0.53,"Lignin-like"
325.114,"HW","PostFenton","sorbed",1.83,0.83,"Carbohydrate-like"
325.1293,"HW","PostFenton","unbound",1.38,0.44,"Lignin-like"
325.1293,"HW","PreFenton","unbound",1.38,0.44,"Lignin-like"
325.1657,"HW","PostFenton","unbound",1.53,0.35,"Aliphatic-noN"
325.1657,"HW","PreFenton","unbound",1.53,0.35,"Aliphatic-noN"
325.1843,"HW","PostFenton","unbound",1.67,0.17,"Aliphatic-noN"
325.1843,"HW","PreFenton","unbound",1.67,0.17,"Aliphatic-noN"
325.202,"HW","PostFenton","new",1.67,0.28,"Aliphatic-noN"
325.202,"HW","PreFenton","unbound",1.67,0.28,"Aliphatic-noN"
326.1358,"HW","PostFenton","new",1.5,0.43,"Aliphatic+N"
326.1721,"HW","PostFenton","new",1.67,0.33,"Aliphatic+N"
326.1721,"HW","PreFenton","unbound",1.67,0.33,"Aliphatic+N"
326.2085,"HW","PostFenton","new",1.81,0.25,"Aliphatic+N"
326.2085,"HW","PreFenton","unbound",1.81,0.25,"Aliphatic+N"
327.0358,"HW","PostFenton","sorbed",0.92,0.77,"Lignin-like"
327.0358,"HW","PreFenton","sorbed",0.92,0.77,"Lignin-like"
327.051,"HW","PreFenton","sorbed",0.71,0.41,"Aromatic"
327.0722,"HW","PostFenton","unbound",1.14,0.64,"Lignin-like"
327.0722,"HW","PreFenton","sorbed",1.14,0.64,"Lignin-like"
327.0874,"HW","PreFenton","sorbed",0.89,0.33,"Aromatic"
327.0933,"HW","PostFenton","sorbed",1.82,1,"Carbohydrate-like"
327.1085,"HW","PostFenton","unbound",1.33,0.53,"Lignin-like"
327.1085,"HW","PreFenton","unbound",1.33,0.53,"Lignin-like"
327.1449,"HW","PostFenton","unbound",1.5,0.44,"Aliphatic-noN"
327.1449,"HW","PreFenton","unbound",1.5,0.44,"Aliphatic-noN"
327.1813,"HW","PostFenton","new",1.65,0.35,"Aliphatic-noN"
327.1813,"HW","PreFenton","unbound",1.65,0.35,"Aliphatic-noN"
327.1925,"HW","PreFenton","new",1.75,0.31,"Aliphatic+N"
327.2177,"HW","PostFenton","new",1.78,0.28,"Aliphatic-noN"
327.2177,"HW","PreFenton","unbound",1.78,0.28,"Aliphatic-noN"
328.115,"HW","PostFenton","new",1.46,0.54,"Lignin-like"
328.1514,"HW","PostFenton","unbound",1.64,0.43,"Aliphatic+N"
328.1514,"HW","PreFenton","unbound",1.64,0.43,"Aliphatic+N"
328.1878,"HW","PostFenton","new",1.8,0.33,"Aliphatic+N"
328.1878,"HW","PreFenton","unbound",1.8,0.33,"Aliphatic+N"
328.2242,"HW","PostFenton","new",1.94,0.25,"Aliphatic+N"
328.2242,"HW","PreFenton","unbound",1.94,0.25,"Aliphatic+N"
329.0303,"HW","PreFenton","sorbed",0.62,0.5,"Condensed Ar"
329.0514,"HW","PostFenton","sorbed",1.08,0.77,"Lignin-like"
329.0514,"HW","PreFenton","sorbed",1.08,0.77,"Lignin-like"
329.0667,"HW","PreFenton","sorbed",0.82,0.41,"Aromatic"
329.0878,"HW","PostFenton","unbound",1.29,0.64,"Lignin-like"
329.0878,"HW","PreFenton","unbound",1.29,0.64,"Lignin-like"
329.1031,"HW","PreFenton","sorbed",1,0.33,"Lignin-like"
329.1242,"HW","PostFenton","unbound",1.47,0.53,"Lignin-like"
329.1242,"HW","PreFenton","unbound",1.47,0.53,"Lignin-like"
329.1354,"HW","PostFenton","new",1.57,0.5,"Aliphatic+N"
329.1354,"HW","PreFenton","new",1.57,0.5,"Aliphatic+N"
329.1394,"HW","PostFenton","new",1.16,0.26,"Lignin-like"
329.1394,"HW","PreFenton","unbound",1.16,0.26,"Lignin-like"
329.1467,"HW","PostFenton","new",1.69,0.46,"Aliphatic+N"
329.1606,"HW","PostFenton","unbound",1.62,0.44,"Aliphatic-noN"
329.1606,"HW","PreFenton","unbound",1.62,0.44,"Aliphatic-noN"
329.1718,"HW","PreFenton","new",1.73,0.4,"Aliphatic+N"
329.1758,"HW","PostFenton","new",1.3,0.2,"Lignin-like"
329.1758,"HW","PreFenton","new",1.3,0.2,"Lignin-like"
329.183,"HW","PostFenton","new",1.86,0.36,"Aliphatic+N"
329.183,"HW","PreFenton","new",1.86,0.36,"Aliphatic+N"
329.197,"HW","PostFenton","new",1.76,0.35,"Aliphatic-noN"
329.197,"HW","PreFenton","unbound",1.76,0.35,"Aliphatic-noN"
329.2333,"HW","PostFenton","new",1.89,0.28,"Aliphatic-noN"
329.2333,"HW","PreFenton","unbound",1.89,0.28,"Aliphatic-noN"
330.1307,"HW","PostFenton","unbound",1.62,0.54,"Aliphatic+N"
330.1671,"HW","PostFenton","unbound",1.79,0.43,"Aliphatic+N"
330.1671,"HW","PreFenton","unbound",1.79,0.43,"Aliphatic+N"
330.2034,"HW","PostFenton","new",1.93,0.33,"Aliphatic+N"
330.2034,"HW","PreFenton","unbound",1.93,0.33,"Aliphatic+N"
331.0096,"HW","PreFenton","sorbed",0.53,0.6,"Condensed Ar"
331.0307,"HW","PostFenton","sorbed",1,0.92,"Lignin-like"
331.0459,"HW","PostFenton","sorbed",0.75,0.5,"Aromatic"
331.0459,"HW","PreFenton","unbound",0.75,0.5,"Aromatic"
331.0671,"HW","PostFenton","sorbed",1.23,0.77,"Lignin-like"
331.0823,"HW","PostFenton","sorbed",0.94,0.41,"Lignin-like"
331.0823,"HW","PreFenton","unbound",0.94,0.41,"Lignin-like"
331.1035,"HW","PostFenton","unbound",1.43,0.64,"Lignin-like"
331.1035,"HW","PreFenton","unbound",1.43,0.64,"Lignin-like"
331.1187,"HW","PostFenton","unbound",1.11,0.33,"Lignin-like"
331.1187,"HW","PreFenton","unbound",1.11,0.33,"Lignin-like"
331.1398,"HW","PostFenton","unbound",1.6,0.53,"Aliphatic-noN"
331.1398,"HW","PreFenton","unbound",1.6,0.53,"Aliphatic-noN"
331.1551,"HW","PostFenton","unbound",1.26,0.26,"Lignin-like"
331.1551,"HW","PreFenton","unbound",1.26,0.26,"Lignin-like"
331.1762,"HW","PostFenton","unbound",1.75,0.44,"Aliphatic-noN"
331.1762,"HW","PreFenton","unbound",1.75,0.44,"Aliphatic-noN"
331.1915,"HW","PostFenton","new",1.4,0.2,"Lignin-like"
331.1915,"HW","PreFenton","new",1.4,0.2,"Lignin-like"
331.2126,"HW","PostFenton","new",1.88,0.35,"Aliphatic-noN"
331.2126,"HW","PreFenton","unbound",1.88,0.35,"Aliphatic-noN"
331.249,"HW","PreFenton","unbound",2,0.28,"Aliphatic-noN"
332.1252,"HW","PreFenton","new",1.19,0.31,"Lignin-like"
332.1827,"HW","PostFenton","new",1.93,0.43,"Aliphatic+N"
333.0252,"HW","PostFenton","sorbed",0.67,0.6,"Aromatic"
333.0252,"HW","PreFenton","sorbed",0.67,0.6,"Aromatic"
333.0463,"HW","PostFenton","sorbed",1.17,0.92,"Lignin-like"
333.0616,"HW","PostFenton","sorbed",0.88,0.5,"Lignin-like"
333.0616,"HW","PreFenton","unbound",0.88,0.5,"Lignin-like"
333.0827,"HW","PostFenton","sorbed",1.38,0.77,"Lignin-like"
333.098,"HW","PostFenton","unbound",1.06,0.41,"Lignin-like"
333.098,"HW","PreFenton","unbound",1.06,0.41,"Lignin-like"
333.1191,"HW","PostFenton","unbound",1.57,0.64,"Carbohydrate-like"
333.1191,"HW","PreFenton","unbound",1.57,0.64,"Carbohydrate-like"
333.1344,"HW","PostFenton","unbound",1.22,0.33,"Lignin-like"
