"Mass","Forest","fenton","adsorbed","HC","OC","Class"
423.2024,"HW","PostFenton","unbound",1.45,0.36,"Lignin-like"
423.2024,"HW","PreFenton","unbound",1.45,0.36,"Lignin-like"
423.2058,"HW","PreFenton","new",1.89,0.42,"Aliphatic-noN"
423.2388,"HW","PostFenton","new",1.57,0.3,"Aliphatic-noN"
423.2388,"HW","PreFenton","unbound",1.57,0.3,"Aliphatic-noN"
423.2613,"HW","PreFenton","new",1.71,0.24,"Aliphatic+N"
424.0885,"HW","PreFenton","sorbed",1.06,0.61,"Lignin-like"
424.1097,"HW","PostFenton","sorbed",1.53,0.87,"Carbohydrate-like"
424.146,"HW","PostFenton","unbound",1.69,0.75,"Carbohydrate-like"
425.015,"HW","PreFenton","sorbed",0.5,0.55,"Condensed Ar"
425.0362,"HW","PostFenton","sorbed",0.82,0.76,"Lignin-like"
425.0362,"HW","PreFenton","sorbed",0.82,0.76,"Lignin-like"
425.0514,"HW","PreFenton","unbound",0.67,0.48,"Aromatic"
425.0725,"HW","PostFenton","unbound",1,0.67,"Lignin-like"
425.0725,"HW","PreFenton","sorbed",1,0.67,"Lignin-like"
425.0878,"HW","PreFenton","unbound",0.82,0.41,"Aromatic"
425.0937,"HW","PostFenton","unbound",1.47,0.93,"Lignin-like"
425.1089,"HW","PostFenton","unbound",1.16,0.58,"Lignin-like"
425.1089,"HW","PreFenton","unbound",1.16,0.58,"Lignin-like"
425.1242,"HW","PreFenton","unbound",0.96,0.35,"Lignin-like"
425.1301,"HW","PostFenton","unbound",1.62,0.81,"Carbohydrate-like"
425.1301,"HW","PreFenton","unbound",1.62,0.81,"Carbohydrate-like"
425.1453,"HW","PostFenton","unbound",1.3,0.5,"Lignin-like"
425.1453,"HW","PreFenton","unbound",1.3,0.5,"Lignin-like"
425.1606,"HW","PreFenton","unbound",1.08,0.29,"Lignin-like"
425.1664,"HW","PostFenton","unbound",1.76,0.71,"Carbohydrate-like"
425.1664,"HW","PreFenton","new",1.76,0.71,"Carbohydrate-like"
425.1678,"HW","PostFenton","new",1.44,0.44,"Lignin-like"
425.1817,"HW","PostFenton","unbound",1.43,0.43,"Lignin-like"
425.1817,"HW","PreFenton","unbound",1.43,0.43,"Lignin-like"
425.197,"HW","PostFenton","new",1.2,0.24,"Lignin-like"
425.197,"HW","PreFenton","new",1.2,0.24,"Lignin-like"
425.2042,"HW","PostFenton","new",1.58,0.37,"Aliphatic+N"
425.2042,"HW","PreFenton","unbound",1.58,0.37,"Aliphatic+N"
425.2181,"HW","PostFenton","unbound",1.55,0.36,"Aliphatic-noN"
425.2181,"HW","PreFenton","unbound",1.55,0.36,"Aliphatic-noN"
425.2215,"HW","PreFenton","new",2,0.42,"Aliphatic-noN"
425.2333,"HW","PreFenton","new",1.31,0.19,"Lignin-like"
425.2406,"HW","PostFenton","new",1.7,0.3,"Aliphatic+N"
425.2406,"HW","PreFenton","unbound",1.7,0.3,"Aliphatic+N"
425.2545,"HW","PreFenton","unbound",1.65,0.3,"Aliphatic-noN"
425.2578,"HW","PostFenton","unbound",2.1,0.35,"Aliphatic-noN"
425.2578,"HW","PreFenton","unbound",2.1,0.35,"Aliphatic-noN"
425.2769,"HW","PreFenton","new",1.81,0.24,"Aliphatic+N"
426.1253,"HW","PostFenton","sorbed",1.67,0.87,"Carbohydrate-like"
426.1994,"HW","PostFenton","new",1.61,0.39,"Aliphatic+N"
426.1994,"HW","PreFenton","new",1.61,0.39,"Aliphatic+N"
426.2246,"HW","PostFenton","new",1.65,0.35,"Aliphatic+N"
426.2358,"HW","PostFenton","new",1.74,0.32,"Aliphatic+N"
426.2358,"HW","PreFenton","new",1.74,0.32,"Aliphatic+N"
427.0154,"HW","PostFenton","sorbed",0.75,0.88,"Lignin-like"
427.0307,"HW","PreFenton","unbound",0.6,0.55,"Aromatic"
427.0518,"HW","PostFenton","sorbed",0.94,0.76,"Lignin-like"
427.0518,"HW","PreFenton","sorbed",0.94,0.76,"Lignin-like"
427.0671,"HW","PreFenton","unbound",0.76,0.48,"Aromatic"
427.0882,"HW","PostFenton","unbound",1.11,0.67,"Lignin-like"
427.0882,"HW","PreFenton","unbound",1.11,0.67,"Lignin-like"
427.1035,"HW","PreFenton","unbound",0.91,0.41,"Lignin-like"
427.1093,"HW","PostFenton","unbound",1.6,0.93,"Carbohydrate-like"
427.1093,"HW","PreFenton","unbound",1.6,0.93,"Carbohydrate-like"
427.1246,"HW","PostFenton","unbound",1.26,0.58,"Lignin-like"
427.1246,"HW","PreFenton","unbound",1.26,0.58,"Lignin-like"
427.128,"HW","PostFenton","new",1.75,0.69,"Carbohydrate-like"
427.1398,"HW","PreFenton","unbound",1.04,0.35,"Lignin-like"
427.1457,"HW","PostFenton","unbound",1.75,0.81,"Carbohydrate-like"
427.1457,"HW","PreFenton","unbound",1.75,0.81,"Carbohydrate-like"
427.161,"HW","PostFenton","unbound",1.4,0.5,"Lignin-like"
427.161,"HW","PreFenton","unbound",1.4,0.5,"Lignin-like"
427.1762,"HW","PostFenton","unbound",1.17,0.29,"Lignin-like"
427.1762,"HW","PreFenton","unbound",1.17,0.29,"Lignin-like"
427.1834,"HW","PostFenton","unbound",1.56,0.44,"Aliphatic+N"
427.1834,"HW","PreFenton","unbound",1.56,0.44,"Aliphatic+N"
427.1974,"HW","PostFenton","unbound",1.52,0.43,"Aliphatic-noN"
427.1974,"HW","PreFenton","unbound",1.52,0.43,"Aliphatic-noN"
427.2126,"HW","PostFenton","new",1.28,0.24,"Lignin-like"
427.2126,"HW","PreFenton","unbound",1.28,0.24,"Lignin-like"
427.2198,"HW","PostFenton","unbound",1.68,0.37,"Aliphatic+N"
427.2198,"HW","PreFenton","unbound",1.68,0.37,"Aliphatic+N"
427.2337,"HW","PostFenton","unbound",1.64,0.36,"Aliphatic-noN"
427.2337,"HW","PreFenton","unbound",1.64,0.36,"Aliphatic-noN"
427.249,"HW","PreFenton","new",1.38,0.19,"Lignin-like"
427.2562,"HW","PostFenton","new",1.8,0.3,"Aliphatic+N"
427.2562,"HW","PreFenton","unbound",1.8,0.3,"Aliphatic+N"
427.2701,"HW","PreFenton","new",1.74,0.3,"Aliphatic-noN"
428.0987,"HW","PreFenton","sorbed",0.9,0.43,"Aromatic"
428.1675,"HW","PostFenton","unbound",1.5,0.5,"Aliphatic+N"
428.1787,"HW","PostFenton","unbound",1.59,0.47,"Aliphatic+N"
428.1787,"HW","PreFenton","new",1.59,0.47,"Aliphatic+N"
428.2038,"HW","PostFenton","new",1.63,0.42,"Aliphatic+N"
428.2038,"HW","PreFenton","new",1.63,0.42,"Aliphatic+N"
428.2151,"HW","PostFenton","new",1.72,0.39,"Aliphatic+N"
428.2151,"HW","PreFenton","unbound",1.72,0.39,"Aliphatic+N"
428.2402,"HW","PreFenton","new",1.75,0.35,"Aliphatic+N"
428.2515,"HW","PostFenton","new",1.84,0.32,"Aliphatic+N"
428.2515,"HW","PreFenton","unbound",1.84,0.32,"Aliphatic+N"
429.0099,"HW","PreFenton","sorbed",0.53,0.63,"Condensed Ar"
429.0311,"HW","PostFenton","sorbed",0.88,0.88,"Lignin-like"
429.0463,"HW","PreFenton","unbound",0.7,0.55,"Aromatic"
429.0675,"HW","PostFenton","sorbed",1.06,0.76,"Lignin-like"
429.0675,"HW","PreFenton","sorbed",1.06,0.76,"Lignin-like"
429.0827,"HW","PostFenton","sorbed",0.86,0.48,"Lignin-like"
429.0827,"HW","PreFenton","unbound",0.86,0.48,"Lignin-like"
429.1038,"HW","PostFenton","unbound",1.22,0.67,"Lignin-like"
429.1038,"HW","PreFenton","unbound",1.22,0.67,"Lignin-like"
429.1191,"HW","PostFenton","sorbed",1,0.41,"Lignin-like"
429.1191,"HW","PreFenton","unbound",1,0.41,"Lignin-like"
429.125,"HW","PostFenton","unbound",1.73,0.93,"Carbohydrate-like"
429.125,"HW","PreFenton","sorbed",1.73,0.93,"Carbohydrate-like"
429.1402,"HW","PostFenton","unbound",1.37,0.58,"Lignin-like"
429.1402,"HW","PreFenton","unbound",1.37,0.58,"Lignin-like"
429.1555,"HW","PostFenton","unbound",1.13,0.35,"Lignin-like"
429.1555,"HW","PreFenton","unbound",1.13,0.35,"Lignin-like"
429.1627,"HW","PostFenton","sorbed",1.53,0.53,"Aliphatic+N"
429.1766,"HW","PostFenton","unbound",1.5,0.5,"Aliphatic-noN"
429.1766,"HW","PreFenton","unbound",1.5,0.5,"Aliphatic-noN"
429.1919,"HW","PostFenton","unbound",1.25,0.29,"Lignin-like"
429.1919,"HW","PreFenton","unbound",1.25,0.29,"Lignin-like"
429.1991,"HW","PostFenton","unbound",1.67,0.44,"Aliphatic+N"
429.1991,"HW","PreFenton","unbound",1.67,0.44,"Aliphatic+N"
429.213,"HW","PostFenton","unbound",1.62,0.43,"Aliphatic-noN"
429.213,"HW","PreFenton","unbound",1.62,0.43,"Aliphatic-noN"
429.2283,"HW","PostFenton","new",1.36,0.24,"Lignin-like"
429.2283,"HW","PreFenton","unbound",1.36,0.24,"Lignin-like"
429.2355,"HW","PostFenton","unbound",1.79,0.37,"Aliphatic+N"
429.2355,"HW","PreFenton","unbound",1.79,0.37,"Aliphatic+N"
429.2494,"HW","PostFenton","new",1.73,0.36,"Aliphatic-noN"
429.2494,"HW","PreFenton","unbound",1.73,0.36,"Aliphatic-noN"
429.2646,"HW","PreFenton","new",1.46,0.19,"Lignin-like"
429.2719,"HW","PostFenton","new",1.9,0.3,"Aliphatic+N"
429.2719,"HW","PreFenton","unbound",1.9,0.3,"Aliphatic+N"
429.2858,"HW","PreFenton","new",1.83,0.3,"Aliphatic-noN"
430.1467,"HW","PostFenton","sorbed",1.47,0.59,"Lignin-like"
430.1578,"HW","PostFenton","new",1,0.12,"Aromatic"
430.1831,"HW","PostFenton","unbound",1.61,0.5,"Aliphatic+N"
430.1831,"HW","PreFenton","unbound",1.61,0.5,"Aliphatic+N"
430.1943,"HW","PostFenton","unbound",1.71,0.47,"Aliphatic+N"
430.1943,"HW","PreFenton","sorbed",1.71,0.47,"Aliphatic+N"
430.2307,"HW","PostFenton","new",1.83,0.39,"Aliphatic+N"
430.2307,"HW","PreFenton","unbound",1.83,0.39,"Aliphatic+N"
431.0256,"HW","PostFenton","sorbed",0.63,0.63,"Aromatic"
431.0256,"HW","PreFenton","sorbed",0.63,0.63,"Aromatic"
431.0467,"HW","PostFenton","sorbed",1,0.88,"Lignin-like"
431.062,"HW","PostFenton","sorbed",0.8,0.55,"Aromatic"
431.062,"HW","PreFenton","unbound",0.8,0.55,"Aromatic"
431.0831,"HW","PostFenton","sorbed",1.18,0.76,"Lignin-like"
431.0831,"HW","PreFenton","sorbed",1.18,0.76,"Lignin-like"
431.0865,"HW","PostFenton","unbound",1.71,0.93,"Carbohydrate-like"
431.096,"HW","PreFenton","new",1.79,0.93,"Carbohydrate-like"
431.0984,"HW","PostFenton","sorbed",0.95,0.48,"Lignin-like"
431.0984,"HW","PreFenton","unbound",0.95,0.48,"Lignin-like"
431.1195,"HW","PostFenton","unbound",1.33,0.67,"Lignin-like"
431.1195,"HW","PreFenton","unbound",1.33,0.67,"Lignin-like"
431.1229,"HW","PostFenton","new",1.87,0.8,"Carbohydrate-like"
431.1229,"HW","PreFenton","unbound",1.87,0.8,"Carbohydrate-like"
431.1348,"HW","PostFenton","unbound",1.09,0.41,"Lignin-like"
431.1348,"HW","PreFenton","unbound",1.09,0.41,"Lignin-like"
431.1559,"HW","PostFenton","unbound",1.47,0.58,"Lignin-like"
431.1559,"HW","PreFenton","unbound",1.47,0.58,"Lignin-like"
431.1711,"HW","PostFenton","unbound",1.22,0.35,"Lignin-like"
431.1711,"HW","PreFenton","unbound",1.22,0.35,"Lignin-like"
431.1784,"HW","PostFenton","unbound",1.65,0.53,"Aliphatic+N"
431.1784,"HW","PreFenton","new",1.65,0.53,"Aliphatic+N"
431.1923,"HW","PostFenton","unbound",1.6,0.5,"Aliphatic-noN"
431.1923,"HW","PreFenton","unbound",1.6,0.5,"Aliphatic-noN"
431.2075,"HW","PostFenton","unbound",1.33,0.29,"Lignin-like"
431.2075,"HW","PreFenton","unbound",1.33,0.29,"Lignin-like"
431.2147,"HW","PostFenton","unbound",1.78,0.44,"Aliphatic+N"
431.2147,"HW","PreFenton","unbound",1.78,0.44,"Aliphatic+N"
431.2287,"HW","PostFenton","unbound",1.71,0.43,"Aliphatic-noN"
431.2287,"HW","PreFenton","unbound",1.71,0.43,"Aliphatic-noN"
431.2439,"HW","PostFenton","new",1.44,0.24,"Lignin-like"
431.2439,"HW","PreFenton","unbound",1.44,0.24,"Lignin-like"
431.2511,"HW","PostFenton","new",1.89,0.37,"Aliphatic+N"
431.2511,"HW","PreFenton","unbound",1.89,0.37,"Aliphatic+N"
431.265,"HW","PostFenton","new",1.82,0.36,"Aliphatic-noN"
431.265,"HW","PreFenton","new",1.82,0.36,"Aliphatic-noN"
432.1195,"HW","PostFenton","new",1.53,0.53,"Aliphatic+N"
432.1624,"HW","PostFenton","unbound",1.59,0.59,"Aliphatic+N"
433.0049,"HW","PreFenton","sorbed",0.56,0.72,"Aromatic"
433.0412,"HW","PostFenton","sorbed",0.74,0.63,"Aromatic"
433.0412,"HW","PreFenton","unbound",0.74,0.63,"Aromatic"
433.0624,"HW","PostFenton","sorbed",1.12,0.88,"Lignin-like"
433.0657,"HW","PostFenton","sorbed",1.69,1.08,"Carbohydrate-like"
433.0776,"HW","PostFenton","sorbed",0.9,0.55,"Lignin-like"
433.0776,"HW","PreFenton","unbound",0.9,0.55,"Lignin-like"
433.0931,"HW","PreFenton","new",1.53,0.29,"Aliphatic+N"
433.0988,"HW","PostFenton","sorbed",1.29,0.76,"Lignin-like"
433.0988,"HW","PreFenton","sorbed",1.29,0.76,"Lignin-like"
433.1021,"HW","PostFenton","unbound",1.86,0.93,"Carbohydrate-like"
433.1021,"HW","PreFenton","unbound",1.86,0.93,"Carbohydrate-like"
433.11,"HW","PostFenton","sorbed",1.38,0.75,"Lignin-like"
433.114,"HW","PostFenton","unbound",1.05,0.48,"Lignin-like"
433.114,"HW","PreFenton","unbound",1.05,0.48,"Lignin-like"
433.1351,"HW","PostFenton","unbound",1.44,0.67,"Lignin-like"
433.1351,"HW","PreFenton","sorbed",1.44,0.67,"Lignin-like"
433.1464,"HW","PostFenton","sorbed",1.53,0.65,"Carbohydrate-like"
433.1504,"HW","PostFenton","unbound",1.18,0.41,"Lignin-like"
433.1504,"HW","PreFenton","unbound",1.18,0.41,"Lignin-like"
433.1715,"HW","PostFenton","unbound",1.58,0.58,"Aliphatic-noN"
433.1868,"HW","PostFenton","unbound",1.3,0.35,"Lignin-like"
433.1868,"HW","PreFenton","unbound",1.3,0.35,"Lignin-like"
433.194,"HW","PostFenton","sorbed",1.76,0.53,"Aliphatic+N"
433.2079,"HW","PostFenton","unbound",1.7,0.5,"Aliphatic-noN"
433.2079,"HW","PreFenton","unbound",1.7,0.5,"Aliphatic-noN"
433.2232,"HW","PostFenton","unbound",1.42,0.29,"Lignin-like"
433.2232,"HW","PreFenton","unbound",1.42,0.29,"Lignin-like"
433.2443,"HW","PostFenton","new",1.81,0.43,"Aliphatic-noN"
433.2443,"HW","PreFenton","unbound",1.81,0.43,"Aliphatic-noN"
433.2596,"HW","PostFenton","new",1.52,0.24,"Aliphatic-noN"
433.2596,"HW","PreFenton","new",1.52,0.24,"Aliphatic-noN"
433.2807,"HW","PreFenton","new",1.91,0.36,"Aliphatic-noN"
433.3323,"HW","PostFenton","new",1.7,0.15,"Aliphatic-noN"
434.1093,"HW","PreFenton","sorbed",1.05,0.5,"Lignin-like"
435.0205,"HW","PostFenton","sorbed",0.67,0.72,"Aromatic"
435.0205,"HW","PreFenton","sorbed",0.67,0.72,"Aromatic"
435.0569,"HW","PostFenton","sorbed",0.84,0.63,"Lignin-like"
435.0569,"HW","PreFenton","unbound",0.84,0.63,"Lignin-like"
435.0722,"HW","PreFenton","sorbed",0.7,0.39,"Aromatic"
435.078,"HW","PostFenton","sorbed",1.25,0.88,"Lignin-like"
435.0815,"HW","PostFenton","sorbed",0.35,0.03,"Condensed Ar"
435.0933,"HW","PostFenton","unbound",1,0.55,"Lignin-like"
435.0933,"HW","PreFenton","unbound",1,0.55,"Lignin-like"
435.1144,"HW","PostFenton","unbound",1.41,0.76,"Lignin-like"
435.1144,"HW","PreFenton","unbound",1.41,0.76,"Lignin-like"
435.1256,"HW","PostFenton","unbound",1.5,0.75,"Carbohydrate-like"
435.1297,"HW","PostFenton","unbound",1.14,0.48,"Lignin-like"
435.1297,"HW","PreFenton","unbound",1.14,0.48,"Lignin-like"
435.1508,"HW","PostFenton","unbound",1.56,0.67,"Carbohydrate-like"
435.1508,"HW","PreFenton","new",1.56,0.67,"Carbohydrate-like"
435.1661,"HW","PostFenton","unbound",1.27,0.41,"Lignin-like"
435.1661,"HW","PreFenton","unbound",1.27,0.41,"Lignin-like"
435.1872,"HW","PostFenton","unbound",1.68,0.58,"Aliphatic-noN"
435.1872,"HW","PreFenton","new",1.68,0.58,"Aliphatic-noN"
435.2024,"HW","PostFenton","unbound",1.39,0.35,"Lignin-like"
435.2024,"HW","PreFenton","unbound",1.39,0.35,"Lignin-like"
435.2236,"HW","PostFenton","new",1.8,0.5,"Aliphatic-noN"
435.2249,"HW","PreFenton","unbound",1.52,0.29,"Aliphatic+N"
435.2388,"HW","PostFenton","unbound",1.5,0.29,"Aliphatic-noN"
435.2388,"HW","PreFenton","unbound",1.5,0.29,"Aliphatic-noN"
435.26,"HW","PreFenton","unbound",1.9,0.43,"Aliphatic-noN"
435.2752,"HW","PreFenton","new",1.6,0.24,"Aliphatic-noN"
436.1097,"HW","PostFenton","sorbed",1.44,0.81,"Lignin-like"
436.146,"HW","PostFenton","new",1.59,0.71,"Carbohydrate-like"
437.0362,"HW","PostFenton","sorbed",0.78,0.72,"Lignin-like"
437.0362,"HW","PreFenton","unbound",0.78,0.72,"Lignin-like"
437.0514,"HW","PreFenton","unbound",0.64,0.45,"Aromatic"
437.0725,"HW","PostFenton","sorbed",0.95,0.63,"Lignin-like"
437.0725,"HW","PreFenton","unbound",0.95,0.63,"Lignin-like"
437.0878,"HW","PreFenton","sorbed",0.78,0.39,"Aromatic"
437.0937,"HW","PostFenton","unbound",1.38,0.88,"Lignin-like"
437.1089,"HW","PostFenton","unbound",1.1,0.55,"Lignin-like"
437.1089,"HW","PreFenton","unbound",1.1,0.55,"Lignin-like"
437.1301,"HW","PostFenton","unbound",1.53,0.76,"Carbohydrate-like"
437.1301,"HW","PreFenton","unbound",1.53,0.76,"Carbohydrate-like"
437.1413,"HW","PostFenton","unbound",1.62,0.75,"Carbohydrate-like"
437.1453,"HW","PostFenton","unbound",1.24,0.48,"Lignin-like"
437.1453,"HW","PreFenton","unbound",1.24,0.48,"Lignin-like"
437.1664,"HW","PostFenton","unbound",1.67,0.67,"Carbohydrate-like"
437.1664,"HW","PreFenton","unbound",1.67,0.67,"Carbohydrate-like"
437.1817,"HW","PostFenton","unbound",1.36,0.41,"Lignin-like"
437.1817,"HW","PreFenton","unbound",1.36,0.41,"Lignin-like"
437.2042,"HW","PostFenton","new",1.5,0.35,"Aliphatic+N"
437.2042,"HW","PreFenton","new",1.5,0.35,"Aliphatic+N"
437.2181,"HW","PostFenton","unbound",1.48,0.35,"Lignin-like"
437.2181,"HW","PreFenton","unbound",1.48,0.35,"Lignin-like"
437.2406,"HW","PreFenton","new",1.62,0.29,"Aliphatic+N"
437.2545,"HW","PostFenton","new",1.58,0.29,"Aliphatic-noN"
437.2545,"HW","PreFenton","unbound",1.58,0.29,"Aliphatic-noN"
438.1253,"HW","PostFenton","sorbed",1.56,0.81,"Carbohydrate-like"
438.1617,"HW","PostFenton","unbound",1.71,0.71,"Carbohydrate-like"
439.0154,"HW","PostFenton","sorbed",0.71,0.82,"Lignin-like"
439.0307,"HW","PreFenton","sorbed",0.57,0.52,"Condensed Ar"
439.0518,"HW","PostFenton","sorbed",0.89,0.72,"Lignin-like"
439.0518,"HW","PreFenton","sorbed",0.89,0.72,"Lignin-like"
439.0552,"HW","PreFenton","unbound",1.33,0.87,"Lignin-like"
439.0671,"HW","PreFenton","unbound",0.73,0.45,"Aromatic"
439.0729,"HW","PostFenton","sorbed",1.33,1,"Lignin-like"
439.0882,"HW","PostFenton","unbound",1.05,0.63,"Lignin-like"
439.0882,"HW","PreFenton","unbound",1.05,0.63,"Lignin-like"
439.1035,"HW","PreFenton","unbound",0.87,0.39,"Aromatic"
439.1093,"HW","PostFenton","unbound",1.5,0.88,"Carbohydrate-like"
439.1093,"HW","PreFenton","new",1.5,0.88,"Carbohydrate-like"
439.1246,"HW","PostFenton","unbound",1.2,0.55,"Lignin-like"
439.1246,"HW","PreFenton","unbound",1.2,0.55,"Lignin-like"
439.1398,"HW","PreFenton","new",1,0.33,"Lignin-like"
439.1457,"HW","PostFenton","unbound",1.65,0.76,"Carbohydrate-like"
439.1457,"HW","PreFenton","unbound",1.65,0.76,"Carbohydrate-like"
439.1569,"HW","PostFenton","sorbed",1.75,0.75,"Carbohydrate-like"
439.161,"HW","PostFenton","unbound",1.33,0.48,"Lignin-like"
439.161,"HW","PreFenton","unbound",1.33,0.48,"Lignin-like"
439.1762,"HW","PreFenton","unbound",1.12,0.28,"Lignin-like"
439.1821,"HW","PostFenton","new",1.78,0.67,"Carbohydrate-like"
439.1821,"HW","PreFenton","new",1.78,0.67,"Carbohydrate-like"
439.1974,"HW","PostFenton","unbound",1.45,0.41,"Lignin-like"
439.1974,"HW","PreFenton","unbound",1.45,0.41,"Lignin-like"
439.2007,"HW","PreFenton","new",1.89,0.47,"Aliphatic-noN"
439.2126,"HW","PreFenton","new",1.23,0.23,"Lignin-like"
439.2198,"HW","PostFenton","new",1.6,0.35,"Aliphatic+N"
439.2198,"HW","PreFenton","unbound",1.6,0.35,"Aliphatic+N"
439.2337,"HW","PostFenton","unbound",1.57,0.35,"Aliphatic-noN"
439.2337,"HW","PreFenton","unbound",1.57,0.35,"Aliphatic-noN"
439.2562,"HW","PostFenton","new",1.71,0.29,"Aliphatic+N"
439.2701,"HW","PreFenton","new",1.67,0.29,"Aliphatic-noN"
439.2735,"HW","PostFenton","new",2.1,0.33,"Aliphatic-noN"
439.2735,"HW","PreFenton","new",2.1,0.33,"Aliphatic-noN"
439.2926,"HW","PreFenton","new",1.82,0.23,"Aliphatic+N"
440.141,"HW","PostFenton","sorbed",1.69,0.81,"Carbohydrate-like"
440.1787,"HW","PostFenton","new",1.5,0.44,"Aliphatic+N"
440.2038,"HW","PreFenton","new",1.55,0.4,"Aliphatic+N"
440.2151,"HW","PostFenton","new",1.63,0.37,"Aliphatic+N"
440.2151,"HW","PreFenton","new",1.63,0.37,"Aliphatic+N"
440.2515,"HW","PostFenton","new",1.75,0.3,"Aliphatic+N"
440.2515,"HW","PreFenton","new",1.75,0.3,"Aliphatic+N"
441.0099,"HW","PreFenton","sorbed",0.5,0.6,"Condensed Ar"
441.0311,"HW","PostFenton","sorbed",0.82,0.82,"Lignin-like"
441.0311,"HW","PreFenton","sorbed",0.82,0.82,"Lignin-like"
441.0463,"HW","PreFenton","unbound",0.67,0.52,"Aromatic"
441.0675,"HW","PostFenton","sorbed",1,0.72,"Lignin-like"
441.0675,"HW","PreFenton","unbound",1,0.72,"Lignin-like"
441.0827,"HW","PreFenton","unbound",0.82,0.45,"Aromatic"
441.0886,"HW","PostFenton","sorbed",1.47,1,"Lignin-like"
441.1038,"HW","PostFenton","unbound",1.16,0.63,"Lignin-like"
441.1038,"HW","PreFenton","unbound",1.16,0.63,"Lignin-like"
441.1191,"HW","PreFenton","unbound",0.96,0.39,"Lignin-like"
441.125,"HW","PostFenton","unbound",1.62,0.88,"Carbohydrate-like"
441.125,"HW","PreFenton","unbound",1.62,0.88,"Carbohydrate-like"
441.128,"HW","PostFenton","new",1.8,0.73,"Carbohydrate-like"
441.128,"HW","PreFenton","unbound",1.8,0.73,"Carbohydrate-like"
441.1402,"HW","PostFenton","unbound",1.3,0.55,"Lignin-like"
441.1402,"HW","PreFenton","unbound",1.3,0.55,"Lignin-like"
441.1555,"HW","PostFenton","new",1.08,0.33,"Lignin-like"
441.1555,"HW","PreFenton","unbound",1.08,0.33,"Lignin-like"
441.1614,"HW","PostFenton","unbound",1.76,0.76,"Carbohydrate-like"
441.1614,"HW","PreFenton","unbound",1.76,0.76,"Carbohydrate-like"
441.1766,"HW","PostFenton","unbound",1.43,0.48,"Lignin-like"
441.1766,"HW","PreFenton","unbound",1.43,0.48,"Lignin-like"
441.1919,"HW","PostFenton","new",1.2,0.28,"Lignin-like"
441.1919,"HW","PreFenton","unbound",1.2,0.28,"Lignin-like"
441.1991,"HW","PostFenton","unbound",1.58,0.42,"Aliphatic+N"
441.1991,"HW","PreFenton","unbound",1.58,0.42,"Aliphatic+N"
441.213,"HW","PostFenton","unbound",1.55,0.41,"Aliphatic-noN"
441.213,"HW","PreFenton","unbound",1.55,0.41,"Aliphatic-noN"
441.2283,"HW","PostFenton","new",1.31,0.23,"Lignin-like"
441.2283,"HW","PreFenton","unbound",1.31,0.23,"Lignin-like"
441.2355,"HW","PostFenton","new",1.7,0.35,"Aliphatic+N"
441.2355,"HW","PreFenton","unbound",1.7,0.35,"Aliphatic+N"
441.2494,"HW","PostFenton","new",1.65,0.35,"Aliphatic-noN"
441.2494,"HW","PreFenton","unbound",1.65,0.35,"Aliphatic-noN"
441.2528,"HW","PostFenton","unbound",2.1,0.4,"Aliphatic-noN"
441.2528,"HW","PreFenton","unbound",2.1,0.4,"Aliphatic-noN"
441.2646,"HW","PreFenton","new",1.41,0.19,"Lignin-like"
441.2719,"HW","PostFenton","new",1.81,0.29,"Aliphatic+N"
441.2719,"HW","PreFenton","new",1.81,0.29,"Aliphatic+N"
441.2858,"HW","PreFenton","new",1.75,0.29,"Aliphatic-noN"
442.1831,"HW","PostFenton","new",1.53,0.47,"Aliphatic+N"
442.1943,"HW","PostFenton","unbound",1.61,0.44,"Aliphatic+N"
442.1943,"HW","PreFenton","unbound",1.61,0.44,"Aliphatic+N"
442.2195,"HW","PostFenton","new",1.65,0.4,"Aliphatic+N"
442.2195,"HW","PreFenton","new",1.65,0.4,"Aliphatic+N"
442.2307,"HW","PostFenton","new",1.74,0.37,"Aliphatic+N"
442.2307,"HW","PreFenton","unbound",1.74,0.37,"Aliphatic+N"
442.2671,"HW","PreFenton","new",1.85,0.3,"Aliphatic+N"
443.0256,"HW","PreFenton","sorbed",0.6,0.6,"Aromatic"
443.0467,"HW","PostFenton","sorbed",0.94,0.82,"Lignin-like"
443.062,"HW","PostFenton","sorbed",0.76,0.52,"Aromatic"
443.062,"HW","PreFenton","unbound",0.76,0.52,"Aromatic"
443.0831,"HW","PostFenton","unbound",1.11,0.72,"Lignin-like"
443.0831,"HW","PreFenton","sorbed",1.11,0.72,"Lignin-like"
443.0984,"HW","PostFenton","sorbed",0.91,0.45,"Lignin-like"
443.0984,"HW","PreFenton","unbound",0.91,0.45,"Lignin-like"
443.1042,"HW","PostFenton","sorbed",1.6,1,"Carbohydrate-like"
443.1195,"HW","PostFenton","unbound",1.26,0.63,"Lignin-like"
443.1195,"HW","PreFenton","unbound",1.26,0.63,"Lignin-like"
443.1348,"HW","PostFenton","unbound",1.04,0.39,"Lignin-like"
443.1348,"HW","PreFenton","unbound",1.04,0.39,"Lignin-like"
443.1406,"HW","PostFenton","unbound",1.75,0.88,"Carbohydrate-like"
443.1559,"HW","PostFenton","unbound",1.4,0.55,"Lignin-like"
443.1559,"HW","PreFenton","unbound",1.4,0.55,"Lignin-like"
443.1711,"HW","PostFenton","unbound",1.17,0.33,"Lignin-like"
443.1711,"HW","PreFenton","unbound",1.17,0.33,"Lignin-like"
