Forest,Treatment,soil,AminoSugar,Carb,ConHC,Lignin,Lipid,Protein,Tannin,total
HW,PostFenton,Soil_7,0.031627521082331855,0.15633805767853728,0.012268798634890945,0.5564851439610962,0.0023597656362450343,0.10521381213667712,0.1357069008702216,1
HW,PostFenton,Soil_8,0.033170334054416314,0.16217494016775533,0.011822850490827104,0.5509944863322899,0.0023683121105140246,0.1088201373486041,0.1306489394955933,1
HW,PostFenton,Soil_9,0.03294252911776505,0.15016315129099062,0.015449721730530276,0.5551620972779322,0.002483401453218705,0.11209362217312188,0.13170547695644125,1
HW,PostFentonGoethite,Soil_19,0.03971293730238277,0.0959145178061868,0,0.5253928028851296,0.024658662839424424,0.29136455632754593,0.022956522839330487,1
HW,PostFentonGoethite,Soil_20,0.04050084565938093,0.09881014823403518,0,0.5528211943469608,0.018326268526426034,0.26452440063070526,0.02501714260249186,1
HW,PostFentonGoethite,Soil_21,0.03926340108992067,0.0980906495185333,0,0.5393932711230883,0.020032409370865874,0.27752222067201776,0.02569804822557413,1
HW,PreFenton,Soil_1,0.022354985937987935,0.053958917441570796,0.01993533466794131,0.5925849940126836,0.02100992683706317,0.20535476471759004,0.08480107638516313,1
HW,PreFenton,Soil_2,0.019209257636288904,0.052630617944482885,0.02080005138049005,0.616500353884212,0.018856539329903964,0.18374106693106418,0.08826211289355805,1
HW,PreFenton,Soil_3,0.02176582116636781,0.0511825194896385,0.021553782083769502,0.5940913022066449,0.019939049330491204,0.20302859488412411,0.08843893083896402,1
HW,PreFentonGoethite,Soil_13,0.03327710899557613,0.07745923771078055,0.004597933341802633,0.5641399959026134,0.03448441828323729,0.26391008841830116,0.022131217347688848,1
HW,PreFentonGoethite,Soil_14,0.030746809750956127,0.07688450216952576,0.005396340910731334,0.5597516704791005,0.03500453668939635,0.2680543182476208,0.024161821752669146,1
HW,PreFentonGoethite,Soil_15,0.02985046948876767,0.06897613986320454,0.006330326854905206,0.561147815734582,0.031966115487828024,0.27735263198032606,0.02437650059038659,1
SW,PostFenton,Soil_10,0.0547111411666113,0.19160354513267677,0.00752908460030525,0.4832656967840871,0.002486072020138552,0.14192355096110415,0.11848090933507684,1
SW,PostFenton,Soil_11,0.049526221223203035,0.1497561248897858,0.011704257411268083,0.5061492292584613,0.003190019856470808,0.18092537460683644,0.09874877275397456,1
SW,PostFenton,Soil_12,0.053893535012403605,0.17302800310003563,0.011502759133237906,0.49591281704749923,0.002628629021906589,0.15116090224396653,0.1118733544409505,1
SW,PostFenton,Soil_6,0.022973620178374406,0.0406570463339199,0.01981669883862212,0.5782729332887302,0.02215237031729047,0.24440219208645655,0.07172513895660641,1
SW,PostFentonGoethite,Soil_22,0.060571142168838646,0.07970158433720947,0,0.487424344782472,0.021526044952081727,0.3344323928087062,0.016344490950691983,1
SW,PostFentonGoethite,Soil_23,0.049895834133019665,0.08065929379695701,0,0.4563908820692855,0.028027532864228693,0.3699138070808783,0.015112650055630797,1
SW,PostFentonGoethite,Soil_24,0.0569765372655535,0.07385194221179517,0,0.4710934399451813,0.022889878516885127,0.36023756323373923,0.014950638826845645,1
SW,PreFenton,Soil_4,0.02215226481672655,0.042164353571679275,0.019807562348520893,0.5843704948474573,0.02166155859828624,0.23773902908833525,0.07210473672899446,1
SW,PreFenton,Soil_5,0.022703574842330383,0.043301520766310504,0.01885819659331701,0.572080557164858,0.023342938365802052,0.2490959103381254,0.07061730192925669,1
SW,PreFentonGoethite,Soil_16,0.02980843894288716,0.04177427138669941,9.952216483175198e-4,0.49976977297644437,0.03925832341865081,0.3790432962114906,0.009350675415510159,1
SW,PreFentonGoethite,Soil_17,0.02949303108175636,0.03872753841272744,7.130934829930872e-4,0.485794141815122,0.04350337778808814,0.39272795118064224,0.00904086623867071,1
SW,PreFentonGoethite,Soil_18,0.029713942636566612,0.0388138831528506,8.986249910483587e-4,0.4988588419027307,0.03994021902647034,0.3821945609724102,0.009579927317923138,1
