"Mass","C","H","N","O","S","P"
351.0569,12,16,0,12,0,0
323.0984,12,20,0,10,0,0
355.0882,12,20,0,12,0,0
341.1089,12,22,0,11,0,0
327.0358,13,12,0,10,0,0
329.0514,13,14,0,10,0,0
315.0722,13,16,0,9,0,0
365.0725,13,18,0,12,0,0
315.1198,13,20,2,7,0,0
353.1089,13,22,0,11,0,0
371.1017,13,24,0,10,1,0
403.0916,13,24,0,12,1,0
321.0252,14,10,0,9,0,0
337.0201,14,10,0,10,0,0
353.015,14,10,0,11,0,0
323.0409,14,12,0,9,0,0
339.0358,14,12,0,10,0,0
355.0307,14,12,0,11,0,0
325.0565,14,14,0,9,0,0
341.0514,14,14,0,10,0,0
357.0463,14,14,0,11,0,0
373.0412,14,14,0,12,0,0
311.0772,14,16,0,8,0,0
327.0722,14,16,0,9,0,0
343.0671,14,16,0,10,0,0
359.062,14,16,0,11,0,0
382.1004,14,17,5,8,0,0
313.0929,14,18,0,8,0,0
329.0878,14,18,0,9,0,0
345.0827,14,18,0,10,0,0
409.0446,14,18,0,12,1,0
331.1035,14,20,0,9,0,0
347.0984,14,20,0,10,0,0
363.0933,14,20,0,11,0,0
342.1307,14,21,3,7,0,0
358.1256,14,21,3,8,0,0
333.1191,14,22,0,9,0,0
365.1089,14,22,0,11,0,0
381.1038,14,22,0,12,0,0
413.0759,14,22,0,12,1,0
345.1303,14,22,2,8,0,0
364.1249,14,23,1,10,0,0
312.1565,14,23,3,5,0,0
328.1514,14,23,3,6,0,0
367.1246,14,24,0,11,0,0
383.1195,14,24,0,12,0,0
359.1572,14,24,4,7,0,0
330.1671,14,25,3,6,0,0
346.162,14,25,3,7,0,0
337.1326,14,26,0,7,1,0
385.1174,14,26,0,10,1,0
417.1072,14,26,0,12,1,0
433.1021,14,26,0,13,1,0
345.178,14,26,4,6,0,0
316.1878,14,27,3,5,0,0
331.0096,15,8,0,9,0,0
333.0252,15,10,0,9,0,0
349.0201,15,10,0,10,0,0
365.015,15,10,0,11,0,0
381.0099,15,10,0,12,0,0
319.0459,15,12,0,8,0,0
335.0409,15,12,0,9,0,0
351.0358,15,12,0,10,0,0
367.0307,15,12,0,11,0,0
383.0256,15,12,0,12,0,0
399.0205,15,12,0,13,0,0
321.0616,15,14,0,8,0,0
337.0565,15,14,0,9,0,0
353.0514,15,14,0,10,0,0
369.0463,15,14,0,11,0,0
385.0412,15,14,0,12,0,0
323.0772,15,16,0,8,0,0
339.0722,15,16,0,9,0,0
355.0671,15,16,0,10,0,0
371.062,15,16,0,11,0,0
387.0569,15,16,0,12,0,0
403.0518,15,16,0,13,0,0
354.0831,15,17,1,9,0,0
325.0929,15,18,0,8,0,0
341.0878,15,18,0,9,0,0
357.0827,15,18,0,10,0,0
373.0776,15,18,0,11,0,0
389.0725,15,18,0,12,0,0
311.1136,15,20,0,7,0,0
327.1085,15,20,0,8,0,0
343.1035,15,20,0,9,0,0
359.0984,15,20,0,10,0,0
375.0933,15,20,0,11,0,0
391.0882,15,20,0,12,0,0
439.0552,15,20,0,13,1,0
354.1307,15,21,3,7,0,0
313.1293,15,22,0,7,0,0
329.1242,15,22,0,8,0,0
345.1191,15,22,0,9,0,0
361.114,15,22,0,10,0,0
377.1089,15,22,0,11,0,0
393.1038,15,22,0,12,0,0
409.0988,15,22,0,13,0,0
385.1365,15,22,4,8,0,0
340.1514,15,23,3,6,0,0
356.1463,15,23,3,7,0,0
372.1412,15,23,3,8,0,0
384.1525,15,23,5,7,0,0
315.1449,15,24,0,7,0,0
