Forest,fenton_loss,Class,N
HW,lost,AminoSugar,14
HW,lost,Carb,18
HW,lost,ConHC,348
HW,lost,Lignin,772
HW,lost,Lipid,130
HW,lost,Protein,220
HW,lost,Tannin,22
HW,lost,UnsatHC,16
HW,gained,AminoSugar,148
HW,gained,Carb,504
HW,gained,ConHC,52
HW,gained,Lignin,182
HW,gained,Lipid,6
HW,gained,Other,24
HW,gained,Protein,46
HW,gained,Tannin,454
HW,gained,UnsatHC,18
HW,conserved,AminoSugar,94
HW,conserved,Carb,254
HW,conserved,ConHC,130
HW,conserved,Lignin,1252
HW,conserved,Lipid,12
HW,conserved,Other,2
HW,conserved,Protein,308
HW,conserved,Tannin,342
HW,conserved,UnsatHC,20
HW,NA,AminoSugar,266
HW,NA,Carb,142
HW,NA,ConHC,86
HW,NA,Lignin,534
HW,NA,Lipid,242
HW,NA,Other,6
HW,NA,Protein,682
HW,NA,Tannin,26
HW,NA,UnsatHC,74
SW,lost,AminoSugar,20
SW,lost,Carb,12
SW,lost,ConHC,264
SW,lost,Lignin,684
SW,lost,Lipid,110
SW,lost,Other,2
SW,lost,Protein,238
SW,lost,Tannin,12
SW,lost,UnsatHC,2
SW,gained,AminoSugar,134
SW,gained,Carb,450
SW,gained,ConHC,24
SW,gained,Lignin,120
SW,gained,Lipid,16
SW,gained,Other,22
SW,gained,Protein,44
SW,gained,Tannin,288
SW,gained,UnsatHC,14
SW,conserved,AminoSugar,116
SW,conserved,Carb,250
SW,conserved,ConHC,110
SW,conserved,Lignin,1112
SW,conserved,Lipid,30
SW,conserved,Other,2
SW,conserved,Protein,378
SW,conserved,Tannin,296
SW,conserved,UnsatHC,8
SW,NA,AminoSugar,252
SW,NA,Carb,206
SW,NA,ConHC,218
SW,NA,Lignin,824
SW,NA,Lipid,234
SW,NA,Other,6
SW,NA,Protein,596
SW,NA,Tannin,248
SW,NA,UnsatHC,104
