Mass,HC,OC
595.1879,1.5,0.71
462.1366,1.47,0.71
500.162,1.72,0.83
507.1944,1.14,0.21
569.0995,1.3,0.95
563.1619,1.39,0.7
414.0678,1.06,0.75
623.1983,1.24,0.52
583.2761,1.52,0.41
573.1825,1.36,0.6
509.1623,1.58,0.74
421.11,1.47,0.8
805.226,1.53,0.83
464.141,1.5,0.72
348.0936,1.46,0.77
519.2083,1.57,0.57
581.1149,1.04,0.64
390.1154,1.5,0.71
378.1518,1.79,0.64
533.224,1.58,0.54
729.2098,1.5,0.79
610.2103,1.61,0.7
462.173,1.61,0.61
559.1305,1.22,0.7
595.1187,0.5,0.15
545.0783,1.05,0.81
553.047,0.82,0.77
489.0523,1,0.89
500.1997,1.07,0.13
357.1304,1.47,0.53
609.1825,1.21,0.54
487.0364,0.89,0.89
505.1788,1.07,0.21
369.094,1.2,0.6
597.1786,1.55,0.77
573.1098,1.13,0.74
629.1208,1.36,0.95
363.141,1.71,0.64
507.2083,1.64,0.59
821.2208,1.53,0.87
573.1461,1.25,0.67
508.1307,1.42,0.79
433.1101,1.38,0.75
543.0628,0.95,0.81
563.1287,0.5,0.1
791.2099,1.52,0.86
377.1567,1.73,0.6
641.2299,1.62,0.69
549.1672,1.79,0.95
547.1879,1.8,0.85
533.1149,1.24,0.76
411.2422,2.11,0.37
493.0869,0.39,0.08
623.2345,1.33,0.47
391.0994,1.43,0.79
462.1253,1.39,0.72
335.1347,1.71,0.64
609.2553,1.4,0.43
434.1417,1.56,0.69
569.0784,0.96,0.74
779.2098,1.57,0.89
655.2093,1.54,0.73
474.2204,1.17,0.1
649.2197,1.75,0.83
585.2554,1.5,0.46
389.0395,1.64,1.18
478.1203,1.39,0.78
516.1946,1.07,0.17
412.1249,1.28,0.56
506.1628,1.53,0.68
397.0048,0.67,0.87
535.0975,0.42,0.11
569.1835,1.62,0.76
524.1257,1.42,0.84
343.1147,1.43,0.57
545.224,1.52,0.52
533.1876,1.48,0.61
633.2248,1.75,0.79
504.1836,1.55,0.6
511.0366,0.8,0.8
382.1256,1.31,0.5
319.1035,1.54,0.69
385.1253,1.38,0.56
572.1469,1.55,0.9
581.1514,1.15,0.58
765.2309,1.64,0.86
723.2202,1.69,0.88
555.0628,0.91,0.77
430.1025,1.79,0.86
434.1304,1.47,0.71
565.1081,0.46,0.13
685.2198,1.56,0.74
336.0936,1.58,0.83
474.184,1.07,0.14
669.1884,1.46,0.77
487.0941,1.5,1.06
541.2138,1.73,0.68
475.1681,1.04,0.18
613.2139,1.36,0.54
559.094,1.09,0.77
307.067,1.45,0.91
625.214,1.31,0.52
446.0973,1.79,0.93
499.0366,0.84,0.84
388.0886,1.27,0.73
521.1876,1.55,0.64
553.1047,1.3,0.9
460.1573,1.5,0.61
532.2258,1.16,0.16
395.1308,1.71,0.79
420.1623,1.69,0.62
449.0971,0.4,0.03
426.1015,0.95,0.27
395.0468,1.23,1.08
465.1362,1.53,0.76
583.1153,1.33,0.9
493.0835,1.22,0.89
554.1363,1.45,0.85
519.0993,1.2,0.8
557.0784,1,0.77
419.1783,1.12,0.12
557.1148,1.13,0.7
457.026,0.82,0.88
689.1418,1.42,0.96
380.0835,1.46,0.92
643.2455,1.69,0.69
538.1778,1.57,0.71
563.1466,1.68,1
402.1042,1.31,0.69
370.0991,1.75,1
659.2405,1.69,0.73
595.276,1.47,0.4
398.1205,1.31,0.56
515.089,1.41,1.06
551.1288,0.51,0.1
317.1242,1.57,0.57
465.1726,1.67,0.67
454.1566,1.71,0.76
585.1825,1.31,0.58
599.1982,1.33,0.56
427.0729,1.43,1.07
523.2032,1.64,0.64
573.2189,1.46,0.54
600.1781,1.59,0.82
461.0971,0.39,0.03
579.1237,0.5,0.12
427.0154,0.75,0.88
447.1733,1.07,0.15
481.1675,1.67,0.72
583.1305,1.12,0.64
356.1099,1.36,0.57
567.1931,1.57,0.7
586.1625,1.57,0.86
535.1339,0.51,0.08
393.1152,1.57,0.79
609.1672,1.42,0.75
687.2355,1.63,0.74
389.1566,1.62,0.56
675.2354,1.69,0.77
545.1876,1.42,0.58
400.0885,1.19,0.69
611.2711,1.47,0.43
502.2153,1.13,0.13
587.2346,1.48,0.52
309.0827,1.64,0.91
583.0941,1,0.71
807.2415,1.6,0.83
639.1416,1.33,0.83
569.2087,1.65,0.7
691.2303,1.69,0.81
446.1416,1.47,0.65
367.216,2.12,0.35
761.1993,1.5,0.86
598.1625,1.5,0.82
559.1668,1.33,0.62
362.1933,1.93,0.47
557.0995,1.37,1
449.2028,1.7,0.55
421.2079,1.79,0.53
559.2033,1.44,0.56
619.2091,1.74,0.83
793.2259,1.59,0.86
601.2138,1.41,0.56
571.1305,1.17,0.67
487.2046,1.1,0.13
479.1518,1.56,0.72
611.1983,1.29,0.54
535.1304,1.33,0.76
545.1149,1.18,0.73
404.1199,1.44,0.69
537.1098,1.3,0.85
370.078,1.13,0.67
449.0606,0.29,0.06
433.1465,1.53,0.65
367.161,1.87,0.67
503.1994,1.1,0.17
717.1732,1.46,0.88
451.182,1.68,0.63
533.1512,1.36,0.68
640.2207,1.62,0.71
542.1363,1.53,0.89
446.178,1.61,0.56
545.0996,1.44,1.06
360.0937,1.36,0.71
366.1406,1.79,0.71
317.0514,1.17,0.83
371.1097,1.33,0.6
557.2604,1.56,0.44
533.1182,0.46,0.08
543.1355,1.22,0.65
551.1254,1.33,0.81
597.1826,1.26,0.56
761.2358,1.59,0.79
519.1355,1.33,0.71
545.1513,1.3,0.65
521.1512,1.43,0.71
611.2346,1.38,0.48
417.0311,0.93,0.93
374.1093,1.4,0.67
443.3014,1.83,0.29
481.1926,1.7,0.65
387.0205,0.86,0.93
372.0936,1.27,0.67
701.2148,1.56,0.78
449.1414,1.53,0.71
484.1308,1.59,0.88
376.1362,1.64,0.64
635.2041,1.74,0.87
538.1414,1.45,0.8
352.0885,1.58,0.92
557.2087,1.73,0.73
469.0261,0.78,0.83
476.1522,1.5,0.67
436.1096,1.44,0.81
595.1517,1.39,0.78
572.1832,1.67,0.81
556.1883,1.67,0.76
475.2046,1.14,0.14
463.0763,0.34,0.06
531.1356,1.27,0.68
451.073,1.25,0.94
703.2303,1.63,0.78
503.0679,1.05,0.84
537.1825,1.55,0.68
466.1202,1.47,0.82
617.2299,1.75,0.75
567.1203,1.33,0.86
321.0463,1.27,1
571.1669,1.28,0.6
599.2346,1.43,0.5
451.157,1.65,0.71
362.1569,1.79,0.57
378.1406,1.67,0.67
517.1199,1.24,0.71
577.1622,1.7,0.95
531.2083,1.5,0.54
583.1669,1.23,0.58
517.0836,1.1,0.8
589.1258,1.5,1
359.0256,0.92,0.92
507.0992,1.26,0.84
503.2134,1.57,0.52
515.1981,1.8,0.75
387.1046,1.33,0.67
531.0991,1.14,0.76
529.229,1.52,0.48
350.1093,1.62,0.77
749.1995,1.56,0.89
376.1249,1.53,0.67
709.2045,1.68,0.92
423.1257,1.6,0.8
747.2201,1.57,0.82
450.1253,1.47,0.76
404.1311,1.53,0.67
823.2363,1.6,0.87
491.1043,1.26,0.79
685.1834,1.46,0.81
717.2096,1.56,0.81
401.0937,1.69,1.08
494.1515,1.53,0.74
390.1042,1.4,0.73
466.1566,1.61,0.72
419.0467,1.07,0.93
396.1512,1.8,0.73
401.1202,1.38,0.62
402.1154,1.4,0.67
406.1355,1.56,0.69
374.1933,1.81,0.44
436.146,1.59,0.71
473.2253,1.17,0.1
349.1504,1.73,0.6
505.1927,1.55,0.59
392.0835,1.36,0.86
403.147,1,0.12
549.1132,0.46,0.1
565.1411,1.36,0.77
497.0784,1.29,1
372.1049,1.36,0.64
410.094,1.5,0.93
495.2083,1.71,0.62
539.1981,1.64,0.68
387.1144,1.85,1
531.1719,1.39,0.61
597.2553,1.45,0.45
751.2152,1.63,0.89
521.1149,1.3,0.8
391.1358,1.6,0.67
553.1775,1.55,0.73
585.219,1.41,0.52
501.0522,0.95,0.84
641.1934,1.52,0.76
605.1934,1.73,0.86
463.073,1.18,0.88
375.1046,1.43,0.71
511.2032,1.71,0.67
517.1927,1.48,0.57
519.172,1.45,0.64
505.1563,1.43,0.67
613.1259,1.36,0.91
514.1413,1.61,0.89
373.1253,1.47,0.6
440.141,1.69,0.81
420.1148,1.44,0.75
417.1152,1.38,0.69
537.1462,1.43,0.76
421.1464,1.62,0.69
373.0447,1.64,1.09
517.1563,1.36,0.64
490.1678,1.53,0.63
569.1512,1.2,0.6
763.215,1.57,0.86
454.1202,1.56,0.88
587.1102,1.4,1
583.2397,1.43,0.46
408.1511,1.69,0.69
731.1888,1.48,0.85
609.2189,1.31,0.48
444.1623,1.5,0.56
445.1576,1,0.15
317.0878,1.38,0.69
557.1512,1.25,0.62
701.1784,1.46,0.85
363.2025,1.88,0.47
526.1777,1.65,0.75
407.1672,1.75,0.62
459.0417,0.94,0.88
554.1727,1.57,0.76
570.1676,1.57,0.81
661.1469,1.48,0.96
524.1621,1.55,0.75
489.1838,1.07,0.17
627.2143,1.6,0.72
665.1783,1.65,0.96
496.1308,1.5,0.83
333.0463,1.17,0.92
551.1618,1.45,0.73
671.1677,1.44,0.84
510.1464,1.53,0.79
561.1308,1.58,1
571.2033,1.38,0.54
531.193,1.8,0.8
416.1311,1.44,0.62
601.1258,1.43,0.95
421.0624,1.2,0.93
409.0624,1.29,1
368.1198,1.77,0.85
611.1465,1.39,0.83
412.1096,1.64,0.93
439.073,1.33,1
599.2193,1.67,0.71
543.2084,1.44,0.52
425.1664,1.76,0.71
571.2396,1.48,0.48
459.2097,1.14,0.1
529.0835,1.05,0.76
409.1715,1.76,0.65
390.1518,1.67,0.6
507.1719,1.52,0.67
499.2032,1.8,0.7
655.1729,1.44,0.8
543.172,1.33,0.58
493.1927,1.62,0.62
589.1985,1.73,0.82
595.2396,1.38,0.45
341.0725,1.64,1.09
353.1453,1.86,0.71
526.1414,1.53,0.84
597.2037,1.58,0.71
430.1467,1.47,0.59
503.1406,1.33,0.67
611.183,1.5,0.75
343.0307,0.92,0.85
406.0991,1.4,0.8
503.1043,1.2,0.75
687.1627,1.44,0.88
597.219,1.36,0.5
631.1364,1.45,0.95
480.1359,1.5,0.78
364.0885,1.46,0.85
695.1887,1.67,0.96
379.0518,1.23,1
418.1831,1.71,0.53
557.1876,1.36,0.56
447.0814,0.34,0.03
533.1723,1.79,0.89
629.2299,1.68,0.72
361.0413,1.08,0.92
399.1507,1.87,0.8
482.1516,1.61,0.78
469.2841,2.09,0.36
339.0569,1.45,1.09
389.0362,1,0.93
581.1724,1.48,0.74
452.1409,1.59,0.76
374.1205,1.5,0.64
457.3171,1.84,0.28
435.1872,1.68,0.58
405.1151,1.47,0.73
479.177,1.6,0.65
461.0573,1.06,0.88
361.1253,1.57,0.64
377.1202,1.57,0.71
705.1732,1.52,0.92
529.1563,1.3,0.61
407.2286,1.89,0.47
391.0518,1.14,0.93
375.141,1.6,0.6
362.1093,1.5,0.71
461.1889,1.11,0.14
485.279,2.09,0.41
429.0311,0.88,0.88
491.177,1.52,0.62
339.1297,1.85,0.77
376.0886,1.36,0.79
621.1883,1.73,0.91
643.1363,1.39,0.91
432.1624,1.59,0.59
625.1622,1.42,0.79
418.1467,1.56,0.62
651.199,1.74,0.91
424.146,1.69,0.75
509.1875,1.62,0.67
581.136,1.36,0.82
426.1253,1.67,0.87
733.2047,1.56,0.85
507.1355,1.4,0.75
597.1309,1.36,0.86
404.2038,1.82,0.47
431.0865,1.71,0.93
556.1518,1.55,0.85
477.1614,1.5,0.65
475.0729,1.11,0.83
468.1359,1.59,0.82
627.1415,1.39,0.87
540.157,1.55,0.8
375.0603,1.82,1.09
569.224,1.41,0.48
391.0552,1.82,1.18
527.089,1.33,1
645.2249,1.68,0.76
605.1571,1.62,0.95
419.0501,0.24,0.03
528.157,1.63,0.84
477.0886,1.22,0.83
527.1981,1.71,0.71
325.114,1.83,0.83
569.1876,1.31,0.54
481.0835,1.29,0.94
417.1627,1.04,0.12
399.078,1.54,1.08
512.1621,1.63,0.79
529.1927,1.42,0.54
661.2196,1.68,0.8
397.0624,1.38,1.08
663.1626,1.57,0.96
469.0835,1.38,1
424.1097,1.53,0.87
422.1304,1.56,0.75
433.0624,1.12,0.88
498.1464,1.61,0.83
392.1198,1.53,0.73
394.1355,1.67,0.73
603.1414,1.52,0.95
719.1889,1.54,0.88
501.1824,1.79,0.79
449.1664,1.58,0.63
501.0886,1.1,0.75
555.193,1.64,0.73
319.067,1.33,0.83
369.1402,1.86,0.79
435.1257,1.5,0.75
571.1152,1.4,0.95
705.2096,1.62,0.85
687.199,1.54,0.81
433.0658,0.29,0.03
635.1677,1.64,0.95
673.1471,1.42,0.92
525.1825,1.62,0.71
333.0827,1.38,0.77
382.1355,1.79,0.79
463.1821,1.6,0.6
643.2092,1.6,0.76
489.1613,1.43,0.62
633.1521,1.55,0.95
404.1675,1.69,0.56
515.177,1.39,0.57
421.0657,0.3,0.03
389.1203,1.47,0.67
558.1675,1.65,0.85
398.1304,1.79,0.86
347.062,1.23,0.85
401.0759,1.69,0.92
509.1148,1.37,0.84
415.1093,1.71,1
542.1726,1.65,0.8
517.1774,1.79,0.84
693.1731,1.58,0.96
707.1889,1.6,0.92
435.078,1.25,0.88
691.1575,1.5,0.96
693.2094,1.68,0.88
473.0573,1,0.83
575.1829,1.71,0.86
567.1567,1.45,0.77
465.0886,1.29,0.88
541.1047,1.37,0.95
463.1457,1.47,0.68
435.0814,0.35,0.03
721.2044,1.62,0.88
385.1351,1.86,0.86
387.0603,1.67,1
553.141,1.43,0.81
335.0984,1.54,0.77
657.152,1.42,0.88
525.1097,1.37,0.89
447.078,1.18,0.82
366.1042,1.62,0.85
363.0569,1.23,0.92
597.1673,1.48,0.78
367.0518,1.33,1.08
408.1147,1.53,0.8
703.1939,1.54,0.85
431.0467,1,0.88
349.114,1.57,0.71
410.1304,1.67,0.8
657.1884,1.52,0.8
559.1152,1.47,1
403.0552,1.67,1.08
523.1305,1.4,0.8
376.1726,1.8,0.53
497.1876,1.7,0.7
511.0941,1.33,0.94
591.1778,1.71,0.9
407.1307,1.6,0.73
585.1308,1.43,0.9
499.0941,1.41,1
641.157,1.42,0.83
355.1246,1.85,0.85
403.1359,1.5,0.62
417.0708,1.69,1
327.0933,1.82,1
380.1199,1.64,0.79
419.0865,1.85,1
681.2096,1.75,0.92
615.1414,1.45,0.91
569.1359,1.43,0.86
689.1783,1.52,0.88
433.1715,1.58,0.58
673.1834,1.52,0.84
323.062,1.45,1
405.0675,1.2,0.87
389.0759,1.83,1
583.1516,1.45,0.82
394.0991,1.5,0.86
378.1042,1.5,0.79
325.0776,1.64,1
423.078,1.33,0.93
393.0675,1.29,0.93
613.1622,1.48,0.83
645.1521,1.48,0.91
390.1882,1.81,0.5
441.0886,1.47,1
529.1046,1.44,1
539.1254,1.4,0.85
487.1668,1.78,0.83
349.0776,1.38,0.85
555.1203,1.4,0.9
495.0992,1.33,0.89
675.199,1.6,0.84
451.1457,1.56,0.72
503.1253,1.65,1
405.0708,1.83,1.08
437.1413,1.62,0.75
539.1618,1.52,0.76
335.062,1.33,0.92
377.0726,1.29,0.86
575.1466,1.6,0.95
533.1359,1.67,1
555.1566,1.52,0.81
443.1042,1.6,1
473.1512,1.76,0.88
443.1406,1.75,0.88
675.1626,1.5,0.92
691.1939,1.6,0.88
543.1203,1.47,0.95
371.1195,1.85,0.92
396.1147,1.64,0.86
501.1097,1.53,1
629.1572,1.48,0.87
453.0886,1.38,0.94
599.1465,1.45,0.86
371.0831,1.67,1.08
419.1307,1.5,0.69
471.0991,1.5,1
473.1148,1.62,1
573.1309,1.5,0.95
381.0675,1.38,1
411.078,1.43,1
619.1728,1.64,0.91
649.1833,1.65,0.91
439.1569,1.75,0.75
531.1203,1.56,1
547.1516,1.68,0.95
617.1572,1.55,0.91
587.1466,1.52,0.9
407.0831,1.33,0.87
647.1677,1.57,0.91
437.0937,1.38,0.88
483.0991,1.41,0.94
571.1516,1.52,0.86
459.1355,1.75,0.94
489.1461,1.76,0.94
451.1093,1.41,0.82
413.0937,1.57,1
527.1254,1.47,0.89
351.0933,1.54,0.85
467.1043,1.41,0.88
545.1359,1.58,0.95
385.0988,1.69,1
395.0831,1.43,0.93
531.1567,1.68,0.89
337.0776,1.5,0.92
379.0882,1.43,0.86
513.1097,1.44,0.94
557.1359,1.5,0.9
383.0831,1.54,1
455.1042,1.5,0.94
367.0882,1.54,0.92
425.0937,1.47,0.93
353.0726,1.5,1
369.1039,1.69,0.92
457.1199,1.62,0.94
485.1148,1.53,0.94
487.1304,1.65,0.94
399.1144,1.71,0.93
357.1039,1.83,1
312.1565,1.64,0.36
309.0252,0.77,0.69
327.0147,0.5,0.5
315.0146,0.53,0.53
333.1919,1.88,0.44
317.1394,1.22,0.28
350.9994,0.57,0.79
567.1872,1.07,0.37
307.0823,1.07,0.47
315.0874,0.94,0.35
349.1405,1.29,0.35
348.1088,1.12,0.41
617.0785,0.81,0.63
353.1031,0.9,0.3
307.046,0.86,0.57
367.1552,1.09,0.23
335.0884,1.07,0.47
363.0834,1,0.5
629.115,0.9,0.55
597.1249,0.9,0.48
363.0874,0.76,0.29
555.0417,0.64,0.6
633.2191,1.23,0.45
332.1463,1.77,0.54
435.2599,1.9,0.43
339.0874,0.84,0.32
388.1548,1.69,0.38
440.0834,1.06,0.67
585.2706,1.31,0.31
530.2465,1.19,0.12
358.0932,0.94,0.39
400.1249,1.35,0.59
478.0991,1,0.57
315.051,0.75,0.44
481.1868,1.11,0.3
375.0511,0.57,0.33
319.1551,1.33,0.28
419.0409,0.55,0.41
363.051,0.6,0.35
414.0467,0.68,0.53
587.2498,1.29,0.35
346.0568,0.81,0.5
363.1562,1.33,0.33
398.0517,0.68,0.47
327.1635,1.65,0.24
498.2204,1.1,0.1
388.2283,1.19,0.08
432.1301,1.1,0.43
451.2701,1.6,0.28
395.1865,1.17,0.21
635.1983,1.2,0.5
317.0303,0.67,0.53
458.0729,0.81,0.52
411.2177,1.28,0.2
525.3069,1.64,0.32
358.2177,1.16,0.04
409.1252,1.22,0.5
515.2498,1.6,0.44
333.1456,1.29,0.29
416.2232,1.15,0.11
428.2232,1.11,0.11
341.2082,1.76,0.29
467.1348,0.96,0.36
378.0467,0.81,0.62
406.0415,0.76,0.65
374.2085,1.45,0.2
585.0523,0.69,0.62
327.051,0.71,0.41
331.0096,0.53,0.6
397.2021,1.25,0.21
377.0667,0.67,0.33
405.094,1,0.5
348.0725,0.94,0.5
317.103,1.06,0.35
603.2631,1.38,0.28
407.1095,1.11,0.5
352.0674,1,0.6
426.1043,1.17,0.61
386.0517,0.72,0.5
381.094,1.12,0.56
335.0045,0.57,0.71
503.2498,1.67,0.46
523.0883,0.77,0.46
398.0881,0.85,0.4
393.098,0.82,0.32
621.2189,1.27,0.47
615.0992,0.86,0.57
423.145,1,0.29
415.2701,1.82,0.32
377.1355,1.22,0.39
396.1412,1.35,0.47
366.1195,1.24,0.47
495.2025,1.14,0.29
317.197,1.88,0.38
316.1878,1.93,0.36
418.0415,0.72,0.61
425.2334,1.31,0.19
409.0048,0.62,0.81
395.1096,1.18,0.53
423.0603,1.33,0.8
314.1722,1.79,0.36
479.062,0.67,0.46
555.2811,1.57,0.39
428.0623,0.75,0.5
601.229,1.23,0.39
539.2287,1.2,0.3
370.0568,0.72,0.44
414.2246,1.74,0.37
553.0623,0.69,0.54
629.1877,1.1,0.45
315.1198,1.54,0.54
549.1495,0.55,0.08
555.0781,0.77,0.54
683.2559,1.38,0.5
501.2202,1.13,0.13
377.0304,0.5,0.4
400.1038,0.95,0.4
358.0569,0.76,0.47
352.1038,1.19,0.5
378.1307,1.24,0.41
391.1147,1.11,0.44
323.1347,1.85,0.69
385.2596,1.81,0.29
569.2028,1.13,0.37
527.2862,1.63,0.37
414.083,0.85,0.45
367.1187,0.95,0.29
339.051,0.67,0.39
451.1398,0.96,0.32
525.2494,1.27,0.27
523.1247,0.89,0.41
446.1092,1,0.48
467.2076,1.19,0.26
341.1395,1.1,0.25
509.109,0.85,0.42
619.2033,1.2,0.47
339.2177,1.68,0.26
412.0674,0.75,0.45
603.2447,1.29,0.39
453.1555,1.04,0.32
446.073,0.85,0.55
489.2341,1.65,0.48
349.1041,1.12,0.44
421.0929,0.78,0.35
531.2811,1.69,0.42
414.9943,0.44,0.67
621.1462,1.07,0.57
421.0048,0.59,0.76
603.0992,0.89,0.59
463.0671,0.67,0.42
390.2398,1.57,0.19
409.1293,0.96,0.3
485.2756,1.68,0.36
323.1864,1.56,0.28
567.0782,0.74,0.52
327.0874,0.89,0.33
444.0935,0.9,0.48
453.1919,1.15,0.27
424.0885,1.06,0.61
392.1497,1.8,0.47
577.0471,0.75,0.71
402.0467,0.72,0.56
349.1868,1.88,0.5
396.13,1.28,0.5
334.1772,1.47,0.24
573.0522,0.72,0.64
362.0518,0.81,0.56
415.249,1.44,0.2
428.0987,0.9,0.43
364.1514,1.35,0.35
375.1926,1.4,0.25
406.162,1.32,0.37
563.1652,0.59,0.07
448.0885,0.95,0.55
450.1042,1.05,0.55
393.094,1.06,0.53
420.13,1.15,0.45
525.1767,1.07,0.36
314.2085,1.93,0.27
451.0306,0.55,0.5
535.3277,1.6,0.27
502.2516,1.23,0.1
391.0823,0.73,0.32
615.1721,1.07,0.47
453.2283,1.26,0.22
433.093,0.75,0.33
437.1242,0.92,0.33
547.0365,0.7,0.7
537.1404,0.93,0.39
424.1249,1.21,0.53
376.1912,1.94,0.31
431.265,1.82,0.36
347.0045,0.53,0.67
459.2599,1.74,0.39
420.1776,1.35,0.35
525.2131,1.17,0.31
384.13,1.35,0.53
436.1249,1.15,0.5
537.1039,0.81,0.44
326.1721,1.67,0.33
514.2517,1.19,0.09
581.0784,0.92,0.71
481.0412,0.61,0.52
587.2134,1.2,0.4
377.099,1.06,0.47
421.2595,1.58,0.25
589.2655,1.35,0.35
436.0885,1,0.58
362.9994,0.53,0.73
388.1514,1.21,0.32
420.0573,0.83,0.61
585.125,0.93,0.5
364.1038,1.12,0.47
465.2858,1.62,0.27
396.1776,1.5,0.39
523.1609,1,0.36
352.1514,1.44,0.38
355.0096,0.47,0.53
435.0722,0.7,0.39
435.0357,0.55,0.45
591.2811,1.42,0.35
400.0674,0.79,0.47
372.0725,0.83,0.44
603.2082,1.2,0.43
481.2232,1.21,0.25
363.1198,1.18,0.41
365.1817,1.88,0.56
597.1615,1,0.43
402.1194,1.05,0.4
553.3018,1.59,0.34
439.1762,1.12,0.28
317.0667,0.88,0.44
347.2075,1.88,0.41
374.9994,0.5,0.69
381.1344,1,0.27
373.2596,1.9,0.3
383.0045,0.44,0.56
393.0859,1.47,0.67
405.2858,2,0.33
321.1708,1.44,0.28
412.209,1.63,0.37
443.265,1.74,0.35
343.1511,1.6,0.47
467.1712,1.08,0.31
495.0569,0.67,0.5
413.2334,1.36,0.2
471.0205,0.57,0.62
559.2913,1.42,0.29
393.1303,1.22,0.44
383.1864,1.22,0.22
404.1351,1.15,0.4
427.249,1.38,0.19
495.1297,0.92,0.38
557.0574,0.72,0.6
571.2549,1.29,0.32
599.1407,0.97,0.48
362.1358,1.24,0.35
617.1877,1.13,0.47
365.0667,0.7,0.35
593.0786,0.88,0.68
481.1504,1,0.35
511.2913,1.63,0.33
350.0882,1.06,0.5
393.0252,0.5,0.45
555.2236,1.2,0.33
539.0831,0.77,0.5
434.1093,1.05,0.5
329.1031,1,0.33
377.2334,1.55,0.23
501.031,0.64,0.64
483.2752,1.38,0.21
405.2494,1.9,0.4
539.2862,1.57,0.36
601.0836,0.81,0.59
529.2654,1.62,0.42
369.1708,1.18,0.23
539.1196,0.89,0.44
449.0878,0.75,0.38
447.2752,1.54,0.23
511.161,1.04,0.37
513.031,0.61,0.61
341.1031,0.95,0.32
331.1915,1.4,0.2
300.1929,1.93,0.29
505.026,0.67,0.71
351.051,0.63,0.37
426.1882,1.53,0.42
313.1657,1.62,0.38
601.1927,1.13,0.43
405.0616,0.64,0.36
432.0572,0.79,0.58
391.2701,2,0.35
353.0667,0.74,0.37
591.0992,0.92,0.62
425.1606,1.08,0.29
390.1195,1.11,0.42
329.1354,1.57,0.5
386.0881,0.89,0.42
509.0725,0.72,0.48
465.0464,0.61,0.48
441.0099,0.5,0.6
331.2126,1.88,0.35
543.0416,0.67,0.62
575.2862,1.42,0.32
433.0049,0.56,0.72
449.2392,1.81,0.48
360.0725,0.88,0.47
525.1402,0.96,0.41
601.12,0.93,0.54
367.0095,0.44,0.5
481.0777,0.75,0.46
553.0989,0.81,0.48
425.0151,0.5,0.55
430.078,0.85,0.5
539.1559,1,0.39
434.0729,0.89,0.58
350.1722,1.47,0.29
497.2545,1.31,0.24
418.1143,1.05,0.45
599.1771,1.07,0.43
497.1817,1.11,0.33
379.0824,0.76,0.33
581.149,1.84,0.95
481.2807,1.62,0.31
411.0239,1.23,1
500.236,1.16,0.1
571.2184,1.2,0.37
362.0882,1,0.47
587.1043,0.89,0.56
587.1407,1,0.5
541.0988,0.85,0.5
374.0882,0.94,0.44
585.0887,0.81,0.56
329.0303,0.62,0.5
497.1453,1,0.38
495.0934,0.8,0.44
809.2569,1.67,0.83
390.0466,0.76,0.59
465.0827,0.75,0.42
395.1137,0.91,0.32
416.0623,0.79,0.53
329.1758,1.3,0.2
410.1933,1.53,0.37
365.0303,0.53,0.42
605.1513,1.07,0.54
579.0628,0.83,0.71
585.1614,1.03,0.45
571.1821,1.1,0.41
571.1457,1,0.46
471.26,1.67,0.38
531.0416,0.7,0.65
372.1565,1.21,0.26
587.0678,0.77,0.62
416.0987,0.95,0.45
407.0773,0.73,0.36
437.0878,0.78,0.39
391.046,0.57,0.38
451.1035,0.83,0.38
367.1529,1.93,0.53
473.2909,1.5,0.21
425.197,1.2,0.24
459.2752,1.48,0.22
398.9994,0.44,0.61
565.1199,1.04,0.6
422.0729,0.94,0.61
511.1974,1.14,0.32
423.1086,0.87,0.35
379.2338,2,0.44
403.249,1.5,0.21
449.0514,0.61,0.43
487.2549,1.67,0.42
513.2705,1.62,0.38
525.1038,0.85,0.46
409.0201,0.5,0.5
475.0154,0.6,0.7
521.312,1.59,0.28
422.1093,1.11,0.53
353.0303,0.56,0.44
418.0779,0.89,0.53
366.1307,1.31,0.44
389.2334,1.48,0.22
406.1143,1.11,0.47
315.1813,1.75,0.38
374.0518,0.76,0.53
481.1141,0.88,0.4
527.0468,0.67,0.58
513.2858,1.4,0.23
394.1143,1.17,0.5
601.1562,1.03,0.48
563.0678,0.83,0.67
412.2453,1.75,0.3
451.0671,0.7,0.43
493.0259,0.7,0.75
407.0408,0.57,0.43
511.1246,0.92,0.42
376.2242,1.55,0.2
543.1872,1.14,0.39
487.3065,1.52,0.21
467.0984,0.83,0.42
593.1149,1,0.62
485.2909,1.45,0.21
589.1563,1.07,0.5
541.0625,0.72,0.56
431.1229,1.87,0.8
357.1668,1.62,0.44
378.1195,1.17,0.44
491.3014,1.57,0.25
561.0522,0.75,0.67
497.2756,1.62,0.35
455.2439,1.33,0.22
445.0049,0.53,0.68
461.2908,1.56,0.22
497.0362,0.61,0.57
463.0154,0.63,0.74
343.0096,0.5,0.56
559.073,0.8,0.6
511.0883,0.8,0.48
413.2545,1.73,0.32
455.0256,0.57,0.57
513.1766,1.11,0.37
335.1711,1.87,0.53
388.1038,1,0.42
328.1878,1.8,0.33
381.098,0.86,0.33
425.2545,1.65,0.3
575.1042,0.92,0.58
565.3018,1.53,0.33
541.1716,1.07,0.39
583.1458,0.97,0.45
603.1718,1.1,0.48
573.2705,1.35,0.32
587.177,1.1,0.45
571.073,0.77,0.58
541.2443,1.27,0.3
325.202,1.67,0.28
555.1508,1,0.43
421.0565,0.64,0.41
364.0674,0.94,0.56
376.1038,1.06,0.44
437.2545,1.58,0.29
