soil,Mass,Class,intensity,Forest,Treatment,Fenton,Goethite
Soil_1,342.1307,Protein,3157633,HW,PreFenton,PreFenton,PreGoethite
Soil_1,342.1671,Protein,6809740,HW,PreFenton,PreFenton,PreGoethite
Soil_1,342.2398,Lipid,5751970,HW,PreFenton,PreFenton,PreGoethite
Soil_1,343.0671,Tannin,4179360,HW,PreFenton,PreFenton,PreGoethite
Soil_1,343.1035,Lignin,5403051,HW,PreFenton,PreFenton,PreGoethite
Soil_1,343.1511,Protein,2389434,HW,PreFenton,PreFenton,PreGoethite
Soil_1,343.1551,Lignin,3108795,HW,PreFenton,PreFenton,PreGoethite
Soil_1,343.1762,Protein,6301122,HW,PreFenton,PreFenton,PreGoethite
Soil_1,343.2126,Protein,15018445,HW,PreFenton,PreFenton,PreGoethite
Soil_1,344.1827,Protein,10179324,HW,PreFenton,PreFenton,PreGoethite
Soil_1,344.2191,Protein,4136712,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.0616,Lignin,6426644,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.0827,Tannin,3655707,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.098,Lignin,6048800,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.1191,Lignin,3236391,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.1344,Lignin,6022188,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.1555,Protein,11303987,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.1919,Protein,4624446,HW,PreFenton,PreFenton,PreGoethite
Soil_1,345.2283,Protein,19692618,HW,PreFenton,PreFenton,PreGoethite
Soil_1,346.162,Protein,5611898,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.0984,Tannin,8045232,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.1136,Lignin,7191221,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.1348,AminoSugar,2259644,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.15,Lignin,6676161,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.1711,Protein,7361224,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.1864,Lignin,5206733,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.2075,Protein,2601684,HW,PreFenton,PreFenton,PreGoethite
Soil_1,347.2439,Protein,15998689,HW,PreFenton,PreFenton,PreGoethite
Soil_1,349.0565,Lignin,8925514,HW,PreFenton,PreFenton,PreGoethite
Soil_1,349.0929,Lignin,8757590,HW,PreFenton,PreFenton,PreGoethite
Soil_1,349.1293,Lignin,9374051,HW,PreFenton,PreFenton,PreGoethite
Soil_1,349.1657,Lignin,8098159,HW,PreFenton,PreFenton,PreGoethite
Soil_1,349.1868,Protein,2242423,HW,PreFenton,PreFenton,PreGoethite
Soil_1,351.0358,Tannin,7194624,HW,PreFenton,PreFenton,PreGoethite
Soil_1,351.0569,Tannin,2276360,HW,PreFenton,PreFenton,PreGoethite
Soil_1,351.0722,Lignin,10695693,HW,PreFenton,PreFenton,PreGoethite
Soil_1,351.1449,Lignin,11140135,HW,PreFenton,PreFenton,PreGoethite
Soil_1,351.1813,Lignin,8156212,HW,PreFenton,PreFenton,PreGoethite
Soil_1,351.2177,Lipid,4778049,HW,PreFenton,PreFenton,PreGoethite
Soil_1,353.0514,Tannin,10090199,HW,PreFenton,PreFenton,PreGoethite
Soil_1,353.0878,Lignin,10993380,HW,PreFenton,PreFenton,PreGoethite
Soil_1,353.1242,Lignin,10510065,HW,PreFenton,PreFenton,PreGoethite
Soil_1,353.1606,Lignin,12089086,HW,PreFenton,PreFenton,PreGoethite
Soil_1,353.197,Protein,6844172,HW,PreFenton,PreFenton,PreGoethite
Soil_1,354.1671,Protein,2987120,HW,PreFenton,PreFenton,PreGoethite
Soil_1,355.0307,Tannin,3840433,HW,PreFenton,PreFenton,PreGoethite
Soil_1,355.0671,Tannin,10068414,HW,PreFenton,PreFenton,PreGoethite
Soil_1,355.1035,Lignin,10045900,HW,PreFenton,PreFenton,PreGoethite
Soil_1,355.1762,Protein,12009959,HW,PreFenton,PreFenton,PreGoethite
Soil_1,355.2126,Protein,5793268,HW,PreFenton,PreFenton,PreGoethite
Soil_1,356.1463,Protein,7199570,HW,PreFenton,PreFenton,PreGoethite
Soil_1,356.1827,Protein,7656288,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.0463,Tannin,4426918,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.0616,ConHC,5402796,HW,PreFenton,PreFenton,PreGoethite
