Forest,adsorbed,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
HW,adsorbed,4,59,55,57,NA,6,2,169,NA
HW,not adsorbed,80,268,92,1032,44,2,249,179,8
SW,adsorbed,3,55,100,99,NA,7,3,165,NA
SW,not adsorbed,92,234,14,810,35,3,308,93,1
