Mass,Forest,treatment,intensity,NOSC,Class,fenton,goethite
293.1758,SW,PostFentonGoethite,2223623.66666667,-1.0588235294117645,Lipid,post-Fenton,post-Goethite
293.1758,SW,PreFentonGoethite,1805039.33333333,-1.0588235294117645,Lipid,initial,post-Goethite
299.2016,HW,PostFentonGoethite,2080377,-1.2000000000000002,UnsatHC,post-Fenton,post-Goethite
305.1395,SW,PreFentonGoethite,1667494.5,-0.7058823529411766,Lignin,initial,post-Goethite
305.1395,SW,PostFentonGoethite,1954551,-0.7058823529411766,Lignin,post-Fenton,post-Goethite
305.1758,SW,PostFentonGoethite,1484924.5,-1,Lignin,post-Fenton,post-Goethite
307.046,HW,PreFenton,1624113.5,0.2857142857142856,Lignin,initial,pre-Goethite
307.046,SW,PreFenton,1671760.33333333,0.2857142857142856,Lignin,initial,pre-Goethite
307.0823,HW,PreFenton,1597495.5,-0.13333333333333375,Lignin,initial,pre-Goethite
307.0823,SW,PreFenton,1686699,-0.13333333333333375,Lignin,initial,pre-Goethite
307.1187,SW,PreFentonGoethite,1864906.33333333,-0.5,Lignin,initial,post-Goethite
307.1187,SW,PreFenton,1746942.5,-0.5,Lignin,initial,pre-Goethite
307.1187,SW,PostFentonGoethite,2353639,-0.5,Lignin,post-Fenton,post-Goethite
307.1187,HW,PostFentonGoethite,1759956.66666667,-0.5,Lignin,post-Fenton,post-Goethite
307.1187,HW,PreFentonGoethite,1639662,-0.5,Lignin,initial,post-Goethite
307.1551,SW,PreFenton,1651295.66666667,-0.8235294117647056,Lignin,initial,pre-Goethite
307.1551,HW,PreFentonGoethite,1621785.33333333,-0.8235294117647056,Lignin,initial,post-Goethite
307.1551,SW,PostFentonGoethite,2625175.33333333,-0.8235294117647056,Lignin,post-Fenton,post-Goethite
307.1551,SW,PreFentonGoethite,2757711.66666667,-0.8235294117647056,Lignin,initial,post-Goethite
311.062,HW,PostFenton,1559960.5,0.6000000000000001,Other,post-Fenton,pre-Goethite
313.1809,SW,PostFentonGoethite,1745887.66666667,-1,Lignin,post-Fenton,post-Goethite
315.0146,HW,PreFenton,1545964,0.5333333333333332,ConHC,initial,pre-Goethite
315.051,SW,PreFenton,1694794.66666667,0.125,ConHC,initial,pre-Goethite
315.051,HW,PreFenton,1714610.5,0.125,ConHC,initial,pre-Goethite
315.0874,SW,PreFenton,1837093.66666667,-0.23529411764705888,Lignin,initial,pre-Goethite
315.0874,HW,PreFenton,1600121.5,-0.23529411764705888,Lignin,initial,pre-Goethite
315.1238,SW,PreFentonGoethite,1403263,-0.5555555555555554,Lignin,initial,post-Goethite
315.1238,SW,PreFenton,1537537,-0.5555555555555554,Lignin,initial,pre-Goethite
315.1966,SW,PreFenton,2370913.66666667,-1.0999999999999996,Lignin,initial,pre-Goethite
315.1966,SW,PostFentonGoethite,2001574,-1.0999999999999996,Lignin,post-Fenton,post-Goethite
315.1966,SW,PreFentonGoethite,3869695.66666667,-1.0999999999999996,Lignin,initial,post-Goethite
317.0303,HW,PreFenton,1765602,0.3999999999999999,ConHC,initial,pre-Goethite
317.0303,SW,PreFenton,1772001.33333333,0.3999999999999999,ConHC,initial,pre-Goethite
317.103,HW,PreFentonGoethite,1687749,-0.35294117647058787,Lignin,initial,post-Goethite
317.103,SW,PreFenton,1980653.33333333,-0.35294117647058787,Lignin,initial,pre-Goethite
317.103,SW,PreFentonGoethite,1709322,-0.35294117647058787,Lignin,initial,post-Goethite
317.103,HW,PreFenton,1814256,-0.35294117647058787,Lignin,initial,pre-Goethite
317.1394,SW,PreFentonGoethite,2423910,-0.666666666666667,Lignin,initial,post-Goethite
317.1394,SW,PostFenton,1593465.5,-0.666666666666667,Lignin,post-Fenton,pre-Goethite
317.1394,HW,PostFentonGoethite,1569063.66666667,-0.666666666666667,Lignin,post-Fenton,post-Goethite
317.1394,SW,PostFentonGoethite,2473842,-0.666666666666667,Lignin,post-Fenton,post-Goethite
317.1394,HW,PreFentonGoethite,1807247,-0.666666666666667,Lignin,initial,post-Goethite
317.1394,HW,PreFenton,1564937,-0.666666666666667,Lignin,initial,pre-Goethite
317.1394,SW,PreFenton,1675478,-0.666666666666667,Lignin,initial,pre-Goethite
317.1759,SW,PostFentonGoethite,2095310,-0.9473684210526319,Lignin,post-Fenton,post-Goethite
317.1759,SW,PreFentonGoethite,2334061,-0.9473684210526319,Lignin,initial,post-Goethite
319.0459,SW,PreFenton,2808117,0.2666666666666666,Lignin,initial,pre-Goethite
319.0459,HW,PreFenton,2865869.66666667,0.2666666666666666,Lignin,initial,pre-Goethite
319.0459,HW,PreFentonGoethite,1758014,0.2666666666666666,Lignin,initial,post-Goethite
319.0823,HW,PreFenton,2783529.33333333,-0.125,Lignin,initial,pre-Goethite
319.0823,SW,PreFentonGoethite,1698348.33333333,-0.125,Lignin,initial,post-Goethite
319.0823,HW,PostFenton,1802365,-0.125,Lignin,post-Fenton,pre-Goethite
319.0823,SW,PostFenton,1627050.33333333,-0.125,Lignin,post-Fenton,pre-Goethite
319.0823,SW,PreFenton,2700603,-0.125,Lignin,initial,pre-Goethite
319.0823,HW,PreFentonGoethite,1637030.66666667,-0.125,Lignin,initial,post-Goethite
319.1187,SW,PostFenton,2048688.33333333,-0.47058823529411775,Lignin,post-Fenton,pre-Goethite
319.1187,HW,PostFentonGoethite,2943764,-0.47058823529411775,Lignin,post-Fenton,post-Goethite
319.1187,SW,PreFenton,2564588.33333333,-0.47058823529411775,Lignin,initial,pre-Goethite
319.1187,HW,PostFenton,1684701,-0.47058823529411775,Lignin,post-Fenton,pre-Goethite
319.1187,HW,PreFenton,2278874.33333333,-0.47058823529411775,Lignin,initial,pre-Goethite
319.1187,HW,PreFentonGoethite,2003118,-0.47058823529411775,Lignin,initial,post-Goethite
319.1187,SW,PostFentonGoethite,2939595,-0.47058823529411775,Lignin,post-Fenton,post-Goethite
319.1187,SW,PreFentonGoethite,2835678,-0.47058823529411775,Lignin,initial,post-Goethite
319.1551,HW,PreFenton,1719933,-0.7777777777777777,Lignin,initial,pre-Goethite
319.1551,SW,PostFentonGoethite,3653074,-0.7777777777777777,Lignin,post-Fenton,post-Goethite
319.1551,SW,PreFenton,2117959.66666667,-0.7777777777777777,Lignin,initial,pre-Goethite
319.1551,HW,PostFentonGoethite,2065691,-0.7777777777777777,Lignin,post-Fenton,post-Goethite
319.1551,SW,PreFentonGoethite,3450938.33333333,-0.7777777777777777,Lignin,initial,post-Goethite
319.1551,HW,PreFentonGoethite,2387124.66666667,-0.7777777777777777,Lignin,initial,post-Goethite
319.1551,SW,PostFenton,2121227.33333333,-0.7777777777777777,Lignin,post-Fenton,pre-Goethite
319.1915,SW,PreFenton,1585985.5,-1.0526315789473681,Lignin,initial,pre-Goethite
319.1915,SW,PostFentonGoethite,1920131,-1.0526315789473681,Lignin,post-Fenton,post-Goethite
319.1915,SW,PreFentonGoethite,2754966.33333333,-1.0526315789473681,Lignin,initial,post-Goethite
321.0252,SW,PreFenton,2658787.66666667,0.5714285714285716,ConHC,initial,pre-Goethite
321.0252,HW,PreFenton,2750936,0.5714285714285716,ConHC,initial,pre-Goethite
321.0616,SW,PreFenton,3748842.33333333,0.1333333333333333,Lignin,initial,pre-Goethite
321.0616,HW,PreFenton,3680222.66666667,0.1333333333333333,Lignin,initial,pre-Goethite
321.0616,HW,PreFentonGoethite,1728554.66666667,0.1333333333333333,Lignin,initial,post-Goethite
321.0616,SW,PreFentonGoethite,1457883.5,0.1333333333333333,Lignin,initial,post-Goethite
321.0616,HW,PostFenton,2201962,0.1333333333333333,Lignin,post-Fenton,pre-Goethite
321.0616,SW,PostFenton,2129229,0.1333333333333333,Lignin,post-Fenton,pre-Goethite
321.098,SW,PreFenton,3537904.66666667,-0.25,Lignin,initial,pre-Goethite
321.098,HW,PostFenton,2661318,-0.25,Lignin,post-Fenton,pre-Goethite
321.098,SW,PostFentonGoethite,2628997.33333333,-0.25,Lignin,post-Fenton,post-Goethite
321.098,HW,PreFentonGoethite,2421298,-0.25,Lignin,initial,post-Goethite
321.098,HW,PostFentonGoethite,2368311.66666667,-0.25,Lignin,post-Fenton,post-Goethite
321.098,SW,PostFenton,2653864,-0.25,Lignin,post-Fenton,pre-Goethite
321.098,HW,PreFenton,2939535.33333333,-0.25,Lignin,initial,pre-Goethite
321.098,SW,PreFentonGoethite,2975841,-0.25,Lignin,initial,post-Goethite
321.1344,HW,PreFenton,3099115.33333333,-0.5882352941176467,Lignin,initial,pre-Goethite
321.1344,SW,PreFentonGoethite,4729619.33333333,-0.5882352941176467,Lignin,initial,post-Goethite
321.1344,SW,PostFentonGoethite,5499446.66666667,-0.5882352941176467,Lignin,post-Fenton,post-Goethite
321.1344,SW,PostFenton,3102553,-0.5882352941176467,Lignin,post-Fenton,pre-Goethite
321.1344,HW,PostFenton,2407883.66666667,-0.5882352941176467,Lignin,post-Fenton,pre-Goethite
321.1344,HW,PostFentonGoethite,3888020.33333333,-0.5882352941176467,Lignin,post-Fenton,post-Goethite
321.1344,SW,PreFenton,3651063.33333333,-0.5882352941176467,Lignin,initial,pre-Goethite
321.1344,HW,PreFentonGoethite,3435833,-0.5882352941176467,Lignin,initial,post-Goethite
321.1708,SW,PostFenton,1876135,-0.8888888888888893,Lignin,post-Fenton,pre-Goethite
321.1708,SW,PreFenton,2440104.33333333,-0.8888888888888893,Lignin,initial,pre-Goethite
321.1708,SW,PreFentonGoethite,4541551.33333333,-0.8888888888888893,Lignin,initial,post-Goethite
