Mass,Forest,treatment,intensity,NOSC,Class,fenton,goethite
321.1708,HW,PostFentonGoethite,2287259.66666667,-0.8888888888888893,Lignin,post-Fenton,post-Goethite
321.1708,HW,PreFentonGoethite,2815979,-0.8888888888888893,Lignin,initial,post-Goethite
321.1708,SW,PostFentonGoethite,3801490.33333333,-0.8888888888888893,Lignin,post-Fenton,post-Goethite
321.1708,HW,PreFenton,2127943.33333333,-0.8888888888888893,Lignin,initial,pre-Goethite
321.2071,SW,PreFentonGoethite,1662241.33333333,-1.1578947368421053,Lipid,initial,post-Goethite
322.1408,HW,PreFentonGoethite,1971204.66666667,-0.13333333333333375,Lignin,initial,post-Goethite
327.0147,HW,PreFenton,1538188,0.5,ConHC,initial,pre-Goethite
327.051,HW,PreFenton,1795771.66666667,0.11764705882352944,ConHC,initial,pre-Goethite
327.051,SW,PreFenton,1942011.66666667,0.11764705882352944,ConHC,initial,pre-Goethite
327.0874,HW,PreFenton,1969347,-0.22222222222222232,Lignin,initial,pre-Goethite
327.0874,SW,PreFenton,2102018.66666667,-0.22222222222222232,Lignin,initial,pre-Goethite
327.1238,SW,PreFentonGoethite,1674599.5,-0.5263157894736841,Lignin,initial,post-Goethite
327.1601,SW,PostFentonGoethite,1642134.5,-0.7999999999999998,Lignin,post-Fenton,post-Goethite
329.0303,HW,PreFentonGoethite,1437250,0.375,ConHC,initial,post-Goethite
329.0303,HW,PreFenton,2323634.33333333,0.375,ConHC,initial,pre-Goethite
329.0303,SW,PreFenton,2088758,0.375,ConHC,initial,pre-Goethite
329.1031,HW,PreFenton,2197015.33333333,-0.33333333333333304,Lignin,initial,pre-Goethite
329.1031,SW,PreFentonGoethite,2022985.66666667,-0.33333333333333304,Lignin,initial,post-Goethite
329.1031,HW,PreFentonGoethite,1777364,-0.33333333333333304,Lignin,initial,post-Goethite
329.1031,SW,PreFenton,2409797,-0.33333333333333304,Lignin,initial,pre-Goethite
329.1394,HW,PreFentonGoethite,2007646,-0.6315789473684212,Lignin,initial,post-Goethite
329.1394,SW,PostFenton,2529485.5,-0.6315789473684212,Lignin,post-Fenton,pre-Goethite
329.1394,SW,PreFentonGoethite,3667196,-0.6315789473684212,Lignin,initial,post-Goethite
329.1394,HW,PreFenton,2081140.66666667,-0.6315789473684212,Lignin,initial,pre-Goethite
329.1394,SW,PostFentonGoethite,3284564.33333333,-0.6315789473684212,Lignin,post-Fenton,post-Goethite
329.1394,SW,PreFenton,2727244.66666667,-0.6315789473684212,Lignin,initial,pre-Goethite
329.1394,HW,PostFenton,1572578,-0.6315789473684212,Lignin,post-Fenton,pre-Goethite
329.1394,HW,PostFentonGoethite,1754900.33333333,-0.6315789473684212,Lignin,post-Fenton,post-Goethite
329.1758,SW,PostFenton,4202391,-0.9000000000000004,Lignin,post-Fenton,pre-Goethite
329.1758,SW,PreFenton,4023807,-0.9000000000000004,Lignin,initial,pre-Goethite
329.1758,HW,PreFentonGoethite,2220561.33333333,-0.9000000000000004,Lignin,initial,post-Goethite
329.1758,HW,PostFentonGoethite,1912092.66666667,-0.9000000000000004,Lignin,post-Fenton,post-Goethite
329.1758,SW,PreFentonGoethite,6990425.66666667,-0.9000000000000004,Lignin,initial,post-Goethite
329.1758,HW,PreFenton,2335794.5,-0.9000000000000004,Lignin,initial,pre-Goethite
329.1758,SW,PostFentonGoethite,6303836,-0.9000000000000004,Lignin,post-Fenton,post-Goethite
331.0096,SW,PreFenton,1501272,0.6666666666666665,ConHC,initial,pre-Goethite
331.0096,HW,PreFenton,1797478,0.6666666666666665,ConHC,initial,pre-Goethite
331.0459,SW,PreFenton,3697372.33333333,0.25,ConHC,initial,pre-Goethite
331.0459,HW,PreFentonGoethite,1698984.66666667,0.25,ConHC,initial,post-Goethite
331.0459,HW,PostFenton,1742622.66666667,0.25,ConHC,post-Fenton,pre-Goethite
331.0459,SW,PostFenton,1806363,0.25,ConHC,post-Fenton,pre-Goethite
331.0459,HW,PreFenton,3806659.66666667,0.25,ConHC,initial,pre-Goethite
331.0823,SW,PostFenton,1913571,-0.117647058823529,Lignin,post-Fenton,pre-Goethite
331.0823,SW,PreFenton,4628879.33333333,-0.117647058823529,Lignin,initial,pre-Goethite
331.0823,SW,PreFentonGoethite,2857991,-0.117647058823529,Lignin,initial,post-Goethite
331.0823,HW,PreFentonGoethite,2719879,-0.117647058823529,Lignin,initial,post-Goethite
331.0823,HW,PreFenton,4028534,-0.117647058823529,Lignin,initial,pre-Goethite
331.0823,HW,PostFenton,1674107.33333333,-0.117647058823529,Lignin,post-Fenton,pre-Goethite
331.1187,HW,PreFentonGoethite,3158501,-0.44444444444444464,Lignin,initial,post-Goethite
331.1187,SW,PreFentonGoethite,3657743.33333333,-0.44444444444444464,Lignin,initial,post-Goethite
331.1187,HW,PreFenton,3093289,-0.44444444444444464,Lignin,initial,pre-Goethite
331.1187,SW,PostFenton,2058932.33333333,-0.44444444444444464,Lignin,post-Fenton,pre-Goethite
331.1187,SW,PostFentonGoethite,2853538.33333333,-0.44444444444444464,Lignin,post-Fenton,post-Goethite
331.1187,HW,PostFenton,1822168,-0.44444444444444464,Lignin,post-Fenton,pre-Goethite
331.1187,SW,PreFenton,3285228,-0.44444444444444464,Lignin,initial,pre-Goethite
331.1187,HW,PostFentonGoethite,2258643.66666667,-0.44444444444444464,Lignin,post-Fenton,post-Goethite
331.1551,SW,PreFenton,3477406.66666667,-0.7368421052631575,Lignin,initial,pre-Goethite
331.1551,SW,PostFenton,2744251.66666667,-0.7368421052631575,Lignin,post-Fenton,pre-Goethite
331.1551,HW,PreFenton,2774492,-0.7368421052631575,Lignin,initial,pre-Goethite
331.1551,HW,PostFentonGoethite,2837297.33333333,-0.7368421052631575,Lignin,post-Fenton,post-Goethite
331.1551,SW,PostFentonGoethite,5518506.33333333,-0.7368421052631575,Lignin,post-Fenton,post-Goethite
331.1551,HW,PreFentonGoethite,2701294.33333333,-0.7368421052631575,Lignin,initial,post-Goethite
331.1551,SW,PreFentonGoethite,5435757,-0.7368421052631575,Lignin,initial,post-Goethite
331.1551,HW,PostFenton,1814495,-0.7368421052631575,Lignin,post-Fenton,pre-Goethite
331.1915,SW,PreFentonGoethite,12362443,-1,Lignin,initial,post-Goethite
331.1915,HW,PreFenton,2230136.5,-1,Lignin,initial,pre-Goethite
331.1915,SW,PostFentonGoethite,5108317,-1,Lignin,post-Fenton,post-Goethite
331.1915,SW,PreFenton,6950481,-1,Lignin,initial,pre-Goethite
331.1915,HW,PostFentonGoethite,1671993.66666667,-1,Lignin,post-Fenton,post-Goethite
331.1915,HW,PreFentonGoethite,2576716.66666667,-1,Lignin,initial,post-Goethite
333.0252,HW,PreFenton,3439839.66666667,0.5333333333333332,ConHC,initial,pre-Goethite
333.0252,HW,PreFentonGoethite,1456037.5,0.5333333333333332,ConHC,initial,post-Goethite
333.0252,SW,PreFenton,3154399.66666667,0.5333333333333332,ConHC,initial,pre-Goethite
333.0252,HW,PostFenton,1491631,0.5333333333333332,ConHC,post-Fenton,pre-Goethite
333.0616,SW,PreFentonGoethite,2507216.33333333,0.125,Lignin,initial,post-Goethite
333.0616,SW,PostFenton,2590455.33333333,0.125,Lignin,post-Fenton,pre-Goethite
333.0616,HW,PreFentonGoethite,3218550.33333333,0.125,Lignin,initial,post-Goethite
333.0616,HW,PreFenton,5654930.66666667,0.125,Lignin,initial,pre-Goethite
333.0616,HW,PostFenton,2548491.66666667,0.125,Lignin,post-Fenton,pre-Goethite
333.0616,SW,PreFenton,5920402.33333333,0.125,Lignin,initial,pre-Goethite
333.098,HW,PreFentonGoethite,3200810.33333333,-0.23529411764705888,Lignin,initial,post-Goethite
333.098,SW,PostFenton,2744745.33333333,-0.23529411764705888,Lignin,post-Fenton,pre-Goethite
333.098,SW,PreFenton,4535280,-0.23529411764705888,Lignin,initial,pre-Goethite
333.098,HW,PostFenton,2655848.33333333,-0.23529411764705888,Lignin,post-Fenton,pre-Goethite
333.098,SW,PostFentonGoethite,2433107.66666667,-0.23529411764705888,Lignin,post-Fenton,post-Goethite
333.098,HW,PreFenton,4128667.66666667,-0.23529411764705888,Lignin,initial,pre-Goethite
333.098,HW,PostFentonGoethite,2367563.66666667,-0.23529411764705888,Lignin,post-Fenton,post-Goethite
333.098,SW,PreFentonGoethite,3778179.66666667,-0.23529411764705888,Lignin,initial,post-Goethite
333.1344,HW,PostFentonGoethite,4410964.33333333,-0.5555555555555554,Lignin,post-Fenton,post-Goethite
333.1344,HW,PreFenton,3628281.33333333,-0.5555555555555554,Lignin,initial,pre-Goethite
333.1344,SW,PostFenton,3512070.66666667,-0.5555555555555554,Lignin,post-Fenton,pre-Goethite
333.1344,HW,PostFenton,2928410.66666667,-0.5555555555555554,Lignin,post-Fenton,pre-Goethite
333.1344,HW,PreFentonGoethite,4363059.66666667,-0.5555555555555554,Lignin,initial,post-Goethite
333.1344,SW,PreFenton,4625741.66666667,-0.5555555555555554,Lignin,initial,pre-Goethite
333.1344,SW,PreFentonGoethite,5921932.66666667,-0.5555555555555554,Lignin,initial,post-Goethite
333.1344,SW,PostFentonGoethite,5610075.66666667,-0.5555555555555554,Lignin,post-Fenton,post-Goethite
333.1456,HW,PreFentonGoethite,1884811.66666667,-0.35294117647058787,Lignin,initial,post-Goethite
333.1456,SW,PreFentonGoethite,1778276.33333333,-0.35294117647058787,Lignin,initial,post-Goethite
333.1456,HW,PreFenton,1782891,-0.35294117647058787,Lignin,initial,pre-Goethite
333.1707,SW,PreFentonGoethite,7459306.33333333,-0.8421052631578947,Lignin,initial,post-Goethite
333.1707,SW,PreFenton,4400810.66666667,-0.8421052631578947,Lignin,initial,pre-Goethite
333.1707,SW,PostFentonGoethite,6618041.66666667,-0.8421052631578947,Lignin,post-Fenton,post-Goethite
333.1707,SW,PostFenton,2355129,-0.8421052631578947,Lignin,post-Fenton,pre-Goethite
333.1707,HW,PreFenton,3029761.66666667,-0.8421052631578947,Lignin,initial,pre-Goethite
333.1707,HW,PostFentonGoethite,3517362.66666667,-0.8421052631578947,Lignin,post-Fenton,post-Goethite
333.1707,HW,PreFentonGoethite,3886055.66666667,-0.8421052631578947,Lignin,initial,post-Goethite
333.2071,SW,PreFentonGoethite,12702195,-1.0999999999999996,Lipid,initial,post-Goethite
333.2071,SW,PostFentonGoethite,3934486.66666667,-1.0999999999999996,Lipid,post-Fenton,post-Goethite
333.2071,HW,PostFentonGoethite,1521851,-1.0999999999999996,Lipid,post-Fenton,post-Goethite
333.2071,HW,PreFentonGoethite,2542406.33333333,-1.0999999999999996,Lipid,initial,post-Goethite
333.2071,SW,PreFenton,7061512,-1.0999999999999996,Lipid,initial,pre-Goethite
334.1772,HW,PreFenton,1984582.66666667,-0.47058823529411775,Lignin,initial,pre-Goethite
334.1772,SW,PreFenton,1500302,-0.47058823529411775,Lignin,initial,pre-Goethite
334.1772,HW,PreFentonGoethite,3215084,-0.47058823529411775,Lignin,initial,post-Goethite
334.1772,SW,PreFentonGoethite,2204376,-0.47058823529411775,Lignin,initial,post-Goethite
335.0045,HW,PreFenton,1836758,0.8571428571428572,ConHC,initial,pre-Goethite
335.0045,SW,PreFenton,1583816.5,0.8571428571428572,ConHC,initial,pre-Goethite
335.0408,HW,PreFentonGoethite,1799033.66666667,0.3999999999999999,Lignin,initial,post-Goethite
335.0408,HW,PreFenton,5260141.66666667,0.3999999999999999,Lignin,initial,pre-Goethite
335.0408,SW,PreFenton,5129638,0.3999999999999999,Lignin,initial,pre-Goethite
335.0408,SW,PostFenton,2623142,0.3999999999999999,Lignin,post-Fenton,pre-Goethite
335.0408,HW,PostFenton,2764800.66666667,0.3999999999999999,Lignin,post-Fenton,pre-Goethite
335.0884,HW,PreFenton,1633773,0.2666666666666666,Lignin,initial,pre-Goethite
335.1136,HW,PostFentonGoethite,4951430.66666667,-0.35294117647058787,Lignin,post-Fenton,post-Goethite
335.1136,SW,PreFentonGoethite,5694391.66666667,-0.35294117647058787,Lignin,initial,post-Goethite
335.1136,HW,PostFenton,4071952.33333333,-0.35294117647058787,Lignin,post-Fenton,pre-Goethite
335.1136,HW,PreFentonGoethite,4476215.33333333,-0.35294117647058787,Lignin,initial,post-Goethite
335.1136,SW,PreFenton,5747809.33333333,-0.35294117647058787,Lignin,initial,pre-Goethite
335.1136,HW,PreFenton,5195647.66666667,-0.35294117647058787,Lignin,initial,pre-Goethite
335.1136,SW,PostFentonGoethite,5509488.66666667,-0.35294117647058787,Lignin,post-Fenton,post-Goethite
335.1136,SW,PostFenton,4516704.66666667,-0.35294117647058787,Lignin,post-Fenton,pre-Goethite
335.15,SW,PreFentonGoethite,8732950,-0.666666666666667,Lignin,initial,post-Goethite
335.15,HW,PostFenton,3173741.33333333,-0.666666666666667,Lignin,post-Fenton,pre-Goethite
335.15,SW,PreFenton,5920873.33333333,-0.666666666666667,Lignin,initial,pre-Goethite
335.15,SW,PostFenton,4475411.66666667,-0.666666666666667,Lignin,post-Fenton,pre-Goethite
335.15,SW,PostFentonGoethite,9472036,-0.666666666666667,Lignin,post-Fenton,post-Goethite
335.15,HW,PreFentonGoethite,6013590.66666667,-0.666666666666667,Lignin,initial,post-Goethite
335.15,HW,PostFentonGoethite,6320357,-0.666666666666667,Lignin,post-Fenton,post-Goethite
335.15,HW,PreFenton,4686558,-0.666666666666667,Lignin,initial,pre-Goethite
335.1864,HW,PostFentonGoethite,3052269.66666667,-0.9473684210526319,Lignin,post-Fenton,post-Goethite
335.1864,SW,PostFenton,2232176.66666667,-0.9473684210526319,Lignin,post-Fenton,pre-Goethite
335.1864,SW,PreFenton,5379868.66666667,-0.9473684210526319,Lignin,initial,pre-Goethite
335.1864,HW,PreFenton,2873148.33333333,-0.9473684210526319,Lignin,initial,pre-Goethite
335.1864,SW,PreFentonGoethite,9399241.33333333,-0.9473684210526319,Lignin,initial,post-Goethite
335.1864,HW,PreFentonGoethite,4005024.33333333,-0.9473684210526319,Lignin,initial,post-Goethite
335.1864,SW,PostFentonGoethite,7153366.66666667,-0.9473684210526319,Lignin,post-Fenton,post-Goethite
335.2228,HW,PreFentonGoethite,1502746,-1.2000000000000002,Lipid,initial,post-Goethite
335.2228,SW,PreFentonGoethite,3864188.66666667,-1.2000000000000002,Lipid,initial,post-Goethite
335.2228,SW,PreFenton,2368122,-1.2000000000000002,Lipid,initial,pre-Goethite
335.2228,SW,PostFentonGoethite,2232817.5,-1.2000000000000002,Lipid,post-Fenton,post-Goethite
336.1565,HW,PreFentonGoethite,1746938,-0.25,Lignin,initial,post-Goethite
339.051,HW,PreFenton,1920452.33333333,0.11111111111111116,ConHC,initial,pre-Goethite
339.051,SW,PreFenton,1751236.5,0.11111111111111116,ConHC,initial,pre-Goethite
339.0569,HW,PostFenton,2872531.33333333,0.7272727272727271,Tannin,post-Fenton,pre-Goethite
339.0569,SW,PostFenton,3134186.33333333,0.7272727272727271,Tannin,post-Fenton,pre-Goethite
339.0874,HW,PreFenton,1676749,-0.21052631578947345,Lignin,initial,pre-Goethite
339.0874,SW,PreFenton,1584231.33333333,-0.21052631578947345,Lignin,initial,pre-Goethite
339.1602,SW,PreFentonGoethite,1511854.5,-0.7619047619047619,Lignin,initial,post-Goethite
339.1602,SW,PostFenton,1612461.66666667,-0.7619047619047619,Lignin,post-Fenton,pre-Goethite
339.1602,HW,PostFentonGoethite,1671592,-0.7619047619047619,Lignin,post-Fenton,post-Goethite
339.1602,HW,PostFenton,1698539,-0.7619047619047619,Lignin,post-Fenton,pre-Goethite
339.1602,SW,PostFentonGoethite,1533528,-0.7619047619047619,Lignin,post-Fenton,post-Goethite
341.0303,HW,PreFenton,2659636.33333333,0.3529411764705883,ConHC,initial,pre-Goethite
341.0303,SW,PreFenton,2127267.66666667,0.3529411764705883,ConHC,initial,pre-Goethite
341.0725,SW,PostFenton,4220797,0.5454545454545454,Other,post-Fenton,pre-Goethite
341.0725,HW,PostFenton,2767533.66666667,0.5454545454545454,Other,post-Fenton,pre-Goethite
341.1031,SW,PreFentonGoethite,1620796.33333333,-0.3157894736842106,Lignin,initial,post-Goethite
341.1031,SW,PreFenton,2635275.33333333,-0.3157894736842106,Lignin,initial,pre-Goethite
341.1031,HW,PreFentonGoethite,1877232.5,-0.3157894736842106,Lignin,initial,post-Goethite
341.1031,HW,PreFenton,2227016.66666667,-0.3157894736842106,Lignin,initial,pre-Goethite
341.1395,HW,PreFentonGoethite,1614075.5,-0.5999999999999996,Lignin,initial,post-Goethite
341.1395,HW,PreFenton,1928621,-0.5999999999999996,Lignin,initial,pre-Goethite
341.1395,SW,PreFentonGoethite,1922080,-0.5999999999999996,Lignin,initial,post-Goethite
341.1395,SW,PostFentonGoethite,1621863,-0.5999999999999996,Lignin,post-Fenton,post-Goethite
341.1395,SW,PreFenton,1976819.5,-0.5999999999999996,Lignin,initial,pre-Goethite
341.176,SW,PreFentonGoethite,1515881,-0.8571428571428568,Lignin,initial,post-Goethite
343.0096,HW,PreFenton,2532112.33333333,0.625,ConHC,initial,pre-Goethite
343.0096,SW,PreFenton,1892431.33333333,0.625,ConHC,initial,pre-Goethite
343.046,SW,PreFenton,3870894,0.23529411764705888,ConHC,initial,pre-Goethite
343.046,HW,PreFentonGoethite,2042993,0.23529411764705888,ConHC,initial,post-Goethite
343.046,HW,PreFenton,3645552,0.23529411764705888,ConHC,initial,pre-Goethite
343.0823,HW,PreFenton,3749499,-0.11111111111111072,Lignin,initial,pre-Goethite
343.0823,SW,PreFenton,4010338.66666667,-0.11111111111111072,Lignin,initial,pre-Goethite
343.0823,SW,PreFentonGoethite,2542318.66666667,-0.11111111111111072,Lignin,initial,post-Goethite
343.0823,HW,PreFentonGoethite,2311036,-0.11111111111111072,Lignin,initial,post-Goethite
343.0823,HW,PostFenton,1445443.66666667,-0.11111111111111072,Lignin,post-Fenton,pre-Goethite
343.1187,SW,PreFentonGoethite,3341390,-0.4210526315789478,Lignin,initial,post-Goethite
343.1187,HW,PreFenton,3394352,-0.4210526315789478,Lignin,initial,pre-Goethite
343.1187,SW,PostFenton,1618686.33333333,-0.4210526315789478,Lignin,post-Fenton,pre-Goethite
343.1187,SW,PostFentonGoethite,2406340.66666667,-0.4210526315789478,Lignin,post-Fenton,post-Goethite
343.1187,HW,PreFentonGoethite,2807345.66666667,-0.4210526315789478,Lignin,initial,post-Goethite
