"Mass","Forest","PreFenton","PostFenton","loss"
281.2486,"HW",,,
283.2643,"HW",1,1,"conserved"
293.1792,"HW",,,
295.1187,"HW",,,
297.1344,"HW",,,
297.153,"HW",,1,"gained"
299.1136,"HW",,,
299.15,"HW",,,
300.1929,"HW",,,
301.1293,"HW",,,
301.1657,"HW",,,
303.0722,"HW",,1,"gained"
307.0671,"HW",,1,"gained"
307.1187,"HW",,,
307.1551,"HW",,,
309.0616,"HW",,1,"gained"
309.0827,"HW",,1,"gained"
309.098,"HW",,1,"gained"
309.1344,"HW",,,
309.1707,"HW",1,1,"conserved"
309.1741,"HW",,1,"gained"
311.0772,"HW",1,1,"conserved"
311.1136,"HW",1,1,"conserved"
311.15,"HW",1,1,"conserved"
311.1686,"HW",1,1,"conserved"
311.1864,"HW",,,
312.1565,"HW",1,,"lost"
313.0565,"HW",,1,"gained"
313.0929,"HW",1,1,"conserved"
313.1293,"HW",1,1,"conserved"
313.1657,"HW",1,,"lost"
313.1769,"HW",,,
313.2384,"HW",,,
314.1358,"HW",,,
314.1721,"HW",,,
314.2085,"HW",1,,"lost"
315.0722,"HW",1,1,"conserved"
315.1085,"HW",,1,"gained"
315.1198,"HW",1,,"lost"
315.1449,"HW",1,1,"conserved"
315.1813,"HW",1,,"lost"
315.2177,"HW",,,
316.1878,"HW",1,,"lost"
317.0667,"HW",1,,"lost"
317.0878,"HW",,1,"gained"
317.1242,"HW",,1,"gained"
317.1394,"HW",1,,"lost"
317.1606,"HW",,,
317.197,"HW",,,
319.0459,"HW",1,,"lost"
319.0671,"HW",,1,"gained"
319.0823,"HW",1,,"lost"
319.0857,"HW",,,
319.1035,"HW",,1,"gained"
319.1187,"HW",1,1,"conserved"
319.1398,"HW",,,
319.1551,"HW",,,
319.2126,"HW",,,
321.0252,"HW",1,,"lost"
321.0463,"HW",,1,"gained"
321.0616,"HW",1,1,"conserved"
321.0827,"HW",,1,"gained"
321.098,"HW",1,1,"conserved"
321.1344,"HW",1,1,"conserved"
321.1707,"HW",1,,"lost"
322.1408,"HW",,,
323.0409,"HW",1,1,"conserved"
323.062,"HW",,1,"gained"
323.0772,"HW",1,1,"conserved"
323.0984,"HW",1,1,"conserved"
323.1136,"HW",1,1,"conserved"
323.1348,"HW",,,
