"Mass","Forest","PreFenton","PostFenton","loss"
323.15,"HW",1,1,"conserved"
323.1864,"HW",1,,"lost"
324.1565,"HW",,,
325.0201,"HW",,1,"gained"
325.0565,"HW",1,1,"conserved"
325.0776,"HW",,1,"gained"
325.0929,"HW",1,1,"conserved"
325.114,"HW",,1,"gained"
325.1293,"HW",1,1,"conserved"
325.1657,"HW",1,1,"conserved"
325.1843,"HW",1,1,"conserved"
325.202,"HW",1,,"lost"
326.1358,"HW",,,
326.1721,"HW",1,,"lost"
326.2085,"HW",1,,"lost"
327.0358,"HW",1,1,"conserved"
327.051,"HW",1,,"lost"
327.0722,"HW",1,1,"conserved"
327.0874,"HW",1,,"lost"
327.0933,"HW",,1,"gained"
327.1085,"HW",1,1,"conserved"
327.1449,"HW",1,1,"conserved"
327.1813,"HW",1,,"lost"
327.1925,"HW",,,
327.2177,"HW",1,,"lost"
328.115,"HW",,,
328.1514,"HW",1,1,"conserved"
328.1878,"HW",1,,"lost"
328.2242,"HW",1,,"lost"
329.0303,"HW",1,,"lost"
329.0514,"HW",1,1,"conserved"
329.0667,"HW",1,,"lost"
329.0878,"HW",1,1,"conserved"
329.1031,"HW",1,,"lost"
329.1242,"HW",1,1,"conserved"
329.1354,"HW",,,
329.1394,"HW",1,,"lost"
329.1467,"HW",,,
329.1606,"HW",1,1,"conserved"
329.1718,"HW",,,
329.1758,"HW",,,
329.183,"HW",,,
329.197,"HW",1,,"lost"
329.2333,"HW",1,,"lost"
330.1307,"HW",,1,"gained"
330.1671,"HW",1,1,"conserved"
330.2034,"HW",1,,"lost"
331.0096,"HW",1,,"lost"
331.0307,"HW",,1,"gained"
331.0459,"HW",1,1,"conserved"
331.0671,"HW",,1,"gained"
331.0823,"HW",1,1,"conserved"
331.1035,"HW",1,1,"conserved"
331.1187,"HW",1,1,"conserved"
331.1398,"HW",1,1,"conserved"
331.1551,"HW",1,1,"conserved"
331.1762,"HW",1,1,"conserved"
331.1915,"HW",,,
331.2126,"HW",1,,"lost"
331.249,"HW",1,,"lost"
332.1252,"HW",,,
332.1827,"HW",,,
333.0252,"HW",1,1,"conserved"
333.0463,"HW",,1,"gained"
333.0616,"HW",1,1,"conserved"
333.0827,"HW",,1,"gained"
333.098,"HW",1,1,"conserved"
333.1191,"HW",1,1,"conserved"
333.1344,"HW",1,1,"conserved"
333.1456,"HW",,,
333.1555,"HW",,1,"gained"
333.1707,"HW",1,,"lost"
333.1919,"HW",,,
333.2071,"HW",,,
333.2469,"HW",,,
334.1772,"HW",1,,"lost"
335.0409,"HW",1,1,"conserved"
335.062,"HW",,1,"gained"
335.0772,"HW",1,1,"conserved"
335.0984,"HW",,1,"gained"
335.1136,"HW",1,1,"conserved"
335.1348,"HW",,1,"gained"
335.15,"HW",1,1,"conserved"
335.1711,"HW",1,,"lost"
335.1864,"HW",1,,"lost"
335.1898,"HW",,,
336.0936,"HW",,1,"gained"
336.1565,"HW",,,
336.3272,"HW",,1,"gained"
337.0201,"HW",1,1,"conserved"
337.0565,"HW",1,1,"conserved"
337.0776,"HW",,1,"gained"
337.0929,"HW",1,1,"conserved"
337.114,"HW",,1,"gained"
337.1293,"HW",1,1,"conserved"
337.1326,"HW",1,,"lost"
337.1657,"HW",1,1,"conserved"
337.169,"HW",,,
337.202,"HW",,,
337.2054,"HW",1,1,"conserved"
338.1721,"HW",1,,"lost"
339.0358,"HW",1,1,"conserved"
339.051,"HW",1,,"lost"
339.0569,"HW",,1,"gained"
339.0722,"HW",1,1,"conserved"
339.0933,"HW",,1,"gained"
339.1085,"HW",1,1,"conserved"
339.1119,"HW",,,
339.1297,"HW",,1,"gained"
339.1449,"HW",1,1,"conserved"
339.1602,"HW",,1,"gained"
339.1813,"HW",1,1,"conserved"
339.1999,"HW",1,1,"conserved"
339.2177,"HW",,,
339.3269,"HW",,1,"gained"
340.115,"HW",,,
340.1514,"HW",1,1,"conserved"
340.1878,"HW",1,,"lost"
340.2242,"HW",1,,"lost"
341.0303,"HW",1,,"lost"
341.0514,"HW",1,1,"conserved"
341.0667,"HW",1,,"lost"
341.0725,"HW",,1,"gained"
341.0878,"HW",1,1,"conserved"
341.1031,"HW",1,,"lost"
341.1089,"HW",1,1,"conserved"
341.1242,"HW",1,1,"conserved"
341.1467,"HW",,,
341.1606,"HW",1,1,"conserved"
341.1792,"HW",,,
341.183,"HW",1,,"lost"
341.197,"HW",1,1,"conserved"
341.2082,"HW",,,
341.2333,"HW",,,
342.1307,"HW",1,1,"conserved"
342.1671,"HW",1,1,"conserved"
342.2034,"HW",,,
342.2398,"HW",1,,"lost"
343.0096,"HW",1,,"lost"
343.0307,"HW",,1,"gained"
343.0459,"HW",1,,"lost"
343.0671,"HW",1,1,"conserved"
343.0823,"HW",1,1,"conserved"
343.1035,"HW",1,1,"conserved"
343.1147,"HW",,1,"gained"
343.1187,"HW",1,,"lost"
343.1398,"HW",1,1,"conserved"
343.1511,"HW",1,,"lost"
343.1551,"HW",1,,"lost"
343.1623,"HW",,,
343.1762,"HW",1,1,"conserved"
343.1987,"HW",1,,"lost"
343.2126,"HW",1,1,"conserved"
343.249,"HW",,,
344.1099,"HW",,1,"gained"
344.1463,"HW",,1,"gained"
344.1827,"HW",1,1,"conserved"
344.2191,"HW",1,,"lost"
345.0252,"HW",1,1,"conserved"
345.0463,"HW",,1,"gained"
345.0616,"HW",1,1,"conserved"
345.0827,"HW",1,1,"conserved"
345.098,"HW",1,1,"conserved"
345.1191,"HW",1,1,"conserved"
345.1303,"HW",1,1,"conserved"
345.1344,"HW",1,1,"conserved"
345.1555,"HW",1,1,"conserved"
345.1707,"HW",1,1,"conserved"
345.178,"HW",1,,"lost"
345.1919,"HW",1,1,"conserved"
345.2283,"HW",1,,"lost"
346.162,"HW",1,1,"conserved"
346.1984,"HW",,,
347.0409,"HW",1,1,"conserved"
347.062,"HW",,1,"gained"
347.0772,"HW",1,1,"conserved"
347.0984,"HW",1,1,"conserved"
347.1096,"HW",,1,"gained"
347.1136,"HW",1,1,"conserved"
347.117,"HW",,,
347.1348,"HW",1,1,"conserved"
347.15,"HW",1,1,"conserved"
347.1612,"HW",,,
347.1711,"HW",1,1,"conserved"
347.1864,"HW",1,,"lost"
347.2075,"HW",1,,"lost"
347.2262,"HW",,,
347.2439,"HW",1,,"lost"
348.0725,"HW",1,,"lost"
348.0936,"HW",,,
348.13,"HW",,,
348.1565,"HW",,,
348.1929,"HW",,,
349.0201,"HW",1,1,"conserved"
349.0565,"HW",1,1,"conserved"
349.0776,"HW",,1,"gained"
349.0929,"HW",1,1,"conserved"
349.114,"HW",,1,"gained"
349.1293,"HW",1,1,"conserved"
349.1405,"HW",1,,"lost"
349.1504,"HW",,1,"gained"
349.1657,"HW",1,1,"conserved"
349.1868,"HW",1,,"lost"
349.202,"HW",1,,"lost"
349.2418,"HW",,,
350.0881,"HW",1,,"lost"
350.1093,"HW",,1,"gained"
350.1721,"HW",1,,"lost"
351.0358,"HW",1,1,"conserved"
351.0569,"HW",1,1,"conserved"
351.0722,"HW",1,1,"conserved"
351.0933,"HW",,1,"gained"
351.1085,"HW",1,1,"conserved"
351.1119,"HW",,,
351.1297,"HW",,1,"gained"
351.1449,"HW",1,1,"conserved"
351.1483,"HW",,,
351.1813,"HW",1,1,"conserved"
351.1847,"HW",,,
351.2177,"HW",1,,"lost"
351.2211,"HW",,1,"gained"
352.0885,"HW",,1,"gained"
352.1038,"HW",1,,"lost"
352.1514,"HW",1,,"lost"
353.015,"HW",1,1,"conserved"
353.0303,"HW",1,,"lost"
353.0514,"HW",1,1,"conserved"
353.0667,"HW",1,,"lost"
353.0725,"HW",,1,"gained"
353.0878,"HW",1,1,"conserved"
353.0912,"HW",,,
353.1031,"HW",1,,"lost"
353.1089,"HW",1,1,"conserved"
353.1242,"HW",1,1,"conserved"
353.1276,"HW",,,
353.1453,"HW",,1,"gained"
353.1467,"HW",,,
353.1606,"HW",1,1,"conserved"
353.1639,"HW",,,
353.197,"HW",1,1,"conserved"
353.2003,"HW",1,1,"conserved"
353.2333,"HW",,,
353.3425,"HW",,1,"gained"
354.0831,"HW",1,1,"conserved"
354.1307,"HW",1,1,"conserved"
354.1671,"HW",1,1,"conserved"
354.2034,"HW",1,,"lost"
355.0307,"HW",1,1,"conserved"
355.0459,"HW",1,,"lost"
355.0671,"HW",1,1,"conserved"
355.0823,"HW",1,,"lost"
355.0882,"HW",1,1,"conserved"
355.1035,"HW",1,1,"conserved"
355.1068,"HW",,,
355.1187,"HW",1,,"lost"
355.1246,"HW",,1,"gained"
355.1398,"HW",1,1,"conserved"
355.1432,"HW",,,
355.1551,"HW",1,1,"conserved"
355.1585,"HW",,,
355.1623,"HW",1,1,"conserved"
355.1762,"HW",1,1,"conserved"
355.1987,"HW",1,,"lost"
355.2126,"HW",1,,"lost"
355.249,"HW",,,
356.0987,"HW",,1,"gained"
356.1099,"HW",,1,"gained"
356.1463,"HW",1,1,"conserved"
356.1827,"HW",1,1,"conserved"
356.2191,"HW",,,
356.2555,"HW",1,,"lost"
357.0252,"HW",1,,"lost"
357.0463,"HW",1,1,"conserved"
357.0616,"HW",1,1,"conserved"
357.0827,"HW",1,1,"conserved"
357.0861,"HW",,,
357.098,"HW",1,1,"conserved"
357.1038,"HW",,1,"gained"
357.1191,"HW",1,1,"conserved"
357.1303,"HW",,1,"gained"
357.1344,"HW",1,1,"conserved"
357.1416,"HW",,1,"gained"
357.1555,"HW",1,1,"conserved"
357.1667,"HW",1,,"lost"
357.1707,"HW",1,1,"conserved"
357.178,"HW",1,,"lost"
357.1919,"HW",1,1,"conserved"
357.2071,"HW",,,
357.2143,"HW",1,1,"conserved"
357.2283,"HW",1,,"lost"
358.1256,"HW",1,1,"conserved"
358.162,"HW",1,1,"conserved"
358.1984,"HW",1,1,"conserved"
358.2347,"HW",,,
359.0045,"HW",1,,"lost"
359.0256,"HW",,1,"gained"
359.0409,"HW",1,1,"conserved"
359.062,"HW",1,1,"conserved"
359.0772,"HW",1,1,"conserved"
359.0984,"HW",1,1,"conserved"
359.1096,"HW",,1,"gained"
359.1136,"HW",1,1,"conserved"
359.1348,"HW",1,1,"conserved"
359.146,"HW",1,1,"conserved"
359.15,"HW",1,1,"conserved"
359.1572,"HW",1,1,"conserved"
359.1711,"HW",1,1,"conserved"
359.1864,"HW",1,,"lost"
359.1936,"HW",1,,"lost"
359.2075,"HW",1,1,"conserved"
359.2439,"HW",1,,"lost"
360.0725,"HW",1,,"lost"
360.0936,"HW",,1,"gained"
360.1412,"HW",,1,"gained"
360.1776,"HW",1,1,"conserved"
360.1929,"HW",,,
360.214,"HW",,,
361.0201,"HW",1,1,"conserved"
361.0412,"HW",,1,"gained"
361.0565,"HW",1,1,"conserved"
361.0776,"HW",,1,"gained"
361.0929,"HW",1,1,"conserved"
361.114,"HW",1,1,"conserved"
361.1253,"HW",,1,"gained"
361.1293,"HW",1,1,"conserved"
361.1504,"HW",1,1,"conserved"
361.1657,"HW",1,1,"conserved"
361.1769,"HW",,,
361.1868,"HW",1,1,"conserved"
361.202,"HW",1,,"lost"
361.2232,"HW",1,,"lost"
362.0518,"HW",1,,"lost"
362.0881,"HW",1,,"lost"
362.1093,"HW",,1,"gained"
362.1358,"HW",,,
362.1457,"HW",,,
362.1721,"HW",,,
362.1933,"HW",,1,"gained"
362.2085,"HW",,,
363.0358,"HW",1,1,"conserved"
363.051,"HW",1,,"lost"
363.0569,"HW",,1,"gained"
363.0722,"HW",1,1,"conserved"
363.0933,"HW",1,1,"conserved"
363.1085,"HW",1,1,"conserved"
363.1297,"HW",,1,"gained"
363.1409,"HW",,,
363.1449,"HW",1,1,"conserved"
363.1562,"HW",1,,"lost"
363.1661,"HW",1,1,"conserved"
363.1813,"HW",1,1,"conserved"
363.2024,"HW",,,
363.2177,"HW",1,,"lost"
363.2211,"HW",,1,"gained"
363.2388,"HW",1,,"lost"
364.0674,"HW",1,,"lost"
364.0885,"HW",,1,"gained"
364.1038,"HW",1,,"lost"
364.1249,"HW",1,1,"conserved"
364.1514,"HW",,,
364.1548,"HW",,,
364.1878,"HW",1,,"lost"
365.015,"HW",1,1,"conserved"
365.0303,"HW",1,,"lost"
365.0514,"HW",1,1,"conserved"
365.0667,"HW",1,,"lost"
365.0725,"HW",1,1,"conserved"
365.0878,"HW",1,1,"conserved"
365.0912,"HW",,,
365.099,"HW",1,,"lost"
365.1089,"HW",1,1,"conserved"
365.1242,"HW",1,1,"conserved"
365.1276,"HW",,,
365.1453,"HW",1,1,"conserved"
365.1606,"HW",1,1,"conserved"
365.1639,"HW",,,
365.1817,"HW",1,,"lost"
365.197,"HW",1,1,"conserved"
365.2003,"HW",,,
365.2333,"HW",,,
365.2367,"HW",,1,"gained"
366.0831,"HW",1,,"lost"
366.1042,"HW",,1,"gained"
366.1194,"HW",1,,"lost"
366.1671,"HW",1,,"lost"
367.0307,"HW",1,1,"conserved"
367.0459,"HW",1,,"lost"
367.0518,"HW",,1,"gained"
367.0671,"HW",1,1,"conserved"
367.0823,"HW",1,,"lost"
367.0882,"HW",,1,"gained"
367.1035,"HW",1,1,"conserved"
367.1068,"HW",,,
367.1187,"HW",1,,"lost"
367.1246,"HW",1,1,"conserved"
367.1398,"HW",1,1,"conserved"
367.1432,"HW",,,
367.161,"HW",,1,"gained"
367.1623,"HW",,,
367.1762,"HW",1,1,"conserved"
367.1796,"HW",,,
367.2126,"HW",1,1,"conserved"
367.216,"HW",,,
367.249,"HW",,,
367.3582,"HW",1,1,"conserved"
368.0623,"HW",,1,"gained"
368.0987,"HW",1,1,"conserved"
368.1198,"HW",,1,"gained"
368.1463,"HW",1,1,"conserved"
368.1827,"HW",1,,"lost"
369.0099,"HW",,1,"gained"
369.0252,"HW",1,,"lost"
369.0463,"HW",1,1,"conserved"
369.0616,"HW",1,1,"conserved"
369.0675,"HW",,1,"gained"
369.0827,"HW",1,1,"conserved"
369.0861,"HW",,,
369.094,"HW",,1,"gained"
369.098,"HW",1,1,"conserved"
369.1038,"HW",,1,"gained"
369.1191,"HW",1,1,"conserved"
369.1225,"HW",,,
369.1344,"HW",1,1,"conserved"
369.1402,"HW",,1,"gained"
369.1416,"HW",,1,"gained"
369.1555,"HW",1,1,"conserved"
369.1589,"HW",,,
369.1707,"HW",1,,"lost"
369.1741,"HW",,,
369.178,"HW",1,1,"conserved"
369.1919,"HW",1,1,"conserved"
369.2143,"HW",1,,"lost"
369.2283,"HW",1,,"lost"
369.301,"HW",,1,"gained"
370.078,"HW",,1,"gained"
370.1144,"HW",,1,"gained"
370.1256,"HW",,1,"gained"
370.162,"HW",1,1,"conserved"
370.1984,"HW",1,,"lost"
370.2347,"HW",,,
371.0045,"HW",1,,"lost"
371.0256,"HW",,1,"gained"
371.0409,"HW",1,1,"conserved"
371.062,"HW",1,1,"conserved"
371.0654,"HW",,,
371.0772,"HW",1,1,"conserved"
371.0831,"HW",,1,"gained"
371.0984,"HW",1,1,"conserved"
371.1017,"HW",1,,"lost"
371.1096,"HW",,1,"gained"
371.1136,"HW",1,1,"conserved"
371.1195,"HW",,1,"gained"
371.1348,"HW",1,1,"conserved"
371.146,"HW",,,
371.15,"HW",1,1,"conserved"
371.1534,"HW",,,
371.1572,"HW",1,1,"conserved"
371.1711,"HW",1,1,"conserved"
371.1824,"HW",,,
371.1864,"HW",1,,"lost"
371.1936,"HW",1,1,"conserved"
371.2075,"HW",1,1,"conserved"
371.23,"HW",1,,"lost"
371.2439,"HW",1,,"lost"
372.0725,"HW",1,,"lost"
372.0936,"HW",,1,"gained"
372.1049,"HW",,1,"gained"
372.1412,"HW",1,1,"conserved"
372.1565,"HW",,,
372.1776,"HW",1,1,"conserved"
372.1889,"HW",1,,"lost"
372.214,"HW",1,1,"conserved"
373.0201,"HW",1,1,"conserved"
373.0412,"HW",1,1,"conserved"
373.0446,"HW",,1,"gained"
373.0565,"HW",1,1,"conserved"
373.0776,"HW",1,1,"conserved"
373.0889,"HW",,1,"gained"
373.0929,"HW",1,1,"conserved"
373.0963,"HW",,,
373.114,"HW",1,1,"conserved"
373.1253,"HW",,1,"gained"
373.1293,"HW",1,1,"conserved"
373.1365,"HW",,1,"gained"
373.1504,"HW",1,1,"conserved"
373.1616,"HW",,,
373.1657,"HW",1,1,"conserved"
373.1729,"HW",1,1,"conserved"
373.1868,"HW",1,1,"conserved"
373.202,"HW",1,,"lost"
373.2093,"HW",1,1,"conserved"
373.2232,"HW",1,1,"conserved"
373.2596,"HW",1,,"lost"
374.0881,"HW",1,,"lost"
374.1093,"HW",,1,"gained"
374.1205,"HW",,1,"gained"
374.1457,"HW",,,
374.1569,"HW",1,1,"conserved"
374.1721,"HW",1,,"lost"
374.1933,"HW",,1,"gained"
374.2085,"HW",,,
374.2449,"HW",1,1,"conserved"
374.9994,"HW",1,,"lost"
375.0358,"HW",1,1,"conserved"
375.0569,"HW",,1,"gained"
375.0603,"HW",,1,"gained"
375.0722,"HW",1,1,"conserved"
375.0933,"HW",1,1,"conserved"
375.1045,"HW",,1,"gained"
375.1085,"HW",1,1,"conserved"
375.1297,"HW",1,1,"conserved"
375.1409,"HW",,1,"gained"
375.1449,"HW",1,1,"conserved"
375.1661,"HW",1,1,"conserved"
375.1813,"HW",1,1,"conserved"
375.1885,"HW",1,1,"conserved"
375.1925,"HW",,,
375.2024,"HW",1,1,"conserved"
375.2177,"HW",1,,"lost"
375.2388,"HW",1,,"lost"
375.2752,"HW",1,,"lost"
376.0674,"HW",1,,"lost"
376.0885,"HW",,1,"gained"
376.1038,"HW",1,,"lost"
376.1249,"HW",,1,"gained"
376.1362,"HW",,1,"gained"
376.1514,"HW",1,,"lost"
376.1725,"HW",,1,"gained"
376.1912,"HW",1,,"lost"
376.2242,"HW",1,,"lost"
377.015,"HW",1,1,"conserved"
377.0514,"HW",1,1,"conserved"
377.0667,"HW",1,,"lost"
377.0725,"HW",,1,"gained"
377.0878,"HW",1,1,"conserved"
377.1089,"HW",1,1,"conserved"
377.1202,"HW",,1,"gained"
377.1242,"HW",1,1,"conserved"
377.1354,"HW",1,,"lost"
377.1453,"HW",1,1,"conserved"
377.1606,"HW",1,1,"conserved"
377.1817,"HW",1,1,"conserved"
377.197,"HW",1,1,"conserved"
377.2181,"HW",1,,"lost"
377.2333,"HW",,,
378.0831,"HW",1,1,"conserved"
378.1042,"HW",,1,"gained"
378.1307,"HW",1,,"lost"
378.1406,"HW",,,
378.1671,"HW",1,,"lost"
378.2034,"HW",1,,"lost"
379.0307,"HW",1,1,"conserved"
379.0341,"HW",,,
379.0459,"HW",1,,"lost"
379.0518,"HW",,1,"gained"
379.0671,"HW",1,1,"conserved"
379.0823,"HW",1,,"lost"
379.0882,"HW",,1,"gained"
379.1035,"HW",1,1,"conserved"
379.1068,"HW",,,
379.1246,"HW",1,1,"conserved"
379.1398,"HW",1,1,"conserved"
379.161,"HW",1,1,"conserved"
379.1762,"HW",1,1,"conserved"
379.1974,"HW",,,
379.2126,"HW",1,1,"conserved"
379.216,"HW",,,
379.2337,"HW",1,,"lost"
379.249,"HW",,,
380.0623,"HW",1,1,"conserved"
380.0834,"HW",,1,"gained"
380.0987,"HW",1,,"lost"
380.1198,"HW",,1,"gained"
380.1463,"HW",1,,"lost"
380.1562,"HW",1,1,"conserved"
380.1827,"HW",1,,"lost"
381.0099,"HW",1,1,"conserved"
381.0252,"HW",1,,"lost"
381.0463,"HW",1,1,"conserved"
381.0616,"HW",1,,"lost"
381.0675,"HW",,1,"gained"
381.0827,"HW",1,1,"conserved"
381.098,"HW",1,,"lost"
381.1038,"HW",1,1,"conserved"
381.1191,"HW",1,1,"conserved"
381.1225,"HW",,,
381.1402,"HW",1,1,"conserved"
381.1555,"HW",1,1,"conserved"
381.1589,"HW",,,
381.1766,"HW",1,,"lost"
381.178,"HW",,,
381.1919,"HW",1,1,"conserved"
381.1952,"HW",,,
381.2143,"HW",,,
381.2283,"HW",1,,"lost"
381.2316,"HW",1,1,"conserved"
381.3738,"HW",,1,"gained"
382.078,"HW",1,1,"conserved"
382.0991,"HW",,1,"gained"
382.1004,"HW",1,,"lost"
382.1256,"HW",,1,"gained"
382.1355,"HW",,1,"gained"
382.162,"HW",1,,"lost"
382.1984,"HW",1,,"lost"
383.0045,"HW",1,,"lost"
383.0256,"HW",1,1,"conserved"
383.0409,"HW",1,,"lost"
383.062,"HW",1,1,"conserved"
383.0772,"HW",1,,"lost"
383.0831,"HW",,1,"gained"
383.0984,"HW",1,1,"conserved"
383.1017,"HW",,,
383.1136,"HW",1,,"lost"
383.1195,"HW",1,1,"conserved"
383.1348,"HW",1,1,"conserved"
383.1381,"HW",,,
383.15,"HW",1,,"lost"
383.1572,"HW",1,1,"conserved"
383.1711,"HW",1,1,"conserved"
383.1864,"HW",,,
383.1936,"HW",1,1,"conserved"
383.2075,"HW",1,1,"conserved"
383.23,"HW",1,,"lost"
383.2439,"HW",1,,"lost"
384.0936,"HW",1,1,"conserved"
384.13,"HW",1,,"lost"
384.1412,"HW",1,1,"conserved"
384.1525,"HW",1,1,"conserved"
384.1776,"HW",1,1,"conserved"
384.214,"HW",1,,"lost"
385.0201,"HW",1,,"lost"
385.0412,"HW",1,1,"conserved"
385.0565,"HW",1,1,"conserved"
385.0776,"HW",1,1,"conserved"
385.081,"HW",,,
385.0929,"HW",1,1,"conserved"
385.0988,"HW",,1,"gained"
385.114,"HW",1,1,"conserved"
385.1174,"HW",1,,"lost"
385.1253,"HW",,1,"gained"
385.1293,"HW",1,1,"conserved"
385.1351,"HW",,1,"gained"
385.1365,"HW",1,1,"conserved"
385.1504,"HW",1,1,"conserved"
385.1657,"HW",1,1,"conserved"
385.1729,"HW",1,1,"conserved"
385.1785,"HW",,,
385.1868,"HW",1,1,"conserved"
385.202,"HW",1,,"lost"
385.2093,"HW",1,1,"conserved"
385.2232,"HW",1,1,"conserved"
385.2456,"HW",1,,"lost"
385.2596,"HW",,,
386.0518,"HW",1,,"lost"
386.0729,"HW",,1,"gained"
386.0881,"HW",1,,"lost"
386.1093,"HW",,1,"gained"
386.1205,"HW",,1,"gained"
386.1569,"HW",1,1,"conserved"
386.1681,"HW",,,
386.1933,"HW",1,1,"conserved"
386.2045,"HW",,,
386.2297,"HW",,,
386.9994,"HW",1,,"lost"
387.0205,"HW",,1,"gained"
387.0358,"HW",1,1,"conserved"
387.0569,"HW",1,1,"conserved"
387.0603,"HW",,1,"gained"
387.0722,"HW",1,1,"conserved"
387.0933,"HW",1,1,"conserved"
387.1085,"HW",1,1,"conserved"
387.1144,"HW",,1,"gained"
387.1297,"HW",1,1,"conserved"
387.1409,"HW",1,1,"conserved"
387.1449,"HW",1,1,"conserved"
387.1521,"HW",1,1,"conserved"
387.1661,"HW",1,1,"conserved"
387.1813,"HW",1,1,"conserved"
387.1885,"HW",1,1,"conserved"
387.2024,"HW",1,1,"conserved"
387.2177,"HW",1,,"lost"
387.2249,"HW",1,1,"conserved"
387.2388,"HW",1,,"lost"
388.0674,"HW",1,,"lost"
388.0885,"HW",,1,"gained"
388.1038,"HW",1,,"lost"
388.1362,"HW",,1,"gained"
388.1514,"HW",,,
388.1548,"HW",,,
388.1725,"HW",1,1,"conserved"
388.1878,"HW",1,,"lost"
388.2089,"HW",,,
389.015,"HW",1,1,"conserved"
389.0362,"HW",,1,"gained"
389.0395,"HW",,1,"gained"
389.0514,"HW",1,1,"conserved"
389.0725,"HW",1,1,"conserved"
389.0759,"HW",,1,"gained"
389.0878,"HW",1,1,"conserved"
389.1089,"HW",1,1,"conserved"
389.1202,"HW",,1,"gained"
389.1242,"HW",1,1,"conserved"
389.1276,"HW",,,
389.1453,"HW",1,1,"conserved"
389.1606,"HW",1,1,"conserved"
389.1678,"HW",,1,"gained"
389.1817,"HW",1,1,"conserved"
389.197,"HW",1,1,"conserved"
389.2042,"HW",1,1,"conserved"
389.2181,"HW",1,1,"conserved"
389.2333,"HW",1,,"lost"
389.2545,"HW",1,,"lost"
390.0831,"HW",1,,"lost"
390.1042,"HW",,1,"gained"
390.1194,"HW",1,,"lost"
390.1406,"HW",,,
390.1518,"HW",,1,"gained"
390.1671,"HW",1,,"lost"
390.1882,"HW",,1,"gained"
390.2068,"HW",,,
390.2398,"HW",,,
391.0307,"HW",1,1,"conserved"
391.0459,"HW",1,,"lost"
391.0518,"HW",,1,"gained"
391.0552,"HW",,1,"gained"
391.0671,"HW",1,1,"conserved"
391.0882,"HW",1,1,"conserved"
391.1035,"HW",1,1,"conserved"
391.1246,"HW",,1,"gained"
391.1358,"HW",,1,"gained"
391.1398,"HW",1,1,"conserved"
391.1432,"HW",,,
391.161,"HW",1,1,"conserved"
391.1762,"HW",1,1,"conserved"
391.1875,"HW",,,
391.1974,"HW",1,1,"conserved"
391.1987,"HW",,,
391.2126,"HW",1,1,"conserved"
391.2337,"HW",1,,"lost"
391.249,"HW",,,
391.2524,"HW",,,
391.2701,"HW",,,
392.0623,"HW",1,,"lost"
392.0834,"HW",,1,"gained"
392.0987,"HW",1,,"lost"
392.1198,"HW",,1,"gained"
392.1463,"HW",1,,"lost"
392.1562,"HW",,,
392.1827,"HW",1,,"lost"
392.2191,"HW",,,
393.0099,"HW",1,1,"conserved"
393.0252,"HW",1,,"lost"
393.0463,"HW",1,1,"conserved"
393.0616,"HW",1,,"lost"
393.0675,"HW",,1,"gained"
393.0827,"HW",1,1,"conserved"
393.098,"HW",1,,"lost"
393.1038,"HW",1,1,"conserved"
393.1151,"HW",,1,"gained"
