element,HW_PostFenton,HW_PreFenton,SW_PostFenton,SW_PreFenton
C,22.2,26.9,23.5,23.6
H,34.2,38.4,36.7,36.8
N,0.5,0.3,0.4,0.3
Na,0,0,0,0
O,8.3,10.7,9.2,9
P,0,0.1,0,0.1
S,0.2,0.2,0.2,0.2
