element,HW_lost,HW_gained,HW_conserved,SW_lost,SW_gained,SW_conserved
C,22.4,20.2,20.4,22.5,19.4,20
H,25.7,28.4,26.1,26.6,28.6,26.4
N,0.4,0.5,0.2,0.4,0.4,0.1
Na,0,0,0,0,0,0
O,9.2,14,10.7,9.3,13.8,10.5
P,0,0,0,0,0,0
S,0,0,0,0,0.1,0
