element,HW_PostFenton,HW_PreFenton,SW_PostFenton,SW_PreFenton
C,20.3 ± 0.1,21.2 ± 0.1,19.8 ± 0.1,20.9 ± 0.1
H,27 ± 0.2,26 ± 0.2,27.1 ± 0.2,26.5 ± 0.2
N,1.8 ± 0.1,1.9 ± 0.1,1.9 ± 0.1,2.3 ± 0.1
O,12 ± 0.1,10.1 ± 0.1,11.5 ± 0.1,10.1 ± 0.1
P,1 ± 0,1 ± 0,1 ± 0,1.1 ± 0.1
S,1.2 ± 0.2,1.3 ± 0.2,1.7 ± 0.2,1.5 ± 0.2
