"","Mass","Forest","PreFenton","PostFenton","loss","Treatment","rel_abund","perc","HC","OC"
"5470",531.0992,"HW",NA,2265275.33333333,"gained","PostFenton",0.0262623064510059,"lowest 25%",1.14,0.76
"5471",531.1144,"HW",3436317.66666667,NA,"lost","PreFenton",0.0424081611034851,"third 25 %",0.96,0.52
"5472",531.1144,"SW",3464953,NA,"lost","PreFenton",0.0409779377704387,"second 25 %",0.96,0.52
"5473",531.1203,"HW",NA,8278886,"gained","PostFenton",0.0959806686655646,"top 25 %",1.56,1
"5474",531.1203,"SW",NA,9137188.66666667,"gained","PostFenton",0.109370111847879,"top 25 %",1.56,1
"5475",531.1355,"HW",NA,2220560.33333333,"gained","PostFenton",0.0257439063185025,"lowest 25%",1.27,0.68
"5476",531.1508,"HW",3129969.66666667,NA,"lost","PreFenton",0.0386274700853777,"third 25 %",1.08,0.46
"5477",531.1508,"SW",2944079,NA,"lost","PreFenton",0.0348178708494041,"third 25 %",1.08,0.46
"5478",531.1567,"HW",NA,13378405.3333333,"gained","PostFenton",0.155101578832259,"top 25 %",1.68,0.89
"5479",531.1567,"SW",1755044.33333333,17847333,"conserved","PreFenton",0.0207558652240577,"lowest 25%",1.68,0.89
"5480",531.1567,"SW",1755044.33333333,17847333,"conserved","PostFenton",0.21362859820519,"top 25 %",1.68,0.89
"5481",531.1719,"HW",NA,2383973.66666667,"gained","PostFenton",0.0276384270308547,"lowest 25%",1.39,0.61
"5482",531.1719,"SW",NA,1847418.66666667,"gained","PostFenton",0.0221131896882353,"lowest 25%",1.39,0.61
"5483",531.1872,"HW",3444336.66666667,2999141.33333333,"conserved","PreFenton",0.0425071249004552,"third 25 %",1.19,0.41
"5484",531.1872,"HW",3444336.66666667,2999141.33333333,"conserved","PostFenton",0.0347703290751758,"third 25 %",1.19,0.41
"5485",531.1872,"SW",2800207.66666667,NA,"lost","PreFenton",0.0331163901816192,"third 25 %",1.19,0.41
"5486",531.1931,"HW",NA,2678288,"gained","PostFenton",0.0310505390603226,"third 25 %",1.8,0.8
"5487",531.1931,"SW",NA,3821264,"gained","PostFenton",0.0457396783985571,"third 25 %",1.8,0.8
"5488",531.2083,"SW",NA,2456442.66666667,"gained","PostFenton",0.0294030712292654,"lowest 25%",1.5,0.54
"5489",531.2236,"HW",5001327.33333333,2869775.66666667,"conserved","PostFenton",0.0332705375344984,"third 25 %",1.29,0.36
"5490",531.2236,"HW",5001327.33333333,2869775.66666667,"conserved","PreFenton",0.061722202618422,"second 25 %",1.29,0.36
"5491",531.2236,"SW",3374843.33333333,NA,"lost","PreFenton",0.0399122643505736,"third 25 %",1.29,0.36
"5492",531.26,"HW",5386009,2350095.66666667,"conserved","PostFenton",0.0272456648774621,"lowest 25%",1.38,0.31
"5493",531.26,"HW",5386009,2350095.66666667,"conserved","PreFenton",0.0664696222914646,"second 25 %",1.38,0.31
"5494",531.26,"SW",3413585.33333333,NA,"lost","PreFenton",0.0403704429362867,"second 25 %",1.38,0.31
"5495",531.2811,"SW",2234108.33333333,NA,"lost","PreFenton",0.0264214701485855,"lowest 25%",1.69,0.42
"5496",531.2963,"HW",4179564.66666667,NA,"lost","PreFenton",0.0515806944875296,"second 25 %",1.47,0.27
"5497",531.2963,"SW",2867794,NA,"lost","PreFenton",0.0339156935376721,"third 25 %",1.47,0.27
"5498",532.2258,"HW",NA,1928542.33333333,"gained","PostFenton",0.0223584166641721,"lowest 25%",1.16,0.16
"5499",533.0573,"HW",3345453.66666667,NA,"lost","PreFenton",0.0412867935454488,"third 25 %",0.78,0.65
"5500",533.0573,"SW",2512496,NA,"lost","PreFenton",0.0297137954646069,"third 25 %",0.78,0.65
"5501",533.0937,"HW",3554178,NA,"lost","PreFenton",0.0438626948481952,"third 25 %",0.92,0.58
"5502",533.0937,"SW",3395355.33333333,NA,"lost","PreFenton",0.0401548475716295,"third 25 %",0.92,0.58
"5503",533.1301,"HW",3690368.33333333,NA,"lost","PreFenton",0.0455434421355494,"third 25 %",1.04,0.52
"5504",533.1301,"SW",3792667.66666667,NA,"lost","PreFenton",0.0448536241699733,"second 25 %",1.04,0.52
"5505",533.1359,"HW",NA,6493697.33333333,"gained","PostFenton",0.0752842124127723,"top 25 %",1.67,1
"5506",533.1359,"SW",NA,8669580,"gained","PostFenton",0.103772940328269,"top 25 %",1.67,1
"5507",533.1664,"HW",3674324,2767019.66666667,"conserved","PostFenton",0.0320792432481175,"third 25 %",1.15,0.46
"5508",533.1664,"HW",3674324,2767019.66666667,"conserved","PreFenton",0.0453454363809016,"third 25 %",1.15,0.46
"5509",533.1664,"SW",3035932,NA,"lost","PreFenton",0.0359041616354633,"third 25 %",1.15,0.46
"5510",533.1723,"HW",NA,2839723.66666667,"gained","PostFenton",0.0329221318365896,"third 25 %",1.79,0.89
