Mass,PreFenton,PreFentonGoethite,PostFenton,PostFentonGoethite,Forest
255.233,0,0,0,0,HW
281.1395,0,0,0,0,HW
281.2486,0,0,0,2326703,HW
283.1551,0,0,0,0,HW
285.1344,0,0,0,0,HW
287.2228,0,0,0,0,HW
293.1758,0,0,0,0,HW
293.1792,0,0,0,2333073.33333333,HW
295.1187,0,0,0,1483725,HW
295.1551,0,0,0,0,HW
297.0827,0,0,0,0,HW
297.098,0,0,0,0,HW
297.1344,0,1426656.66666667,0,1689712.66666667,HW
297.1708,0,0,0,0,HW
297.2435,0,0,0,1478521.5,HW
298.1408,0,0,0,0,HW
299.0772,0,0,0,0,HW
299.1137,0,0,0,1561881,HW
299.15,0,1608492.33333333,0,1962696.33333333,HW
299.1864,0,1422744.5,0,0,HW
299.2016,0,0,0,2080377,HW
301.1293,0,0,0,1887098.33333333,HW
301.1656,0,1583416,0,1886676.66666667,HW
301.202,0,1435716,0,0,HW
303.1086,0,0,0,0,HW
303.1449,0,0,0,0,HW
303.1813,0,0,0,0,HW
303.2177,0,0,0,0,HW
305.1395,0,0,0,0,HW
305.1606,0,0,0,0,HW
305.1758,0,0,0,0,HW
307.1187,0,1639662,0,1759956.66666667,HW
307.1398,0,0,0,0,HW
307.1551,0,1621785.33333333,0,0,HW
307.1949,0,0,0,0,HW
311.1864,0,1761504,0,1894397.66666667,HW
311.2228,0,0,0,0,HW
311.2955,0,0,0,0,HW
313.1769,0,1971241.33333333,0,0,HW
313.1809,0,0,0,0,HW
313.2021,0,1755131,0,0,HW
313.2384,0,1689907.66666667,0,0,HW
314.1358,0,1762295.33333333,0,2397931.33333333,HW
315.1238,0,0,0,0,HW
315.1966,0,0,0,0,HW
315.2177,0,2238175.33333333,0,0,HW
315.2541,0,0,0,0,HW
316.1514,0,0,0,0,HW
317.1759,0,0,0,0,HW
319.0857,0,2170194.33333333,0,0,HW
319.1762,0,0,0,1644646,HW
319.1915,0,0,0,0,HW
319.2126,0,1734080,0,0,HW
321.1191,0,0,0,1770780,HW
321.1555,0,0,0,0,HW
321.2071,0,0,0,0,HW
321.2105,0,0,0,2330158.5,HW
322.1408,0,1971204.66666667,0,0,HW
323.117,0,2093841.5,0,0,HW
323.1534,0,2406877.5,0,1876744.5,HW
324.1565,0,1741226,0,1763822.66666667,HW
325.0963,0,0,0,1489487.5,HW
325.1479,0,0,0,0,HW
325.1691,0,0,0,0,HW
326.1357,0,1962509,0,2851977.66666667,HW
327.1238,0,0,0,0,HW
327.1562,0,0,0,1618148,HW
