adsorbed,element,HW_PostFenton,HW_PreFenton,SW_PostFenton,SW_PreFenton
adsorbed,C,18.5,18.2,17.3,19.4
adsorbed,H,21.9,17.2,20.9,17.4
adsorbed,N,0.1,0.1,0.1,0
adsorbed,Na,0,0,0,0
adsorbed,O,13.8,12.4,13,11.7
adsorbed,P,0,0,0,0
adsorbed,S,0,0,0,0
not adsorbed,C,19.9,21.2,19.4,20.7
not adsorbed,H,27.8,27,27.9,28.2
not adsorbed,N,0.1,0.2,0.1,0.2
not adsorbed,Na,0,0,0,0
not adsorbed,O,11.4,9.8,11.1,9.1
not adsorbed,P,0,0,0,0
not adsorbed,S,0,0,0,0
