Mass,Forest,Fenton,PreGoethite,PostGoethite,adsorbed,new,preg_total,postg_total,preg_rel_abund,postg_rel_abund,delta_abund,sorption_frac,HC,OC
255.233,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,2,0.125
255.233,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,2,0.125
255.233,SW,PostFenton,0,2150699.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.0595717141158628e-4,2.0595717141158628e-4,most unbound,2,0.125
255.233,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,2,0.125
281.1395,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.46666666666667,0.333333333333333
281.1395,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.46666666666667,0.333333333333333
281.1395,SW,PostFenton,0,1644233.33333333,NA,new molecules,8884038661.5,10442460691.833334,0,1.5745650205025187e-4,1.5745650205025187e-4,most unbound,1.46666666666667,0.333333333333333
281.1395,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.46666666666667,0.333333333333333
281.2486,HW,PostFenton,0,2326703,NA,new molecules,8918337356.5,8295042489.333333,0,2.8049319855708124e-4,2.8049319855708124e-4,most unbound,1.88888888888889,0.111111111111111
281.2486,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.88888888888889,0.111111111111111
281.2486,SW,PostFenton,0,3814783.33333333,NA,new molecules,8884038661.5,10442460691.833334,0,3.653145983414362e-4,3.653145983414362e-4,most unbound,1.88888888888889,0.111111111111111
281.2486,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.88888888888889,0.111111111111111
283.1551,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.6,0.333333333333333
283.1551,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.6,0.333333333333333
283.1551,SW,PostFenton,0,1480849.5,NA,new molecules,8884038661.5,10442460691.833334,0,1.4181039734802335e-4,1.4181039734802335e-4,more unbound,1.6,0.333333333333333
283.1551,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.6,0.333333333333333
283.2643,HW,PostFenton,4445489,5147162.33333333,not adsorbed,NA,8918337356.5,8295042489.333333,4.984661178756565e-4,6.205106652500106e-4,1.2204454737435404e-4,more unbound,2,0.111111111111111
283.2643,HW,PreFenton,2201857,2767164.66666667,NA,NA,8822958103.333334,10813785976.333332,2.4955995191319486e-4,2.558923093838539e-4,6.332357470659037e-6,minimal change,2,0.111111111111111
283.2643,SW,PostFenton,3439946.66666667,6671102.33333333,not adsorbed,NA,8884038661.5,10442460691.833334,3.872052787854327e-4,6.38843901854527e-4,2.516386230690943e-4,most unbound,2,0.111111111111111
283.2643,SW,PreFenton,4238668.66666667,3354782.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,5.020622195542858e-4,3.7767946762455465e-4,-1.2438275192973118e-4,more sorbed,2,0.111111111111111
285.1344,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.57142857142857,0.428571428571429
285.1344,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.57142857142857,0.428571428571429
285.1344,SW,PostFenton,0,1477414.5,NA,new molecules,8884038661.5,10442460691.833334,0,1.4148145189145234e-4,1.4148145189145234e-4,more unbound,1.57142857142857,0.428571428571429
285.1344,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.57142857142857,0.428571428571429
287.2228,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,2,0.25
287.2228,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,2,0.25
287.2228,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,2,0.25
287.2228,SW,PreFenton,2494251.33333333,4951783,NA,NA,8442516687.333333,8882618607.166666,2.9543931338336135e-4,5.574688297440585e-4,2.6202951636069714e-4,most unbound,2,0.25
293.1758,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.52941176470588,0.235294117647059
293.1758,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.52941176470588,0.235294117647059
293.1758,SW,PostFenton,0,2223623.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.1294058290357602e-4,2.1294058290357602e-4,most unbound,1.52941176470588,0.235294117647059
293.1758,SW,PreFenton,0,1805039.33333333,NA,new molecules,8442516687.333333,8882618607.166666,0,2.032102708853209e-4,2.032102708853209e-4,most unbound,1.52941176470588,0.235294117647059
