Mass,Forest,Fenton,PreGoethite,PostGoethite,adsorbed,new,preg_total,postg_total,preg_rel_abund,postg_rel_abund,delta_abund,sorption_frac,HC,OC
293.1792,HW,PostFenton,0,2333073.33333333,NA,new molecules,8918337356.5,8295042489.333333,0,2.812611672976298e-4,2.812611672976298e-4,most unbound,2.14285714285714,0.285714285714286
293.1792,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,2.14285714285714,0.285714285714286
293.1792,SW,PostFenton,0,2148275,NA,new molecules,8884038661.5,10442460691.833334,0,2.0572497837411895e-4,2.0572497837411895e-4,most unbound,2.14285714285714,0.285714285714286
293.1792,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,2.14285714285714,0.285714285714286
295.1187,HW,PostFenton,0,1483725,NA,new molecules,8918337356.5,8295042489.333333,0,1.788688848680323e-4,1.788688848680323e-4,most unbound,1.33333333333333,0.4
295.1187,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.33333333333333,0.4
295.1187,SW,PostFenton,0,2473886.33333333,NA,new molecules,8884038661.5,10442460691.833334,0,2.369064539805322e-4,2.369064539805322e-4,most unbound,1.33333333333333,0.4
295.1187,SW,PreFenton,1688358.33333333,1787790.33333333,NA,NA,8442516687.333333,8882618607.166666,1.9998282453695897e-4,2.0126838856853615e-4,1.2855640315771798e-6,minimal change,1.33333333333333,0.4
295.1551,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.5,0.3125
295.1551,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.5,0.3125
295.1551,SW,PostFenton,0,1477283,NA,new molecules,8884038661.5,10442460691.833334,0,1.4146885907411928e-4,1.4146885907411928e-4,more unbound,1.5,0.3125
295.1551,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.5,0.3125
297.0827,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.8,1
297.0827,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.8,1
297.0827,SW,PostFenton,1826558.66666667,0,NA,NA,8884038661.5,10442460691.833334,2.0560003577902821e-4,0,-2.0560003577902821e-4,most sorbed,1.8,1
297.0827,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.8,1
297.098,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.28571428571429,0.5
297.098,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.28571428571429,0.5
297.098,SW,PostFenton,0,1619391.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,1.5507759276825787e-4,1.5507759276825787e-4,most unbound,1.28571428571429,0.5
297.098,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.28571428571429,0.5
297.1344,HW,PostFenton,0,1689712.66666667,NA,new molecules,8918337356.5,8295042489.333333,0,2.0370150832132398e-4,2.0370150832132398e-4,most unbound,1.46666666666667,0.4
297.1344,HW,PreFenton,0,1426656.66666667,NA,new molecules,8822958103.333334,10813785976.333332,0,1.319294343155117e-4,1.319294343155117e-4,more unbound,1.46666666666667,0.4
297.1344,SW,PostFenton,0,3809433.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,3.6480229891081977e-4,3.6480229891081977e-4,most unbound,1.46666666666667,0.4
297.1344,SW,PreFenton,1534436.33333333,2550678.33333333,NA,NA,8442516687.333333,8882618607.166666,1.8175105719785075e-4,2.871538727639836e-4,1.0540281556613285e-4,more unbound,1.46666666666667,0.4
297.1708,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.625,0.3125
297.1708,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.625,0.3125
297.1708,SW,PostFenton,0,1884008.5,NA,new molecules,8884038661.5,10442460691.833334,0,1.8041806003382078e-4,1.8041806003382078e-4,most unbound,1.625,0.3125
297.1708,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.625,0.3125
297.2435,HW,PostFenton,0,1478521.5,NA,new molecules,8918337356.5,8295042489.333333,0,1.7824158247546574e-4,1.7824158247546574e-4,most unbound,1.88888888888889,0.166666666666667
297.2435,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.88888888888889,0.166666666666667
297.2435,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.88888888888889,0.166666666666667
297.2435,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.88888888888889,0.166666666666667
298.1408,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.61538461538462,0.384615384615385
298.1408,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.61538461538462,0.384615384615385
298.1408,SW,PostFenton,0,1562952,NA,new molecules,8884038661.5,10442460691.833334,0,1.4967276833728735e-4,1.4967276833728735e-4,more unbound,1.61538461538462,0.384615384615385
298.1408,SW,PreFenton,0,1371417.5,NA,NA,8442516687.333333,8882618607.166666,0,1.5439337887292764e-4,1.5439337887292764e-4,most unbound,1.61538461538462,0.384615384615385
299.0772,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.23076923076923,0.615384615384615
299.0772,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.23076923076923,0.615384615384615
299.0772,SW,PostFenton,1406415,0,NA,NA,8884038661.5,10442460691.833334,1.583080683895333e-4,0,-1.583080683895333e-4,most sorbed,1.23076923076923,0.615384615384615
299.0772,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.23076923076923,0.615384615384615
299.1137,HW,PostFenton,0,1561881,NA,new molecules,8918337356.5,8295042489.333333,0,1.8829089808863986e-4,1.8829089808863986e-4,most unbound,1.42857142857143,0.5
299.1137,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.42857142857143,0.5
299.1137,SW,PostFenton,1492179,2364481.66666667,NA,NA,8884038661.5,10442460691.833334,1.679617859461293e-4,2.2642954916898508e-4,5.846776322285577e-5,unbound,1.42857142857143,0.5
299.1137,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.42857142857143,0.5
299.15,HW,PostFenton,0,1962696.33333333,NA,new molecules,8918337356.5,8295042489.333333,0,2.366107630982214e-4,2.366107630982214e-4,most unbound,1.6,0.4
299.15,HW,PreFenton,0,1608492.33333333,NA,new molecules,8822958103.333334,10813785976.333332,0,1.4874460589969315e-4,1.4874460589969315e-4,more unbound,1.6,0.4
299.15,SW,PostFenton,0,3873521.33333333,NA,new molecules,8884038661.5,10442460691.833334,0,3.709395177673658e-4,3.709395177673658e-4,most unbound,1.6,0.4
299.15,SW,PreFenton,0,2073256,NA,new molecules,8442516687.333333,8882618607.166666,0,2.3340594611675182e-4,2.3340594611675182e-4,most unbound,1.6,0.4
299.1864,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.75,0.3125
299.1864,HW,PreFenton,0,1422744.5,NA,new molecules,8822958103.333334,10813785976.333332,0,1.315676584605769e-4,1.315676584605769e-4,more unbound,1.75,0.3125
299.1864,SW,PostFenton,0,2586528.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.476934070424128e-4,2.476934070424128e-4,most unbound,1.75,0.3125
299.1864,SW,PreFenton,1454626.5,2198274.33333333,NA,NA,8442516687.333333,8882618607.166666,1.7229773465327443e-4,2.474804368567306e-4,7.518270220345616e-5,unbound,1.75,0.3125
299.2016,HW,PostFenton,0,2080377,NA,new molecules,8918337356.5,8295042489.333333,0,2.507976303527287e-4,2.507976303527287e-4,most unbound,1.4,0.1
299.2016,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.4,0.1
299.2016,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.4,0.1
299.2016,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.4,0.1
300.1929,HW,PostFenton,0,1876604.66666667,NA,new molecules,8918337356.5,8295042489.333333,0,2.2623207404661426e-4,2.2623207404661426e-4,most unbound,1.92857142857143,0.285714285714286
300.1929,HW,PreFenton,2232144,3415984,NA,NA,8822958103.333334,10813785976.333332,2.5299270084448103e-4,3.158915857476837e-4,6.289888490320267e-5,unbound,1.92857142857143,0.285714285714286
300.1929,SW,PostFenton,0,2388345.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.287148342856112e-4,2.287148342856112e-4,most unbound,1.92857142857143,0.285714285714286
300.1929,SW,PreFenton,1847763,3685177.66666667,NA,NA,8442516687.333333,8882618607.166666,2.18864003286162e-4,4.148751432030863e-4,1.9601113991692432e-4,most unbound,1.92857142857143,0.285714285714286
301.1293,HW,PostFenton,0,1887098.33333333,NA,new molecules,8918337356.5,8295042489.333333,0,2.2749712683930987e-4,2.2749712683930987e-4,most unbound,1.57142857142857,0.5
301.1293,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.57142857142857,0.5
301.1293,SW,PostFenton,0,2731339.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.6156092393076955e-4,2.6156092393076955e-4,most unbound,1.57142857142857,0.5
301.1293,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.57142857142857,0.5
301.1656,HW,PostFenton,0,1886676.66666667,NA,new molecules,8918337356.5,8295042489.333333,0,2.2744629326405065e-4,2.2744629326405065e-4,most unbound,1.73333333333333,0.4
301.1656,HW,PreFenton,0,1583416,NA,new molecules,8822958103.333334,10813785976.333332,0,1.4642568324039408e-4,1.4642568324039408e-4,more unbound,1.73333333333333,0.4
301.1656,SW,PostFenton,0,3460944.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,3.3142999229801725e-4,3.3142999229801725e-4,most unbound,1.73333333333333,0.4
301.1656,SW,PreFenton,0,2113305.33333333,NA,new molecules,8442516687.333333,8882618607.166666,0,2.379146766054185e-4,2.379146766054185e-4,most unbound,1.73333333333333,0.4
301.202,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.875,0.3125
301.202,HW,PreFenton,0,1435716,NA,new molecules,8822958103.333334,10813785976.333332,0,1.3276719209554888e-4,1.3276719209554888e-4,more unbound,1.875,0.3125
301.202,SW,PostFenton,0,2760362.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.6434024969090365e-4,2.6434024969090365e-4,most unbound,1.875,0.3125
301.202,SW,PreFenton,0,2366495,NA,new molecules,8442516687.333333,8882618607.166666,0,2.6641862097857795e-4,2.6641862097857795e-4,most unbound,1.875,0.3125
303.0722,HW,PostFenton,1395955.66666667,0,NA,NA,8918337356.5,8295042489.333333,1.5652644779682483e-4,0,-1.5652644779682483e-4,most sorbed,1.33333333333333,0.75
303.0722,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.33333333333333,0.75
303.0722,SW,PostFenton,1568293.5,0,NA,NA,8884038661.5,10442460691.833334,1.7652934208811806e-4,0,-1.7652934208811806e-4,most sorbed,1.33333333333333,0.75
303.0722,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.33333333333333,0.75
303.1086,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.53846153846154,0.615384615384615
303.1086,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.53846153846154,0.615384615384615
303.1086,SW,PostFenton,1504553.5,0,NA,NA,8884038661.5,10442460691.833334,1.693546772280669e-4,0,-1.693546772280669e-4,most sorbed,1.53846153846154,0.615384615384615
303.1086,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.53846153846154,0.615384615384615
303.1449,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.71428571428571,0.5
303.1449,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.71428571428571,0.5
303.1449,SW,PostFenton,0,2298546.66666667,NA,new molecules,8884038661.5,10442460691.833334,0,2.2011542437160226e-4,2.2011542437160226e-4,most unbound,1.71428571428571,0.5
303.1449,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.71428571428571,0.5
303.1813,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.86666666666667,0.4
303.1813,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.86666666666667,0.4
303.1813,SW,PostFenton,0,1923810.33333333,NA,new molecules,8884038661.5,10442460691.833334,0,1.8422959780331006e-4,1.8422959780331006e-4,most unbound,1.86666666666667,0.4
303.1813,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.86666666666667,0.4
303.2177,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,2,0.3125
303.2177,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,2,0.3125
303.2177,SW,PostFenton,0,3080783,NA,new molecules,8884038661.5,10442460691.833334,0,2.950246202419864e-4,2.950246202419864e-4,most unbound,2,0.3125
303.2177,SW,PreFenton,1808635.33333333,2753350,NA,NA,8442516687.333333,8882618607.166666,2.142294057939977e-4,3.0997053028692967e-4,9.574112449293196e-5,unbound,2,0.3125
305.1395,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.29411764705882,0.294117647058824
305.1395,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.29411764705882,0.294117647058824
305.1395,SW,PostFenton,0,1954551,NA,new molecules,8884038661.5,10442460691.833334,0,1.871734122522082e-4,1.871734122522082e-4,most unbound,1.29411764705882,0.294117647058824
305.1395,SW,PreFenton,0,1667494.5,NA,new molecules,8442516687.333333,8882618607.166666,0,1.8772555411245888e-4,1.8772555411245888e-4,most unbound,1.29411764705882,0.294117647058824
305.1606,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.85714285714286,0.5
305.1606,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.85714285714286,0.5
305.1606,SW,PostFenton,0,1787642,NA,new molecules,8884038661.5,10442460691.833334,0,1.7118972747467935e-4,1.7118972747467935e-4,most unbound,1.85714285714286,0.5
305.1606,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.85714285714286,0.5
305.1758,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.44444444444444,0.222222222222222
305.1758,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.44444444444444,0.222222222222222
305.1758,SW,PostFenton,0,1484924.5,NA,new molecules,8884038661.5,10442460691.833334,0,1.4220063104104428e-4,1.4220063104104428e-4,more unbound,1.44444444444444,0.222222222222222
305.1758,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.44444444444444,0.222222222222222
307.046,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,0.857142857142857,0.571428571428571
307.046,HW,PreFenton,1624113.5,0,NA,NA,8822958103.333334,10813785976.333332,1.8407811540966133e-4,0,-1.8407811540966133e-4,most sorbed,0.857142857142857,0.571428571428571
307.046,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,0.857142857142857,0.571428571428571
307.046,SW,PreFenton,1671760.33333333,0,NA,NA,8442516687.333333,8882618607.166666,1.980168230927566e-4,0,-1.980168230927566e-4,most sorbed,0.857142857142857,0.571428571428571
307.067,HW,PostFenton,1906654,0,NA,NA,8918337356.5,8295042489.333333,2.1379029787546252e-4,0,-2.1379029787546252e-4,most sorbed,1.45454545454545,0.909090909090909
307.067,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.45454545454545,0.909090909090909
307.067,SW,PostFenton,1790878.5,0,NA,NA,8884038661.5,10442460691.833334,2.015838255815992e-4,0,-2.015838255815992e-4,most sorbed,1.45454545454545,0.909090909090909
307.067,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.45454545454545,0.909090909090909
307.0823,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.06666666666667,0.466666666666667
307.0823,HW,PreFenton,1597495.5,0,NA,NA,8822958103.333334,10813785976.333332,1.8106121340375202e-4,0,-1.8106121340375202e-4,most sorbed,1.06666666666667,0.466666666666667
307.0823,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.06666666666667,0.466666666666667
307.0823,SW,PreFenton,1686699,0,NA,NA,8442516687.333333,8882618607.166666,1.9978627966831577e-4,0,-1.9978627966831577e-4,most sorbed,1.06666666666667,0.466666666666667
307.1187,HW,PostFenton,0,1759956.66666667,NA,new molecules,8918337356.5,8295042489.333333,0,2.121696988206888e-4,2.121696988206888e-4,most unbound,1.25,0.375
307.1187,HW,PreFenton,0,1639662,NA,new molecules,8822958103.333334,10813785976.333332,0,1.5162700682152448e-4,1.5162700682152448e-4,most unbound,1.25,0.375
307.1187,SW,PostFenton,0,2353639,NA,new molecules,8884038661.5,10442460691.833334,0,2.253912242964625e-4,2.253912242964625e-4,most unbound,1.25,0.375
307.1187,SW,PreFenton,1746942.5,1864906.33333333,NA,NA,8442516687.333333,8882618607.166666,2.0692200734657857e-4,2.0995006267956703e-4,3.0280553329884612e-6,minimal change,1.25,0.375
307.1398,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.84615384615385,0.615384615384615
307.1398,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.84615384615385,0.615384615384615
307.1398,SW,PostFenton,0,2937653.5,NA,new molecules,8884038661.5,10442460691.833334,0,2.813181286186149e-4,2.813181286186149e-4,most unbound,1.84615384615385,0.615384615384615
307.1398,SW,PreFenton,2734344.33333333,4360525.33333333,NA,NA,8442516687.333333,8882618607.166666,3.238778713266606e-4,4.909053879466552e-4,1.670275166199946e-4,most unbound,1.84615384615385,0.615384615384615
307.1551,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.41176470588235,0.294117647058824
307.1551,HW,PreFenton,0,1621785.33333333,NA,new molecules,8822958103.333334,10813785976.333332,0,1.4997387010272923e-4,1.4997387010272923e-4,more unbound,1.41176470588235,0.294117647058824
307.1551,SW,PostFenton,0,2625175.33333333,NA,new molecules,8884038661.5,10442460691.833334,0,2.513943227372054e-4,2.513943227372054e-4,most unbound,1.41176470588235,0.294117647058824
307.1551,SW,PreFenton,1651295.66666667,2757711.66666667,NA,NA,8442516687.333333,8882618607.166666,1.9559282235641644e-4,3.104615641655148e-4,1.1486874180909837e-4,more unbound,1.41176470588235,0.294117647058824
307.1949,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,2.13333333333333,0.266666666666667
307.1949,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,2.13333333333333,0.266666666666667
307.1949,SW,PostFenton,0,1724061,NA,new molecules,8884038661.5,10442460691.833334,0,1.651010284719889e-4,1.651010284719889e-4,most unbound,2.13333333333333,0.266666666666667
307.1949,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,2.13333333333333,0.266666666666667
309.0252,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,0.769230769230769,0.692307692307692
309.0252,HW,PreFenton,1490794.5,0,NA,NA,8822958103.333334,10813785976.333332,1.6896765036623877e-4,0,-1.6896765036623877e-4,most sorbed,0.769230769230769,0.692307692307692
309.0252,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,0.769230769230769,0.692307692307692
309.0252,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,0.769230769230769,0.692307692307692
309.0616,HW,PostFenton,1657396.66666667,0,NA,NA,8918337356.5,8295042489.333333,1.8584144111331475e-4,0,-1.8584144111331475e-4,most sorbed,1,0.571428571428571
309.0616,HW,PreFenton,2146800.5,0,NA,NA,8822958103.333334,10813785976.333332,2.4331981120809514e-4,0,-2.4331981120809514e-4,most sorbed,1,0.571428571428571
309.0616,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1,0.571428571428571
309.0616,SW,PreFenton,2665495,0,NA,NA,8442516687.333333,8882618607.166666,3.157227991031579e-4,0,-3.157227991031579e-4,most sorbed,1,0.571428571428571
309.0827,HW,PostFenton,2048738,0,NA,NA,8918337356.5,8295042489.333333,2.2972196701067908e-4,0,-2.2972196701067908e-4,most sorbed,1.63636363636364,0.909090909090909
309.0827,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.63636363636364,0.909090909090909
309.0827,SW,PostFenton,2274502.33333333,0,NA,NA,8884038661.5,10442460691.833334,2.5602121062238807e-4,0,-2.5602121062238807e-4,most sorbed,1.63636363636364,0.909090909090909
309.0827,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.63636363636364,0.909090909090909
309.098,HW,PostFenton,1699556,2241541,NA,NA,8918337356.5,8295042489.333333,1.905687049123908e-4,2.702265844789122e-4,7.965787956652138e-5,unbound,1.2,0.466666666666667
309.098,HW,PreFenton,2141558.5,1875946.66666667,NA,NA,8822958103.333334,10813785976.333332,2.4272567940574423e-4,1.7347732521915082e-4,-6.924835418659341e-5,sorbed,1.2,0.466666666666667
309.098,SW,PostFenton,1862856.33333333,3008781.33333333,NA,NA,8884038661.5,10442460691.833334,2.0968575265281449e-4,2.8812953403658853e-4,7.844378138377404e-5,unbound,1.2,0.466666666666667
