Mass,Forest,treatment,intensity,total,rel_abund,HC,OC,percentile,perc
255.233,HW,PreFenton,0,8822958103.333334,0,2,0.125,1,lowest 25%
255.233,HW,PostFentonGoethite,0,8295042489.333333,0,2,0.125,1,lowest 25%
255.233,SW,PostFenton,0,8884038661.5,0,2,0.125,1,lowest 25%
255.233,SW,PostFentonGoethite,2150699.66666667,10442460691.833334,2.0595717141158628e-4,2,0.125,61,second 25 %
255.233,SW,PreFentonGoethite,0,8882618607.166666,0,2,0.125,1,lowest 25%
255.233,HW,PostFenton,0,8918337356.5,0,2,0.125,1,lowest 25%
255.233,HW,PreFentonGoethite,0,10813785976.333332,0,2,0.125,1,lowest 25%
255.233,SW,PreFenton,0,8442516687.333333,0,2,0.125,1,lowest 25%
281.1395,HW,PreFenton,0,8822958103.333334,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.1395,SW,PostFenton,0,8884038661.5,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.1395,SW,PreFentonGoethite,0,8882618607.166666,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.1395,HW,PostFenton,0,8918337356.5,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.1395,SW,PostFentonGoethite,1644233.33333333,10442460691.833334,1.5745650205025187e-4,1.46666666666667,0.333333333333333,52,second 25 %
281.1395,HW,PreFentonGoethite,0,10813785976.333332,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.1395,HW,PostFentonGoethite,0,8295042489.333333,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.1395,SW,PreFenton,0,8442516687.333333,0,1.46666666666667,0.333333333333333,1,lowest 25%
281.2486,SW,PostFenton,0,8884038661.5,0,1.88888888888889,0.111111111111111,1,lowest 25%
281.2486,HW,PreFentonGoethite,0,10813785976.333332,0,1.88888888888889,0.111111111111111,1,lowest 25%
281.2486,SW,PreFentonGoethite,0,8882618607.166666,0,1.88888888888889,0.111111111111111,1,lowest 25%
281.2486,HW,PreFenton,0,8822958103.333334,0,1.88888888888889,0.111111111111111,1,lowest 25%
281.2486,HW,PostFentonGoethite,2326703,8295042489.333333,2.8049319855708124e-4,1.88888888888889,0.111111111111111,67,second 25 %
281.2486,HW,PostFenton,0,8918337356.5,0,1.88888888888889,0.111111111111111,1,lowest 25%
281.2486,SW,PreFenton,0,8442516687.333333,0,1.88888888888889,0.111111111111111,1,lowest 25%
281.2486,SW,PostFentonGoethite,3814783.33333333,10442460691.833334,3.653145983414362e-4,1.88888888888889,0.111111111111111,78,top 25 %
283.1551,SW,PostFenton,0,8884038661.5,0,1.6,0.333333333333333,1,lowest 25%
283.1551,HW,PostFenton,0,8918337356.5,0,1.6,0.333333333333333,1,lowest 25%
283.1551,HW,PostFentonGoethite,0,8295042489.333333,0,1.6,0.333333333333333,1,lowest 25%
