Mass,Forest,treatment,intensity,total,rel_abund,HC,OC,percentile,perc
283.1551,SW,PreFentonGoethite,0,8882618607.166666,0,1.6,0.333333333333333,1,lowest 25%
283.1551,HW,PreFenton,0,8822958103.333334,0,1.6,0.333333333333333,1,lowest 25%
283.1551,SW,PreFenton,0,8442516687.333333,0,1.6,0.333333333333333,1,lowest 25%
283.1551,SW,PostFentonGoethite,1480849.5,10442460691.833334,1.4181039734802335e-4,1.6,0.333333333333333,50,third 25 %
283.1551,HW,PreFentonGoethite,0,10813785976.333332,0,1.6,0.333333333333333,1,lowest 25%
283.2643,HW,PreFentonGoethite,2767164.66666667,10813785976.333332,2.558923093838539e-4,2,0.111111111111111,65,second 25 %
283.2643,SW,PreFenton,4238668.66666667,8442516687.333333,5.020622195542858e-4,2,0.111111111111111,84,top 25 %
283.2643,SW,PostFenton,3439946.66666667,8884038661.5,3.872052787854327e-4,2,0.111111111111111,79,top 25 %
283.2643,HW,PostFenton,4445489,8918337356.5,4.984661178756565e-4,2,0.111111111111111,83,top 25 %
283.2643,HW,PostFentonGoethite,5147162.33333333,8295042489.333333,6.205106652500106e-4,2,0.111111111111111,87,top 25 %
283.2643,SW,PostFentonGoethite,6671102.33333333,10442460691.833334,6.38843901854527e-4,2,0.111111111111111,89,top 25 %
283.2643,HW,PreFenton,2201857,8822958103.333334,2.4955995191319486e-4,2,0.111111111111111,58,second 25 %
283.2643,SW,PreFentonGoethite,3354782.66666667,8882618607.166666,3.7767946762455465e-4,2,0.111111111111111,79,top 25 %
285.1344,SW,PreFentonGoethite,0,8882618607.166666,0,1.57142857142857,0.428571428571429,1,lowest 25%
285.1344,SW,PreFenton,0,8442516687.333333,0,1.57142857142857,0.428571428571429,1,lowest 25%
285.1344,SW,PostFenton,0,8884038661.5,0,1.57142857142857,0.428571428571429,1,lowest 25%
285.1344,HW,PreFentonGoethite,0,10813785976.333332,0,1.57142857142857,0.428571428571429,1,lowest 25%
285.1344,SW,PostFentonGoethite,1477414.5,10442460691.833334,1.4148145189145234e-4,1.57142857142857,0.428571428571429,50,third 25 %
285.1344,HW,PostFenton,0,8918337356.5,0,1.57142857142857,0.428571428571429,1,lowest 25%
285.1344,HW,PostFentonGoethite,0,8295042489.333333,0,1.57142857142857,0.428571428571429,1,lowest 25%
285.1344,HW,PreFenton,0,8822958103.333334,0,1.57142857142857,0.428571428571429,1,lowest 25%
287.2228,HW,PostFentonGoethite,0,8295042489.333333,0,2,0.25,1,lowest 25%
287.2228,SW,PreFenton,2494251.33333333,8442516687.333333,2.9543931338336135e-4,2,0.25,70,second 25 %
287.2228,SW,PostFenton,0,8884038661.5,0,2,0.25,1,lowest 25%
287.2228,HW,PreFenton,0,8822958103.333334,0,2,0.25,1,lowest 25%
287.2228,HW,PostFenton,0,8918337356.5,0,2,0.25,1,lowest 25%
287.2228,SW,PostFentonGoethite,0,10442460691.833334,0,2,0.25,1,lowest 25%
287.2228,SW,PreFentonGoethite,4951783,8882618607.166666,5.574688297440585e-4,2,0.25,87,top 25 %
287.2228,HW,PreFentonGoethite,0,10813785976.333332,0,2,0.25,1,lowest 25%
293.1758,HW,PostFentonGoethite,0,8295042489.333333,0,1.52941176470588,0.235294117647059,1,lowest 25%
293.1758,HW,PreFenton,0,8822958103.333334,0,1.52941176470588,0.235294117647059,1,lowest 25%
293.1758,SW,PostFentonGoethite,2223623.66666667,10442460691.833334,2.1294058290357602e-4,1.52941176470588,0.235294117647059,62,second 25 %
293.1758,SW,PostFenton,0,8884038661.5,0,1.52941176470588,0.235294117647059,1,lowest 25%
293.1758,SW,PreFenton,0,8442516687.333333,0,1.52941176470588,0.235294117647059,1,lowest 25%
293.1758,HW,PostFenton,0,8918337356.5,0,1.52941176470588,0.235294117647059,1,lowest 25%
293.1758,SW,PreFentonGoethite,1805039.33333333,8882618607.166666,2.032102708853209e-4,1.52941176470588,0.235294117647059,60,second 25 %
293.1758,HW,PreFentonGoethite,0,10813785976.333332,0,1.52941176470588,0.235294117647059,1,lowest 25%
293.1792,HW,PostFentonGoethite,2333073.33333333,8295042489.333333,2.812611672976298e-4,2.14285714285714,0.285714285714286,68,second 25 %
293.1792,SW,PostFentonGoethite,2148275,10442460691.833334,2.0572497837411895e-4,2.14285714285714,0.285714285714286,61,second 25 %
293.1792,HW,PreFenton,0,8822958103.333334,0,2.14285714285714,0.285714285714286,1,lowest 25%
293.1792,HW,PreFentonGoethite,0,10813785976.333332,0,2.14285714285714,0.285714285714286,1,lowest 25%
293.1792,SW,PreFenton,0,8442516687.333333,0,2.14285714285714,0.285714285714286,1,lowest 25%
293.1792,HW,PostFenton,0,8918337356.5,0,2.14285714285714,0.285714285714286,1,lowest 25%
293.1792,SW,PostFenton,0,8884038661.5,0,2.14285714285714,0.285714285714286,1,lowest 25%
293.1792,SW,PreFentonGoethite,0,8882618607.166666,0,2.14285714285714,0.285714285714286,1,lowest 25%
295.1187,SW,PreFenton,1688358.33333333,8442516687.333333,1.9998282453695897e-4,1.33333333333333,0.4,54,second 25 %
295.1187,SW,PostFentonGoethite,2473886.33333333,10442460691.833334,2.369064539805322e-4,1.33333333333333,0.4,66,second 25 %
295.1187,HW,PostFentonGoethite,1483725,8295042489.333333,1.788688848680323e-4,1.33333333333333,0.4,54,second 25 %
295.1187,HW,PreFenton,0,8822958103.333334,0,1.33333333333333,0.4,1,lowest 25%
295.1187,HW,PreFentonGoethite,0,10813785976.333332,0,1.33333333333333,0.4,1,lowest 25%
295.1187,SW,PostFenton,0,8884038661.5,0,1.33333333333333,0.4,1,lowest 25%
295.1187,HW,PostFenton,0,8918337356.5,0,1.33333333333333,0.4,1,lowest 25%
295.1187,SW,PreFentonGoethite,1787790.33333333,8882618607.166666,2.0126838856853615e-4,1.33333333333333,0.4,60,second 25 %
295.1551,SW,PreFenton,0,8442516687.333333,0,1.5,0.3125,1,lowest 25%
295.1551,HW,PostFentonGoethite,0,8295042489.333333,0,1.5,0.3125,1,lowest 25%
295.1551,HW,PreFentonGoethite,0,10813785976.333332,0,1.5,0.3125,1,lowest 25%
295.1551,HW,PreFenton,0,8822958103.333334,0,1.5,0.3125,1,lowest 25%
295.1551,HW,PostFenton,0,8918337356.5,0,1.5,0.3125,1,lowest 25%
295.1551,SW,PostFentonGoethite,1477283,10442460691.833334,1.4146885907411928e-4,1.5,0.3125,50,third 25 %
295.1551,SW,PostFenton,0,8884038661.5,0,1.5,0.3125,1,lowest 25%
295.1551,SW,PreFentonGoethite,0,8882618607.166666,0,1.5,0.3125,1,lowest 25%
297.0827,HW,PreFenton,0,8822958103.333334,0,1.8,1,1,lowest 25%
297.0827,HW,PreFentonGoethite,0,10813785976.333332,0,1.8,1,1,lowest 25%
297.0827,SW,PostFenton,1826558.66666667,8884038661.5,2.0560003577902821e-4,1.8,1,59,second 25 %
297.0827,SW,PostFentonGoethite,0,10442460691.833334,0,1.8,1,1,lowest 25%
297.0827,SW,PreFenton,0,8442516687.333333,0,1.8,1,1,lowest 25%
297.0827,SW,PreFentonGoethite,0,8882618607.166666,0,1.8,1,1,lowest 25%
297.0827,HW,PostFenton,0,8918337356.5,0,1.8,1,1,lowest 25%
297.0827,HW,PostFentonGoethite,0,8295042489.333333,0,1.8,1,1,lowest 25%
297.098,HW,PreFenton,0,8822958103.333334,0,1.28571428571429,0.5,1,lowest 25%
297.098,SW,PreFenton,0,8442516687.333333,0,1.28571428571429,0.5,1,lowest 25%
297.098,SW,PreFentonGoethite,0,8882618607.166666,0,1.28571428571429,0.5,1,lowest 25%
297.098,HW,PostFenton,0,8918337356.5,0,1.28571428571429,0.5,1,lowest 25%
297.098,HW,PreFentonGoethite,0,10813785976.333332,0,1.28571428571429,0.5,1,lowest 25%
297.098,SW,PostFenton,0,8884038661.5,0,1.28571428571429,0.5,1,lowest 25%
297.098,HW,PostFentonGoethite,0,8295042489.333333,0,1.28571428571429,0.5,1,lowest 25%
297.098,SW,PostFentonGoethite,1619391.66666667,10442460691.833334,1.5507759276825787e-4,1.28571428571429,0.5,51,second 25 %
297.1344,SW,PreFentonGoethite,2550678.33333333,8882618607.166666,2.871538727639836e-4,1.46666666666667,0.4,72,second 25 %
297.1344,HW,PreFenton,0,8822958103.333334,0,1.46666666666667,0.4,1,lowest 25%
297.1344,SW,PreFenton,1534436.33333333,8442516687.333333,1.8175105719785075e-4,1.46666666666667,0.4,52,second 25 %
297.1344,HW,PostFenton,0,8918337356.5,0,1.46666666666667,0.4,1,lowest 25%
297.1344,SW,PostFentonGoethite,3809433.66666667,10442460691.833334,3.6480229891081977e-4,1.46666666666667,0.4,78,top 25 %
297.1344,HW,PreFentonGoethite,1426656.66666667,10813785976.333332,1.319294343155117e-4,1.46666666666667,0.4,38,third 25 %
297.1344,HW,PostFentonGoethite,1689712.66666667,8295042489.333333,2.0370150832132398e-4,1.46666666666667,0.4,56,second 25 %
297.1344,SW,PostFenton,0,8884038661.5,0,1.46666666666667,0.4,1,lowest 25%
297.1708,HW,PreFenton,0,8822958103.333334,0,1.625,0.3125,1,lowest 25%
297.1708,HW,PreFentonGoethite,0,10813785976.333332,0,1.625,0.3125,1,lowest 25%
297.1708,SW,PreFentonGoethite,0,8882618607.166666,0,1.625,0.3125,1,lowest 25%
297.1708,SW,PostFenton,0,8884038661.5,0,1.625,0.3125,1,lowest 25%
297.1708,SW,PreFenton,0,8442516687.333333,0,1.625,0.3125,1,lowest 25%
297.1708,SW,PostFentonGoethite,1884008.5,10442460691.833334,1.8041806003382078e-4,1.625,0.3125,56,second 25 %
297.1708,HW,PostFenton,0,8918337356.5,0,1.625,0.3125,1,lowest 25%
297.1708,HW,PostFentonGoethite,0,8295042489.333333,0,1.625,0.3125,1,lowest 25%
297.2435,SW,PostFenton,0,8884038661.5,0,1.88888888888889,0.166666666666667,1,lowest 25%
297.2435,HW,PreFenton,0,8822958103.333334,0,1.88888888888889,0.166666666666667,1,lowest 25%
297.2435,SW,PreFenton,0,8442516687.333333,0,1.88888888888889,0.166666666666667,1,lowest 25%
297.2435,SW,PreFentonGoethite,0,8882618607.166666,0,1.88888888888889,0.166666666666667,1,lowest 25%
297.2435,HW,PostFentonGoethite,1478521.5,8295042489.333333,1.7824158247546574e-4,1.88888888888889,0.166666666666667,54,second 25 %
297.2435,HW,PreFentonGoethite,0,10813785976.333332,0,1.88888888888889,0.166666666666667,1,lowest 25%
297.2435,SW,PostFentonGoethite,0,10442460691.833334,0,1.88888888888889,0.166666666666667,1,lowest 25%
297.2435,HW,PostFenton,0,8918337356.5,0,1.88888888888889,0.166666666666667,1,lowest 25%
298.1408,SW,PreFenton,0,8442516687.333333,0,1.61538461538462,0.384615384615385,1,lowest 25%
298.1408,SW,PostFenton,0,8884038661.5,0,1.61538461538462,0.384615384615385,1,lowest 25%
298.1408,HW,PreFenton,0,8822958103.333334,0,1.61538461538462,0.384615384615385,1,lowest 25%
298.1408,HW,PreFentonGoethite,0,10813785976.333332,0,1.61538461538462,0.384615384615385,1,lowest 25%
298.1408,SW,PreFentonGoethite,1371417.5,8882618607.166666,1.5439337887292764e-4,1.61538461538462,0.384615384615385,55,second 25 %
298.1408,HW,PostFentonGoethite,0,8295042489.333333,0,1.61538461538462,0.384615384615385,1,lowest 25%
298.1408,SW,PostFentonGoethite,1562952,10442460691.833334,1.4967276833728735e-4,1.61538461538462,0.384615384615385,51,second 25 %
298.1408,HW,PostFenton,0,8918337356.5,0,1.61538461538462,0.384615384615385,1,lowest 25%
299.0772,HW,PreFenton,0,8822958103.333334,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.0772,SW,PreFenton,0,8442516687.333333,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.0772,HW,PostFentonGoethite,0,8295042489.333333,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.0772,SW,PostFenton,1406415,8884038661.5,1.583080683895333e-4,1.23076923076923,0.615384615384615,55,second 25 %
299.0772,HW,PreFentonGoethite,0,10813785976.333332,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.0772,SW,PreFentonGoethite,0,8882618607.166666,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.0772,SW,PostFentonGoethite,0,10442460691.833334,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.0772,HW,PostFenton,0,8918337356.5,0,1.23076923076923,0.615384615384615,1,lowest 25%
299.1137,HW,PreFentonGoethite,0,10813785976.333332,0,1.42857142857143,0.5,1,lowest 25%
299.1137,HW,PostFentonGoethite,1561881,8295042489.333333,1.8829089808863986e-4,1.42857142857143,0.5,54,second 25 %
299.1137,SW,PostFenton,1492179,8884038661.5,1.679617859461293e-4,1.42857142857143,0.5,55,second 25 %
299.1137,HW,PreFenton,0,8822958103.333334,0,1.42857142857143,0.5,1,lowest 25%
299.1137,SW,PreFentonGoethite,0,8882618607.166666,0,1.42857142857143,0.5,1,lowest 25%
299.1137,SW,PostFentonGoethite,2364481.66666667,10442460691.833334,2.2642954916898508e-4,1.42857142857143,0.5,65,second 25 %
299.1137,SW,PreFenton,0,8442516687.333333,0,1.42857142857143,0.5,1,lowest 25%
299.1137,HW,PostFenton,0,8918337356.5,0,1.42857142857143,0.5,1,lowest 25%
299.15,SW,PostFenton,0,8884038661.5,0,1.6,0.4,1,lowest 25%
299.15,SW,PreFenton,0,8442516687.333333,0,1.6,0.4,1,lowest 25%
299.15,HW,PostFentonGoethite,1962696.33333333,8295042489.333333,2.366107630982214e-4,1.6,0.4,62,second 25 %
299.15,HW,PreFenton,0,8822958103.333334,0,1.6,0.4,1,lowest 25%
299.15,HW,PreFentonGoethite,1608492.33333333,10813785976.333332,1.4874460589969315e-4,1.6,0.4,39,third 25 %
299.15,SW,PreFentonGoethite,2073256,8882618607.166666,2.3340594611675182e-4,1.6,0.4,65,second 25 %
299.15,HW,PostFenton,0,8918337356.5,0,1.6,0.4,1,lowest 25%
299.15,SW,PostFentonGoethite,3873521.33333333,10442460691.833334,3.709395177673658e-4,1.6,0.4,78,top 25 %
299.1864,HW,PreFenton,0,8822958103.333334,0,1.75,0.3125,1,lowest 25%
299.1864,SW,PreFenton,1454626.5,8442516687.333333,1.7229773465327443e-4,1.75,0.3125,52,second 25 %
299.1864,SW,PreFentonGoethite,2198274.33333333,8882618607.166666,2.474804368567306e-4,1.75,0.3125,68,second 25 %
299.1864,HW,PostFentonGoethite,0,8295042489.333333,0,1.75,0.3125,1,lowest 25%
299.1864,SW,PostFenton,0,8884038661.5,0,1.75,0.3125,1,lowest 25%
299.1864,HW,PreFentonGoethite,1422744.5,10813785976.333332,1.315676584605769e-4,1.75,0.3125,38,third 25 %
299.1864,HW,PostFenton,0,8918337356.5,0,1.75,0.3125,1,lowest 25%
299.1864,SW,PostFentonGoethite,2586528.66666667,10442460691.833334,2.476934070424128e-4,1.75,0.3125,68,second 25 %
299.2016,SW,PreFenton,0,8442516687.333333,0,1.4,0.1,1,lowest 25%
299.2016,HW,PreFenton,0,8822958103.333334,0,1.4,0.1,1,lowest 25%
299.2016,HW,PreFentonGoethite,0,10813785976.333332,0,1.4,0.1,1,lowest 25%
299.2016,HW,PostFentonGoethite,2080377,8295042489.333333,2.507976303527287e-4,1.4,0.1,64,second 25 %
299.2016,SW,PostFenton,0,8884038661.5,0,1.4,0.1,1,lowest 25%
299.2016,SW,PreFentonGoethite,0,8882618607.166666,0,1.4,0.1,1,lowest 25%
299.2016,SW,PostFentonGoethite,0,10442460691.833334,0,1.4,0.1,1,lowest 25%
299.2016,HW,PostFenton,0,8918337356.5,0,1.4,0.1,1,lowest 25%
300.1929,HW,PostFenton,0,8918337356.5,0,1.92857142857143,0.285714285714286,1,lowest 25%
300.1929,HW,PreFentonGoethite,3415984,10813785976.333332,3.158915857476837e-4,1.92857142857143,0.285714285714286,73,second 25 %
300.1929,HW,PreFenton,2232144,8822958103.333334,2.5299270084448103e-4,1.92857142857143,0.285714285714286,59,second 25 %
300.1929,SW,PostFenton,0,8884038661.5,0,1.92857142857143,0.285714285714286,1,lowest 25%
300.1929,SW,PreFenton,1847763,8442516687.333333,2.18864003286162e-4,1.92857142857143,0.285714285714286,58,second 25 %
300.1929,SW,PostFentonGoethite,2388345.66666667,10442460691.833334,2.287148342856112e-4,1.92857142857143,0.285714285714286,65,second 25 %
300.1929,SW,PreFentonGoethite,3685177.66666667,8882618607.166666,4.148751432030863e-4,1.92857142857143,0.285714285714286,81,top 25 %
300.1929,HW,PostFentonGoethite,1876604.66666667,8295042489.333333,2.2623207404661426e-4,1.92857142857143,0.285714285714286,60,second 25 %
301.1293,HW,PreFenton,0,8822958103.333334,0,1.57142857142857,0.5,1,lowest 25%
301.1293,SW,PreFenton,0,8442516687.333333,0,1.57142857142857,0.5,1,lowest 25%
301.1293,HW,PreFentonGoethite,0,10813785976.333332,0,1.57142857142857,0.5,1,lowest 25%
301.1293,SW,PostFentonGoethite,2731339.66666667,10442460691.833334,2.6156092393076955e-4,1.57142857142857,0.5,70,second 25 %
301.1293,SW,PostFenton,0,8884038661.5,0,1.57142857142857,0.5,1,lowest 25%
301.1293,HW,PostFentonGoethite,1887098.33333333,8295042489.333333,2.2749712683930987e-4,1.57142857142857,0.5,60,second 25 %
301.1293,SW,PreFentonGoethite,0,8882618607.166666,0,1.57142857142857,0.5,1,lowest 25%
301.1293,HW,PostFenton,0,8918337356.5,0,1.57142857142857,0.5,1,lowest 25%
301.1656,HW,PreFenton,0,8822958103.333334,0,1.73333333333333,0.4,1,lowest 25%
301.1656,SW,PreFenton,0,8442516687.333333,0,1.73333333333333,0.4,1,lowest 25%
301.1656,SW,PostFenton,0,8884038661.5,0,1.73333333333333,0.4,1,lowest 25%
301.1656,HW,PreFentonGoethite,1583416,10813785976.333332,1.4642568324039408e-4,1.73333333333333,0.4,39,third 25 %
301.1656,HW,PostFentonGoethite,1886676.66666667,8295042489.333333,2.2744629326405065e-4,1.73333333333333,0.4,60,second 25 %
301.1656,SW,PostFentonGoethite,3460944.66666667,10442460691.833334,3.3142999229801725e-4,1.73333333333333,0.4,75,second 25 %
301.1656,SW,PreFentonGoethite,2113305.33333333,8882618607.166666,2.379146766054185e-4,1.73333333333333,0.4,66,second 25 %
301.1656,HW,PostFenton,0,8918337356.5,0,1.73333333333333,0.4,1,lowest 25%
301.202,HW,PreFenton,0,8822958103.333334,0,1.875,0.3125,1,lowest 25%
301.202,HW,PostFentonGoethite,0,8295042489.333333,0,1.875,0.3125,1,lowest 25%
301.202,HW,PreFentonGoethite,1435716,10813785976.333332,1.3276719209554888e-4,1.875,0.3125,39,third 25 %
301.202,SW,PreFenton,0,8442516687.333333,0,1.875,0.3125,1,lowest 25%
301.202,SW,PreFentonGoethite,2366495,8882618607.166666,2.6641862097857795e-4,1.875,0.3125,70,second 25 %
301.202,HW,PostFenton,0,8918337356.5,0,1.875,0.3125,1,lowest 25%
301.202,SW,PostFentonGoethite,2760362.66666667,10442460691.833334,2.6434024969090365e-4,1.875,0.3125,70,second 25 %
301.202,SW,PostFenton,0,8884038661.5,0,1.875,0.3125,1,lowest 25%
303.0722,SW,PreFenton,0,8442516687.333333,0,1.33333333333333,0.75,1,lowest 25%
303.0722,SW,PreFentonGoethite,0,8882618607.166666,0,1.33333333333333,0.75,1,lowest 25%
303.0722,HW,PreFenton,0,8822958103.333334,0,1.33333333333333,0.75,1,lowest 25%
303.0722,SW,PostFentonGoethite,0,10442460691.833334,0,1.33333333333333,0.75,1,lowest 25%
303.0722,SW,PostFenton,1568293.5,8884038661.5,1.7652934208811806e-4,1.33333333333333,0.75,55,second 25 %
303.0722,HW,PostFentonGoethite,0,8295042489.333333,0,1.33333333333333,0.75,1,lowest 25%
303.0722,HW,PreFentonGoethite,0,10813785976.333332,0,1.33333333333333,0.75,1,lowest 25%
303.0722,HW,PostFenton,1395955.66666667,8918337356.5,1.5652644779682483e-4,1.33333333333333,0.75,49,third 25 %
303.1086,SW,PreFenton,0,8442516687.333333,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1086,HW,PreFenton,0,8822958103.333334,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1086,SW,PreFentonGoethite,0,8882618607.166666,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1086,HW,PostFenton,0,8918337356.5,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1086,HW,PreFentonGoethite,0,10813785976.333332,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1086,SW,PostFentonGoethite,0,10442460691.833334,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1086,SW,PostFenton,1504553.5,8884038661.5,1.693546772280669e-4,1.53846153846154,0.615384615384615,55,second 25 %
303.1086,HW,PostFentonGoethite,0,8295042489.333333,0,1.53846153846154,0.615384615384615,1,lowest 25%
303.1449,SW,PostFentonGoethite,2298546.66666667,10442460691.833334,2.2011542437160226e-4,1.71428571428571,0.5,64,second 25 %
303.1449,SW,PreFentonGoethite,0,8882618607.166666,0,1.71428571428571,0.5,1,lowest 25%
303.1449,HW,PreFentonGoethite,0,10813785976.333332,0,1.71428571428571,0.5,1,lowest 25%
303.1449,HW,PreFenton,0,8822958103.333334,0,1.71428571428571,0.5,1,lowest 25%
303.1449,SW,PostFenton,0,8884038661.5,0,1.71428571428571,0.5,1,lowest 25%
303.1449,HW,PostFenton,0,8918337356.5,0,1.71428571428571,0.5,1,lowest 25%
303.1449,HW,PostFentonGoethite,0,8295042489.333333,0,1.71428571428571,0.5,1,lowest 25%
303.1449,SW,PreFenton,0,8442516687.333333,0,1.71428571428571,0.5,1,lowest 25%
303.1813,HW,PreFentonGoethite,0,10813785976.333332,0,1.86666666666667,0.4,1,lowest 25%
303.1813,SW,PostFenton,0,8884038661.5,0,1.86666666666667,0.4,1,lowest 25%
303.1813,SW,PostFentonGoethite,1923810.33333333,10442460691.833334,1.8422959780331006e-4,1.86666666666667,0.4,57,second 25 %
303.1813,HW,PreFenton,0,8822958103.333334,0,1.86666666666667,0.4,1,lowest 25%
303.1813,SW,PreFentonGoethite,0,8882618607.166666,0,1.86666666666667,0.4,1,lowest 25%
303.1813,HW,PostFentonGoethite,0,8295042489.333333,0,1.86666666666667,0.4,1,lowest 25%
303.1813,SW,PreFenton,0,8442516687.333333,0,1.86666666666667,0.4,1,lowest 25%
303.1813,HW,PostFenton,0,8918337356.5,0,1.86666666666667,0.4,1,lowest 25%
303.2177,HW,PreFenton,0,8822958103.333334,0,2,0.3125,1,lowest 25%
303.2177,HW,PostFentonGoethite,0,8295042489.333333,0,2,0.3125,1,lowest 25%
303.2177,SW,PostFenton,0,8884038661.5,0,2,0.3125,1,lowest 25%
303.2177,HW,PostFenton,0,8918337356.5,0,2,0.3125,1,lowest 25%
303.2177,SW,PostFentonGoethite,3080783,10442460691.833334,2.950246202419864e-4,2,0.3125,73,second 25 %
303.2177,SW,PreFentonGoethite,2753350,8882618607.166666,3.0997053028692967e-4,2,0.3125,74,second 25 %
303.2177,SW,PreFenton,1808635.33333333,8442516687.333333,2.142294057939977e-4,2,0.3125,57,second 25 %
303.2177,HW,PreFentonGoethite,0,10813785976.333332,0,2,0.3125,1,lowest 25%
305.1395,SW,PostFenton,0,8884038661.5,0,1.29411764705882,0.294117647058824,1,lowest 25%
305.1395,SW,PreFentonGoethite,1667494.5,8882618607.166666,1.8772555411245888e-4,1.29411764705882,0.294117647058824,57,second 25 %
305.1395,HW,PreFenton,0,8822958103.333334,0,1.29411764705882,0.294117647058824,1,lowest 25%
305.1395,HW,PreFentonGoethite,0,10813785976.333332,0,1.29411764705882,0.294117647058824,1,lowest 25%
305.1395,HW,PostFenton,0,8918337356.5,0,1.29411764705882,0.294117647058824,1,lowest 25%
305.1395,SW,PreFenton,0,8442516687.333333,0,1.29411764705882,0.294117647058824,1,lowest 25%
305.1395,HW,PostFentonGoethite,0,8295042489.333333,0,1.29411764705882,0.294117647058824,1,lowest 25%
305.1395,SW,PostFentonGoethite,1954551,10442460691.833334,1.871734122522082e-4,1.29411764705882,0.294117647058824,58,second 25 %
305.1606,HW,PostFentonGoethite,0,8295042489.333333,0,1.85714285714286,0.5,1,lowest 25%
305.1606,SW,PreFentonGoethite,0,8882618607.166666,0,1.85714285714286,0.5,1,lowest 25%
305.1606,HW,PreFenton,0,8822958103.333334,0,1.85714285714286,0.5,1,lowest 25%
305.1606,SW,PostFenton,0,8884038661.5,0,1.85714285714286,0.5,1,lowest 25%
305.1606,SW,PostFentonGoethite,1787642,10442460691.833334,1.7118972747467935e-4,1.85714285714286,0.5,54,second 25 %
305.1606,HW,PostFenton,0,8918337356.5,0,1.85714285714286,0.5,1,lowest 25%
305.1606,SW,PreFenton,0,8442516687.333333,0,1.85714285714286,0.5,1,lowest 25%
305.1606,HW,PreFentonGoethite,0,10813785976.333332,0,1.85714285714286,0.5,1,lowest 25%
305.1758,HW,PreFenton,0,8822958103.333334,0,1.44444444444444,0.222222222222222,1,lowest 25%
305.1758,SW,PreFenton,0,8442516687.333333,0,1.44444444444444,0.222222222222222,1,lowest 25%
