"Mass","HC","OC"
381.1766,1.88,0.62
357.2143,1.88,0.31
373.2093,1.88,0.38
389.2042,1.88,0.44
328.2242,1.94,0.25
344.2191,1.94,0.31
376.1912,1.94,0.31
337.2054,2.12,0.31
353.2003,2.12,0.38
371.0045,0.47,0.59
386.9994,0.47,0.65
402.9943,0.47,0.71
341.0303,0.59,0.47
357.0252,0.59,0.53
373.0201,0.59,0.59
389.015,0.59,0.65
405.0099,0.59,0.71
327.051,0.71,0.41
343.0459,0.71,0.47
359.0409,0.71,0.53
375.0358,0.71,0.59
391.0307,0.71,0.65
407.0256,0.71,0.71
423.0205,0.71,0.76
329.0667,0.82,0.41
345.0616,0.82,0.47
361.0565,0.82,0.53
377.0514,0.82,0.59
393.0463,0.82,0.65
409.0412,0.82,0.71
425.0362,0.82,0.76
441.0311,0.82,0.82
360.0725,0.88,0.47
376.0674,0.88,0.53
392.0623,0.88,0.59
331.0823,0.94,0.41
347.0772,0.94,0.47
363.0722,0.94,0.53
379.0671,0.94,0.59
395.062,0.94,0.65
411.0569,0.94,0.71
427.0518,0.94,0.76
362.0881,1,0.47
378.0831,1,0.53
394.078,1,0.59
410.0729,1,0.65
333.098,1.06,0.41
349.0929,1.06,0.47
365.0878,1.06,0.53
381.0827,1.06,0.59
397.0776,1.06,0.65
413.0725,1.06,0.71
429.0675,1.06,0.76
364.1038,1.12,0.47
380.0987,1.12,0.53
396.0936,1.12,0.59
319.1187,1.18,0.35
335.1136,1.18,0.41
351.1085,1.18,0.47
367.1035,1.18,0.53
383.0984,1.18,0.59
399.0933,1.18,0.65
415.0882,1.18,0.71
431.0831,1.18,0.76
395.1096,1.18,0.53
366.1194,1.24,0.47
398.1093,1.24,0.59
414.1042,1.24,0.65
378.1307,1.24,0.41
321.1344,1.29,0.35
337.1293,1.29,0.41
353.1242,1.29,0.47
369.1191,1.29,0.53
385.114,1.29,0.59
401.1089,1.29,0.65
417.1038,1.29,0.71
433.0988,1.29,0.76
349.1405,1.29,0.35
384.13,1.35,0.53
380.1463,1.35,0.41
396.1412,1.35,0.47
323.15,1.41,0.35
339.1449,1.41,0.41
355.1398,1.41,0.47
371.1348,1.41,0.53
387.1297,1.41,0.59
403.1246,1.41,0.65
419.1195,1.41,0.71
435.1144,1.41,0.76
395.1572,1.41,0.41
334.1772,1.47,0.24
350.1721,1.47,0.29
366.1671,1.47,0.35
382.162,1.47,0.41
398.1569,1.47,0.47
309.1707,1.53,0.29
325.1657,1.53,0.35
341.1606,1.53,0.41
357.1555,1.53,0.47
373.1504,1.53,0.53
389.1453,1.53,0.59
405.1402,1.53,0.65
421.1351,1.53,0.71
437.1301,1.53,0.76
453.125,1.53,0.82
469.1199,1.53,0.88
397.1729,1.53,0.41
413.1678,1.53,0.47
465.128,1.59,0.65
368.1827,1.59,0.35
384.1776,1.59,0.41
400.1725,1.59,0.47
416.1675,1.59,0.53
412.1838,1.59,0.41
508.1355,1.59,0.65
311.1686,1.65,0.18
327.1813,1.65,0.35
343.1762,1.65,0.41
359.1711,1.65,0.47
375.1661,1.65,0.53
391.161,1.65,0.59
423.1508,1.65,0.71
439.1457,1.65,0.76
455.1406,1.65,0.82
471.1355,1.65,0.88
383.1936,1.65,0.35
399.1885,1.65,0.41
415.1834,1.65,0.47
354.2034,1.71,0.29
370.1984,1.71,0.35
386.1933,1.71,0.41
402.1882,1.71,0.47
430.1943,1.71,0.47
329.197,1.76,0.35
345.1919,1.76,0.41
361.1868,1.76,0.47
377.1817,1.76,0.53
393.1766,1.76,0.59
441.1614,1.76,0.76
457.1563,1.76,0.82
369.2143,1.76,0.29
385.2093,1.76,0.35
401.2042,1.76,0.41
417.1991,1.76,0.47
340.2242,1.82,0.24
372.214,1.82,0.35
400.2202,1.82,0.35
416.2151,1.82,0.41
331.2126,1.88,0.35
347.2075,1.88,0.41
395.1923,1.88,0.59
371.23,1.88,0.29
387.2249,1.88,0.35
403.2198,1.88,0.41
342.2398,1.94,0.24
383.0045,0.44,0.56
398.9994,0.44,0.61
353.0303,0.56,0.44
369.0252,0.56,0.5
385.0201,0.56,0.56
401.015,0.56,0.61
417.0099,0.56,0.67
433.0049,0.56,0.72
339.051,0.67,0.39
355.0459,0.67,0.44
371.0409,0.67,0.5
387.0358,0.67,0.56
403.0307,0.67,0.61
419.0256,0.67,0.67
435.0205,0.67,0.72
451.0154,0.67,0.78
386.0518,0.72,0.5
402.0467,0.72,0.56
341.0667,0.78,0.39
357.0616,0.78,0.44
373.0565,0.78,0.5
389.0514,0.78,0.56
405.0463,0.78,0.61
421.0412,0.78,0.67
437.0362,0.78,0.72
453.0311,0.78,0.78
372.0725,0.83,0.44
388.0674,0.83,0.5
404.0623,0.83,0.56
327.0874,0.89,0.33
343.0823,0.89,0.39
359.0772,0.89,0.44
375.0722,0.89,0.5
391.0671,0.89,0.56
407.062,0.89,0.61
423.0569,0.89,0.67
439.0518,0.89,0.72
455.0467,0.89,0.78
374.0881,0.94,0.44
390.0831,0.94,0.5
406.078,0.94,0.56
329.1031,1,0.33
345.098,1,0.39
361.0929,1,0.44
377.0878,1,0.5
393.0827,1,0.56
409.0776,1,0.61
425.0725,1,0.67
441.0675,1,0.72
457.0624,1,0.78
376.1038,1.06,0.44
392.0987,1.06,0.5
408.0936,1.06,0.56
424.0885,1.06,0.61
331.1187,1.11,0.33
347.1136,1.11,0.39
363.1085,1.11,0.44
379.1035,1.11,0.5
395.0984,1.11,0.56
411.0933,1.11,0.61
427.0882,1.11,0.67
443.0831,1.11,0.72
459.078,1.11,0.78
394.1144,1.17,0.5
410.1093,1.17,0.56
317.1394,1.22,0.28
333.1344,1.22,0.33
349.1293,1.22,0.39
365.1242,1.22,0.44
381.1191,1.22,0.5
397.114,1.22,0.56
413.1089,1.22,0.61
429.1038,1.22,0.67
445.0988,1.22,0.72
461.0937,1.22,0.78
377.1354,1.22,0.39
376.1514,1.28,0.33
392.1463,1.28,0.39
335.15,1.33,0.33
351.1449,1.33,0.39
367.1398,1.33,0.44
383.1348,1.33,0.5
399.1297,1.33,0.56
415.1246,1.33,0.61
431.1195,1.33,0.67
447.1144,1.33,0.72
463.1093,1.33,0.78
363.1562,1.33,0.33
378.1671,1.39,0.33
394.162,1.39,0.39
321.1707,1.44,0.28
337.1657,1.44,0.33
353.1606,1.44,0.39
369.1555,1.44,0.44
385.1504,1.44,0.5
401.1453,1.44,0.56
417.1402,1.44,0.61
433.1351,1.44,0.67
449.1301,1.44,0.72
465.125,1.44,0.78
497.1148,1.44,0.89
364.1878,1.5,0.28
380.1827,1.5,0.33
412.1725,1.5,0.44
323.1864,1.56,0.28
339.1813,1.56,0.33
355.1762,1.56,0.39
371.1711,1.56,0.44
387.1661,1.56,0.5
403.161,1.56,0.56
419.1559,1.56,0.61
467.1406,1.56,0.78
483.1355,1.56,0.83
499.1305,1.56,0.89
411.1885,1.56,0.39
427.1834,1.56,0.44
382.1984,1.61,0.33
398.1933,1.61,0.39
414.1882,1.61,0.44
430.1831,1.61,0.5
442.1943,1.61,0.44
325.1843,1.67,0.17
325.202,1.67,0.28
341.197,1.67,0.33
357.1919,1.67,0.39
373.1868,1.67,0.44
389.1817,1.67,0.5
405.1766,1.67,0.56
437.1664,1.67,0.67
453.1614,1.67,0.72
469.1563,1.67,0.78
485.1512,1.67,0.83
501.1461,1.67,0.89
517.141,1.67,0.94
397.2093,1.67,0.33
413.2042,1.67,0.39
429.1991,1.67,0.44
384.214,1.72,0.33
400.2089,1.72,0.39
412.2202,1.72,0.33
428.2151,1.72,0.39
444.21,1.72,0.44
327.2177,1.78,0.28
343.2126,1.78,0.33
359.2075,1.78,0.39
375.2024,1.78,0.44
391.1974,1.78,0.5
407.1923,1.78,0.56
423.1872,1.78,0.61
455.177,1.78,0.72
471.1719,1.78,0.78
503.1618,1.78,0.89
383.23,1.78,0.28
399.2249,1.78,0.33
415.2198,1.78,0.39
431.2147,1.78,0.44
414.2358,1.83,0.33
430.2307,1.83,0.39
329.2333,1.89,0.28
345.2283,1.89,0.33
361.2232,1.89,0.39
377.2181,1.89,0.44
393.213,1.89,0.5
385.2456,1.89,0.28
401.2406,1.89,0.33
417.2355,1.89,0.39
356.2555,1.94,0.22
283.2643,2,0.11
331.249,2,0.28
347.2439,2,0.33
363.2388,2,0.39
379.2337,2,0.44
411.2058,2,0.44
381.2316,2.11,0.33
397.2265,2.11,0.39
365.0303,0.53,0.42
381.0252,0.53,0.47
397.0201,0.53,0.53
413.015,0.53,0.58
429.0099,0.53,0.63
367.0459,0.63,0.42
383.0409,0.63,0.47
399.0358,0.63,0.53
415.0307,0.63,0.58
431.0256,0.63,0.63
447.0205,0.63,0.68
353.0667,0.74,0.37
369.0616,0.74,0.42
385.0565,0.74,0.47
401.0514,0.74,0.53
417.0463,0.74,0.58
433.0412,0.74,0.63
449.0362,0.74,0.68
465.0311,0.74,0.74
400.0674,0.79,0.47
355.0823,0.84,0.37
371.0772,0.84,0.42
387.0722,0.84,0.47
403.0671,0.84,0.53
419.062,0.84,0.58
435.0569,0.84,0.63
451.0518,0.84,0.68
467.0467,0.84,0.74
386.0881,0.89,0.42
402.0831,0.89,0.47
418.078,0.89,0.53
341.1031,0.95,0.32
357.098,0.95,0.37
373.0929,0.95,0.42
389.0878,0.95,0.47
405.0827,0.95,0.53
421.0776,0.95,0.58
437.0725,0.95,0.63
453.0675,0.95,0.68
469.0624,0.95,0.74
485.0573,0.95,0.79
388.1038,1,0.42
404.0987,1,0.47
420.0936,1,0.53
343.1187,1.05,0.32
359.1136,1.05,0.37
375.1085,1.05,0.42
391.1035,1.05,0.47
407.0984,1.05,0.53
423.0933,1.05,0.58
439.0882,1.05,0.63
455.0831,1.05,0.68
471.078,1.05,0.74
487.0729,1.05,0.79
390.1194,1.11,0.42
406.1144,1.11,0.47
422.1093,1.11,0.53
329.1394,1.16,0.26
345.1344,1.16,0.32
361.1293,1.16,0.37
377.1242,1.16,0.42
393.1191,1.16,0.47
409.114,1.16,0.53
425.1089,1.16,0.58
441.1038,1.16,0.63
457.0988,1.16,0.68
473.0937,1.16,0.74
331.1551,1.26,0.26
347.15,1.26,0.32
363.1449,1.26,0.37
379.1398,1.26,0.42
395.1348,1.26,0.47
411.1297,1.26,0.53
427.1246,1.26,0.58
443.1195,1.26,0.63
459.1144,1.26,0.68
374.1721,1.32,0.26
390.1671,1.32,0.32
406.162,1.32,0.37
333.1707,1.37,0.26
349.1657,1.37,0.32
365.1606,1.37,0.37
381.1555,1.37,0.42
397.1504,1.37,0.47
413.1453,1.37,0.53
429.1402,1.37,0.58
445.1351,1.37,0.63
461.1301,1.37,0.68
477.125,1.37,0.74
392.1827,1.42,0.32
408.1776,1.42,0.37
335.1864,1.47,0.26
351.1813,1.47,0.32
367.1762,1.47,0.37
383.1711,1.47,0.42
399.1661,1.47,0.47
415.161,1.47,0.53
431.1559,1.47,0.58
447.1508,1.47,0.63
378.2034,1.53,0.26
394.1984,1.53,0.32
474.1729,1.53,0.58
353.197,1.58,0.32
369.1919,1.58,0.37
385.1868,1.58,0.42
401.1817,1.58,0.47
417.1766,1.58,0.53
497.1512,1.58,0.79
513.1461,1.58,0.84
477.1726,1.58,0.63
425.2042,1.58,0.37
441.1991,1.58,0.42
396.214,1.63,0.32
492.1835,1.63,0.63
508.1784,1.63,0.68
456.21,1.63,0.42
339.1999,1.68,0.16
355.2126,1.68,0.32
371.2075,1.68,0.37
387.2024,1.68,0.42
403.1974,1.68,0.47
483.1719,1.68,0.74
499.1668,1.68,0.79
515.1618,1.68,0.84
411.2249,1.68,0.32
427.2198,1.68,0.37
443.2147,1.68,0.42
442.2307,1.74,0.37
458.2256,1.74,0.42
357.2283,1.79,0.32
373.2232,1.79,0.37
389.2181,1.79,0.42
405.213,1.79,0.47
485.1876,1.79,0.74
397.2456,1.79,0.26
413.2406,1.79,0.32
429.2355,1.79,0.37
445.2304,1.79,0.42
428.2515,1.84,0.32
444.2464,1.84,0.37
359.2439,1.89,0.32
375.2388,1.89,0.37
391.2337,1.89,0.42
399.2613,1.89,0.26
415.2562,1.89,0.32
431.2511,1.89,0.37
395.2473,2.11,0.32
393.0252,0.5,0.45
409.0201,0.5,0.5
425.015,0.5,0.55
441.0099,0.5,0.6
363.051,0.6,0.35
379.0459,0.6,0.4
395.0409,0.6,0.45
411.0358,0.6,0.5
427.0307,0.6,0.55
443.0256,0.6,0.6
459.0205,0.6,0.65
365.0667,0.7,0.35
381.0616,0.7,0.4
397.0565,0.7,0.45
413.0514,0.7,0.5
429.0463,0.7,0.55
445.0412,0.7,0.6
461.0362,0.7,0.65
477.0311,0.7,0.7
367.0823,0.8,0.35
383.0772,0.8,0.4
399.0722,0.8,0.45
415.0671,0.8,0.5
431.062,0.8,0.55
447.0569,0.8,0.6
463.0518,0.8,0.65
479.0467,0.8,0.7
495.0416,0.8,0.75
414.0831,0.85,0.45
353.1031,0.9,0.3
369.098,0.9,0.35
385.0929,0.9,0.4
401.0878,0.9,0.45
417.0827,0.9,0.5
433.0776,0.9,0.55
449.0725,0.9,0.6
465.0675,0.9,0.65
481.0624,0.9,0.7
497.0573,0.9,0.75
448.0885,0.95,0.55
355.1187,1,0.3
371.1136,1,0.35
387.1085,1,0.4
403.1035,1,0.45
419.0984,1,0.5
435.0933,1,0.55
451.0882,1,0.6
467.0831,1,0.65
483.078,1,0.7
499.0729,1,0.75
434.1093,1.05,0.5
357.1344,1.1,0.3
373.1293,1.1,0.35
389.1242,1.1,0.4
405.1191,1.1,0.45
421.114,1.1,0.5
437.1089,1.1,0.55
453.1038,1.1,0.6
469.0988,1.1,0.65
485.0937,1.1,0.7
343.1551,1.2,0.25
359.15,1.2,0.3
375.1449,1.2,0.35
391.1398,1.2,0.4
407.1348,1.2,0.45
423.1297,1.2,0.5
439.1246,1.2,0.55
455.1195,1.2,0.6
471.1144,1.2,0.65
487.1093,1.2,0.7
486.1253,1.25,0.65
345.1707,1.3,0.25
361.1657,1.3,0.3
377.1606,1.3,0.35
393.1555,1.3,0.4
409.1504,1.3,0.45
425.1453,1.3,0.5
441.1402,1.3,0.55
457.1351,1.3,0.6
473.1301,1.3,0.65
388.1878,1.35,0.25
404.1827,1.35,0.3
347.1864,1.4,0.25
363.1813,1.4,0.3
379.1762,1.4,0.35
395.1711,1.4,0.4
411.1661,1.4,0.45
427.161,1.4,0.5
443.1559,1.4,0.55
459.1508,1.4,0.6
475.1457,1.4,0.65
406.1984,1.45,0.3
349.202,1.5,0.25
365.197,1.5,0.3
381.1919,1.5,0.35
397.1868,1.5,0.4
413.1817,1.5,0.45
429.1766,1.5,0.5
445.1715,1.5,0.55
509.1512,1.5,0.75
525.1461,1.5,0.8
541.141,1.5,0.85
421.2093,1.5,0.3
376.2242,1.55,0.2
351.2177,1.6,0.25
367.2126,1.6,0.3
383.2075,1.6,0.35
399.2024,1.6,0.4
415.1974,1.6,0.45
431.1923,1.6,0.5
495.1719,1.6,0.7
527.1618,1.6,0.8
543.1567,1.6,0.85
559.1516,1.6,0.9
439.2198,1.6,0.35
455.2147,1.6,0.4
470.2256,1.65,0.4
369.2283,1.7,0.3
385.2232,1.7,0.35
401.2181,1.7,0.4
417.213,1.7,0.45
433.2079,1.7,0.5
513.1825,1.7,0.75
545.1723,1.7,0.85
561.1672,1.7,0.9
425.2406,1.7,0.3
441.2355,1.7,0.35
457.2304,1.7,0.4
456.2464,1.75,0.35
472.2413,1.75,0.4
371.2439,1.8,0.3
387.2388,1.8,0.35
403.2337,1.8,0.4
419.2287,1.8,0.45
411.2613,1.8,0.25
427.2562,1.8,0.3
443.2511,1.8,0.35
459.246,1.8,0.4
458.262,1.85,0.35
373.2596,1.9,0.3
389.2545,1.9,0.35
421.2265,1.9,0.35
405.2494,1.9,0.4
413.2769,1.9,0.25
429.2719,1.9,0.3
375.2752,2,0.3
425.2578,2.1,0.35
441.2528,2.1,0.4
391.0459,0.57,0.38
407.0409,0.57,0.43
423.0358,0.57,0.48
439.0307,0.57,0.52
455.0256,0.57,0.57
471.0205,0.57,0.62
377.0667,0.67,0.33
393.0616,0.67,0.38
409.0565,0.67,0.43
425.0514,0.67,0.48
441.0463,0.67,0.52
457.0412,0.67,0.57
473.0362,0.67,0.62
489.0311,0.67,0.67
379.0823,0.76,0.33
395.0772,0.76,0.38
411.0722,0.76,0.43
427.0671,0.76,0.48
443.062,0.76,0.52
459.0569,0.76,0.57
475.0518,0.76,0.62
491.0467,0.76,0.67
507.0416,0.76,0.71
381.098,0.86,0.33
397.0929,0.86,0.38
413.0878,0.86,0.43
429.0827,0.86,0.48
445.0776,0.86,0.52
461.0725,0.86,0.57
477.0675,0.86,0.62
493.0624,0.86,0.67
509.0573,0.86,0.71
428.0987,0.9,0.43
367.1187,0.95,0.29
383.1136,0.95,0.33
399.1085,0.95,0.38
415.1035,0.95,0.43
431.0984,0.95,0.48
447.0933,0.95,0.52
463.0882,0.95,0.57
479.0831,0.95,0.62
495.078,0.95,0.67
511.0729,0.95,0.71
527.0679,0.95,0.76
369.1344,1.05,0.29
385.1293,1.05,0.33
401.1242,1.05,0.38
417.1191,1.05,0.43
433.114,1.05,0.48
449.1089,1.05,0.52
465.1038,1.05,0.57
481.0988,1.05,0.62
497.0937,1.05,0.67
513.0886,1.05,0.71
355.1551,1.14,0.24
371.15,1.14,0.29
387.1449,1.14,0.33
403.1398,1.14,0.38
419.1348,1.14,0.43
435.1297,1.14,0.48
451.1246,1.14,0.52
467.1195,1.14,0.57
483.1144,1.14,0.62
499.1093,1.14,0.67
357.1707,1.24,0.24
373.1657,1.24,0.29
389.1606,1.24,0.33
405.1555,1.24,0.38
421.1504,1.24,0.43
437.1453,1.24,0.48
453.1402,1.24,0.52
469.1351,1.24,0.57
485.1301,1.24,0.62
359.1864,1.33,0.24
375.1813,1.33,0.29
391.1762,1.33,0.33
407.1711,1.33,0.38
423.1661,1.33,0.43
439.161,1.33,0.48
455.1559,1.33,0.52
471.1508,1.33,0.57
487.1457,1.33,0.62
361.202,1.43,0.24
377.197,1.43,0.29
393.1919,1.43,0.33
409.1868,1.43,0.38
425.1817,1.43,0.43
441.1766,1.43,0.48
457.1715,1.43,0.52
473.1664,1.43,0.57
363.2177,1.52,0.24
379.2126,1.52,0.29
395.2075,1.52,0.33
411.2024,1.52,0.38
427.1974,1.52,0.43
443.1923,1.52,0.48
459.1872,1.52,0.52
523.1668,1.52,0.71
435.2249,1.52,0.29
374.2449,1.57,0.14
381.2283,1.62,0.29
397.2232,1.62,0.33
413.2181,1.62,0.38
429.213,1.62,0.43
445.2079,1.62,0.48
461.2028,1.62,0.52
541.1774,1.62,0.76
557.1723,1.62,0.81
589.1622,1.62,0.9
469.2304,1.62,0.38
383.2439,1.71,0.29
399.2388,1.71,0.33
415.2337,1.71,0.38
431.2287,1.71,0.43
447.2236,1.71,0.48
463.2185,1.71,0.52
455.2511,1.71,0.33
486.2569,1.76,0.38
401.2545,1.81,0.33
417.2494,1.81,0.38
433.2443,1.81,0.43
457.2668,1.81,0.33
419.265,1.9,0.38
435.26,1.9,0.43
419.0409,0.55,0.41
405.0616,0.64,0.36
421.0565,0.64,0.41
437.0514,0.64,0.45
453.0463,0.64,0.5
469.0412,0.64,0.55
485.0362,0.64,0.59
501.0311,0.64,0.64
407.0772,0.73,0.36
423.0722,0.73,0.41
439.0671,0.73,0.45
455.062,0.73,0.5
471.0569,0.73,0.55
487.0518,0.73,0.59
503.0467,0.73,0.64
393.098,0.82,0.32
409.0929,0.82,0.36
425.0878,0.82,0.41
441.0827,0.82,0.45
457.0776,0.82,0.5
473.0725,0.82,0.55
489.0675,0.82,0.59
505.0624,0.82,0.64
521.0573,0.82,0.68
395.1136,0.91,0.32
411.1085,0.91,0.36
427.1035,0.91,0.41
443.0984,0.91,0.45
459.0933,0.91,0.5
475.0882,0.91,0.55
491.0831,0.91,0.59
507.078,0.91,0.64
523.0729,0.91,0.68
539.0679,0.91,0.73
397.1293,1,0.32
413.1242,1,0.36
429.1191,1,0.41
445.114,1,0.45
461.1089,1,0.5
477.1038,1,0.55
493.0988,1,0.59
509.0937,1,0.64
525.0886,1,0.68
383.15,1.09,0.27
399.1449,1.09,0.32
415.1398,1.09,0.36
431.1348,1.09,0.41
447.1297,1.09,0.45
463.1246,1.09,0.5
479.1195,1.09,0.55
495.1144,1.09,0.59
511.1093,1.09,0.64
527.1042,1.09,0.68
369.1707,1.18,0.23
385.1657,1.18,0.27
401.1606,1.18,0.32
417.1555,1.18,0.36
433.1504,1.18,0.41
449.1453,1.18,0.45
465.1402,1.18,0.5
481.1351,1.18,0.55
497.1301,1.18,0.59
513.125,1.18,0.64
371.1864,1.27,0.23
387.1813,1.27,0.27
403.1762,1.27,0.32
419.1711,1.27,0.36
435.1661,1.27,0.41
451.161,1.27,0.45
467.1559,1.27,0.5
483.1508,1.27,0.55
499.1457,1.27,0.59
373.202,1.36,0.23
389.197,1.36,0.27
405.1919,1.36,0.32
421.1868,1.36,0.36
437.1817,1.36,0.41
453.1766,1.36,0.45
469.1715,1.36,0.5
485.1664,1.36,0.55
375.2177,1.45,0.23
391.2126,1.45,0.27
407.2075,1.45,0.32
423.2024,1.45,0.36
439.1974,1.45,0.41
455.1923,1.45,0.45
471.1872,1.45,0.5
487.1821,1.45,0.55
