"Forest","Treatment","element","avg"
"HW","PostFenton","C",20
"HW","PostFenton","H",27
"HW","PostFenton","N",2
"HW","PostFenton","O",12
"HW","PostFenton","P",1
"HW","PostFenton","S",1
"HW","PreFenton","C",20
"HW","PreFenton","H",26
"HW","PreFenton","N",3
"HW","PreFenton","O",10
"HW","PreFenton","P",1
"HW","PreFenton","S",1
"SW","PostFenton","C",19
"SW","PostFenton","H",27
"SW","PostFenton","N",2
"SW","PostFenton","O",12
"SW","PostFenton","P",1
"SW","PostFenton","S",1
"SW","PreFenton","C",21
"SW","PreFenton","H",27
"SW","PreFenton","N",3
"SW","PreFenton","O",10
"SW","PreFenton","P",1
"SW","PreFenton","S",1
