Mass,C,H,O,N,S,P,Na
255.233,16,32,2,0,0,0,0
281.1395,15,22,5,0,0,0,0
281.2486,18,34,2,0,0,0,0
283.1551,15,24,5,0,0,0,0
285.1344,14,22,6,0,0,0,0
287.2228,16,32,4,0,0,0,0
293.1758,17,26,4,0,0,0,0
293.1792,14,30,4,0,1,0,0
295.1187,15,20,6,0,0,0,0
295.1551,16,24,5,0,0,0,0
297.0827,10,18,10,0,0,0,0
297.098,14,18,7,0,0,0,0
297.1344,15,22,6,0,0,0,0
297.1708,16,26,5,0,0,0,0
297.2435,18,34,3,0,0,0,0
298.1408,13,21,5,3,0,0,0
299.0772,13,16,8,0,0,0,0
299.1137,14,20,7,0,0,0,0
299.15,15,24,6,0,0,0,0
299.1864,16,28,5,0,0,0,0
299.2016,20,28,2,0,0,0,0
301.1293,14,22,7,0,0,0,0
301.1656,15,26,6,0,0,0,0
301.202,16,30,5,0,0,0,0
303.1086,13,20,8,0,0,0,0
303.1449,14,24,7,0,0,0,0
303.1813,15,28,6,0,0,0,0
303.2177,16,32,5,0,0,0,0
305.1395,17,22,5,0,0,0,0
305.1606,14,26,7,0,0,0,0
305.1758,18,26,4,0,0,0,0
307.1187,16,20,6,0,0,0,0
307.1398,13,24,8,0,0,0,0
307.1551,17,24,5,0,0,0,0
307.1949,15,32,4,0,1,0,0
311.1864,17,28,5,0,0,0,0
311.2228,18,32,4,0,0,0,0
311.2955,20,40,2,0,0,0,0
313.1769,15,26,5,2,0,0,0
313.1809,20,26,3,0,0,0,0
313.2021,17,30,5,0,0,0,0
313.2384,18,34,4,0,0,0,0
314.1358,13,21,6,3,0,0,0
315.1238,18,20,5,0,0,0,0
315.1966,20,28,3,0,0,0,0
315.2177,17,32,5,0,0,0,0
315.2541,18,36,4,0,0,0,0
316.1514,13,23,6,3,0,0,0
317.1759,19,26,4,0,0,0,0
319.0857,13,20,7,0,1,0,0
319.1762,15,28,7,0,0,0,0
319.1915,19,28,4,0,0,0,0
319.2126,16,32,6,0,0,0,0
321.1191,13,22,9,0,0,0,0
321.1555,14,26,8,0,0,0,0
321.2071,19,30,4,0,0,0,0
321.2105,16,34,4,0,1,0,0
322.1408,15,21,5,3,0,0,0
323.117,13,24,7,0,1,0,0
323.1534,14,28,6,0,1,0,0
324.1565,15,23,5,3,0,0,0
325.0963,12,22,8,0,1,0,0
325.1479,17,26,4,0,1,0,0
325.1691,14,30,6,0,1,0,0
326.1357,14,21,6,3,0,0,0
327.1238,19,20,5,0,0,0,0
327.1562,15,24,6,2,0,0,0
327.1601,20,24,4,0,0,0,0
327.1925,16,28,5,2,0,0,0
329.1718,15,26,6,2,0,0,0
332.1252,16,19,5,3,0,0,0
333.2071,20,30,4,0,0,0,0
333.2283,17,34,6,0,0,0,0
335.117,14,24,7,0,1,0,0
335.1898,16,32,5,0,1,0,0
335.2075,16,32,7,0,0,0,0
335.2228,20,32,4,0,0,0,0
336.1565,16,23,5,3,0,0,0
337.0963,13,22,8,0,1,0,0
337.1504,14,26,9,0,0,0,0
337.169,15,30,6,0,1,0,0
337.2385,20,34,4,0,0,0,0
338.1092,12,21,10,1,0,0,0
338.1357,15,21,6,3,0,0,0
339.1119,13,24,8,0,1,0,0
339.1483,14,28,7,0,1,0,0
339.1636,18,28,4,0,1,0,0
339.1661,14,28,9,0,0,0,0
339.1847,15,32,6,0,1,0,0
339.2541,20,36,4,0,0,0,0
341.1276,13,26,8,0,1,0,0
341.1354,15,22,7,2,0,0,0
341.176,21,26,4,0,0,0,0
341.2334,19,34,5,0,0,0,0
341.2697,20,38,4,0,0,0,0
342.2035,16,29,5,3,0,0,0
343.1585,17,28,5,0,1,0,0
343.1915,21,28,4,0,0,0,0
343.249,19,36,5,0,0,0,0
345.1093,17,18,6,2,0,0,0
346.1984,15,29,6,3,0,0,0
347.117,15,24,7,0,1,0,0
