"","Forest","Treatment","Mass","intensity"
"1","HW","PostFenton",283.2643,4445489
"2","HW","PostFenton",297.153,2060882.66666667
"3","HW","PostFenton",303.0722,1395955.66666667
"4","HW","PostFenton",307.0671,1906654
"5","HW","PostFenton",309.0616,1657396.66666667
"6","HW","PostFenton",309.0827,2048738
"7","HW","PostFenton",309.098,1699556
"8","HW","PostFenton",309.1707,2068461.66666667
"9","HW","PostFenton",309.1741,2368920.66666667
"10","HW","PostFenton",311.0772,2017431.33333333
"11","HW","PostFenton",311.1136,2487025.33333333
"12","HW","PostFenton",311.15,1643681.66666667
"13","HW","PostFenton",311.1686,14697806.3333333
"14","HW","PostFenton",313.0565,2168916.33333333
"15","HW","PostFenton",313.0929,2758062.66666667
"16","HW","PostFenton",313.1293,2762334.66666667
"17","HW","PostFenton",315.0722,2705525.66666667
"18","HW","PostFenton",315.1085,2628304.33333333
"19","HW","PostFenton",315.1449,2057941.66666667
"20","HW","PostFenton",317.0878,2547789
"21","HW","PostFenton",317.1242,1995175.33333333
"22","HW","PostFenton",319.0671,3488980.33333333
"23","HW","PostFenton",319.1035,1862021
"24","HW","PostFenton",319.1187,1684701
"25","HW","PostFenton",321.0463,2225597.33333333
"26","HW","PostFenton",321.0616,2201962
"27","HW","PostFenton",321.0827,7048302
"28","HW","PostFenton",321.098,2661318
"29","HW","PostFenton",321.1344,2407883.66666667
"30","HW","PostFenton",323.0409,2118239.33333333
"31","HW","PostFenton",323.062,5064461.66666667
"32","HW","PostFenton",323.0772,2999653.33333333
"33","HW","PostFenton",323.0984,5629716
"34","HW","PostFenton",323.1136,3504236
"35","HW","PostFenton",323.15,2442012.66666667
"36","HW","PostFenton",325.0201,1929057
"37","HW","PostFenton",325.0565,3113575.33333333
"38","HW","PostFenton",325.0776,5397781.66666667
"39","HW","PostFenton",325.0929,4236568.66666667
"40","HW","PostFenton",325.114,3223836.33333333
"41","HW","PostFenton",325.1293,4416457.66666667
"42","HW","PostFenton",325.1657,2010149.66666667
"43","HW","PostFenton",325.1843,23409107.6666667
"44","HW","PostFenton",327.0358,2386721.33333333
"45","HW","PostFenton",327.0722,4271400
"46","HW","PostFenton",327.0933,4794668
"47","HW","PostFenton",327.1085,5957423
"48","HW","PostFenton",327.1449,4473824
"49","HW","PostFenton",328.1514,2200987.33333333
"50","HW","PostFenton",329.0514,3649349.33333333
"51","HW","PostFenton",329.0878,4911265.66666667
"52","HW","PostFenton",329.1242,5205160.66666667
"53","HW","PostFenton",329.1606,4228101
"54","HW","PostFenton",330.1307,1630485.66666667
"55","HW","PostFenton",330.1671,2207772.66666667
"56","HW","PostFenton",331.0307,1515547.66666667
"57","HW","PostFenton",331.0459,1742622.66666667
"58","HW","PostFenton",331.0671,3952504.33333333
"59","HW","PostFenton",331.0823,1674107.33333333
"60","HW","PostFenton",331.1035,4231551.66666667
"61","HW","PostFenton",331.1187,1822168
"62","HW","PostFenton",331.1398,4171996.33333333
"63","HW","PostFenton",331.1551,1814495
"64","HW","PostFenton",331.1762,2594190
"65","HW","PostFenton",333.0252,1491631
"66","HW","PostFenton",333.0463,2630749.66666667
"67","HW","PostFenton",333.0616,2548491.66666667
"68","HW","PostFenton",333.0827,3563791.66666667
"69","HW","PostFenton",333.098,2655848.33333333
"70","HW","PostFenton",333.1191,2966124.66666667
"71","HW","PostFenton",333.1344,2928410.66666667
"72","HW","PostFenton",333.1555,2133962
"73","HW","PostFenton",335.0409,2764800.66666667
"74","HW","PostFenton",335.062,6302725.33333333
"75","HW","PostFenton",335.0772,3268275
"76","HW","PostFenton",335.0984,4100279.66666667
"77","HW","PostFenton",335.1136,4071952.33333333
"78","HW","PostFenton",335.1348,1821290.33333333
"79","HW","PostFenton",335.15,3173741.33333333
"80","HW","PostFenton",336.0936,1879780.33333333
"81","HW","PostFenton",336.3272,12358935.3333333
"82","HW","PostFenton",337.0201,2242224.33333333
"83","HW","PostFenton",337.0565,4062990
"84","HW","PostFenton",337.0776,13697128
"85","HW","PostFenton",337.0929,4950464.66666667
"86","HW","PostFenton",337.114,4129904
"87","HW","PostFenton",337.1293,5711304.66666667
"88","HW","PostFenton",337.1657,2872955.33333333
"89","HW","PostFenton",337.2054,4704388.66666667
"90","HW","PostFenton",339.0358,3772963.66666667
"91","HW","PostFenton",339.0569,2872531.33333333
"92","HW","PostFenton",339.0722,5561217.33333333
"93","HW","PostFenton",339.0933,18240731.6666667
"94","HW","PostFenton",339.1085,7229322
"95","HW","PostFenton",339.1297,3007545.33333333
"96","HW","PostFenton",339.1449,5704594.33333333
"97","HW","PostFenton",339.1602,1698539
"98","HW","PostFenton",339.1813,2452890.66666667
"99","HW","PostFenton",339.1999,7219444
"100","HW","PostFenton",339.3269,2407697.66666667
"101","HW","PostFenton",340.1514,1538258.66666667
"102","HW","PostFenton",341.0514,5432659.33333333
"103","HW","PostFenton",341.0725,2767533.66666667
"104","HW","PostFenton",341.0878,7135921.33333333
"105","HW","PostFenton",341.1089,7040011.66666667
"106","HW","PostFenton",341.1242,8202597
"107","HW","PostFenton",341.1606,5096130.66666667
"108","HW","PostFenton",341.197,1786913
"109","HW","PostFenton",342.1307,2941187.66666667
"110","HW","PostFenton",342.1671,2454626
"111","HW","PostFenton",343.0307,2777910.66666667
"112","HW","PostFenton",343.0671,6768789.33333333
"113","HW","PostFenton",343.0823,1445443.66666667
"114","HW","PostFenton",343.1035,8029001
"115","HW","PostFenton",343.1147,1854966.66666667
"116","HW","PostFenton",343.1398,8245074
"117","HW","PostFenton",343.1762,3518299.33333333
"118","HW","PostFenton",343.2126,1868388.33333333
"119","HW","PostFenton",344.1099,1584881
"120","HW","PostFenton",344.1463,2458191.33333333
"121","HW","PostFenton",344.1827,4033283.33333333
"122","HW","PostFenton",345.0252,1613531.33333333
"123","HW","PostFenton",345.0463,4011147.33333333
"124","HW","PostFenton",345.0616,2372410
"125","HW","PostFenton",345.0827,6097215.33333333
"126","HW","PostFenton",345.098,2555373.66666667
"127","HW","PostFenton",345.1191,6896627.33333333
"128","HW","PostFenton",345.1303,2484555.66666667
"129","HW","PostFenton",345.1344,2931703.33333333
"130","HW","PostFenton",345.1555,6054909
"131","HW","PostFenton",345.1707,2170966.33333333
"132","HW","PostFenton",345.1919,1523249
"133","HW","PostFenton",346.162,2823086.33333333
"134","HW","PostFenton",347.0409,2738669.33333333
"135","HW","PostFenton",347.062,3709256.33333333
"136","HW","PostFenton",347.0772,3111073.66666667
"137","HW","PostFenton",347.0984,4875772.66666667
"138","HW","PostFenton",347.1096,1713664
"139","HW","PostFenton",347.1136,3709270.33333333
"140","HW","PostFenton",347.1348,4707164
"141","HW","PostFenton",347.15,3944800
"142","HW","PostFenton",347.1711,3005627
"143","HW","PostFenton",349.0201,2579549.33333333
"144","HW","PostFenton",349.0565,4015122.66666667
"145","HW","PostFenton",349.0776,5949464.33333333
"146","HW","PostFenton",349.0929,5058929.66666667
"147","HW","PostFenton",349.114,4302199.66666667
"148","HW","PostFenton",349.1293,6349521.33333333
"149","HW","PostFenton",349.1504,2344492.66666667
"150","HW","PostFenton",349.1657,4124891
"151","HW","PostFenton",350.1093,2267277.66666667
"152","HW","PostFenton",351.0358,4982334
"153","HW","PostFenton",351.0569,9081753.33333333
"154","HW","PostFenton",351.0722,6275315
"155","HW","PostFenton",351.0933,11251278.3333333
"156","HW","PostFenton",351.1085,8377256.33333333
"157","HW","PostFenton",351.1297,4388440.66666667
"158","HW","PostFenton",351.1449,7660125
"159","HW","PostFenton",351.1813,3070567.66666667
"160","HW","PostFenton",351.2211,2569843
"161","HW","PostFenton",352.0885,2200257
"162","HW","PostFenton",353.015,3296717.66666667
"163","HW","PostFenton",353.0514,6986541.33333333
"164","HW","PostFenton",353.0725,19267038
"165","HW","PostFenton",353.0878,8992909
"166","HW","PostFenton",353.1089,8703465
"167","HW","PostFenton",353.1242,10672962.3333333
"168","HW","PostFenton",353.1453,2771614.33333333
"169","HW","PostFenton",353.1606,7314594.66666667
"170","HW","PostFenton",353.197,2322946.33333333
"171","HW","PostFenton",353.2003,11547480.6666667
"172","HW","PostFenton",353.3425,2239789
"173","HW","PostFenton",354.0831,1576198.33333333
"174","HW","PostFenton",354.1307,2322879
"175","HW","PostFenton",354.1671,1800223
"176","HW","PostFenton",355.0307,4792350.33333333
"177","HW","PostFenton",355.0671,9366910.33333333
"178","HW","PostFenton",355.0882,26649989
"179","HW","PostFenton",355.1035,11453833.6666667
"180","HW","PostFenton",355.1246,4602256
"181","HW","PostFenton",355.1398,10771860.3333333
"182","HW","PostFenton",355.1551,1733443.33333333
"183","HW","PostFenton",355.1623,2390598
"184","HW","PostFenton",355.1762,5946783.33333333
"185","HW","PostFenton",356.0987,1655048
"186","HW","PostFenton",356.1099,2031115
"187","HW","PostFenton",356.1463,4498454.33333333
"188","HW","PostFenton",356.1827,2565836
"189","HW","PostFenton",357.0463,6872698.33333333
"190","HW","PostFenton",357.0616,2210601.33333333
"191","HW","PostFenton",357.0827,9891802.66666667
"192","HW","PostFenton",357.098,1942495.33333333
"193","HW","PostFenton",357.1038,31617675.6666667
"194","HW","PostFenton",357.1191,11832635
"195","HW","PostFenton",357.1303,1771156
"196","HW","PostFenton",357.1344,2248511.66666667
"197","HW","PostFenton",357.1416,2014529.66666667
"198","HW","PostFenton",357.1555,9736176.66666667
"199","HW","PostFenton",357.1707,1687114.66666667
"200","HW","PostFenton",357.1919,4297041
"201","HW","PostFenton",357.2143,1931949.33333333
"202","HW","PostFenton",358.1256,3096172.33333333
"203","HW","PostFenton",358.162,4174284.33333333
"204","HW","PostFenton",358.1984,4856791.66666667
"205","HW","PostFenton",359.0256,2256766.66666667
"206","HW","PostFenton",359.0409,2626093.66666667
"207","HW","PostFenton",359.062,8242399
"208","HW","PostFenton",359.0772,2674403.66666667
"209","HW","PostFenton",359.0984,9217940.66666667
"210","HW","PostFenton",359.1096,2103362.66666667
"211","HW","PostFenton",359.1136,3550446.66666667
"212","HW","PostFenton",359.1348,10889802.3333333
"213","HW","PostFenton",359.146,1684301.66666667
"214","HW","PostFenton",359.15,3683919
"215","HW","PostFenton",359.1572,1945254.66666667
"216","HW","PostFenton",359.1711,6661034.66666667
"217","HW","PostFenton",359.2075,2758070
"218","HW","PostFenton",360.0936,2125168
"219","HW","PostFenton",360.1412,3431294.66666667
"220","HW","PostFenton",360.1776,3776906
"221","HW","PostFenton",361.0201,2485048.33333333
"222","HW","PostFenton",361.0412,2861033
"223","HW","PostFenton",361.0565,3866264.66666667
"224","HW","PostFenton",361.0776,6913866
"225","HW","PostFenton",361.0929,4947790.66666667
"226","HW","PostFenton",361.114,7412565
"227","HW","PostFenton",361.1253,2912429.66666667
"228","HW","PostFenton",361.1293,5934596.33333333
"229","HW","PostFenton",361.1504,8735925.66666667
"230","HW","PostFenton",361.1657,4497253
"231","HW","PostFenton",361.1868,2680171.33333333
"232","HW","PostFenton",362.1093,2935944.33333333
"233","HW","PostFenton",362.1933,2060109
"234","HW","PostFenton",363.0358,4532988.33333333
"235","HW","PostFenton",363.0569,4175277.66666667
"236","HW","PostFenton",363.0722,6144093
"237","HW","PostFenton",363.0933,9572110.33333333
"238","HW","PostFenton",363.1085,8185619
"239","HW","PostFenton",363.1297,5622895
"240","HW","PostFenton",363.1449,8353566.33333333
"241","HW","PostFenton",363.1661,4014543.66666667
"242","HW","PostFenton",363.1813,4623828.33333333
"243","HW","PostFenton",363.2211,2540427
"244","HW","PostFenton",364.0885,2790467
"245","HW","PostFenton",364.1249,3093582.33333333
"246","HW","PostFenton",365.015,3311458.66666667
"247","HW","PostFenton",365.0514,7064600.33333333
"248","HW","PostFenton",365.0725,11474633.6666667
"249","HW","PostFenton",365.0878,9335161.33333333
"250","HW","PostFenton",365.1089,8814975.66666667
"251","HW","PostFenton",365.1242,12140932.3333333
"252","HW","PostFenton",365.1453,4484149.66666667
"253","HW","PostFenton",365.1606,8884623.66666667
"254","HW","PostFenton",365.197,3641413.66666667
"255","HW","PostFenton",365.2367,2220882
"256","HW","PostFenton",366.1042,4168885
"257","HW","PostFenton",367.0307,6925609.66666667
"258","HW","PostFenton",367.0518,4234714.66666667
"259","HW","PostFenton",367.0671,10176138
"260","HW","PostFenton",367.0882,17867067.3333333
"261","HW","PostFenton",367.1035,13300715
"262","HW","PostFenton",367.1246,9718769.33333333
"263","HW","PostFenton",367.1398,14558198
"264","HW","PostFenton",367.161,2098684.66666667
"265","HW","PostFenton",367.1762,7089836
"266","HW","PostFenton",367.2126,1907724.66666667
"267","HW","PostFenton",367.3582,8756281.66666667
"268","HW","PostFenton",368.0623,1736126.66666667
"269","HW","PostFenton",368.0987,2023711.33333333
"270","HW","PostFenton",368.1198,2708176.33333333
"271","HW","PostFenton",368.1463,2342360.66666667
"272","HW","PostFenton",369.0099,2435470.33333333
"273","HW","PostFenton",369.0463,10182212
"274","HW","PostFenton",369.0616,1860680.66666667
"275","HW","PostFenton",369.0675,10160373.3333333
"276","HW","PostFenton",369.0827,13584634
"277","HW","PostFenton",369.094,1783037.33333333
"278","HW","PostFenton",369.098,1765374.66666667
"279","HW","PostFenton",369.1038,19449430
"280","HW","PostFenton",369.1191,16791813
"281","HW","PostFenton",369.1344,1816159
"282","HW","PostFenton",369.1402,3491083.66666667
"283","HW","PostFenton",369.1416,2307852
"284","HW","PostFenton",369.1555,13339579
"285","HW","PostFenton",369.178,2718658.33333333
"286","HW","PostFenton",369.1919,5470833
"287","HW","PostFenton",369.301,2226749.33333333
"288","HW","PostFenton",370.078,2091905.66666667
"289","HW","PostFenton",370.1144,1761677.33333333
"290","HW","PostFenton",370.1256,3551974
"291","HW","PostFenton",370.162,4551580
"292","HW","PostFenton",371.0256,4293797
"293","HW","PostFenton",371.0409,2043647
"294","HW","PostFenton",371.062,11710640
"295","HW","PostFenton",371.0772,2231647.66666667
"296","HW","PostFenton",371.0831,7499958.66666667
"297","HW","PostFenton",371.0984,14216037.6666667
"298","HW","PostFenton",371.1096,2134889.33333333
"299","HW","PostFenton",371.1136,2462570.66666667
"300","HW","PostFenton",371.1195,6984556.33333333
"301","HW","PostFenton",371.1348,14437916
"302","HW","PostFenton",371.15,2761589.66666667
"303","HW","PostFenton",371.1572,3177848
"304","HW","PostFenton",371.1711,10795217.6666667
"305","HW","PostFenton",371.1936,2758019
"306","HW","PostFenton",371.2075,3726044.33333333
"307","HW","PostFenton",372.0936,2178453.66666667
"308","HW","PostFenton",372.1049,2365252
"309","HW","PostFenton",372.1412,4461049.66666667
"310","HW","PostFenton",372.1776,5553327.33333333
"311","HW","PostFenton",372.214,2529722.33333333
"312","HW","PostFenton",373.0201,2032047
"313","HW","PostFenton",373.0412,6480309.33333333
"314","HW","PostFenton",373.0446,2491318.33333333
"315","HW","PostFenton",373.0565,3123301
"316","HW","PostFenton",373.0776,11077056.3333333
"317","HW","PostFenton",373.0889,1695939.66666667
"318","HW","PostFenton",373.0929,3525232
"319","HW","PostFenton",373.114,13179681
"320","HW","PostFenton",373.1253,2456697.66666667
"321","HW","PostFenton",373.1293,4518693.33333333
"322","HW","PostFenton",373.1365,2008445
"323","HW","PostFenton",373.1504,11391105
"324","HW","PostFenton",373.1657,4164400.33333333
"325","HW","PostFenton",373.1729,3634653.66666667
"326","HW","PostFenton",373.1868,7348705.66666667
"327","HW","PostFenton",373.2093,1845480.33333333
"328","HW","PostFenton",373.2232,1975532.66666667
"329","HW","PostFenton",374.1093,2170444.66666667
"330","HW","PostFenton",374.1205,2885883
"331","HW","PostFenton",374.1569,5462448.66666667
"332","HW","PostFenton",374.1933,2340454
"333","HW","PostFenton",374.2449,26453792.6666667
"334","HW","PostFenton",375.0358,3632482.33333333
"335","HW","PostFenton",375.0569,6307176.66666667
"336","HW","PostFenton",375.0603,3170153.33333333
"337","HW","PostFenton",375.0722,5164738.66666667
"338","HW","PostFenton",375.0933,9619486.33333333
"339","HW","PostFenton",375.1045,2411553.66666667
"340","HW","PostFenton",375.1085,6351565.33333333
"341","HW","PostFenton",375.1297,10967080.6666667
"342","HW","PostFenton",375.1409,2931586
"343","HW","PostFenton",375.1449,7377283
"344","HW","PostFenton",375.1661,7597107.66666667
"345","HW","PostFenton",375.1813,4652430
"346","HW","PostFenton",375.1885,1714149.33333333
"347","HW","PostFenton",375.2024,3457257
"348","HW","PostFenton",376.0885,3012080.33333333
"349","HW","PostFenton",376.1249,2281637.66666667
"350","HW","PostFenton",376.1362,2190590.33333333
"351","HW","PostFenton",376.1725,4445193
"352","HW","PostFenton",377.015,2966955.33333333
"353","HW","PostFenton",377.0514,5931275.66666667
"354","HW","PostFenton",377.0725,6460348
"355","HW","PostFenton",377.0878,7253269.66666667
"356","HW","PostFenton",377.1089,7595975
"357","HW","PostFenton",377.1202,2916298
"358","HW","PostFenton",377.1242,10465909.6666667
"359","HW","PostFenton",377.1453,7989201.33333333
"360","HW","PostFenton",377.1606,9751851.33333333
"361","HW","PostFenton",377.1817,3285297.33333333
"362","HW","PostFenton",377.197,3153376.66666667
"363","HW","PostFenton",378.0831,1683512
"364","HW","PostFenton",378.1042,5380328.33333333
"365","HW","PostFenton",379.0307,6082717.66666667
"366","HW","PostFenton",379.0518,2792953
"367","HW","PostFenton",379.0671,8310611
"368","HW","PostFenton",379.0882,13914627.3333333
"369","HW","PostFenton",379.1035,11299335.6666667
"370","HW","PostFenton",379.1246,7230648.33333333
"371","HW","PostFenton",379.1398,14410258.3333333
"372","HW","PostFenton",379.161,5404184.33333333
"373","HW","PostFenton",379.1762,8525682
"374","HW","PostFenton",379.2126,1867473.66666667
"375","HW","PostFenton",380.0623,1868056.33333333
"376","HW","PostFenton",380.0834,1976521
"377","HW","PostFenton",380.1198,4839891.33333333
"378","HW","PostFenton",380.1562,1922610.66666667
"379","HW","PostFenton",381.0099,2963660.66666667
"380","HW","PostFenton",381.0463,9240279
"381","HW","PostFenton",381.0675,7648306
"382","HW","PostFenton",381.0827,11927264.6666667
"383","HW","PostFenton",381.1038,25015356.3333333
"384","HW","PostFenton",381.1191,16338667.3333333
"385","HW","PostFenton",381.1402,5699995.33333333
"386","HW","PostFenton",381.1555,14019658.6666667
"387","HW","PostFenton",381.1919,6451285
"388","HW","PostFenton",381.2316,8778165
"389","HW","PostFenton",381.3738,3884338
"390","HW","PostFenton",382.078,2107550.66666667
"391","HW","PostFenton",382.0991,2691919
"392","HW","PostFenton",382.1256,1860950.33333333
"393","HW","PostFenton",382.1355,3572910.33333333
"394","HW","PostFenton",383.0256,5630880.33333333
"395","HW","PostFenton",383.062,12318293
"396","HW","PostFenton",383.0831,15227824
"397","HW","PostFenton",383.0984,15240116
"398","HW","PostFenton",383.1195,20536249.6666667
"399","HW","PostFenton",383.1348,17092883
"400","HW","PostFenton",383.1572,2667289.33333333
"401","HW","PostFenton",383.1711,11358493.3333333
"402","HW","PostFenton",383.1936,1892984.33333333
"403","HW","PostFenton",383.2075,4003111
"404","HW","PostFenton",384.0936,2229267.66666667
"405","HW","PostFenton",384.1412,3214368
"406","HW","PostFenton",384.1525,3599907
"407","HW","PostFenton",384.1776,2377940.33333333
"408","HW","PostFenton",385.0412,8348428
"409","HW","PostFenton",385.0565,2133947
"410","HW","PostFenton",385.0776,13168746.6666667
"411","HW","PostFenton",385.0929,2344388
"412","HW","PostFenton",385.0988,12299718
"413","HW","PostFenton",385.114,15814089.6666667
"414","HW","PostFenton",385.1253,1862860.66666667
"415","HW","PostFenton",385.1293,2708600.33333333
"416","HW","PostFenton",385.1351,4037754
"417","HW","PostFenton",385.1365,4237434.33333333
"418","HW","PostFenton",385.1504,14543656.3333333
"419","HW","PostFenton",385.1657,2972972.33333333
"420","HW","PostFenton",385.1729,4107395.66666667
"421","HW","PostFenton",385.1868,8132743.66666667
"422","HW","PostFenton",385.2093,2220856
"423","HW","PostFenton",385.2232,2721937
"424","HW","PostFenton",386.0729,1712662.33333333
"425","HW","PostFenton",386.1093,1721631
"426","HW","PostFenton",386.1205,3657591.33333333
"427","HW","PostFenton",386.1569,4378326
"428","HW","PostFenton",386.1933,2683444.33333333
"429","HW","PostFenton",387.0205,2176944
"430","HW","PostFenton",387.0358,2341470
"431","HW","PostFenton",387.0569,9760014
"432","HW","PostFenton",387.0603,4065551
"433","HW","PostFenton",387.0722,3313084.33333333
"434","HW","PostFenton",387.0933,12343233.6666667
"435","HW","PostFenton",387.1085,3931419
"436","HW","PostFenton",387.1144,2380572.33333333
"437","HW","PostFenton",387.1297,12436085.6666667
"438","HW","PostFenton",387.1409,1975928.66666667
"439","HW","PostFenton",387.1449,4574841.66666667
"440","HW","PostFenton",387.1521,3586000.33333333
"441","HW","PostFenton",387.1661,11050964
"442","HW","PostFenton",387.1813,3793538.33333333
"443","HW","PostFenton",387.1885,3426777.33333333
"444","HW","PostFenton",387.2024,5361629
"445","HW","PostFenton",387.2249,1927650.33333333
"446","HW","PostFenton",388.0885,1926924.33333333
"447","HW","PostFenton",388.1362,4639938.33333333
"448","HW","PostFenton",388.1725,4466891.33333333
"449","HW","PostFenton",389.015,1916481
"450","HW","PostFenton",389.0362,2874438
"451","HW","PostFenton",389.0395,1839089.66666667
"452","HW","PostFenton",389.0514,4266398.33333333
"453","HW","PostFenton",389.0725,8371278.33333333
"454","HW","PostFenton",389.0759,5238863
"455","HW","PostFenton",389.0878,4818002
"456","HW","PostFenton",389.1089,9257388.33333333
"457","HW","PostFenton",389.1202,3654745.66666667
"458","HW","PostFenton",389.1242,6567344
"459","HW","PostFenton",389.1453,9017098.33333333
"460","HW","PostFenton",389.1606,7007331.33333333
"461","HW","PostFenton",389.1678,2183952
"462","HW","PostFenton",389.1817,7091987
"463","HW","PostFenton",389.197,3113238.66666667
"464","HW","PostFenton",389.2042,2511896
"465","HW","PostFenton",389.2181,2217243.66666667
"466","HW","PostFenton",390.1042,2300395
"467","HW","PostFenton",390.1518,2740896.33333333
"468","HW","PostFenton",390.1882,5635753
"469","HW","PostFenton",391.0307,4535827.33333333
"470","HW","PostFenton",391.0518,2930541.66666667
"471","HW","PostFenton",391.0552,3180910.66666667
"472","HW","PostFenton",391.0671,6342172
"473","HW","PostFenton",391.0882,8418165.66666667
"474","HW","PostFenton",391.1035,8039289.33333333
"475","HW","PostFenton",391.1246,8201086.33333333
"476","HW","PostFenton",391.1358,2395179.33333333
"477","HW","PostFenton",391.1398,11398017.3333333
"478","HW","PostFenton",391.161,5534257
"479","HW","PostFenton",391.1762,7839967
"480","HW","PostFenton",391.1974,3156878.33333333
"481","HW","PostFenton",391.2126,2180497.66666667
"482","HW","PostFenton",392.0834,2346749
"483","HW","PostFenton",392.1198,3410863.66666667
"484","HW","PostFenton",393.0099,2684185.33333333
"485","HW","PostFenton",393.0463,7815115.33333333
"486","HW","PostFenton",393.0675,5450362.66666667
"487","HW","PostFenton",393.0827,9305384.66666667
"488","HW","PostFenton",393.1038,13044354
"489","HW","PostFenton",393.1151,2034394.33333333
"490","HW","PostFenton",393.1191,13676507.3333333
"491","HW","PostFenton",393.1402,7096628.66666667
"492","HW","PostFenton",393.1555,14614498.3333333
"493","HW","PostFenton",393.1766,3209873.66666667
"494","HW","PostFenton",393.1919,6310890.33333333
"495","HW","PostFenton",394.078,1990049.66666667
"496","HW","PostFenton",394.0991,5252603.33333333
"497","HW","PostFenton",394.1355,3410947
"498","HW","PostFenton",395.0256,6000308.66666667
"499","HW","PostFenton",395.062,10696380
"500","HW","PostFenton",395.0831,13152618.6666667
"501","HW","PostFenton",395.0984,13663256
"502","HW","PostFenton",395.1195,16346140.3333333
"503","HW","PostFenton",395.1348,18313588.6666667
"504","HW","PostFenton",395.1559,4763000.66666667
"505","HW","PostFenton",395.1711,13433211.6666667
"506","HW","PostFenton",395.1923,2519253.33333333
"507","HW","PostFenton",395.2075,4059864.33333333
"508","HW","PostFenton",395.2473,3645152
"509","HW","PostFenton",395.3895,3590395.66666667
"510","HW","PostFenton",396.0572,1762086
"511","HW","PostFenton",396.0936,1793581.33333333
"512","HW","PostFenton",396.1147,6991408.66666667
"513","HW","PostFenton",396.1511,2320269
"514","HW","PostFenton",397.0049,1846058.33333333
"515","HW","PostFenton",397.0412,9232433
"516","HW","PostFenton",397.0565,1727027.66666667
"517","HW","PostFenton",397.0624,3316447.33333333
"518","HW","PostFenton",397.0776,13372813
"519","HW","PostFenton",397.0929,1808527.33333333
"520","HW","PostFenton",397.0988,26806331.3333333
"521","HW","PostFenton",397.114,17715944.6666667
"522","HW","PostFenton",397.1351,9267266
"523","HW","PostFenton",397.1504,17909829
"524","HW","PostFenton",397.1729,2415689
"525","HW","PostFenton",397.1868,10257824.6666667
"526","HW","PostFenton",397.2232,2584828.33333333
"527","HW","PostFenton",397.2265,13130493
"528","HW","PostFenton",397.3323,2233274.66666667
"529","HW","PostFenton",398.0729,2180327
"530","HW","PostFenton",398.1093,2090562.66666667
"531","HW","PostFenton",398.1205,1991066
"532","HW","PostFenton",398.1304,3704048.66666667
"533","HW","PostFenton",398.1569,2772384.33333333
"534","HW","PostFenton",399.0205,3748230
"535","HW","PostFenton",399.0358,2234419.66666667
"536","HW","PostFenton",399.0569,11990071
"537","HW","PostFenton",399.0722,2226403.66666667
"538","HW","PostFenton",399.078,3294266.33333333
"539","HW","PostFenton",399.0933,15275068.6666667
"540","HW","PostFenton",399.1085,2343145.66666667
"541","HW","PostFenton",399.1144,27696874.6666667
"542","HW","PostFenton",399.1297,17805037.3333333
"543","HW","PostFenton",399.1449,2731077.33333333
"544","HW","PostFenton",399.1521,3778289
"545","HW","PostFenton",399.1661,14596510
"546","HW","PostFenton",399.1813,2317728.66666667
"547","HW","PostFenton",399.1885,3865676.33333333
"548","HW","PostFenton",399.2024,6596345
"549","HW","PostFenton",399.2388,1916671
"550","HW","PostFenton",400.0885,2041904.33333333
"551","HW","PostFenton",400.1362,3657101
"552","HW","PostFenton",400.1725,3845352
"553","HW","PostFenton",401.0362,5651817.33333333
"554","HW","PostFenton",401.0514,2905280.66666667
"555","HW","PostFenton",401.0725,11802649.3333333
"556","HW","PostFenton",401.0759,3710660.66666667
"557","HW","PostFenton",401.0878,3348507.66666667
"558","HW","PostFenton",401.1089,12700361
"559","HW","PostFenton",401.1202,2324683
"560","HW","PostFenton",401.1242,3823990
"561","HW","PostFenton",401.1314,2267170
"562","HW","PostFenton",401.1453,13474510.3333333
"563","HW","PostFenton",401.1606,4824443.66666667
"564","HW","PostFenton",401.1678,4898855.33333333
"565","HW","PostFenton",401.1817,10037972
"566","HW","PostFenton",401.197,2724395.33333333
"567","HW","PostFenton",401.2042,3960876.66666667
"568","HW","PostFenton",401.2181,3942788
"569","HW","PostFenton",402.1042,1984000.33333333
"570","HW","PostFenton",402.1154,2330113.33333333
"571","HW","PostFenton",402.1518,5197659.66666667
"572","HW","PostFenton",402.1882,2816182
"573","HW","PostFenton",403.0307,2878415.33333333
"574","HW","PostFenton",403.0518,6272977.66666667
"575","HW","PostFenton",403.0552,4356391.66666667
"576","HW","PostFenton",403.0671,4592937
"577","HW","PostFenton",403.0882,9861420
"578","HW","PostFenton",403.0916,4433878.66666667
"579","HW","PostFenton",403.1035,5325443
"580","HW","PostFenton",403.1246,9646384.33333333
"581","HW","PostFenton",403.1358,4645169.66666667
"582","HW","PostFenton",403.1398,7388125
"583","HW","PostFenton",403.1471,2350046
"584","HW","PostFenton",403.161,9481866.33333333
"585","HW","PostFenton",403.1762,6017676
"586","HW","PostFenton",403.1834,3952610.33333333
"587","HW","PostFenton",403.1974,5962724
"588","HW","PostFenton",403.2126,2803515.33333333
"589","HW","PostFenton",403.2198,2066748.66666667
"590","HW","PostFenton",403.2337,2191507.33333333
"591","HW","PostFenton",404.1198,2088788
"592","HW","PostFenton",404.1311,2290090.33333333
"593","HW","PostFenton",404.1675,3638190.66666667
