Mass,Forest,treatment,intensity
379.1433,HW,PreFenton,0
379.1796,HW,PreFenton,0
379.1974,HW,PreFenton,0
379.216,HW,PreFenton,0
380.1351,HW,PreFenton,0
380.1497,HW,PreFenton,0
381.1225,HW,PreFenton,0
381.1313,HW,PreFenton,0
381.1589,HW,PreFenton,0
381.1953,HW,PreFenton,0
381.2647,HW,PreFenton,0
382.0935,HW,PreFenton,0
383.1017,HW,PreFenton,0
383.1292,HW,PreFenton,0
383.1381,HW,PreFenton,0
383.1559,HW,PreFenton,0
383.1746,HW,PreFenton,0
383.2228,HW,PreFenton,0
383.2803,HW,PreFenton,0
385.081,HW,PreFenton,0
385.1449,HW,PreFenton,0
385.1538,HW,PreFenton,0
385.1616,HW,PreFenton,0
385.1691,HW,PreFenton,0
386.2126,HW,PreFenton,0
386.2297,HW,PreFenton,0
387.1117,HW,PreFenton,0
387.1484,HW,PreFenton,0
387.2752,HW,PreFenton,0
388.0935,HW,PreFenton,0
388.125,HW,PreFenton,0
388.1919,HW,PreFenton,0
388.2089,HW,PreFenton,0
389.1639,HW,PreFenton,0
389.2909,HW,PreFenton,0
390.1405,HW,PreFenton,0
390.2035,HW,PreFenton,0
390.2068,HW,PreFenton,0
391.1875,HW,PreFenton,0
391.249,HW,PreFenton,0
391.2523,HW,PreFenton,0
392.1351,HW,PreFenton,0
392.1562,HW,PreFenton,0
393.1224,HW,PreFenton,0
393.1589,HW,PreFenton,0
393.1953,HW,PreFenton,0
393.2317,HW,PreFenton,0
393.2646,HW,PreFenton,0
394.1653,HW,PreFenton,0
395.1012,HW,PreFenton,0
395.1018,HW,PreFenton,0
395.1381,HW,PreFenton,0
395.1745,HW,PreFenton,0
395.2109,HW,PreFenton,0
397.1174,HW,PreFenton,0
397.1538,HW,PreFenton,0
397.1715,HW,PreFenton,0
397.1902,HW,PreFenton,0
397.2596,HW,PreFenton,0
399.0966,HW,PreFenton,0
399.1241,HW,PreFenton,0
399.1427,HW,PreFenton,0
399.2752,HW,PreFenton,0
400.1919,HW,PreFenton,0
401.1123,HW,PreFenton,0
401.13,HW,PreFenton,0
401.1487,HW,PreFenton,0
401.1737,HW,PreFenton,0
402.2075,HW,PreFenton,0
402.2439,HW,PreFenton,0
403.0986,HW,PreFenton,0
403.1067,HW,PreFenton,0
403.1432,HW,PreFenton,0
403.1893,HW,PreFenton,0
403.2701,HW,PreFenton,0
403.3065,HW,PreFenton,0
405.1223,HW,PreFenton,0
405.1347,HW,PreFenton,0
405.1436,HW,PreFenton,0
405.1589,HW,PreFenton,0
405.1953,HW,PreFenton,0
405.2647,HW,PreFenton,0
406.2347,HW,PreFenton,0
407.1137,HW,PreFenton,0
407.138,HW,PreFenton,0
407.1745,HW,PreFenton,0
407.2109,HW,PreFenton,0
407.265,HW,PreFenton,0
409.1174,HW,PreFenton,0
409.1657,HW,PreFenton,0
409.1902,HW,PreFenton,0
409.2079,HW,PreFenton,0
409.2266,HW,PreFenton,0
409.2596,HW,PreFenton,0
410.1066,HW,PreFenton,0
410.1667,HW,PreFenton,0
410.2218,HW,PreFenton,0
410.2297,HW,PreFenton,0
411.1695,HW,PreFenton,0
411.1871,HW,PreFenton,0
411.2752,HW,PreFenton,0
