"Forest","Mass","fenton","PostGoethite","PreGoethite"
"HW",281.2486,"PostFenton",2326703,
"HW",283.2643,"PostFenton",5147162.33333333,4445489
"HW",283.2643,"PreFenton",2767164.66666667,2201857
"HW",293.1792,"PostFenton",2333073.33333333,
"HW",295.1187,"PostFenton",1483725,
"HW",297.1344,"PostFenton",1689712.66666667,
"HW",297.1344,"PreFenton",1426656.66666667,
"HW",297.153,"PostFenton",4182558,2060882.66666667
"HW",297.153,"PreFenton",2725944.33333333,
"HW",299.1136,"PostFenton",1561881,
"HW",299.15,"PostFenton",1962696.33333333,
"HW",299.15,"PreFenton",1608492.33333333,
"HW",300.1929,"PostFenton",1876604.66666667,
"HW",300.1929,"PreFenton",3415984,
"HW",301.1293,"PostFenton",1887098.33333333,
"HW",301.1657,"PostFenton",1886676.66666667,
"HW",303.0722,"PostFenton",,1395955.66666667
"HW",307.0671,"PostFenton",,1906654
"HW",307.1187,"PostFenton",1759956.66666667,
"HW",307.1551,"PreFenton",1621785.33333333,
"HW",309.0616,"PostFenton",,1657396.66666667
"HW",309.0827,"PostFenton",,2048738
"HW",309.098,"PostFenton",2241541,1699556
"HW",309.098,"PreFenton",1875946.66666667,
"HW",309.1344,"PostFenton",2797835,
"HW",309.1344,"PreFenton",2506480.33333333,
"HW",309.1707,"PostFenton",6160913,2068461.66666667
"HW",309.1707,"PreFenton",4325621.66666667,1766676.66666667
"HW",309.1741,"PostFenton",4739601,2368920.66666667
"HW",309.1741,"PreFenton",3398902.33333333,
"HW",311.0772,"PostFenton",,2017431.33333333
"HW",311.0772,"PreFenton",,2202664
"HW",311.1136,"PostFenton",4046663.33333333,2487025.33333333
"HW",311.1136,"PreFenton",2830292,2415235
"HW",311.15,"PostFenton",3573069,1643681.66666667
"HW",311.15,"PreFenton",2841817.66666667,1709362.66666667
"HW",311.1686,"PostFenton",31806971,14697806.3333333
"HW",311.1686,"PreFenton",16324999.6666667,7661963
"HW",311.1864,"PostFenton",1894397.66666667,
"HW",311.1864,"PreFenton",1761504,
"HW",312.1565,"PostFenton",1721159.66666667,
"HW",312.1565,"PreFenton",2100606.66666667,1454878
"HW",313.0565,"PostFenton",,2168916.33333333
"HW",313.0929,"PostFenton",2267450,2758062.66666667
"HW",313.0929,"PreFenton",,2119682
"HW",313.1293,"PostFenton",5357717,2762334.66666667
"HW",313.1293,"PreFenton",2702027.66666667,2108508.66666667
"HW",313.1657,"PostFenton",4558491.33333333,
"HW",313.1657,"PreFenton",3921447.33333333,2236173
"HW",313.1769,"PreFenton",1971241.33333333,
"HW",313.2384,"PreFenton",1689907.66666667,
"HW",314.1358,"PostFenton",2397931.33333333,
"HW",314.1358,"PreFenton",1762295.33333333,
"HW",314.1721,"PostFenton",2732017.33333333,
"HW",314.1721,"PreFenton",2275454,
"HW",314.2085,"PostFenton",2464162.33333333,
"HW",314.2085,"PreFenton",4407343,2015662.66666667
"HW",315.0722,"PostFenton",,2705525.66666667
"HW",315.0722,"PreFenton",2009797.66666667,8558562
"HW",315.1085,"PostFenton",2954472.66666667,2628304.33333333
"HW",315.1085,"PreFenton",1709260,
"HW",315.1198,"PreFenton",,1884905.66666667
"HW",315.1449,"PostFenton",5338607,2057941.66666667
"HW",315.1449,"PreFenton",2877821,2067694
"HW",315.1813,"PostFenton",4085835,
"HW",315.1813,"PreFenton",4486702,2439582.33333333
"HW",315.2177,"PreFenton",2238175.33333333,
"HW",316.1878,"PostFenton",3252050,
"HW",316.1878,"PreFenton",3666657.66666667,1853590.66666667
"HW",317.0667,"PreFenton",1578796.33333333,2117159.33333333
"HW",317.0878,"PostFenton",,2547789
"HW",317.1242,"PostFenton",2686287.33333333,1995175.33333333
"HW",317.1394,"PostFenton",1569063.66666667,
"HW",317.1394,"PreFenton",1807247,1564937
"HW",317.1606,"PostFenton",4013910,
"HW",317.1606,"PreFenton",2693011,
"HW",317.197,"PostFenton",1901489.66666667,
"HW",317.197,"PreFenton",2859929.66666667,
"HW",319.0459,"PreFenton",,2865869.66666667
"HW",319.0671,"PostFenton",,3488980.33333333
"HW",319.0823,"PreFenton",1637030.66666667,2783529.33333333
"HW",319.0857,"PreFenton",2170194.33333333,
"HW",319.1035,"PostFenton",,1862021
"HW",319.1187,"PostFenton",2943764,1684701
"HW",319.1187,"PreFenton",2003118,2278874.33333333
"HW",319.1398,"PostFenton",1824834.66666667,
"HW",319.1551,"PostFenton",2065691,
"HW",319.1551,"PreFenton",2387124.66666667,
"HW",319.2126,"PreFenton",1734080,
