"Forest","Mass","fenton","PostGoethite","PreGoethite"
"HW",321.0252,"PreFenton",,2750936
"HW",321.0463,"PostFenton",,2225597.33333333
"HW",321.0616,"PostFenton",,2201962
"HW",321.0616,"PreFenton",1728554.66666667,3680222.66666667
"HW",321.0827,"PostFenton",4149130.66666667,7048302
"HW",321.0827,"PreFenton",2008366.66666667,
"HW",321.098,"PostFenton",2368311.66666667,2661318
"HW",321.098,"PreFenton",2421298,2939535.33333333
"HW",321.1344,"PostFenton",3888020.33333333,2407883.66666667
"HW",321.1344,"PreFenton",3435833,3099115.33333333
"HW",321.1707,"PostFenton",2287259.66666667,
"HW",321.1707,"PreFenton",2815979,2127943.33333333
"HW",322.1408,"PreFenton",1971204.66666667,
"HW",323.0409,"PostFenton",,2118239.33333333
"HW",323.0409,"PreFenton",,3268087.66666667
"HW",323.062,"PostFenton",,5064461.66666667
"HW",323.0772,"PostFenton",1630484,2999653.33333333
"HW",323.0772,"PreFenton",2122864.66666667,4104873.33333333
"HW",323.0984,"PostFenton",2893080.33333333,5629716
"HW",323.0984,"PreFenton",3308917.33333333,2303405.33333333
"HW",323.1136,"PostFenton",5086832.33333333,3504236
"HW",323.1136,"PreFenton",3894648.33333333,3923632.33333333
"HW",323.1348,"PostFenton",1850570,
"HW",323.1348,"PreFenton",2155218,
"HW",323.15,"PostFenton",4908322.66666667,2442012.66666667
"HW",323.15,"PreFenton",4715392,3137037
"HW",323.1864,"PostFenton",2420095.33333333,
"HW",323.1864,"PreFenton",2959751.66666667,1965758.33333333
"HW",324.1565,"PostFenton",1763822.66666667,
"HW",324.1565,"PreFenton",1741226,
"HW",325.0201,"PostFenton",,1929057
"HW",325.0565,"PostFenton",,3113575.33333333
"HW",325.0565,"PreFenton",,3914110
"HW",325.0776,"PostFenton",,5397781.66666667
"HW",325.0929,"PostFenton",3651759.33333333,4236568.66666667
"HW",325.0929,"PreFenton",3333235.66666667,4148954.33333333
"HW",325.114,"PostFenton",,3223836.33333333
"HW",325.1293,"PostFenton",7626423,4416457.66666667
"HW",325.1293,"PreFenton",4752507.33333333,3901495
"HW",325.1657,"PostFenton",5901331.66666667,2010149.66666667
"HW",325.1657,"PreFenton",5264345,3262526.33333333
"HW",325.1843,"PostFenton",59108034.6666667,23409107.6666667
"HW",325.1843,"PreFenton",29017053,13566018
"HW",325.202,"PostFenton",2687174,
"HW",325.202,"PreFenton",3648480.66666667,2581659
"HW",326.1358,"PostFenton",2851977.66666667,
"HW",326.1721,"PostFenton",3045948,
"HW",326.1721,"PreFenton",3026272.66666667,2066610.66666667
"HW",326.2085,"PostFenton",2297070.66666667,
"HW",326.2085,"PreFenton",5632190,2825913.66666667
"HW",327.0358,"PostFenton",,2386721.33333333
"HW",327.0358,"PreFenton",,1776483
"HW",327.051,"PreFenton",,1795771.66666667
"HW",327.0722,"PostFenton",2037585,4271400
"HW",327.0722,"PreFenton",,3485973.33333333
"HW",327.0874,"PreFenton",,1969347
"HW",327.0933,"PostFenton",,4794668
"HW",327.1085,"PostFenton",6077870.33333333,5957423
"HW",327.1085,"PreFenton",3442739,3971698.33333333
"HW",327.1449,"PostFenton",9490187.66666667,4473824
"HW",327.1449,"PreFenton",5861435,3939108
"HW",327.1813,"PostFenton",5388051.33333333,
"HW",327.1813,"PreFenton",5223491.33333333,2855553
"HW",327.1925,"PreFenton",1742576.33333333,
"HW",327.2177,"PostFenton",3711429.66666667,
"HW",327.2177,"PreFenton",7328843.66666667,4683742.33333333
"HW",328.115,"PostFenton",1870472.33333333,
"HW",328.1514,"PostFenton",5332112,2200987.33333333
"HW",328.1514,"PreFenton",5162956.33333333,3800567
"HW",328.1878,"PostFenton",4319213.66666667,
"HW",328.1878,"PreFenton",4202794,2548393
"HW",328.2242,"PostFenton",2769397.66666667,
"HW",328.2242,"PreFenton",5567111.66666667,2836998
"HW",329.0303,"PreFenton",,2323634.33333333
"HW",329.0514,"PostFenton",,3649349.33333333
"HW",329.0514,"PreFenton",,1821622.66666667
"HW",329.0667,"PreFenton",,2711055.66666667
"HW",329.0878,"PostFenton",3027123.66666667,4911265.66666667
"HW",329.0878,"PreFenton",3556860.66666667,3443817.66666667
"HW",329.1031,"PreFenton",,2197015.33333333
"HW",329.1242,"PostFenton",7502011.66666667,5205160.66666667
"HW",329.1242,"PreFenton",3080197.33333333,3097969.33333333
"HW",329.1354,"PostFenton",2663102.66666667,
"HW",329.1354,"PreFenton",1868551.66666667,
"HW",329.1394,"PostFenton",1754900.33333333,
"HW",329.1394,"PreFenton",2007646,2081140.66666667
"HW",329.1467,"PostFenton",1726571.66666667,
"HW",329.1606,"PostFenton",12661614.6666667,4228101
"HW",329.1606,"PreFenton",11633848.3333333,6369145.33333333
"HW",329.1718,"PreFenton",1707451,
"HW",329.1758,"PostFenton",1912092.66666667,
"HW",329.1758,"PreFenton",2220561.33333333,
"HW",329.183,"PostFenton",2419316,
"HW",329.183,"PreFenton",2840424.33333333,
"HW",329.197,"PostFenton",5083681.33333333,
"HW",329.197,"PreFenton",5265771.66666667,2871425
"HW",329.2333,"PostFenton",6187561.33333333,
"HW",329.2333,"PreFenton",12044148.3333333,7553929
"HW",330.1307,"PostFenton",2371826.66666667,1630485.66666667
"HW",330.1671,"PostFenton",3945723,2207772.66666667
"HW",330.1671,"PreFenton",3276541.66666667,2724693
"HW",330.2034,"PostFenton",6897752.66666667,
"HW",330.2034,"PreFenton",11847771.6666667,6440711.66666667
"HW",331.0096,"PreFenton",,1797478
"HW",331.0307,"PostFenton",,1515547.66666667
"HW",331.0459,"PostFenton",,1742622.66666667
"HW",331.0459,"PreFenton",1698984.66666667,3806659.66666667
"HW",331.0671,"PostFenton",,3952504.33333333
"HW",331.0823,"PostFenton",,1674107.33333333
"HW",331.0823,"PreFenton",2719879,4028534
"HW",331.1035,"PostFenton",2948901.66666667,4231551.66666667
"HW",331.1035,"PreFenton",1604663,2159056.66666667
"HW",331.1187,"PostFenton",2258643.66666667,1822168
"HW",331.1187,"PreFenton",3158501,3093289
"HW",331.1398,"PostFenton",6457646,4171996.33333333
"HW",331.1398,"PreFenton",2635327.66666667,2446125.66666667
"HW",331.1551,"PostFenton",2837297.33333333,1814495
"HW",331.1551,"PreFenton",2701294.33333333,2774492
"HW",331.1762,"PostFenton",9383222.33333333,2594190
"HW",331.1762,"PreFenton",15188979.3333333,8695094.33333333
"HW",331.1915,"PostFenton",1671993.66666667,
"HW",331.1915,"PreFenton",2576716.66666667,
"HW",331.2126,"PostFenton",3374569.33333333,
"HW",331.2126,"PreFenton",4251474,2259774.33333333
"HW",331.249,"PreFenton",33104901.3333333,22343665
"HW",332.1252,"PreFenton",1576542.66666667,
"HW",332.1827,"PostFenton",1833076.66666667,
"HW",333.0252,"PostFenton",,1491631
"HW",333.0252,"PreFenton",,3439839.66666667
"HW",333.0463,"PostFenton",,2630749.66666667
"HW",333.0616,"PostFenton",,2548491.66666667
"HW",333.0616,"PreFenton",3218550.33333333,5654930.66666667
"HW",333.0827,"PostFenton",,3563791.66666667
"HW",333.098,"PostFenton",2367563.66666667,2655848.33333333
"HW",333.098,"PreFenton",3200810.33333333,4128667.66666667
"HW",333.1191,"PostFenton",2902779.66666667,2966124.66666667
"HW",333.1191,"PreFenton",5657050.66666667,3401462
"HW",333.1344,"PostFenton",4410964.33333333,2928410.66666667
"HW",333.1344,"PreFenton",4363059.66666667,3628281.33333333
"HW",333.1456,"PreFenton",1884811.66666667,
"HW",333.1555,"PostFenton",3965700,2133962
"HW",333.1555,"PreFenton",2675342.66666667,
"HW",333.1707,"PostFenton",3517362.66666667,
"HW",333.1707,"PreFenton",3886055.66666667,3029761.66666667
"HW",333.1919,"PostFenton",2503010,
"HW",333.1919,"PreFenton",2313794.33333333,
"HW",333.2071,"PostFenton",1521851,
"HW",333.2071,"PreFenton",2542406.33333333,
"HW",333.2469,"PostFenton",19616879.3333333,
"HW",333.2469,"PreFenton",57086118,
"HW",334.1772,"PreFenton",3215084,1984582.66666667
"HW",335.0409,"PostFenton",,2764800.66666667
"HW",335.0409,"PreFenton",1799033.66666667,5260141.66666667
"HW",335.062,"PostFenton",1921573,6302725.33333333
"HW",335.0772,"PostFenton",1902376.66666667,3268275
"HW",335.0772,"PreFenton",2911022,5964321
"HW",335.0984,"PostFenton",2753240.33333333,4100279.66666667
"HW",335.1136,"PostFenton",4951430.66666667,4071952.33333333
"HW",335.1136,"PreFenton",4476215.33333333,5195647.66666667
"HW",335.1348,"PostFenton",2122806.66666667,1821290.33333333
"HW",335.15,"PostFenton",6320357,3173741.33333333
"HW",335.15,"PreFenton",6013590.66666667,4686558
"HW",335.1711,"PreFenton",3014129.66666667,2545891
"HW",335.1864,"PostFenton",3052269.66666667,
"HW",335.1864,"PreFenton",4005024.33333333,2873148.33333333
"HW",335.1898,"PreFenton",1720609.33333333,
"HW",336.0936,"PostFenton",,1879780.33333333
"HW",336.1565,"PreFenton",1746938,
"HW",336.3272,"PostFenton",10892466.6666667,12358935.3333333
"HW",337.0201,"PostFenton",,2242224.33333333
"HW",337.0201,"PreFenton",,3545095.33333333
"HW",337.0565,"PostFenton",1558548.33333333,4062990
"HW",337.0565,"PreFenton",2473285.33333333,6718480.66666667
"HW",337.0776,"PostFenton",3964954,13697128
"HW",337.0929,"PostFenton",4056947,4950464.66666667
"HW",337.0929,"PreFenton",4001956.66666667,6672751.33333333
"HW",337.114,"PostFenton",3957965.66666667,4129904
"HW",337.114,"PreFenton",2166784,
"HW",337.1293,"PostFenton",8269863,5711304.66666667
"HW",337.1293,"PreFenton",6597465.66666667,5932067.66666667
"HW",337.1326,"PostFenton",2773373.33333333,
"HW",337.1326,"PreFenton",10575877.3333333,4739791
"HW",337.1657,"PostFenton",7983152,2872955.33333333
"HW",337.1657,"PreFenton",7516345,5383212.66666667
"HW",337.169,"PostFenton",3062321,
"HW",337.169,"PreFenton",2286863.33333333,
"HW",337.202,"PostFenton",2423012,
"HW",337.202,"PreFenton",3220163.33333333,
"HW",337.2054,"PostFenton",8760719.66666667,4704388.66666667
"HW",337.2054,"PreFenton",5176516.33333333,2338188.33333333
"HW",338.1721,"PostFenton",3481734,
"HW",338.1721,"PreFenton",5647143.33333333,3030065.33333333
"HW",339.0358,"PostFenton",,3772963.66666667
"HW",339.0358,"PreFenton",,4154731
"HW",339.051,"PreFenton",,1920452.33333333
"HW",339.0569,"PostFenton",,2872531.33333333
"HW",339.0722,"PostFenton",2389615,5561217.33333333
"HW",339.0722,"PreFenton",2869969.66666667,6205642
"HW",339.0933,"PostFenton",8598729.66666667,18240731.6666667
"HW",339.0933,"PreFenton",2700845,
"HW",339.1085,"PostFenton",7428643,7229322
"HW",339.1085,"PreFenton",5153159.33333333,6107518.33333333
"HW",339.1119,"PostFenton",1992142.66666667,
"HW",339.1297,"PostFenton",2856574,3007545.33333333
"HW",339.1449,"PostFenton",11130071.3333333,5704594.33333333
"HW",339.1449,"PreFenton",7784166.66666667,6518664
"HW",339.1602,"PostFenton",,1698539
"HW",339.1813,"PostFenton",7109515.33333333,2452890.66666667
"HW",339.1813,"PreFenton",7704988,5663292.66666667
"HW",339.1999,"PostFenton",20628709.6666667,7219444
"HW",339.1999,"PreFenton",8756641,5093270.66666667
"HW",339.2177,"PreFenton",2479355.66666667,
"HW",339.3269,"PostFenton",2204252,2407697.66666667
"HW",340.115,"PostFenton",1926614.33333333,
"HW",340.1514,"PostFenton",3742688,1538258.66666667
"HW",340.1514,"PreFenton",2402399.66666667,1816472
"HW",340.1878,"PostFenton",5741716.33333333,
"HW",340.1878,"PreFenton",8869226.33333333,6037324.33333333
"HW",340.2242,"PostFenton",2335219.33333333,
"HW",340.2242,"PreFenton",6529397,3375617
"HW",341.0303,"PreFenton",,2659636.33333333
"HW",341.0514,"PostFenton",,5432659.33333333
"HW",341.0514,"PreFenton",,3871973
"HW",341.0667,"PreFenton",,2674409.33333333
"HW",341.0725,"PostFenton",,2767533.66666667
"HW",341.0878,"PostFenton",4105434,7135921.33333333
"HW",341.0878,"PreFenton",2841204,6358084
"HW",341.1031,"PreFenton",,2227016.66666667
"HW",341.1089,"PostFenton",,7040011.66666667
"HW",341.1089,"PreFenton",1556432,1789599.66666667
"HW",341.1242,"PostFenton",10567396,8202597
"HW",341.1242,"PreFenton",8174548.33333333,6762233.33333333
"HW",341.1467,"PostFenton",2105919.33333333,
"HW",341.1606,"PostFenton",14079725.6666667,5096130.66666667
"HW",341.1606,"PreFenton",9739914,6280622
"HW",341.1792,"PostFenton",3860296,
"HW",341.183,"PostFenton",2776649,
"HW",341.183,"PreFenton",3573563.33333333,2157065.66666667
"HW",341.197,"PostFenton",7200503.33333333,1786913
"HW",341.197,"PreFenton",9619093,6834275
"HW",341.2082,"PreFenton",3191277.66666667,
"HW",341.2333,"PreFenton",2114890,
"HW",342.1307,"PostFenton",4617546.33333333,2941187.66666667
"HW",342.1307,"PreFenton",3024814,2817727
"HW",342.1671,"PostFenton",7008596,2454626
"HW",342.1671,"PreFenton",7863566,6244382.33333333
"HW",342.2034,"PostFenton",4044979.66666667,
"HW",342.2398,"PostFenton",3424445.66666667,
"HW",342.2398,"PreFenton",9442596,5086942
"HW",343.0096,"PreFenton",,2532112.33333333
"HW",343.0307,"PostFenton",,2777910.66666667
"HW",343.0459,"PreFenton",2042993,3645552
"HW",343.0671,"PostFenton",1828428,6768789.33333333
"HW",343.0671,"PreFenton",,4117451.66666667
"HW",343.0823,"PostFenton",,1445443.66666667
"HW",343.0823,"PreFenton",2311036,3749499
"HW",343.1035,"PostFenton",5419606,8029001
"HW",343.1035,"PreFenton",3440002.66666667,4448726.33333333
"HW",343.1147,"PostFenton",,1854966.66666667
"HW",343.1187,"PreFenton",2807345.66666667,3394352
"HW",343.1398,"PostFenton",14829152.3333333,8245074
"HW",343.1398,"PreFenton",7395896.66666667,6041227.33333333
"HW",343.1511,"PostFenton",2575800.66666667,
"HW",343.1511,"PreFenton",2320273.33333333,2130063
"HW",343.1551,"PostFenton",2415375,
"HW",343.1551,"PreFenton",2645735.66666667,2367717.33333333
"HW",343.1623,"PostFenton",2165265,
"HW",343.1762,"PostFenton",11625407.6666667,3518299.33333333
"HW",343.1762,"PreFenton",7922244,5523435.66666667
"HW",343.1987,"PostFenton",4863942,
"HW",343.1987,"PreFenton",6354848.33333333,3918151.33333333
"HW",343.2126,"PostFenton",9411188.66666667,1868388.33333333
"HW",343.2126,"PreFenton",17865636.3333333,12166134
"HW",343.249,"PreFenton",1843716.66666667,
"HW",344.1099,"PostFenton",,1584881
"HW",344.1463,"PostFenton",4957732.66666667,2458191.33333333
"HW",344.1463,"PreFenton",2683762.66666667,
"HW",344.1827,"PostFenton",9386542.66666667,4033283.33333333
"HW",344.1827,"PreFenton",9110739.33333333,9331645.33333333
"HW",344.2191,"PostFenton",4380899.66666667,
"HW",344.2191,"PreFenton",7267892.33333333,3874760
"HW",345.0252,"PostFenton",,1613531.33333333
"HW",345.0252,"PreFenton",,4263609.33333333
"HW",345.0463,"PostFenton",,4011147.33333333
"HW",345.0616,"PostFenton",,2372410
"HW",345.0616,"PreFenton",2794304.66666667,5500441.33333333
"HW",345.0827,"PostFenton",2564739.66666667,6097215.33333333
"HW",345.0827,"PreFenton",,3082101.33333333
"HW",345.098,"PostFenton",1928072,2555373.66666667
"HW",345.098,"PreFenton",3888801.33333333,5348217.66666667
"HW",345.1191,"PostFenton",5490147.33333333,6896627.33333333
"HW",345.1191,"PreFenton",2174973.33333333,2736597.66666667
"HW",345.1303,"PostFenton",4277393,2484555.66666667
"HW",345.1303,"PreFenton",3066027.66666667,2603054.33333333
"HW",345.1344,"PostFenton",4022077,2931703.33333333
"HW",345.1344,"PreFenton",4969986.33333333,4837253
"HW",345.1555,"PostFenton",16720707.3333333,6054909
"HW",345.1555,"PreFenton",22015497,12911499.3333333
"HW",345.1707,"PostFenton",3892551.66666667,2170966.33333333
"HW",345.1707,"PreFenton",4886371.33333333,3944506.33333333
"HW",345.178,"PostFenton",2389705.66666667,
"HW",345.178,"PreFenton",3180731,2776295.33333333
"HW",345.1919,"PostFenton",7867213.66666667,1523249
"HW",345.1919,"PreFenton",5701140.66666667,3782891.66666667
"HW",345.2283,"PostFenton",5910018.66666667,
"HW",345.2283,"PreFenton",21166283,15989665.3333333
"HW",346.162,"PostFenton",2625893.33333333,2823086.33333333
"HW",346.162,"PreFenton",2302031.33333333,4598292.33333333
"HW",346.1984,"PostFenton",2763376,
"HW",347.0409,"PostFenton",,2738669.33333333
"HW",347.0409,"PreFenton",2387739.33333333,6201126
"HW",347.062,"PostFenton",,3709256.33333333
"HW",347.0772,"PostFenton",,3111073.66666667
"HW",347.0772,"PreFenton",3655122.33333333,7265414.33333333
"HW",347.0984,"PostFenton",2417698.33333333,4875772.66666667
"HW",347.0984,"PreFenton",5978926.66666667,6340407.66666667
"HW",347.1096,"PostFenton",,1713664
"HW",347.1136,"PostFenton",4530214.66666667,3709270.33333333
"HW",347.1136,"PreFenton",5844446.33333333,5841383
"HW",347.117,"PostFenton",6855890.33333333,
"HW",347.117,"PreFenton",3722890,
"HW",347.1348,"PostFenton",4907053.33333333,4707164
"HW",347.1348,"PreFenton",2014522.66666667,1889262
"HW",347.15,"PostFenton",7320966.66666667,3944800
"HW",347.15,"PreFenton",7466133,5777565.33333333
"HW",347.1612,"PreFenton",2203289,
"HW",347.1711,"PostFenton",9508578,3005627
"HW",347.1711,"PreFenton",9760924,6157134.66666667
"HW",347.1864,"PostFenton",4071655,
"HW",347.1864,"PreFenton",5887820,4205736.66666667
"HW",347.2075,"PostFenton",3540717,
"HW",347.2075,"PreFenton",3120808.33333333,2117210
"HW",347.2262,"PostFenton",3875399.66666667,
"HW",347.2262,"PreFenton",9990148,
"HW",347.2439,"PostFenton",6297677.33333333,
"HW",347.2439,"PreFenton",21171039.3333333,13572966
"HW",348.0725,"PreFenton",,1806444.66666667
"HW",348.0936,"PostFenton",2016926.66666667,
"HW",348.13,"PostFenton",1913769.66666667,
"HW",348.1565,"PreFenton",2060092,
"HW",348.1929,"PreFenton",2483358,
"HW",349.0201,"PostFenton",,2579549.33333333
"HW",349.0201,"PreFenton",,4552436
"HW",349.0565,"PostFenton",,4015122.66666667
"HW",349.0565,"PreFenton",2803566.66666667,8474709.33333333
"HW",349.0776,"PostFenton",2103153.33333333,5949464.33333333
"HW",349.0929,"PostFenton",3644704.66666667,5058929.66666667
"HW",349.0929,"PreFenton",5044347.66666667,7871243.66666667
"HW",349.114,"PostFenton",3278119,4302199.66666667
"HW",349.1293,"PostFenton",8676993,6349521.33333333
"HW",349.1293,"PreFenton",7992114.66666667,8104045
"HW",349.1405,"PreFenton",1761761,1601136.66666667
"HW",349.1504,"PostFenton",3609223.33333333,2344492.66666667
"HW",349.1504,"PreFenton",1568570,
"HW",349.1657,"PostFenton",8712161.33333333,4124891
"HW",349.1657,"PreFenton",9176553.66666667,6960931.33333333
"HW",349.1868,"PostFenton",3007975.66666667,
"HW",349.1868,"PreFenton",2876230.33333333,1979178.33333333
"HW",349.202,"PostFenton",4358124.33333333,
"HW",349.202,"PreFenton",7539190.33333333,5119791.33333333
"HW",349.2418,"PostFenton",2114296.33333333,
"HW",349.2418,"PreFenton",5619033.33333333,
"HW",350.0881,"PreFenton",,2178727.66666667
"HW",350.1093,"PostFenton",,2267277.66666667
"HW",350.1721,"PreFenton",3464176.66666667,2299844
"HW",351.0358,"PostFenton",,4982334
"HW",351.0358,"PreFenton",1854495.66666667,6986809.33333333
"HW",351.0569,"PostFenton",4955343,9081753.33333333
"HW",351.0569,"PreFenton",6393298,2530709.66666667
"HW",351.0722,"PostFenton",2773374.66666667,6275315
"HW",351.0722,"PreFenton",3884503.33333333,9765616
"HW",351.0933,"PostFenton",5412399.33333333,11251278.3333333
"HW",351.1085,"PostFenton",7946804.33333333,8377256.33333333
"HW",351.1085,"PreFenton",6924089.33333333,8705788.33333333
"HW",351.1119,"PostFenton",2558176,
"HW",351.1297,"PostFenton",5793680,4388440.66666667
"HW",351.1297,"PreFenton",3827862.33333333,
"HW",351.1449,"PostFenton",14393919.3333333,7660125
"HW",351.1449,"PreFenton",10986310.3333333,9521587.33333333
"HW",351.1483,"PreFenton",2382322.33333333,
"HW",351.1813,"PostFenton",8702538.66666667,3070567.66666667
"HW",351.1813,"PreFenton",9554770.66666667,6759189
"HW",351.1847,"PostFenton",7967137,
"HW",351.1847,"PreFenton",2999636.33333333,
"HW",351.2177,"PostFenton",2979584.66666667,
"HW",351.2177,"PreFenton",6269792,3838241
"HW",351.2211,"PostFenton",5596417.66666667,2569843
"HW",351.2211,"PreFenton",3631969.33333333,
"HW",352.0885,"PostFenton",,2200257
"HW",352.1038,"PreFenton",,1902071.66666667
"HW",352.1514,"PostFenton",3467299.33333333,
"HW",352.1514,"PreFenton",2712236,2092893
"HW",353.015,"PostFenton",,3296717.66666667
"HW",353.015,"PreFenton",,2747951.66666667
"HW",353.0303,"PreFenton",,2424543.66666667
"HW",353.0514,"PostFenton",,6986541.33333333
"HW",353.0514,"PreFenton",2205423.33333333,8765159
"HW",353.0667,"PreFenton",,2245527
"HW",353.0725,"PostFenton",2569028,19267038
"HW",353.0878,"PostFenton",5090462.33333333,8992909
"HW",353.0878,"PreFenton",5162492.66666667,9980659.33333333
"HW",353.0912,"PostFenton",2045684.66666667,
"HW",353.1031,"PreFenton",,1620814
"HW",353.1089,"PostFenton",6567077.33333333,8703465
"HW",353.1089,"PreFenton",,1831333.66666667
"HW",353.1242,"PostFenton",12810068.6666667,10672962.3333333
"HW",353.1242,"PreFenton",8543753.66666667,9462527.66666667
"HW",353.1276,"PostFenton",7013888.33333333,
"HW",353.1276,"PreFenton",5331125.66666667,
"HW",353.1453,"PostFenton",4564827.33333333,2771614.33333333
"HW",353.1467,"PostFenton",2761222.33333333,
"HW",353.1467,"PreFenton",2371089.66666667,
"HW",353.1606,"PostFenton",16471904,7314594.66666667
"HW",353.1606,"PreFenton",12458177.3333333,10380044.3333333
"HW",353.1639,"PostFenton",2141196,
"HW",353.197,"PostFenton",6638443.66666667,2322946.33333333
"HW",353.197,"PreFenton",7873743,5390787.66666667
"HW",353.2003,"PostFenton",16280770,11547480.6666667
"HW",353.2003,"PreFenton",10658682.6666667,5183940.66666667
"HW",353.2333,"PostFenton",2744012.33333333,
"HW",353.2333,"PreFenton",2374193.33333333,
"HW",353.3425,"PostFenton",,2239789
"HW",354.0831,"PostFenton",,1576198.33333333
"HW",354.0831,"PreFenton",,1695308.33333333
"HW",354.1307,"PostFenton",,2322879
"HW",354.1307,"PreFenton",,1890311.66666667
"HW",354.1671,"PostFenton",6151327,1800223
"HW",354.1671,"PreFenton",4093487.33333333,2657385.66666667
"HW",354.2034,"PreFenton",10003687.6666667,6033185
"HW",355.0307,"PostFenton",,4792350.33333333
"HW",355.0307,"PreFenton",,3339502
"HW",355.0459,"PreFenton",2088476.66666667,3588680.33333333
"HW",355.0671,"PostFenton",2558739.33333333,9366910.33333333
"HW",355.0671,"PreFenton",2480676.66666667,8849488
"HW",355.0823,"PreFenton",2150100.66666667,3408298.66666667
"HW",355.0882,"PostFenton",4743962,26649989
"HW",355.0882,"PreFenton",,1716140.66666667
"HW",355.1035,"PostFenton",7697182.66666667,11453833.6666667
