Forest,goethite_new,Class,N
HW,new molecules,AminoSugar,151
HW,new molecules,Carb,112
HW,new molecules,ConHC,46
HW,new molecules,Lignin,332
HW,new molecules,Lipid,148
HW,new molecules,Protein,393
HW,new molecules,Tannin,28
HW,new molecules,UnsatHC,53
HW,NA,AminoSugar,371
HW,NA,Carb,806
HW,NA,ConHC,570
HW,NA,Lignin,2408
HW,NA,Lipid,242
HW,NA,Other,32
HW,NA,Protein,863
HW,NA,Tannin,816
HW,NA,UnsatHC,75
SW,new molecules,AminoSugar,134
SW,new molecules,Carb,70
SW,new molecules,ConHC,25
SW,new molecules,Lignin,244
SW,new molecules,Lipid,173
SW,new molecules,Other,1
SW,new molecules,Protein,492
SW,new molecules,Tannin,16
SW,new molecules,UnsatHC,39
SW,NA,AminoSugar,388
SW,NA,Carb,848
SW,NA,ConHC,591
SW,NA,Lignin,2496
SW,NA,Lipid,217
SW,NA,Other,31
SW,NA,Protein,764
SW,NA,Tannin,828
SW,NA,UnsatHC,89
