soil,Forest,Treatment,Mass,Class,intensity
Soil_1,HW,PreFenton,351.0722,Lignin,10695693
Soil_1,HW,PreFenton,351.1449,Lignin,11140135
Soil_1,HW,PreFenton,351.1813,Lignin,8156212
Soil_1,HW,PreFenton,351.2177,Lipid,4778049
Soil_1,HW,PreFenton,353.0514,Tannin,10090199
Soil_1,HW,PreFenton,353.0878,Lignin,10993380
Soil_1,HW,PreFenton,353.1242,Lignin,10510065
Soil_1,HW,PreFenton,353.1606,Lignin,12089086
Soil_1,HW,PreFenton,353.197,Protein,6844172
Soil_1,HW,PreFenton,354.1671,Protein,2987120
Soil_1,HW,PreFenton,355.0307,Tannin,3840433
Soil_1,HW,PreFenton,355.0671,Tannin,10068414
Soil_1,HW,PreFenton,355.1035,Lignin,10045900
Soil_1,HW,PreFenton,355.1762,Protein,12009959
Soil_1,HW,PreFenton,355.2126,Protein,5793268
Soil_1,HW,PreFenton,356.1463,Protein,7199570
Soil_1,HW,PreFenton,356.1827,Protein,7656288
Soil_1,HW,PreFenton,357.0463,Tannin,4426918
Soil_1,HW,PreFenton,357.0616,ConHC,5402796
Soil_1,HW,PreFenton,357.0827,Tannin,7607476
Soil_1,HW,PreFenton,357.098,Lignin,5265593
Soil_1,HW,PreFenton,357.1191,Lignin,8742081
Soil_1,HW,PreFenton,357.1344,Lignin,4085959
Soil_1,HW,PreFenton,357.1555,Protein,8635599
Soil_1,HW,PreFenton,357.1919,Protein,12920029
Soil_1,HW,PreFenton,357.2283,Protein,6129899
Soil_1,HW,PreFenton,358.1256,AminoSugar,1840448
Soil_1,HW,PreFenton,358.162,Protein,3717710
Soil_1,HW,PreFenton,358.1984,Protein,17399388
Soil_1,HW,PreFenton,359.062,Tannin,4352935
Soil_1,HW,PreFenton,359.0984,Tannin,7702453
Soil_1,HW,PreFenton,359.1136,Lignin,7467963
Soil_1,HW,PreFenton,359.1348,AminoSugar,6364099
Soil_1,HW,PreFenton,359.15,Lignin,7305161
Soil_1,HW,PreFenton,359.1864,Lignin,4906967
Soil_1,HW,PreFenton,359.2075,Protein,17256415
Soil_1,HW,PreFenton,359.2439,Protein,7874541
Soil_1,HW,PreFenton,360.1776,Protein,4148564
Soil_1,HW,PreFenton,361.0565,Lignin,11051688
Soil_1,HW,PreFenton,361.0929,Lignin,12319414
Soil_1,HW,PreFenton,361.114,Tannin,5165759
Soil_1,HW,PreFenton,361.1293,Lignin,11481796
Soil_1,HW,PreFenton,361.1504,AminoSugar,6353613
Soil_1,HW,PreFenton,361.1657,Lignin,10220243
Soil_1,HW,PreFenton,361.1868,Protein,3837659
