Treatment,X,code,soil,Forest,Fenton,Mass,C,H,N,O,S,P,HC,OC,DBE,CRAM,AI_mod,Class,KM,NKM,KMD,perc
PostFenton,278,PosFHW1.csv,Soil_7,HW,PostFenton,351.1813,19,28,0,6,0,0,1.47,0.32,6,CRAM,0.1875,HighUnsatLign,351.26252,351,0.26252,third 25 %
PostFenton,279,PosFHW1.csv,Soil_7,HW,PostFenton,565.1927,27,34,0,13,0,0,1.26,0.48,11,CRAM,0.219512195,HighUnsatLign,565.32336,565,0.32336,second 25 %
PostFenton,280,PosFHW1.csv,Soil_7,HW,PostFenton,677.2146,25,42,0,21,0,0,1.68,0.84,5,O,-0.379310345,SatFatAcCarb,677.37118,677,0.37118,second 25 %
PostFenton,281,PosFHW1.csv,Soil_7,HW,PostFenton,490.1678,19,29,3,12,0,0,1.53,0.63,7,O,-0.05,SatFatAcCarb,490.28119,490,0.28119,third 25 %
PostFenton,282,PosFHW1.csv,Soil_7,HW,PostFenton,370.078,15,17,1,10,0,0,1.13,0.67,8,CRAM,0.277777778,HighUnsatLign,370.16354,370,0.16354,lowest 25%
PostFenton,283,PosFHW1.csv,Soil_7,HW,PostFenton,413.0725,17,18,0,12,0,0,1.06,0.71,9,O,0.272727273,HighUnsatLign,413.16807,413,0.16807,top 25 %
PostFenton,284,PosFHW1.csv,Soil_7,HW,PostFenton,377.1242,19,22,0,8,0,0,1.16,0.42,9,CRAM,0.333333333,HighUnsatLign,377.21139,377,0.21139,top 25 %
PostFenton,285,PosFHW1.csv,Soil_7,HW,PostFenton,439.1246,20,24,0,11,0,0,1.2,0.55,9,CRAM,0.24137931,HighUnsatLign,439.22613,439,0.22613,top 25 %
PostFenton,286,PosFHW1.csv,Soil_7,HW,PostFenton,397.1868,20,30,0,8,0,0,1.5,0.4,6,O,0.125,UnSatAliph_noN,397.27863,397,0.27863,top 25 %
PostFenton,287,PosFHW1.csv,Soil_7,HW,PostFenton,527.1618,20,32,0,16,0,0,1.6,0.8,5,O,-0.25,SatFatAcCarb,527.28366,527,0.28366,top 25 %
PostFenton,288,PosFHW1.csv,Soil_7,HW,PostFenton,345.1191,15,22,0,9,0,0,1.47,0.6,5,O,0.047619048,HighUnsatLign,345.19891,345,0.19891,top 25 %
PostFenton,289,PosFHW1.csv,Soil_7,HW,PostFenton,619.2091,23,40,0,19,0,0,1.74,0.83,4,O,-0.407407407,SatFatAcCarb,619.35228,619,0.35228,lowest 25%
PostFenton,290,PosFHW1.csv,Soil_7,HW,PostFenton,393.1766,17,30,0,10,0,0,1.76,0.59,3,O,-0.166666667,UnSatAliph_noN,393.26754,393,0.26754,third 25 %
PostFenton,291,PosFHW1.csv,Soil_7,HW,PostFenton,453.1614,18,30,0,13,0,0,1.67,0.72,4,O,-0.217391304,SatFatAcCarb,453.26615,453,0.26615,top 25 %
PostFenton,292,PosFHW1.csv,Soil_7,HW,PostFenton,413.1242,22,22,0,8,0,0,1,0.36,12,CRAM,0.444444444,HighUnsatLign,413.21972,413,0.21972,lowest 25%
PostFenton,293,PosFHW1.csv,Soil_7,HW,PostFenton,451.1821,19,32,0,12,0,0,1.68,0.63,4,O,-0.153846154,SatFatAcCarb,451.28643,451,0.28643,lowest 25%
PostFenton,294,PosFHW1.csv,Soil_7,HW,PostFenton,439.0154,17,12,0,14,0,0,0.71,0.82,12,O,0.5,HighUnsatLign,439.11694,439,0.11694,lowest 25%
PostFenton,295,PosFHW1.csv,Soil_7,HW,PostFenton,361.1293,19,22,0,7,0,0,1.16,0.37,9,CRAM,0.35483871,HighUnsatLign,361.21278,361,0.21278,second 25 %
PostFenton,296,PosFHW1.csv,Soil_7,HW,PostFenton,386.1933,17,29,3,7,0,0,1.71,0.41,5,O,0,Aliphat+N,386.28257,386,0.28257,third 25 %
PostFenton,297,PosFHW1.csv,Soil_7,HW,PostFenton,401.0362,15,14,0,13,0,0,0.93,0.87,9,O,0.294117647,HighUnsatLign,401.1289,401,0.1289,second 25 %
PostFenton,298,PosFHW1.csv,Soil_7,HW,PostFenton,526.1777,20,33,1,15,0,0,1.65,0.75,5,O,-0.260869565,SatFatAcCarb,526.29941,526,0.29941,third 25 %
PostFenton,299,PosFHW1.csv,Soil_7,HW,PostFenton,347.1136,18,20,0,7,0,0,1.11,0.39,9,CRAM,0.379310345,HighUnsatLign,347.19389,347,0.19389,third 25 %
PostFenton,300,PosFHW1.csv,Soil_7,HW,PostFenton,491.0831,22,20,0,13,0,0,0.91,0.59,13,CRAM,0.419354839,HighUnsatLign,491.19667,491,0.19667,third 25 %
PostFenton,301,PosFHW1.csv,Soil_7,HW,PostFenton,387.1661,18,28,0,9,0,0,1.56,0.5,5,O,0.037037037,UnSatAliph_noN,387.25558,387,0.25558,top 25 %
PostFenton,302,PosFHW1.csv,Soil_7,HW,PostFenton,575.2134,29,36,0,12,0,0,1.24,0.41,12,CRAM,0.260869565,HighUnsatLign,575.34641,575,0.34641,third 25 %
PostFenton,303,PosFHW1.csv,Soil_7,HW,PostFenton,515.1923,27,32,0,10,0,0,1.19,0.37,12,CRAM,0.318181818,HighUnsatLign,515.3114,515,0.3114,third 25 %
PostFenton,304,PosFHW1.csv,Soil_7,HW,PostFenton,501.125,21,26,0,14,0,0,1.24,0.67,9,O,0.142857143,HighUnsatLign,501.24086,501,0.24086,second 25 %
PostFenton,305,PosFHW1.csv,Soil_7,HW,PostFenton,365.1606,19,26,0,7,0,0,1.37,0.37,7,CRAM,0.225806452,HighUnsatLign,365.24501,365,0.24501,top 25 %
PostFenton,306,PosFHW1.csv,Soil_7,HW,PostFenton,337.0201,14,10,0,10,0,0,0.71,0.71,10,O,0.555555556,Aromatic,337.09805,337,0.09805,lowest 25%
PostFenton,307,PosFHW1.csv,Soil_7,HW,PostFenton,519.1144,24,24,0,13,0,0,1,0.54,13,CRAM,0.371428571,HighUnsatLign,519.23445,519,0.23445,lowest 25%
PostFenton,308,PosFHW1.csv,Soil_7,HW,PostFenton,374.1093,15,21,1,10,0,0,1.4,0.67,6,O,0.055555556,HighUnsatLign,374.19578,374,0.19578,lowest 25%
PostFenton,309,PosFHW1.csv,Soil_7,HW,PostFenton,661.2197,25,42,0,20,0,0,1.68,0.8,5,O,-0.333333333,SatFatAcCarb,661.37256,661,0.37256,second 25 %
PostFenton,310,PosFHW1.csv,Soil_7,HW,PostFenton,558.1676,20,33,1,17,0,0,1.65,0.85,5,O,-0.380952381,SatFatAcCarb,558.29664,558,0.29664,second 25 %
PostFenton,311,PosFHW1.csv,Soil_7,HW,PostFenton,405.1191,20,22,0,9,0,0,1.1,0.45,10,CRAM,0.35483871,HighUnsatLign,405.21278,405,0.21278,top 25 %
PostFenton,312,PosFHW1.csv,Soil_7,HW,PostFenton,393.1402,16,26,0,11,0,0,1.62,0.69,4,O,-0.142857143,SatFatAcCarb,393.23114,393,0.23114,top 25 %
PostFenton,313,PosFHW1.csv,Soil_7,HW,PostFenton,474.1729,19,29,3,11,0,0,1.53,0.58,7,O,0,Aliphat+N,474.28258,474,0.28258,lowest 25%
PostFenton,314,PosFHW1.csv,Soil_7,HW,PostFenton,485.1148,17,26,0,16,0,0,1.53,0.94,5,O,-0.333333333,SatFatAcCarb,485.22698,485,0.22698,top 25 %
PostFenton,315,PosFHW1.csv,Soil_7,HW,PostFenton,479.0467,20,16,0,14,0,0,0.8,0.7,13,CRAM,0.461538462,HighUnsatLign,479.1575,479,0.1575,third 25 %
