Mass,HC,OC,El_comp,NOSC,Class,KM_CH2,KMD_CH2,DBE,AI_0,C,H,O,N,S,P,Na
255.233,2,2,CHO,-1.75,Lipid,255.95411133528,0.0458886647197971,1,0,16,32,2,0,0,0,0
281.1395,1.47,1.47,CHO,-0.7999999999999998,Lignin,281.831716369652,0.16828363034756,5,0,15,22,5,0,0,0,0
281.2486,1.89,1.89,CHO,-1.666666666666667,Lipid,281.940716023611,0.0592839763892812,2,0,18,34,2,0,0,0,0
283.1551,1.6,1.6,CHO,-0.9333333333333336,Protein,283.845113179647,0.154886820352999,4,0,15,24,5,0,0,0,0
285.1344,1.57,1.57,CHO,-0.7142857142857144,Protein,285.822198081168,0.177801918832188,4,0,14,22,6,0,0,0,0
287.2228,2,2,CHO,-1.5,Lipid,287.90822744834003,0.0917725516604833,1,0,16,32,4,0,0,0,0
293.1758,1.53,1.53,CHO,-1.0588235294117645,Lipid,293.854623263018,0.145376736982143,5,0.0769230769230769,17,26,4,0,0,0,0
293.1792,2.14,2.14,CHOS,-1.4285714285714288,Lipid,293.857992710743,0.142007289257378,0,0,14,30,4,0,1,0,0
295.1187,1.33,1.33,CHO,-0.5333333333333332,Lignin,295.795342863369,0.204657136630715,6,0,15,20,6,0,0,0,0
295.1551,1.5,1.5,CHO,-0.875,Protein,295.831662263468,0.168337736531555,5,0,16,24,5,0,0,0,0
297.0827,1.8,1.8,CHO,0.20000000000000018,Carb,297.757133195368,0.242866804632115,2,0,10,18,10,0,0,0,0
297.098,1.29,1.29,CHO,-0.2857142857142856,Lignin,297.772362005067,0.22763799493282,6,0,14,18,7,0,0,0,0
297.1344,1.47,1.47,CHO,-0.666666666666667,Lignin,297.808736343753,0.191263656247145,5,0,15,22,6,0,0,0,0
297.1708,1.62,1.62,CHO,-1,Protein,297.845090704771,0.154909295229231,4,0,16,26,5,0,0,0,0
297.2435,1.89,1.89,CHO,-1.5555555555555554,Lipid,297.917751979845,0.0822480201546227,2,0,18,34,3,0,0,0,0
298.1408,1.62,1.62,CHON,-0.1538461538461542,Protein,298.814085007568,0.185914992432004,5,0,13,21,5,3,0,0,0
299.0772,1.23,1.23,CHO,0,Lignin,299.749414442878,0.250585557122236,6,0,13,16,8,0,0,0,0
299.1137,1.43,1.43,CHO,-0.4285714285714288,Lignin,299.785817499461,0.214182500539039,5,0,14,20,7,0,0,0,0
299.15,1.6,1.6,CHO,-0.7999999999999998,Protein,299.822145831883,0.177854168116937,4,0,15,24,6,0,0,0,0
299.1864,1.75,1.75,CHO,-1.125,Protein,299.858478524815,0.141521475185243,3,0,16,28,5,0,0,0,0
299.2016,1.4,1.4,CHO,-1.2000000000000002,UnsatHC,299.8736971792,0.126302820799765,7,0.277777777777778,20,28,2,0,0,0,0
301.1293,1.57,1.57,CHO,-0.5714285714285712,Protein,301.799208066434,0.200791933565711,4,0,14,22,7,0,0,0,0
301.1656,1.73,1.73,CHO,-0.9333333333333336,Protein,301.835506656463,0.164493343536833,3,0,15,26,6,0,0,0,0
301.202,1.88,1.88,CHO,-1.25,Protein,301.871851306114,0.128148693886033,2,0,16,30,5,0,0,0,0
