C,H,N,O,S,P,,mass,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Initial,InitialAvg,PosSW22.csv,PosSW23.csv,PosSW24.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
33,10,0,1,0,0,,421.0658882,,4905739,3652173,4898377,Yes,4485429.667,0,0,0,,0.303030303,0.03030303,,421.06589,29,0.878787879,2.9,29,O,,,0.876923077,,CondAr,----,----,----,----,----,,421.16325,421,0.16325
34,12,0,1,0,0,,435.0815382,,3605001,2804666,3091071,Yes,3166912.667,0,0,0,,0.352941176,0.029411765,,435.08154,29,0.852941176,2.416666667,29,O,,,0.850746269,,CondAr,----,----,----,----,----,,435.18214,435,0.18214
16,12,0,10,0,0,,363.0357696,,2529211,4661464,4789156,Yes,3993277,0,0,0,,0.75,0.625,,363.03577,11,0.6875,0.916666667,1.1,O,,,0.545454545,,----,Aromatic,----,----,----,----,,363.11972,363,0.11972
16,12,0,11,0,0,,379.0306842,,3443081,5746839,5562877,Yes,4917599,0,0,0,,0.75,0.6875,,379.03068,11,0.6875,0.916666667,1,O,,,0.523809524,,----,Aromatic,----,----,----,----,,379.11833,379,0.11833
17,12,0,10,0,0,,375.0357696,,2137938,3776482,3768736,Yes,3227718.667,0,0,0,,0.705882353,0.588235294,,375.03577,12,0.705882353,1,1.2,O,,,0.583333333,,----,Aromatic,----,----,----,----,,375.12249,375,0.12249
17,12,0,11,0,0,,391.0306842,,2260564,3393749,4360527,Yes,3338280,0,0,0,,0.705882353,0.647058824,,391.03068,12,0.705882353,1,1.090909091,O,,,0.565217391,,----,Aromatic,----,----,----,----,,391.1211,391,0.1211
17,12,0,12,0,0,,407.0255988,,2583012,4043286,3912168,Yes,3512822,0,0,0,,0.705882353,0.705882353,,407.0256,12,0.705882353,1,1,O,,,0.545454545,,----,Aromatic,----,----,----,----,,407.11972,407,0.11972
17,14,0,9,0,0,,361.056505,,2615666,4135508,4134218,Yes,3628464,0,0,0,,0.823529412,0.529411765,,361.0565,11,0.647058824,0.785714286,1.222222222,CRAM,,,0.52,,----,Aromatic,----,----,----,----,,361.13999,361,0.13999
18,14,0,9,0,0,,373.056505,,2245927,4553081,3425124,Yes,3408044,0,0,0,,0.777777778,0.5,,373.0565,12,0.666666667,0.857142857,1.333333333,CRAM,,,0.555555556,,----,Aromatic,----,----,----,----,,373.14277,373,0.14277
18,14,0,10,0,0,,389.0514196,,2224842,4171535,4548524,Yes,3648300.333,0,0,0,,0.777777778,0.555555556,,389.05142,12,0.666666667,0.857142857,1.2,CRAM,,,0.538461538,,----,Aromatic,----,----,----,----,,389.14138,389,0.14138
18,14,0,11,0,0,,405.0463342,,2754429,6037888,5331290,Yes,4707869,0,0,0,,0.777777778,0.611111111,,405.04633,12,0.666666667,0.857142857,1.090909091,CRAM,,,0.52,,----,Aromatic,----,----,----,----,,405.14,405,0.14
19,16,0,9,0,0,,387.072155,,2082085,3707182,3938799,Yes,3242688.667,0,0,0,,0.842105263,0.473684211,,387.07215,12,0.631578947,0.75,1.333333333,CRAM,,,0.517241379,,----,Aromatic,----,----,----,----,,387.16166,387,0.16166
11,16,0,11,0,0,,323.0619842,,7820810,2991032,4535356,Yes,5115732.667,0,0,0,,1.454545455,1,,323.06198,4,0.363636364,0.25,0.363636364,O,,,-0.272727273,,----,----,HUnSatLig,----,----,----,,323.13669,323,0.13669
11,16,0,12,0,0,,339.0568988,,4588119,1977104,2837336,Yes,3134186.333,0,0,0,,1.454545455,1.090909091,,339.0569,4,0.363636364,0.25,0.333333333,O,,,-0.4,,----,----,HUnSatLig,----,----,----,,339.1353,339,0.1353
12,16,0,10,0,0,,319.0670696,,4581248,2710266,3576700,Yes,3622738,0,0,0,,1.333333333,0.833333333,,319.06707,5,0.416666667,0.3125,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,319.14085,319,0.14085
12,16,0,11,0,0,,335.0619842,,8062699,3637080,5393852,Yes,5697877,0,0,0,,1.333333333,0.916666667,,335.06198,5,0.416666667,0.3125,0.454545455,O,,,-0.076923077,,----,----,HUnSatLig,----,----,----,,335.13946,335,0.13946
12,16,0,13,0,0,,367.0518134,,5693534,2400757,3939432,Yes,4011241,0,0,0,,1.333333333,1.083333333,,367.05181,5,0.416666667,0.3125,0.384615385,O,,,-0.272727273,,----,----,HUnSatLig,----,----,----,,367.13669,367,0.13669
13,14,0,10,0,0,,329.0514196,,3450425,3220032,3623100,Yes,3431185.667,0,0,0,,1.076923077,0.769230769,,329.05142,7,0.538461538,0.5,0.7,O,,,0.25,,----,----,HUnSatLig,----,----,----,,329.12751,329,0.12751
13,14,0,11,0,0,,345.0463342,,3101171,2509101,3931448,Yes,3180573.333,0,0,0,,1.076923077,0.846153846,,345.04633,7,0.538461538,0.5,0.636363636,O,,,0.2,,----,----,HUnSatLig,----,----,----,,345.12612,345,0.12612
13,16,0,9,0,0,,315.072155,,2958119,3911280,3472107,Yes,3447168.667,0,0,0,,1.230769231,0.692307692,,315.07215,6,0.461538462,0.375,0.666666667,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,315.14501,315,0.14501
13,16,0,10,0,0,,331.0670696,,3904445,2935269,4123227,Yes,3654313.667,0,0,0,,1.230769231,0.769230769,,331.06707,6,0.461538462,0.375,0.6,O,,,0.125,,----,----,HUnSatLig,----,----,----,,331.14362,331,0.14362
13,16,0,11,0,0,,347.0619842,,4241913,2547554,3524436,Yes,3437967.667,0,0,0,,1.230769231,0.846153846,,347.06198,6,0.461538462,0.375,0.545454545,O,,,0.066666667,,----,----,HUnSatLig,----,----,----,,347.14224,347,0.14224
13,16,0,12,0,0,,363.0568988,,4840386,2240223,3887019,Yes,3655876,0,0,0,,1.230769231,0.923076923,,363.0569,6,0.461538462,0.375,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,363.14085,363,0.14085
13,18,0,10,0,0,,333.0827196,,4131664,2363290,3474440,Yes,3323131.333,0,0,0,,1.384615385,0.769230769,,333.08272,5,0.384615385,0.277777778,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,333.15974,333,0.15974
13,18,0,11,0,0,,349.0776342,,7343121,4220843,5742464,Yes,5768809.333,0,0,0,,1.384615385,0.846153846,,349.07763,5,0.384615385,0.277777778,0.454545455,O,,,-0.066666667,,----,----,HUnSatLig,----,----,----,,349.15835,349,0.15835
