"","C","H","N","O","S","P","Mass","HC","OC","m.z","DBE","CRAM","AI.mod","PolyCyArom","Aromatic","HighUnsatLign","UnSatAliph_noN","SatFatAcCarb","UnSatAlip.N","KM","NKM","KMD"
"26",14,16,0,11,0,0,359.062,1.142857143,0.785714286,359.06198,7,"O",0.176470588,"----","----","HUnSatLig","----","----","----",359.14501,359,0.14501
"27",14,17,5,8,0,0,382.1004,1.214285714,0.571428571,382.10044,9,"CRAM",0.5,"----","----","HUnSatLig","----","----","----",382.18879,382,0.18879
"28",14,18,0,8,0,0,313.0929,1.285714286,0.571428571,313.09289,6,"O",0.2,"----","----","HUnSatLig","----","----","----",313.16529,313,0.16529
"29",14,18,0,9,0,0,329.0878,1.285714286,0.642857143,329.0878,6,"O",0.157894737,"----","----","HUnSatLig","----","----","----",329.1639,329,0.1639
"30",14,18,0,10,0,0,345.0827,1.285714286,0.714285714,345.08272,6,"O",0.111111111,"----","----","HUnSatLig","----","----","----",345.16251,345,0.16251
"31",14,18,0,12,1,0,409.0446,1.285714286,0.857142857,409.04462,6,"O",-0.142857143,"----","----","HUnSatLig","----","----","----",409.13921,409,0.13921
"32",14,20,0,9,0,0,331.1035,1.428571429,0.642857143,331.10345,5,"O",0.052631579,"----","----","HUnSatLig","----","----","----",331.18002,331,0.18002
"33",14,20,0,10,0,0,347.0984,1.428571429,0.714285714,347.09837,5,"O",0,"----","----","HUnSatLig","----","----","----",347.17863,347,0.17863
"34",14,20,0,11,0,0,363.0933,1.428571429,0.785714286,363.09328,5,"O",-0.058823529,"----","----","HUnSatLig","----","----","----",363.17724,363,0.17724
"35",14,21,3,7,0,0,342.1307,1.5,0.5,342.13067,6,"CRAM",0.133333333,"----","----","----","----","----","Alipat+N",342.20979,342,0.20979
"36",14,21,3,8,0,0,358.1256,1.5,0.571428571,358.12559,6,"O",0.071428571,"----","----","----","----","----","Alipat+N",358.2084,358,0.2084
"37",14,22,0,9,0,0,333.1191,1.571428571,0.642857143,333.1191,4,"O",-0.052631579,"----","----","----","----","SatFACarb","----",333.19613,333,0.19613
"38",14,22,0,11,0,0,365.1089,1.571428571,0.785714286,365.10893,4,"O",-0.176470588,"----","----","----","----","SatFACarb","----",365.19336,365,0.19336
"39",14,22,0,12,0,0,381.1038,1.571428571,0.857142857,381.10385,4,"O",-0.25,"----","----","----","----","SatFACarb","----",381.19197,381,0.19197
"40",14,22,0,12,1,0,413.0759,1.571428571,0.857142857,413.07592,4,"O",-0.428571429,"----","----","----","----","SatFACarb","----",413.17144,413,0.17144
"41",14,22,2,8,0,0,345.1303,1.571428571,0.571428571,345.13034,5,"O",0,"----","----","----","----","----","Alipat+N",345.21014,345,0.21014
"42",14,23,1,10,0,0,364.1249,1.642857143,0.714285714,364.12492,4,"O",-0.1875,"----","----","----","----","SatFACarb","----",364.20912,364,0.20912
"43",14,23,3,5,0,0,312.1565,1.642857143,0.357142857,312.15649,5,"CRAM",0.117647059,"----","----","----","----","----","Alipat+N",312.22868,312,0.22868
"44",14,23,3,6,0,0,328.1514,1.642857143,0.428571429,328.15141,5,"CRAM",0.0625,"----","----","----","----","----","Alipat+N",328.22729,328,0.22729
"45",14,24,0,11,0,0,367.1246,1.714285714,0.785714286,367.12458,3,"O",-0.294117647,"----","----","----","----","SatFACarb","----",367.20948,367,0.20948
"46",14,24,0,12,0,0,383.1195,1.714285714,0.857142857,383.1195,3,"O",-0.375,"----","----","----","----","SatFACarb","----",383.20809,383,0.20809
"47",14,24,4,7,0,0,359.1572,1.714285714,0.5,359.15722,5,"O",-0.076923077,"----","----","----","----","----","Alipat+N",359.24027,359,0.24027
"48",14,25,3,6,0,0,330.1671,1.785714286,0.428571429,330.16706,4,"O",-0.0625,"----","----","----","----","----","Alipat+N",330.2434,330,0.2434
"49",14,25,3,7,0,0,346.162,1.785714286,0.5,346.16197,4,"O",-0.133333333,"----","----","----","----","----","Alipat+N",346.24202,346,0.24202
"50",14,26,0,7,1,0,337.1326,1.857142857,0.5,337.13265,2,"O",-0.263157895,"----","----","----","AlipatNoN","----","----",337.2106,337,0.2106
"51",14,26,0,10,1,0,385.1174,1.857142857,0.714285714,385.11739,2,"O",-0.5,"----","----","----","----","SatFACarb","----",385.20644,385,0.20644
"52",14,26,0,12,1,0,417.1072,1.857142857,0.857142857,417.10722,2,"O",-0.714285714,"----","----","----","----","SatFACarb","----",417.20367,417,0.20367
"53",14,26,0,13,1,0,433.1021,1.857142857,0.928571429,433.10213,2,"O",-0.846153846,"----","----","----","----","SatFACarb","----",433.20228,433,0.20228
"54",14,26,4,6,0,0,345.178,1.857142857,0.428571429,345.17796,4,"O",-0.142857143,"----","----","----","----","----","Alipat+N",345.25777,345,0.25777
"55",14,27,3,5,0,0,316.1878,1.928571429,0.357142857,316.18779,3,"O",-0.117647059,"----","----","----","----","----","Alipat+N",316.26091,316,0.26091
"56",15,8,0,9,0,0,331.0096,0.533333333,0.6,331.00955,12,"O",0.714285714,"CondAr","----","----","----","----","----",331.0861,331,0.0861
"57",15,10,0,9,0,0,333.0252,0.666666667,0.6,333.0252,11,"O",0.619047619,"----","Aromatic","----","----","----","----",333.10221,333,0.10221
"58",15,10,0,10,0,0,349.0201,0.666666667,0.666666667,349.02012,11,"O",0.6,"----","Aromatic","----","----","----","----",349.10083,349,0.10083
"59",15,10,0,11,0,0,365.015,0.666666667,0.733333333,365.01503,11,"O",0.578947368,"----","Aromatic","----","----","----","----",365.09944,365,0.09944
"60",15,10,0,12,0,0,381.0099,0.666666667,0.8,381.00995,11,"O",0.555555556,"----","Aromatic","----","----","----","----",381.09805,381,0.09805
"61",15,12,0,8,0,0,319.0459,0.8,0.533333333,319.04594,10,"CRAM",0.545454545,"----","Aromatic","----","----","----","----",319.11972,319,0.11972
"62",15,12,0,9,0,0,335.0409,0.8,0.6,335.04085,10,"CRAM",0.523809524,"----","Aromatic","----","----","----","----",335.11833,335,0.11833
"63",15,12,0,10,0,0,351.0358,0.8,0.666666667,351.03577,10,"CRAM",0.5,"----","----","HUnSatLig","----","----","----",351.11694,351,0.11694
"64",15,12,0,11,0,0,367.0307,0.8,0.733333333,367.03068,10,"CRAM",0.473684211,"----","----","HUnSatLig","----","----","----",367.11555,367,0.11555
