C,H,N,O,S,P,,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
13,24,0,10,1,0,,371.1017403,,2666019,2698488,2717070,,,6062964,5287186,6590971,,1.846153846,0.769230769,,371.10174,2,0.153846154,0.083333333,0.2,O,,,-0.571428571,,----,----,----,----,SatFACarb,----,,371.18755,371.00000,0.18755
13,24,0,12,1,0,,403.0915695,,NA,NA,NA,,,2270919,3085059,2463887,,1.846153846,0.923076923,,403.09157,2,0.153846154,0.083333333,0.166666667,O,,,-0.833333333,,----,----,----,----,SatFACarb,----,,403.18478,403.00000,0.18478
13,27,4,5,0,1,,349.1646291,,3322558,3334478,3287021,,,NA,NA,NA,,2.076923077,0.384615385,,349.16463,3,0.230769231,0.111111111,0.6,O,,,-0.363636364,,----,----,----,----,----,Alipat+N,,349.24537,349.00000,0.24537
13,29,4,5,0,1,,351.1802791,,NA,NA,NA,,,5202883,5295157,4897861,,2.230769231,0.384615385,,351.18028,2,0.153846154,0.068965517,0.4,O,,,-0.545454545,,----,----,----,----,----,Alipat+N,,351.26148,351.00000,0.26148
14,10,0,9,0,0,,321.025205,,2843786,2863924,2268653,,,NA,NA,NA,,0.714285714,0.642857143,,321.02520,10,0.714285714,1,1.111111111,O,,,0.578947368,,----,Aromatic,----,----,----,----,,321.09944,321.00000,0.09944
14,10,0,10,0,0,,337.0201196,,3404075,3405764,3133803,,,NA,NA,NA,,0.714285714,0.714285714,,337.02012,10,0.714285714,1,1,O,,,0.555555556,,----,Aromatic,----,----,----,----,,337.09805,337.00000,0.09805
14,10,0,11,0,0,,353.0150342,,2558421,2775891,2911819,,,NA,NA,NA,,0.714285714,0.785714286,,353.01503,10,0.714285714,1,0.909090909,O,,,0.529411765,,----,Aromatic,----,----,----,----,,353.09666,353.00000,0.09666
14,12,0,8,0,0,,307.0459404,,1733641,1736272,1545368,,,NA,NA,NA,,0.857142857,0.571428571,,307.04594,9,0.642857143,0.75,1.125,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,307.11694,307.00000,0.11694
14,12,0,9,0,0,,323.040855,,3351004,3510435,3502452,,,NA,NA,NA,,0.857142857,0.642857143,,323.04085,9,0.642857143,0.75,1,CRAM,,,0.473684211,,----,----,HUnSatLig,----,----,----,,323.11555,323.00000,0.11555
14,12,0,10,0,0,,339.0357696,,4127015,4361102,5111131,,,NA,NA,NA,,0.857142857,0.714285714,,339.03577,9,0.642857143,0.75,0.9,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,339.11417,339.00000,0.11417
14,12,0,11,0,0,,355.0306842,,3782813,3921786,3432097,,,NA,NA,NA,,0.857142857,0.785714286,,355.03068,9,0.642857143,0.75,0.818181818,CRAM,,,0.411764706,,----,----,HUnSatLig,----,----,----,,355.11278,355.00000,0.11278
14,12,0,12,0,0,,371.0255988,,1919494,1733347,2004343,,,NA,NA,NA,,0.857142857,0.857142857,,371.02560,9,0.642857143,0.75,0.75,O,,,0.375,,----,----,HUnSatLig,----,----,----,,371.11139,371.00000,0.11139
14,14,0,8,0,0,,309.0615904,,2608888,2772861,2614736,,,NA,NA,NA,,1,0.571428571,,309.06159,8,0.571428571,0.571428571,1,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,309.13306,309.00000,0.13306
